region_id,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6m,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6m,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6m,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6m,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6m,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6m,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6m,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6m,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85andover_N_c_b_0,C11_AP_85andover_N_c_b_1,C11_AP_85andover_N_c_b_2,C11_AP_85andover_N_c_b_3,C11_AP_85andover_N_c_b_4,C11_AP_85andover_N_c_b_5,C11_AP_85ov_N_c_b_6mor,C11_AP_85andover_N_c_b_NS,C11_AP_85_and_over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_ch_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_T_T
LGA10050,588,386,142,42,22,59,1609,202,158,583,480,183,41,23,60,1730,154,145,502,398,158,47,34,62,1500,128,107,453,356,151,50,25,67,1337,101,79,285,260,132,55,30,50,992,68,54,213,226,149,55,63,60,888,54,50,137,169,117,76,68,69,740,48,34,130,146,111,49,51,74,643,64,71,159,109,95,55,51,138,742,6035,2078,4885,3450,1539,571,428,1108,20094
LGA10110,293,196,85,19,17,33,834,104,80,294,203,84,29,6,43,843,90,69,244,192,70,15,11,29,720,71,47,215,146,65,13,10,34,601,52,46,165,126,64,28,15,29,525,41,25,85,122,72,23,35,35,438,30,23,50,84,55,30,38,35,345,19,27,61,69,45,27,23,30,301,24,22,73,58,42,16,34,37,306,3756,925,2271,1632,765,243,237,699,10528
LGA10150,490,162,45,5,4,91,1528,360,279,420,168,50,12,6,69,1364,289,227,326,156,43,10,8,67,1126,198,149,298,177,51,17,6,64,960,133,88,208,131,58,13,13,37,681,91,64,234,130,63,20,7,67,676,82,75,181,121,58,18,18,56,609,88,64,147,75,53,36,22,76,561,115,97,176,114,54,34,38,209,837,7757,2744,3721,1566,553,179,136,1413,18069
LGA10200,760,374,147,90,55,173,2335,330,447,697,314,143,63,64,196,2254,267,344,566,305,131,52,74,123,1862,205,169,418,270,127,52,64,74,1379,114,95,252,182,99,51,40,83,916,90,58,188,152,101,40,67,74,770,62,46,120,102,93,28,65,36,552,62,53,104,92,52,40,90,35,528,73,88,132,88,55,28,60,47,571,10363,4125,5875,3011,1403,651,722,2461,28611
LGA10250,524,342,108,22,19,37,1423,196,193,582,395,135,39,4,42,1586,172,149,571,404,145,30,21,55,1547,149,130,538,378,154,24,12,46,1431,109,90,417,311,142,45,35,42,1191,84,58,288,277,173,58,25,54,1017,68,61,192,197,138,61,72,65,854,75,69,180,199,136,59,49,71,838,87,78,193,173,114,45,47,137,874,3911,1833,4838,3345,1506,440,316,849,17038
LGA10300,26,33,8,0,4,9,94,4,9,26,30,8,6,3,6,92,8,4,38,25,12,3,3,4,97,3,5,22,17,6,0,5,3,61,4,0,15,20,7,6,0,3,55,5,3,3,19,9,4,5,3,51,0,0,3,7,9,7,3,6,35,4,3,3,3,3,4,5,3,28,6,3,4,3,3,0,4,5,28,185,77,224,215,92,34,32,68,927
LGA10350,2085,1190,589,245,168,369,6238,816,764,1902,1147,563,260,201,337,5990,623,605,1574,1072,492,216,186,309,5077,519,426,1474,958,446,174,176,262,4435,299,333,1000,720,330,149,182,203,3216,240,244,824,611,316,142,213,197,2787,189,212,690,535,314,159,265,196,2560,214,239,614,471,281,142,269,256,2486,206,286,601,430,272,103,201,408,2507,21391,8466,17699,10885,5161,2110,2184,5230,73126
LGA10470,429,305,124,43,24,39,1259,149,110,421,331,131,49,18,52,1261,107,105,424,266,120,37,13,49,1121,108,86,358,248,115,28,18,59,1020,74,60,256,228,108,37,28,49,840,56,45,134,140,89,45,37,36,582,60,41,121,127,88,38,39,41,555,42,41,98,93,68,36,36,39,453,75,40,93,79,62,23,29,65,466,4621,1554,3806,2647,1201,418,312,873,15432
LGA10550,400,253,94,28,12,42,1158,234,172,499,322,154,29,25,52,1487,213,156,487,298,112,34,14,54,1368,157,135,510,320,137,30,9,60,1358,101,78,364,309,131,42,19,47,1091,64,38,239,246,126,50,39,50,852,49,52,157,169,119,48,39,52,685,37,52,111,135,75,37,36,30,513,37,40,123,96,64,35,21,95,511,2902,1460,3915,2708,1219,398,257,746,13605
LGA10600,173,103,44,9,13,9,502,105,65,190,123,62,17,9,12,583,88,69,163,140,37,7,9,14,527,68,54,164,108,39,14,5,20,472,45,39,130,91,51,23,6,10,395,22,29,84,70,69,17,9,13,313,20,19,52,63,38,19,14,19,244,16,9,35,43,28,19,12,13,175,12,28,31,47,32,15,12,18,195,1179,621,1472,1023,485,161,105,212,5258
