region_id,Aust_C01_M,Aust_C01_F,Aust_C01_P,Aust_C06_M,Aust_C06_F,Aust_C06_P,Aust_C11_M,Aust_C11_F,Aust_C11_P,Bos_Herzegovina_C01_M,Bos_Herzegovina_C01_F,Bos_Herzegovina_C01_P,Bos_Herzegovina_C06_M,Bos_Herzegovina_C06_F,Bos_Herzegovina_C06_P,Bos_Herzegovina_C11_M,Bos_Herzegovina_C11_F,Bos_Herzegovina_C11_P,Cambodia_C01_M,Cambodia_C01_F,Cambodia_C01_P,Cambodia_C06_M,Cambodia_C06_F,Cambodia_C06_P,Cambodia_C11_M,Cambodia_C11_F,Cambodia_C11_P,Canada_C01_M,Canada_C01_F,Canada_C01_P,Canada_C06_M,Canada_C06_F,Canada_C06_P,Canada_C11_M,Canada_C11_F,Canada_C11_P,Chi_ex_SARs_Taiw_C01_M,Chi_ex_SARs_Taiw_C01_F,Chi_ex_SARs_Taiw_C01_P,Chi_ex_SARs_Taiw_C06_M,Chi_ex_SARs_Taiw_C06_F,Chi_ex_SARs_Taiw_C06_P,Chi_ex_SARs_Taiw_C11_M,Chi_ex_SARs_Taiw_C11_F,Chi_ex_SARs_Taiw_C11_P,Croatia_C01_M,Croatia_C01_F,Croatia_C01_P,Croatia_C06_M,Croatia_C06_F,Croatia_C06_P,Croatia_C11_M,Croatia_C11_F,Croatia_C11_P,Egypt_C01_M,Egypt_C01_F,Egypt_C01_P,Egypt_C06_M,Egypt_C06_F,Egypt_C06_P,Egypt_C11_M,Egypt_C11_F,Egypt_C11_P,Fiji_C01_M,Fiji_C01_F,Fiji_C01_P,Fiji_C06_M,Fiji_C06_F,Fiji_C06_P,Fiji_C11_M,Fiji_C11_F,Fiji_C11_P,For_Yu_Re_Ma_FYR_C01_M,For_Yu_Re_Ma_FYR_C01_F,For_Yu_Re_Ma_FYR_C01_P,For_Yu_Re_Ma_FYR_C06_M,For_Yu_Re_Ma_FYR_C06_F,For_Yu_Re_Ma_FYR_C06_P,For_Yu_Re_Ma_FYR_C11_M,For_Yu_Re_Ma_FYR_C11_F,For_Yu_Re_Ma_FYR_C11_P,Germany_C01_M,Germany_C01_F,Germany_C01_P,Germany_C06_M,Germany_C06_F,Germany_C06_P,Germany_C11_M,Germany_C11_F,Germany_C11_P,Greece_C01_M,Greece_C01_F,Greece_C01_P,Greece_C06_M,Greece_C06_F,Greece_C06_P,Greece_C11_M,Greece_C11_F,Greece_C11_P,Hon_Kon_SAR_Chi_2001_Cens_M,Hon_Kon_SAR_Chi_2001_Cens_F,Hon_Kon_SAR_Chi_2001_Cens_P,Hon_Kon_SAR_Chi_2006_Cens_M,Hon_Kon_SAR_Chi_2006_Cens_F,Hon_Kon_SAR_Chi_2006_Cens_P,Hon_Kon_SAR_Chi_2011_Cens_M,Hon_Kon_SAR_Chi_2011_Cens_F,Hon_Kon_SAR_Chi_2011_Cens_P,India_C01_M,India_C01_F,India_C01_P,India_C06_M,India_C06_F,India_C06_P,India_C11_M,India_C11_F,India_C11_P,Indonesia_C01_M,Indonesia_C01_F,Indonesia_C01_P,Indonesia_C06_M,Indonesia_C06_F,Indonesia_C06_P,Indonesia_C11_M,Indonesia_C11_F,Indonesia_C11_P,Iraq_C01_M,Iraq_C01_F,Iraq_C01_P,Iraq_C06_M,Iraq_C06_F,Iraq_C06_P,Iraq_C11_M,Iraq_C11_F,Iraq_C11_P,Ireland_C01_M,Ireland_C01_F,Ireland_C01_P,Ireland_C06_M,Ireland_C06_F,Ireland_C06_P,Ireland_C11_M,Ireland_C11_F,Ireland_C11_P,Italy_C01_M,Italy_C01_F,Italy_C01_P,Italy_C06_M,Italy_C06_F,Italy_C06_P,Italy_C11_M,Italy_C11_F,Italy_C11_P,Japan_C01_M,Japan_C01_F,Japan_C01_P,Japan_C06_M,Japan_C06_F,Japan_C06_P,Japan_C11_M,Japan_C11_F,Japan_C11_P,Kor_Repub_Sth_C01_M,Kor_Repub_Sth_C01_F,Kor_Repub_Sth_C01_P,Kor_Repub_Sth_C06_M,Kor_Repub_Sth_C06_F,Kor_Repub_Sth_C06_P,Kor_Repub_Sth_C11_M,Kor_Repub_Sth_C11_F,Kor_Repub_Sth_C11_P,Lebanon_C01_M,Lebanon_C01_F,Lebanon_C01_P,Lebanon_C06_M,Lebanon_C06_F,Lebanon_C06_P,Lebanon_C11_M,Lebanon_C11_F,Lebanon_C11_P,Malaysia_C01_M,Malaysia_C01_F,Malaysia_C01_P,Malaysia_C06_M,Malaysia_C06_F,Malaysia_C06_P,Malaysia_C11_M,Malaysia_C11_F,Malaysia_C11_P,Malta_C01_M,Malta_C01_F,Malta_C01_P,Malta_C06_M,Malta_C06_F,Malta_C06_P,Malta_C11_M,Malta_C11_F,Malta_C11_P,Netherlands_C01_M,Netherlands_C01_F
LGA10050,18325,19617,37942,19197,20462,39659,19337,20947,40284,6,6,12,3,5,8,5,6,11,0,0,0,0,0,0,0,3,3,19,14,33,31,14,45,30,21,51,19,13,32,18,19,37,36,35,71,26,19,45,19,29,48,21,22,43,9,6,15,10,10,20,16,10,26,18,14,32,22,19,41,25,17,42,0,0,0,5,0,5,0,0,0,154,151,305,131,148,279,128,153,281,41,40,81,37,35,72,32,28,60,12,10,22,12,10,22,18,7,25,38,30,68,49,42,91,205,152,357,4,4,8,6,3,9,8,16,24,4,3,7,0,5,5,0,0,0,18,26,44,26,21,47,42,29,71,60,55,115,58,53,111,44,48,92,4,8,12,7,7,14,5,6,11,5,9,14,3,14,17,19,18,37,12,9,21,17,5,22,18,10,28,14,16,30,7,24,31,7,20,27,11,3,14,12,3,15,7,7,14,121,115
LGA10110,9817,10739,20556,9652,10606,20258,9536,10527,20063,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,3,3,26,24,50,21,25,46,20,27,47,46,48,94,83,85,168,122,125,247,0,0,0,0,3,3,0,0,0,4,0,4,3,3,6,5,6,11,15,21,36,18,13,31,20,21,41,0,0,0,0,0,0,0,0,0,49,57,106,42,60,102,60,59,119,5,3,8,4,0,4,3,0,3,19,14,33,24,20,44,16,17,33,21,20,41,37,35,72,34,41,75,25,37,62,12,21,33,20,24,44,3,0,3,3,0,3,14,7,21,17,13,30,12,10,22,7,11,18,13,13,26,11,11,22,14,12,26,12,29,41,12,29,41,6,20,26,16,11,27,17,19,36,10,6,16,3,4,7,7,7,14,3,6,9,14,35,49,15,28,43,19,23,42,3,3,6,0,0,0,0,0,0,32,31
LGA10150,9121,10006,19127,9247,9915,19162,9860,10471,20331,15,9,24,9,10,19,11,8,19,21,20,41,14,15,29,11,13,24,25,40,65,20,28,48,28,58,86,1396,1590,2986,1777,2133,3910,1839,2296,4135,87,76,163,92,68,160,58,57,115,63,50,113,55,28,83,60,37,97,101,116,217,80,88,168,68,75,143,8,3,11,12,3,15,5,4,9,91,74,165,74,69,143,63,67,130,235,251,486,211,241,452,183,217,400,220,232,452,230,232,462,196,224,420,526,325,851,784,490,1274,788,610,1398,80,114,194,77,127,204,86,144,230,9,4,13,7,3,10,8,0,8,133,97,230,115,65,180,110,76,186,1141,1145,2286,952,1004,1956,829,921,1750,36,65,101,51,98,149,36,106,142,289,302,591,194,275,469,180,276,456,191,187,378,154,166,320,151,146,297,92,108,200,93,129,222,113,141,254,33,44,77,26,33,59,23,36,59,37,31
LGA10200,11670,10727,22397,12574,11222,23796,14034,12716,26750,108,120,228,107,101,208,93,96,189,76,89,165,70,94,164,85,92,177,12,13,25,20,9,29,36,26,62,2253,2283,4536,2912,3123,6035,3967,4338,8305,272,228,500,208,188,396,195,185,380,80,75,155,111,103,214,122,102,224,225,240,465,223,205,428,210,237,447,36,35,71,32,30,62,36,32,68,60,58,118,82,79,161,80,64,144,130,129,259,133,132,265,100,109,209,263,258,521,330,345,675,389,412,801,505,328,833,796,502,1298,1559,1093,2652,96,97,193,180,211,391,285,276,561,576,352,928,544,399,943,449,411,860,54,33,87,55,37,92,63,39,102,264,218,482,210,190,400,184,178,362,9,21,30,23,51,74,22,50,72,472,531,1003,871,901,1772,1478,1602,3080,1298,1136,2434,1193,1100,2293,1086,1043,2129,122,148,270,174,195,369,220,247,467,69,53,122,58,54,112,57,44,101,21,12
LGA10250,15430,16467,31897,15840,17083,32923,16065,17297,33362,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,3,3,33,35,68,33,36,69,38,45,83,12,19,31,11,24,35,17,35,52,5,6,11,3,8,11,5,11,16,5,6,11,0,5,5,0,4,4,11,17,28,9,18,27,17,19,36,3,0,3,0,0,0,4,0,4,64,65,129,71,76,147,71,81,152,8,6,14,5,4,9,4,4,8,10,15,25,12,16,28,11,16,27,16,14,30,22,23,45,29,27,56,3,4,7,10,12,22,9,17,26,0,0,0,0,3,3,3,0,3,28,24,52,29,20,49,27,31,58,50,33,83,63,38,101,61,33,94,7,12,19,10,22,32,16,33,49,3,4,7,3,3,6,8,8,16,0,3,3,3,0,3,3,0,3,15,17,32,10,15,25,18,21,39,11,15,26,13,12,25,15,18,33,70,63
LGA10300,1341,1098,2439,1183,1031,2214,1063,961,2024,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,3,5,8,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,4,0,4,0,3,3,5,0,5,3,3,6,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,29,33,62,31,28,59,19,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3
LGA10350,47462,49224,96686,47365,48946,96311,50635,51735,102370,102,104,206,103,109,212,118,117,235,143,152,295,134,161,295,138,172,310,49,43,92,31,57,88,45,49,94,1867,1961,3828,1965,2210,4175,2402,2810,5212,271,210,481,245,225,470,228,216,444,562,546,1108,607,565,1172,806,641,1447,461,513,974,448,540,988,502,623,1125,990,925,1915,879,854,1733,897,857,1754,347,425,772,306,373,679,272,348,620,1237,1198,2435,1204,1181,2385,1041,1093,2134,377,378,755,389,406,795,436,449,885,546,473,1019,644,562,1206,901,769,1670,257,258,515,281,324,605,445,542,987,213,149,362,343,309,652,574,513,1087,199,164,363,156,133,289,162,130,292,1180,1109,2289,1064,1011,2075,985,966,1951,25,55,80,34,64,98,34,82,116,539,560,1099,475,546,1021,452,550,1002,5489,5158,10647,6219,5846,12065,6644,6353,12997,183,242,425,208,253,461,238,295,533,232,263,495,218,236,454,209,226,435,110,122
LGA10470,14879,15296,30175,15727,15862,31589,16595,16760,33355,5,3,8,7,5,12,3,3,6,3,0,3,6,4,10,4,10,14,12,15,27,18,18,36,26,29,55,33,20,53,37,29,66,65,53,118,10,4,14,11,7,18,9,9,18,5,0,5,4,0,4,12,4,16,16,20,36,15,17,32,28,22,50,3,0,3,3,4,7,3,0,3,62,51,113,62,58,120,59,54,113,11,7,18,14,5,19,9,6,15,23,14,37,16,14,30,17,13,30,18,21,39,18,17,35,41,27,68,5,6,11,6,7,13,3,9,12,6,8,14,3,3,6,6,3,9,14,21,35,19,21,40,25,28,53,28,19,47,26,20,46,32,17,49,10,12,22,13,13,26,7,6,13,16,9,25,29,15,44,11,7,18,39,23,62,29,17,46,30,17,47,21,20,41,16,20,36,19,21,40,13,10,23,15,11,26,17,12,29,72,49
LGA10550,12461,12861,25322,12960,13396,26356,13052,13471,26523,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,14,31,22,27,49,24,29,53,11,10,21,15,13,28,14,11,25,12,10,22,13,12,25,13,9,22,9,5,14,12,3,15,6,7,13,4,5,9,4,7,11,9,9,18,0,3,3,0,0,0,3,0,3,112,127,239,115,126,241,117,136,253,9,8,17,7,9,16,5,8,13,6,6,12,3,5,8,4,5,9,11,9,20,15,15,30,17,18,35,6,3,9,5,3,8,8,6,14,0,0,0,3,0,3,0,3,3,25,24,49,26,19,45,26,26,52,41,22,63,44,20,64,66,33,99,6,11,17,6,13,19,11,11,22,0,4,4,3,5,8,3,5,8,3,0,3,0,3,3,3,0,3,8,7,15,6,12,18,10,16,26,23,19,42,22,19,41,22,19,41,121,129
LGA10600,5192,5177,10369,5036,5302,10338,5080,5343,10423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23,11,14,25,6,19,25,5,6,11,0,8,8,4,6,10,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,6,6,12,0,0,0,0,0,0,0,0,0,41,50,91,48,48,96,44,65,109,0,0,0,0,0,0,0,0,0,4,5,9,5,4,9,7,4,11,3,5,8,3,5,8,4,5,9,4,3,7,4,5,9,5,6,11,0,0,0,0,0,0,0,0,0,6,8,14,9,18,27,9,13,22,6,5,11,6,3,9,5,5,10,0,0,0,3,0,3,0,8,8,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,3,0,3,0,6,6,3,4,7,0,5,5,0,3,3,3,3,6,0,0,0,27,27
