region_id,C06_F_u_a_a_h_FH_One_PFam,C06_F_u_a_a_h_FH_oth_fa,C06_F_u_a_a_h_FH_Tot,C06_F_u_a_a_h_LP_H,C06_F_u_a_a_h_GH,C06_F_u_a_a_h_OH,C06_F_u_a_a_h_Tot,C06_F_u_a_T_FH_CF_no_ch,C06_F_u_a_T_FH_CF_w_ch,C06_F_u_a_T_FH_One_PFam,C06_F_u_a_T_FH_oth_fa,C06_F_u_a_T_FH_Tot,C06_F_u_a_T_LP_H,C06_F_u_a_T_GH,C06_F_u_a_T_OH,C06_F_u_a_T_Tot,C06_OD_C_c_hb_FH_CF_no_ch,C06_OD_C_c_hb_FH_CF_w_ch,C06_OD_C_c_hb_FH_One_PFam,C06_OD_C_c_hb_FH_oth_fa,C06_OD_C_c_hb_FH_Tot,C06_OD_C_c_hb_LP_H,C06_OD_C_c_hb_GH,C06_OD_C_c_hb_OH,C06_OD_C_c_hb_Tot,C06_OD_Ih_t_s_FH_CF_no_ch,C06_OD_Ih_t_s_FH_CF_w_ch,C06_OD_Ih_t_s_FH_One_PFam,C06_OD_Ih_t_s_FH_oth_fa,C06_OD_Ih_t_s_FH_Tot,C06_OD_Ih_t_s_LP_H,C06_OD_Ih_t_s_GH,C06_OD_Ih_t_s_OH,C06_OD_Ih_t_s_Tot,C06_OD_H_f_so_FH_CF_no_ch,C06_OD_H_f_so_FH_CF_w_ch,C06_OD_H_f_so_FH_One_PFam,C06_OD_H_f_so_FH_oth_fa,C06_OD_H_f_so_FH_Tot,C06_OD_H_f_so_LP_H,C06_OD_H_f_so_GH,C06_OD_H_f_so_OH,C06_OD_H_f_so_Tot,C06_OD_T_FH_CF_no_ch,C06_OD_T_FH_CF_w_ch,C06_OD_T_FH_One_PFam,C06_OD_T_FH_oth_fa,C06_OD_T_FH_Tot,C06_OD_Tot_LP_H,C06_OD_Tot_GH,C06_OD_Tot_OH,C06_OD_T_T,C06_DS_ns_FH_CF_no_ch,C06_DS_ns_FH_CF_w_ch,C06_DS_ns_FH_One_PFam,C06_DS_ns_FH_oth_fa,C06_DS_ns_FH_Tot,C06_DS_ns_LP_H,C06_DS_ns_GH,C06_DS_ns_OH,C06_DS_NS_T,C06_T_FH_CF_no_ch,C06_T_FH_CF_w_ch,C06_T_FH_One_PFam,C06_T_FH_oth_fa,C06_T_FH_Tot,C06_Tot_LP_H,C06_Tot_GH,C06_Tot_OH,C06_T_T,C11_S_h_FH_CF_no_ch,C11_S_h_FH_CF_w_ch,C11_S_h_FH_One_PFam,C11_S_h_FH_oth_fa,C11_S_h_FH_Tot,C11_S_h_LP_H,C11_S_h_GH,C11_S_h_OH,C11_S_h_Tot,C11_Sd_r_t_1_FH_CF_no_ch,C11_Sd_r_t_1_FH_CF_w_ch,C11_Sd_r_t_1_FH_One_PFam,C11_Sd_r_t_1_FH_oth_fa,C11_Sd_r_t_1_FH_Tot,C11_Sd_r_t_1_LP_H,C11_Sd_r_t_1_GH,C11_Sd_r_t_1_OH,C11_Sd_r_t_1_Tot,C11_Sd_r_t_2m_FH_CF_no_ch,C11_Sd_r_t_2m_FH_CF_w_ch,C11_Sd_r_t_2m_FH_One_PFam,C11_Sd_r_t_2m_FH_oth_fa,C11_Sd_r_t_2m_FH_Tot,C11_Sd_r_t_2m_LP_H,C11_Sd_r_t_2m_GH,C11_Sd_r_t_2m_OH,C11_Sd_r_t_2m_Tot,C11_Sd_r_t_T_FH_CF_no_ch,C11_Sd_r_t_T_FH_CF_w_ch,C11_Sd_r_t_T_FH_One_PFam,C11_Sd_r_t_T_FH_oth_fa,C11_Sd_r_t_T_FH_Tot,C11_Sd_r_t_T_LP_H,C11_Sd_r_t_T_GH,C11_Sd_r_t_T_OH,C11_Sd_r_t_T_Tot,C11_F_u_a_1_2_FH_CF_no_ch,C11_F_u_a_1_2_FH_CF_w_ch,C11_F_u_a_1_2_FH_One_PFam,C11_F_u_a_1_2_FH_oth_fa,C11_F_u_a_1_2_FH_Tot,C11_F_u_a_1_2_LP_H,C11_F_u_a_1_2_GH,C11_F_u_a_1_2_OH,C11_F_u_a_1_2_Tot,C11_F_u_a_3_FH_CF_no_ch,C11_F_u_a_3_FH_CF_w_ch,C11_F_u_a_3_FH_One_PFam,C11_F_u_a_3_FH_oth_fa,C11_F_u_a_3_FH_Tot,C11_F_u_a_3_LP_H,C11_F_u_a_3_GH,C11_F_u_a_3_OH,C11_F_u_a_3_Tot,C11_F_u_a_4m_FH_CF_no_ch,C11_F_u_a_4m_FH_CF_w_ch,C11_F_u_a_4m_FH_One_PFam,C11_F_u_a_4m_FH_oth_fa,C11_F_u_a_4m_FH_Tot,C11_F_u_a_4m_LP_H,C11_F_u_a_4m_GH,C11_F_u_a_4m_OH,C11_F_u_a_4m_Tot,C11_F_u_a_a_h_FH_CF_no_ch,C11_F_u_a_a_h_FH_CF_w_ch,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa
10101,4,0,15,12,0,0,27,118,40,62,9,229,594,47,88,958,31,24,5,0,60,107,10,105,282,9,9,0,0,18,6,0,30,54,30,21,8,0,59,47,8,7,121,70,54,13,0,137,160,18,142,457,5,4,5,0,14,7,0,4,25,7027,7380,2488,202,17097,6258,518,969,24842,7162,7309,2491,200,17162,5496,463,862,23983,152,87,96,6,341,569,32,41,983,20,12,17,0,49,25,5,5,84,172,99,113,6,390,594,37,46,1067,63,28,69,6,166,485,24,59,734,5,0,7,0,12,21,3,3,39,0,0,0,0,0,37,0,6,43,6,0,0,0,6,9,0,3,18,74,28,76,6,184,552,27,71,834,43,5,9,3,60,101,3,91,255,7,11,4,0,22,8,0,5,35,33,27,0,3,63,41,3,14,121,83,43,13,6,145,150,6,110,411,13,15,4,0,32,10,0,0,42,7504,7494,2697,218
10102,0,0,12,13,0,4,29,329,186,204,32,751,1424,113,314,2602,41,13,11,0,65,70,8,85,228,5,18,3,0,26,5,0,12,43,12,10,5,0,27,10,0,0,37,58,41,19,0,118,85,8,97,308,0,0,0,0,0,0,0,0,0,4461,6341,1795,157,12754,4451,456,1152,18813,4022,6165,1498,127,11812,2379,281,649,15121,341,216,165,16,738,684,66,75,1563,186,136,90,14,426,274,43,38,781,527,352,255,30,1164,958,109,113,2344,161,131,87,17,396,763,48,116,1323,149,70,58,8,285,459,41,104,889,84,33,27,10,154,188,22,66,430,11,5,0,0,16,24,0,6,46,405,239,172,35,851,1434,111,292,2688,44,17,12,3,76,83,3,105,267,8,9,0,0,17,9,3,0,29,11,11,4,0,26,21,3,11,61,63,37,16,3,119,113,9,116,357,8,3,0,0,11,5,0,0,16,5025,6796,1941,195
10103,0,0,14,17,0,16,47,77,33,12,3,125,265,37,629,1056,6,4,3,0,13,29,0,140,182,3,3,0,0,6,4,0,3,13,7,12,4,0,23,22,0,16,61,16,19,7,0,42,55,0,159,256,3,3,0,0,6,9,5,107,127,1990,1834,590,44,4458,1884,171,1730,8243,1898,1725,592,45,4260,1592,142,472,6466,74,56,24,0,154,172,11,37,374,21,24,6,0,51,38,15,109,213,95,80,30,0,205,210,26,146,587,50,26,20,3,99,166,34,214,513,11,9,3,0,23,14,4,40,81,0,0,4,0,4,5,0,16,25,0,0,0,0,0,4,0,6,10,61,35,27,3,126,189,38,276,629,12,4,0,0,16,32,6,141,195,3,0,0,0,3,9,0,7,19,6,6,3,0,15,12,0,12,39,21,10,3,0,34,53,6,160,253,15,10,3,0,28,42,0,458,528,2090,1860,655,48
10104,5,0,34,44,3,8,89,385,124,167,11,687,1050,88,154,1979,175,41,22,3,241,291,13,360,905,21,23,15,0,59,21,0,21,101,20,24,11,0,55,38,3,8,104,216,88,48,3,355,350,16,389,1110,3,3,0,0,6,14,0,8,28,9034,6400,2789,178,18401,6743,652,1366,27162,8569,5720,2436,139,16864,5250,534,1068,23716,308,67,113,11,499,635,32,73,1239,246,64,73,3,386,318,29,53,786,554,131,186,14,885,953,61,126,2025,392,112,185,17,706,1039,65,172,1982,16,6,6,0,28,32,0,3,63,0,0,0,0,0,0,0,0,0,9,3,6,0,18,52,0,12,82,417,121,197,17,752,1123,65,187,2127,129,29,17,0,175,249,9,361,794,5,10,3,0,18,20,0,20,58,34,12,11,0,57,32,4,10,103,168,51,31,0,250,301,13,391,955,6,5,3,0,14,11,0,8,33,9714,6028,2853,170
10201,17,0,51,89,6,13,159,1044,312,451,53,1860,2671,241,471,5243,62,33,35,3,133,360,17,72,582,0,0,0,0,0,23,0,7,30,9,8,11,0,28,34,6,8,76,71,41,46,3,161,417,23,87,688,9,4,6,0,19,22,0,19,60,15790,17954,7237,523,41504,15686,1649,3364,62203,12658,17135,5981,411,36185,9402,1136,1688,48411,1347,486,573,40,2446,2713,129,184,5472,831,597,512,46,1986,1276,172,221,3655,2178,1083,1085,86,4432,3989,301,405,9127,714,214,304,33,1265,1940,111,218,3534,227,64,101,9,401,482,58,110,1051,288,89,90,7,474,349,80,67,970,25,4,14,0,43,91,6,10,150,1254,371,509,49,2183,2862,255,405,5705,106,12,45,3,166,377,6,52,601,0,0,0,0,0,0,0,56,56,10,20,9,0,39,41,7,3,90,116,32,54,3,205,418,13,111,747,17,11,20,0,48,54,10,27,139,16223,18632,7649,549
10202,16,0,23,40,0,3,66,465,127,224,21,837,1667,81,199,2784,214,23,43,3,283,586,32,73,974,0,0,3,0,3,4,0,3,10,16,17,7,0,40,31,4,10,85,230,40,53,3,326,621,36,86,1069,5,6,0,0,11,4,0,4,19,14012,15424,7253,407,37096,13506,1462,1770,53834,12796,15140,7055,441,35432,9933,1213,1299,47877,808,355,494,37,1694,1696,97,92,3579,332,294,361,11,998,579,61,69,1707,1140,649,855,48,2692,2275,158,161,5286,365,86,196,15,662,1481,68,92,2303,78,42,73,8,201,193,15,69,478,142,55,82,8,287,240,37,79,643,15,5,11,0,31,55,9,6,101,600,188,362,31,1181,1969,129,246,3525,87,24,56,0,167,408,21,139,735,0,3,0,0,3,5,0,69,77,17,20,20,3,60,34,4,9,107,104,47,76,3,230,447,25,217,919,3,3,7,4,17,10,0,3,30,14643,16027,8355,527
10301,0,0,5,16,0,0,21,125,32,78,24,259,578,126,47,1010,11,8,5,0,24,39,0,21,84,3,0,3,0,6,3,0,0,9,14,10,4,0,28,34,11,6,79,28,18,12,0,58,76,11,27,172,4,16,11,3,34,8,0,3,45,3883,4575,1573,150,10181,3610,640,550,14981,3952,4517,1556,123,10148,2876,423,501,13948,137,82,120,13,352,425,65,57,899,41,30,29,3,103,72,21,24,220,178,112,149,16,455,497,86,81,1119,134,34,52,9,229,573,58,114,974,4,0,0,0,4,31,7,7,49,0,0,0,0,0,3,0,0,3,3,7,6,3,19,17,3,6,45,141,41,58,12,252,624,68,127,1071,6,3,4,3,16,31,0,20,67,0,3,0,0,3,3,0,11,17,7,0,0,0,7,14,0,0,21,13,6,4,3,26,48,0,31,105,5,4,4,0,13,12,4,5,34,4289,4680,1771,154
10302,0,0,6,16,4,5,31,121,36,57,4,218,712,30,63,1023,32,12,8,0,52,106,0,171,329,6,8,0,0,14,14,0,3,31,39,23,11,0,73,44,4,13,134,77,43,19,0,139,164,4,187,494,0,4,0,0,4,0,0,0,4,6368,6123,2217,181,14889,5873,410,723,21895,6141,5518,2149,188,13996,5129,412,789,20326,97,32,28,0,157,356,13,30,556,4,5,5,0,14,14,5,0,33,101,37,33,0,171,370,18,30,589,69,11,52,8,140,578,22,81,821,0,0,0,0,0,16,0,5,21,0,0,0,0,0,4,0,0,4,4,3,0,0,7,15,0,3,25,73,14,52,8,147,613,22,89,871,30,4,5,0,39,75,0,200,314,3,3,3,0,9,5,0,5,19,24,16,3,0,43,30,0,3,76,57,23,11,0,91,110,0,208,409,6,3,3,0,12,12,0,39,63,6378,5595,2248,196
10303,0,0,0,6,0,3,9,57,29,46,6,138,363,15,40,556,26,6,13,0,45,108,10,70,233,0,0,0,0,0,11,0,7,18,18,23,5,3,49,23,3,8,83,44,29,18,3,94,142,13,85,334,4,4,3,0,11,5,0,0,16,4668,4688,1741,158,11255,4448,353,811,16867,4672,4465,1677,159,10973,3861,346,705,15885,123,53,93,7,276,400,33,48,757,0,0,9,3,12,14,3,5,34,123,53,102,10,288,414,36,53,791,44,16,51,4,115,344,14,57,530,0,4,4,0,8,34,3,9,54,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,10,44,20,58,4,126,382,20,66,594,14,4,10,0,28,97,3,113,241,3,0,3,0,6,13,0,5,24,20,10,4,3,37,37,3,3,80,37,14,17,3,71,147,6,121,345,5,3,0,0,8,4,0,3,15,4881,4555,1854,176
10304,0,0,6,9,0,5,20,149,56,97,14,316,786,73,115,1290,12,8,10,0,30,66,0,22,118,3,3,0,0,6,3,0,0,9,15,11,12,3,41,26,3,9,79,30,22,22,3,77,95,3,31,206,0,0,0,0,0,6,0,0,6,4966,5920,2097,184,13167,4721,498,716,19102,5024,6050,2074,166,13314,3872,444,652,18282,168,78,130,17,393,563,38,92,1086,14,3,8,3,28,43,4,8,83,182,81,138,20,421,606,42,100,1169,100,28,46,8,182,609,38,110,939,0,3,3,0,6,18,0,7,31,4,0,3,0,7,16,0,5,28,3,3,3,0,9,10,0,5,24,107,34,55,8,204,653,38,127,1022,7,5,0,0,12,70,0,79,161,3,4,0,0,7,9,0,11,27,8,10,5,0,23,35,10,8,76,18,19,5,0,42,114,10,98,264,7,0,3,0,10,9,0,5,24,5338,6184,2275,194
