region_id,C01_Se_h_NPUR_1,C01_Se_h_NPUR_2,C01_Se_h_NPUR_3,C01_Se_h_NPUR_4,C01_Se_h_NPUR_5,C01_Se_h_NPUR_6more,C01_Se_h_Tot,C01_SDRTHT1S_NPUR_1,C01_SDRTHT1S_NPUR_2,C01_SDRTHT1S_NPUR_3,C01_SDRTHT1S_NPUR_4,C01_SDRTHT1S_NPUR_5,C01_SDRTHT1S_NPUR_6mo,C01_SDRTHT1S_To,C01_SDRTHT2S_NPUR_1,C01_SDRTHT2S_NPUR_2,C01_SDRTHT2S_NPUR_3,C01_SDRTHT2S_NPUR_4,C01_SDRTHT2S_NPUR_5,C01_SDRTHT2S_NPUR_6mo,C01_SDRTHT2S_To,C01_SDRTHT_NPUR_1,C01_SDRTHT_NPUR_2,C01_SDRTHT_NPUR_3,C01_SDRTHT_NPUR_4,C01_SDRTHT_NPUR_5,C01_SDRTHT_NPUR_6mor,C01_SDRTHT_Tot,C01_FUA_1_2SB_NPUR_1,C01_FUA_1_2SB_NPUR_2,C01_FUA_1_2SB_NPUR_3,C01_FUA_1_2SB_NPUR_4,C01_FUA_1_2SB_NPUR_5,C01_FUA_1_2SB_NPUR_6mor,C01_FUA_1_2SB_Tot,C01_FUA_I_a_3SB_NPUR_1,C01_FUA_I_a_3SB_NPUR_2,C01_FUA_I_a_3SB_NPUR_3,C01_FUA_I_a_3SB_NPUR_4,C01_FUA_I_a_3SB_NPUR_5,C01_FUA_I_a_3SB_NPUR_6m,C01_FUA_In_a_3SB_To,C01_FUA_4mor_s_b_NPUR_1,C01_FUA_4mor_s_b_NPUR_2,C01_FUA_4mor_s_b_NPUR_3,C01_FUA_4mor_s_b_NPUR_4,C01_FUA_4mor_s_b_NPUR_5,C01_FUA_4m_s_b_NPUR_6mor,C01_FUA_4mor_st_bl_Tot,C01_FUA_AH_NPUR_1,C01_FUA_AH_NPUR_2,C01_FUA_AH_NPUR_3,C01_FUA_AH_NPUR_4,C01_FUA_AH_NPUR_5,C01_FUA_AH_NPUR_6mo,C01_FUA_AH_Tot,C01_FUA_To_NPUR_1,C01_FUA_To_NPUR_2,C01_FUA_To_NPUR_3,C01_FUA_To_NPUR_4,C01_FUA_To_NPUR_5,C01_FUA_To_NPUR_6mo,C01_FUA_To_To,C01_OD_CCH_NPUR_1,C01_OD_CCH_NPUR_2,C01_OD_CCH_NPUR_3,C01_OD_CCH_NPUR_4,C01_OD_CCH_NPUR_5,C01_OD_CCH_NPUR_6mo,C01_OD_CCH_Tot,C01_OD_IHTSO_NPUR_1,C01_OD_IHTSO_NPUR_2,C01_OD_IHTSO_NPUR_3,C01_OD_IHTSO_NPUR_4,C01_OD_IHTSO_NPUR_5,C01_OD_IHTSO_NPUR_6mo,C01_OD_IHTSO_Tot,C01_OD_H_f_a_s_o_NPUR_1,C01_OD_H_f_a_s_o_NPUR_2,C01_OD_H_f_a_s_o_NPUR_3,C01_OD_H_f_a_s_o_NPUR_4,C01_OD_H_f_a_s_o_NPUR_5,C01_OD_H_f_a_s_o_NPUR_6mor,C01_OD_H_f_a_s_o_TO,C01_OD_Tot_NPUR_1,C01_OD_Tot_NPUR_2,C01_OD_Tot_NPUR_3,C01_OD_Tot_NPUR_4,C01_OD_Tot_NPUR_5,C01_OD_Tot_NPUR_6mor,C01_OD_T_T,C01_DS_ns_NPUR_1,C01_DS_ns_NPUR_2,C01_DS_ns_NPUR_3,C01_DS_ns_NPUR_4,C01_DS_ns_NPUR_5,C01_DS_ns_NPUR_6more,C01_Dwg_st_NS_T,C01_Tot_NPUR_1,C01_Tot_NPUR_2,C01_Tot_NPUR_3,C01_Tot_NPUR_4,C01_Tot_NPUR_5,C01_Tot_NPUR_6more,C01_T_T,C06_Se_h_NPUR_1,C06_Se_h_NPUR_2,C06_Se_h_NPUR_3,C06_Se_h_NPUR_4,C06_Se_h_NPUR_5,C06_Se_h_NPUR_6more,C06_Se_h_Tot,C06_S_r_t_h_t_1_s_NPUR_1,C06_S_r_t_h_t_1_s_NPUR_2,C06_S_r_t_h_t_1_s_NPUR_3,C06_S_r_t_h_t_1_s_NPUR_4,C06_S_r_t_h_t_1_s_NPUR_5,C06_S_r_t_h_t_1_s_NPUR_6mo,C06_SDRTHTS_To,C06_S_r_t_h_t_2mor_s_NPUR_1,C06_S_r_t_h_t_2mor_s_NPUR_2,C06_S_r_t_h_t_2mor_s_NPUR_3,C06_S_r_t_h_t_2mor_s_NPUR_4,C06_S_r_t_h_t_2mor_s_NPUR_5,C06_SDRTHT2S_NPUR_6mo,C06_SDRTHT2S_To,C06_Sd_r_t_h_t_To_NPUR_1,C06_Sd_r_t_h_t_To_NPUR_2,C06_Sd_r_t_h_t_To_NPUR_3,C06_Sd_r_t_h_t_To_NPUR_4,C06_Sd_r_t_h_t_To_NPUR_5,C06_SDRTHT_NPUR_6mor,C06_Sd_r_t_h_t_To_Tot,C06_Fl_u_a_1_2SB_NPUR_1,C06_Fl_u_a_1_2SB_NPUR_2,C06_Fl_u_a_1_2SB_NPUR_3,C06_Fl_u_a_1_2SB_NPUR_4,C06_Fl_u_a_1_2SB_NPUR_5,C06_F_u_a_1_2SB_NPUR_6mor,C06_FUA_1_2SB_Tot,C06_F_u_a_I_a_3SB_NPUR_1,C06_F_u_a_I_a_3SB_NPUR_2,C06_F_u_a_I_a_3SB_NPUR_3,C06_F_u_a_I_a_3SB_NPUR_4,C06_F_u_a_I_a_3SB_NPUR_5,C06_F_u_a_I_a_3SB_NPUR_6m,C06_FUA_In_a_3_st_b_To,C06_F_u_a_4mor_s_b_NPUR_1,C06_F_u_a_4mor_s_b_NPUR_2,C06_F_u_a_4mor_s_b_NPUR_3,C06_F_u_a_4mor_s_b_NPUR_4,C06_F_u_a_4mor_s_b_NPUR_5,C06_F_u_a_4m_s_b_NPUR_6mor,C06_FUA_4mor_st_bl_Tot,C06_FUA_AH_NPUR_1,C06_FUA_AH_NPUR_2,C06_FUA_AH_NPUR_3,C06_FUA_AH_NPUR_4,C06_FUA_AH_NPUR_5,C06_FUA_AH_NPUR_6mo,C06_FUA_AH_Tot,C06_FUA_To_NPUR_1,C06_FUA_To_NPUR_2,C06_FUA_To_NPUR_3,C06_FUA_To_NPUR_4,C06_FUA_To_NPUR_5,C06_FUA_To_NPUR_6mo,C06_FUA_To_To,C06_OD_CCH_NPUR_1,C06_OD_CCH_NPUR_2,C06_OD_CCH_NPUR_3,C06_OD_CCH_NPUR_4,C06_OD_CCH_NPUR_5,C06_OD_CCH_NPUR_6mo,C06_OD_CCH_Tot,C06_OD_IHTSO_NPUR_1,C06_OD_IHTSO_NPUR_2,C06_OD_IHTSO_NPUR_3,C06_OD_IHTSO_NPUR_4,C06_OD_IHTSO_NPUR_5,C06_OD_IHTSO_NPUR_6mo,C06_OD_IHTSO_Tot,C06_OD_H_f_a_s_o_NPUR_1,C06_OD_H_f_a_s_o_NPUR_2,C06_OD_H_f_a_s_o_NPUR_3,C06_OD_H_f_a_s_o_NPUR_4,C06_OD_H_f_a_s_o_NPUR_5,C06_OD_H_f_a_s_o_NPUR_6mor,C06_OD_H_f_a_s_o_TO,C06_OD_Tot_NPUR_1,C06_OD_Tot_NPUR_2,C06_OD_Tot_NPUR_3,C06_OD_Tot_NPUR_4,C06_OD_Tot_NPUR_5,C06_OD_Tot_NPUR_6mor,C06_OD_T_T,C06_DS_ns_NPUR_1,C06_DS_ns_NPUR_2,C06_DS_ns_NPUR_3,C06_DS_ns_NPUR_4
10101,4338,7368,3101,3134,1541,746,20228,382,209,59,35,16,3,704,43,37,21,10,0,0,111,425,246,80,45,16,3,815,554,190,38,18,9,3,812,52,10,3,0,0,0,65,0,0,0,0,0,0,0,20,8,3,0,0,0,31,626,208,44,18,9,3,908,92,38,6,0,3,0,139,13,11,0,0,0,3,27,53,53,26,18,13,3,166,158,102,32,18,16,6,332,39,46,13,18,6,7,129,5586,7970,3270,3233,1588,765,22412,4997,8031,3239,3121,1652,698,21738,432,211,75,41,15,5,779,69,50,14,14,0,3,150,501,261,89,55,15,8,929,529,186,36,12,7,3,773,55,13,0,0,0,0,68,0,0,0,0,0,0,0,11,10,0,4,0,0,25,595,209,36,16,7,3,866,105,41,13,9,5,3,176,7,11,3,6,0,0,27,45,38,7,14,8,3,115,157,90,23,29,13,6,318,8,7,0,4
10102,1814,3814,2085,2439,1160,487,11799,483,378,126,60,25,3,1075,257,171,63,27,9,3,530,740,549,189,87,34,6,1605,812,301,67,34,7,0,1221,444,152,55,24,3,0,678,158,63,24,8,3,0,256,29,13,5,3,3,0,53,1443,529,151,69,16,0,2208,44,34,4,4,3,0,89,6,8,3,0,0,0,17,25,24,9,10,4,3,75,75,66,16,14,7,3,181,30,20,6,13,5,0,74,4102,4978,2447,2622,1222,496,15867,2169,4344,2388,2788,1228,526,13443,535,444,142,63,17,4,1205,236,170,71,24,10,3,514,771,614,213,87,27,7,1719,838,343,90,41,8,0,1320,326,133,36,18,3,0,516,248,122,33,10,5,3,421,12,9,5,0,0,3,29,1424,607,164,69,16,6,2286,71,47,9,8,4,0,139,5,5,9,10,3,3,35,9,19,3,3,0,3,37,85,71,21,21,7,6,211,0,0,0,0
10103,1315,1993,791,837,356,146,5438,59,20,13,6,0,3,101,29,28,6,7,3,3,76,88,48,19,13,3,6,177,257,109,41,18,11,3,439,21,36,14,9,0,0,80,0,0,0,0,0,0,0,15,8,0,0,0,0,23,293,153,55,27,11,3,542,30,18,5,0,3,0,56,9,3,0,0,0,3,15,8,13,4,5,3,0,33,47,34,9,5,6,3,104,14,17,8,9,3,0,51,1757,2245,882,891,379,158,6312,1469,2225,822,813,326,142,5797,63,27,10,7,0,3,110,21,25,7,6,0,0,59,84,52,17,13,0,3,169,224,77,22,20,3,0,346,24,20,4,0,0,0,48,0,0,0,0,3,0,3,18,8,3,3,0,0,32,266,105,29,23,6,0,429,29,6,3,3,3,0,44,4,3,0,0,0,0,7,21,13,9,0,3,0,46,54,22,12,3,6,0,97,10,8,0,0
10104,4218,8239,2802,2678,1290,605,19832,415,325,58,17,13,3,831,313,306,82,43,35,7,786,728,631,140,60,48,10,1617,784,453,90,38,15,4,1384,24,17,3,0,0,0,44,0,3,0,0,0,0,3,59,31,6,0,0,0,96,867,504,99,38,15,4,1527,302,215,42,24,9,3,595,12,14,0,3,3,3,35,47,79,35,19,7,3,190,361,308,77,46,19,9,820,44,37,14,11,7,0,113,6218,9719,3132,2833,1379,628,23909,4693,9398,3060,2811,1237,613,21812,435,385,63,43,11,11,948,201,193,44,31,3,0,472,636,578,107,74,14,11,1420,977,536,112,37,12,10,1684,17,8,4,0,0,0,29,12,15,0,0,0,0,27,45,25,11,3,0,0,84,1051,584,127,40,12,10,1824,291,204,19,16,11,3,544,22,29,6,13,6,3,79,37,25,12,10,9,3,96,350,258,37,39,26,9,719,14,3,0,3
10201,8098,15103,7667,8494,4020,1562,44944,2293,1849,351,177,51,17,4738,742,797,295,145,68,24,2071,3035,2646,646,322,119,41,6809,1795,1006,173,69,27,7,3077,304,201,44,11,0,0,560,162,174,29,3,3,0,371,151,82,16,6,5,0,260,2412,1463,262,89,35,7,4268,762,399,50,16,7,0,1234,12,0,3,3,0,0,18,39,38,9,4,6,0,96,813,437,62,23,13,0,1348,424,277,45,40,18,7,811,14782,19926,8682,8968,4205,1617,58180,9155,15746,7507,8203,3803,1398,45812,2188,1683,325,178,60,9,4443,1235,1181,376,258,86,33,3169,3423,2864,701,436,146,42,7612,2014,987,216,98,22,6,3343,323,293,56,21,3,3,699,247,257,56,19,3,3,585,88,30,11,9,3,3,144,2672,1567,339,147,31,15,4771,361,97,27,15,6,3,509,21,3,0,0,0,0,24,34,20,5,6,0,3,68,416,120,32,21,6,6,601,21,17,4,0
10202,8253,14460,6623,7117,3273,1442,41168,1366,1010,272,109,51,13,2821,469,414,153,88,36,10,1170,1835,1424,425,197,87,23,3991,1110,459,74,32,6,3,1684,71,27,7,0,0,0,105,73,60,12,4,3,0,152,101,44,16,9,3,3,176,1355,590,109,45,12,6,2117,742,366,45,16,3,0,1172,3,5,0,0,0,0,8,40,35,14,8,4,3,104,785,406,59,24,7,3,1284,313,122,26,28,7,6,502,12541,17002,7242,7411,3386,1480,49062,9209,15536,7232,7328,3414,1526,44245,1530,989,238,135,52,18,2962,474,484,176,101,28,9,1272,2004,1473,414,236,80,27,4234,1385,491,111,39,21,4,2051,138,74,18,4,0,0,234,105,103,16,10,0,0,234,40,16,10,0,0,0,66,1668,684,155,53,21,4,2585,588,277,19,11,3,0,898,3,3,0,0,0,0,6,31,30,9,5,5,0,80,622,310,28,16,8,0,984,4,9,0,4
10301,2079,3942,1939,2042,993,481,11476,292,188,80,25,11,7,603,45,51,32,19,4,5,156,337,239,112,44,15,12,759,695,294,46,16,5,3,1059,27,9,4,0,0,3,43,0,0,0,0,0,0,0,26,4,3,3,0,3,39,748,307,53,19,5,9,1141,27,13,3,0,0,0,43,4,4,0,0,0,0,8,52,37,12,12,4,3,120,83,54,15,12,4,3,171,21,19,12,7,4,0,63,3268,4561,2131,2124,1021,505,13610,2538,4390,1983,2061,963,445,12380,370,236,79,40,20,8,753,40,55,32,18,3,0,148,410,291,111,58,23,8,901,535,281,53,21,3,3,896,29,9,3,0,0,3,44,0,0,0,0,0,0,0,15,5,0,0,0,0,20,579,295,56,21,3,6,960,39,14,6,3,3,0,65,3,3,3,0,0,0,9,34,20,8,6,3,0,71,76,37,17,9,6,0,145,8,9,12,10
10302,4355,6943,2817,2756,1601,789,19261,217,75,21,7,4,3,327,6,14,0,0,0,3,23,223,89,21,7,4,6,350,713,190,39,13,10,4,969,22,5,0,0,0,0,27,3,0,0,0,0,0,3,20,5,3,0,0,0,28,758,200,42,13,10,4,1027,99,30,6,0,6,0,141,5,3,3,3,0,0,14,45,58,19,18,10,7,157,149,91,28,21,16,7,312,29,26,12,11,11,4,93,5514,7349,2920,2808,1642,810,21043,4708,7374,2718,2430,1472,744,19446,270,93,28,18,8,5,422,19,9,5,0,0,0,33,289,102,33,18,8,5,455,685,174,29,18,12,3,921,12,3,0,0,0,0,15,0,0,0,0,0,0,0,15,5,5,0,0,0,25,712,182,34,18,12,3,961,107,38,5,4,0,3,157,12,5,5,4,0,0,26,45,46,12,14,3,3,123,164,89,22,22,3,6,306,0,0,0,4
10303,3122,4882,2199,2141,1167,504,14015,256,128,39,39,7,5,474,41,28,9,4,0,3,85,297,156,48,43,7,8,559,369,125,27,11,3,3,538,12,5,0,0,0,0,17,0,0,0,0,0,0,0,9,4,3,3,0,0,19,390,134,30,14,3,3,574,131,40,12,4,5,3,195,3,3,0,0,0,0,6,43,49,19,10,7,4,132,177,92,31,14,12,7,333,55,33,16,14,9,3,130,4041,5297,2324,2226,1198,525,15611,3592,5415,2137,2056,1013,437,14650,311,157,58,25,10,5,566,34,17,0,4,5,0,60,345,174,58,29,15,5,626,335,91,19,12,0,4,461,23,15,3,7,0,0,48,0,0,0,0,0,0,0,5,0,0,0,0,0,5,363,106,22,19,0,4,514,109,36,6,3,0,3,157,8,3,4,0,3,0,18,25,28,7,6,6,3,75,142,67,17,9,9,6,250,3,9,3,0
10304,3070,5308,2560,2693,1383,661,15675,461,213,73,33,10,6,796,49,30,11,4,4,3,101,510,243,84,37,14,9,897,598,179,43,18,3,4,845,35,13,0,0,0,0,48,0,0,0,0,0,0,0,37,11,4,0,0,0,52,670,203,47,18,3,4,945,52,15,5,0,0,3,75,3,3,0,0,0,0,6,47,38,11,16,6,0,118,102,56,16,16,6,3,199,46,29,9,13,7,0,104,4398,5839,2716,2777,1413,677,17820,3582,5835,2579,2621,1319,616,16552,230,137,33,17,7,0,424,24,21,3,4,0,4,56,254,158,36,21,7,4,480,717,255,50,29,8,0,1059,21,12,0,3,0,0,36,38,18,4,0,0,0,60,7,3,5,0,0,0,15,783,288,59,32,8,0,1170,64,20,6,3,3,0,96,4,4,0,0,0,0,8,27,24,9,6,3,4,73,95,48,15,9,6,4,177,4,0,3,0
