region_id,C06_CFNC_BF_3000_mr,C06_CFNC_BF_Ns,C06_CFNC_BF_Tot,C06_CFNC_BPT_N,C06_CFNC_BPT_1_199,C06_CFNC_BPT_200_399,C06_CFNC_BPT_400_599,C06_CFNC_BPT_600_799,C06_CFNC_BPT_800_999,C06_CFNC_BPT_1000_1499,C06_CFNC_BPT_1500_1999,C06_CFNC_BPT_2000_2499,C06_CFNC_BPT_2500_2999,C06_CFNC_BPT_3000m,C06_CFNC_BPT_Ns,C06_CFNC_BPT_Tot,C06_CFNC_1F1P_N,C06_CFNC_1F1P_1_199,C06_CFNC_1F1P_200_399,C06_CFNC_1F1P_400_599,C06_CFNC_1F1P_600_799,C06_CFNC_1F1P_800_999,C06_CFNC_1F1P_1000_1499,C06_CFNC_1F1P_1500_1999,C06_CFNC_1F1P_2000_2499,C06_CFNC_1F1P_2500_2999,C06_CFNC_1F1P_3000m,C06_CFNC_1F1P_Ns,C06_CFNC_1F1P_Tot,C06_CFNC_1E1A_N,C06_CFNC_1E1A_1_199,C06_CFNC_1E1A_200_399,C06_CFNC_1E1A_400_599,C06_CFNC_1E1A_600_799,C06_CFNC_1E1A_800_999,C06_CFNC_1E1A_1000_1499,C06_CFNC_1E1A_1500_1999,C06_CFNC_1E1A_2000_2499,C06_CFNC_1E1A_2500_2999,C06_CFNC_1E1A_3000m,C06_CFNC_1E1A_Ns,C06_CFNC_1E1A_Tot,C06_CFNC_1F1NW_N,C06_CFNC_1F1NW_1_199,C06_CFNC_1F1NW_200_399,C06_CFNC_1F1NW_400_599,C06_CFNC_1F1NW_600_799,C06_CFNC_1F1NW_800_999,C06_CFNC_1F1NW_1000_1499,C06_CFNC_1F1NW_1500_1999,C06_CFNC_1F1NW_2000_2499,C06_CFNC_1F1NW_2500_2999,C06_CFNC_1F1NW_i3000m,C06_CFNC_1F1NW_Ns,C06_CFNC_1F1NW_Tot,C06_CFNC_1P1NW_N,C06_CFNC_1P1NW_1_199,C06_CFNC_1P1NW_200_399,C06_CFNC_1P1NW_400_599,C06_CFNC_1P1NW_600_799,C06_CFNC_1P1NW_800_999,C06_CFNC_1P1NW_1000_1499,C06_CFNC_1P1NW_1500_1999,C06_CFNC_1P1NW_2000_2499,C06_CFNC_1P1NW_2500_2999,C06_CFNC_1P1NW_3000_mr,C06_CFNC_1P1NW_Ns,C06_CFNC_1P1NW_T,C06_CFNC_1A1NW_N,C06_CFNC_1A1NW_1_199,C06_CFNC_1A1NW_200_399,C06_CFNC_1A1NW_400_599,C06_CFNC_1A1NW_600_799,C06_CFNC_1A1NW_800_999,C06_CFNC_1A1NW_1000_1499,C06_CFNC_1A1NW_1500_1999,C06_CFNC_1A1NW_2000_2499,C06_CFNC_1A1NW_2500_2999,C06_CFNC_1A1NW_3000_mr,C06_CFNC_1A1NW_Ns,C06_CFNC_1A1NW_Tot,C06_CFNC_BA_N,C06_CFNC_BA_1_199,C06_CFNC_BA_200_399,C06_CFNC_BA_400_599,C06_CFNC_BA_600_799,C06_CFNC_BA_800_999,C06_CFNC_BA_1000_1499,C06_CFNC_BA_1500_1999,C06_CFNC_BA_2000_2499,C06_CFNC_BA_2500_2999,C06_CFNC_BA_3000_mr,C06_CFNC_BA_Ns,C06_CFNC_BA_Tot,C06_CFNC_BNW_Ne_Nil,C06_CFNC_BNW_1_199,C06_CFNC_BNW_200_399,C06_CFNC_BNW_400_599,C06_CFNC_BNW_600_799,C06_CFNC_BNW_800_999,C06_CFNC_BNW_1000_1499,C06_CFNC_BNW_1500_1999,C06_CFNC_BNW_2000_2499,C06_CFNC_BNW_2500_2999,C06_CFNC_BNW_3000mr,C06_CFNC_BNW_Ns,C06_CFNC_BNW_T,C06_CFNC_LFns_N,C06_CFNC_LFns_1_199,C06_CFNC_LFns_200_399,C06_CFNC_LFns_400_599,C06_CFNC_LFns_600_799,C06_CFNC_LFns_800_999,C06_CFNC_LFns_1000_1499,C06_CFNC_LFns_1500_1999,C06_CFNC_LFns_2000_2499,C06_CFNC_LFns_2500_2999,C06_CFNC_LFns_3000m,C06_CFNC_LFns_Ns,C06_CFNC_LFns_T,C06_CFNC_T_N,C06_CFNC_T_1_199,C06_CFNC_T_200_399,C06_CFNC_T_400_599,C06_CFNC_T_600_799,C06_CFNC_T_800_999,C06_CFNC_T_1000_1499,C06_CFNC_T_1500_1999,C06_CFNC_T_2000_2499,C06_CFNC_T_2500_2999,C06_CFNC_T_3000m,C06_CFNC_T_Ns,C06_CFNC_T_T,C06_CFC_BFT_N,C06_CFC_BFT_1_199,C06_CFC_BFT_200_399,C06_CFC_BFT_400_599,C06_CFC_BFT_600_799,C06_CFC_BFT_800_999,C06_CFC_BFT_1000_1499,C06_CFC_BFT_1500_1999,C06_CFC_BFT_2000_2499,C06_CFC_BFT_2500_2999,C06_CFC_BFT_3000_mr,C06_CFC_BFT_Ns,C06_CFC_BFT_Tot,C06_CFC_BPT_N,C06_CFC_BPT_1_199,C06_CFC_BPT_200_399,C06_CFC_BPT_400_599,C06_CFC_BPT_600_799,C06_CFC_BPT_800_999,C06_CFC_BPT_1000_1499,C06_CFC_BPT_1500_1999,C06_CFC_BPT_2000_2499,C06_CFC_BPT_2500_2999,C06_CFC_BPT_3000m,C06_CFC_BPT_Ns,C06_CFC_BPT_T,C06_CFC_1F1P_N,C06_CFC_1F1P_1_199,C06_CFC_1F1P_200_399,C06_CFC_1F1P_400_599,C06_CFC_1F1P_600_799,C06_CFC_1F1P_800_999,C06_CFC_1F1P_1000_1499,C06_CFC_1F1P_1500_1999,C06_CFC_1F1P_2000_2499,C06_CFC_1F1P_2500_2999,C06_CFC_1F1P_3000m,C06_CFC_1F1P_Ns,C06_CFC_1F1P_Tot,C06_CF_1E1A_N,C06_CF_1E1A_1_199,C06_CF_1E1A_200_399,C06_CF_1E1A_400_599,C06_CF_1E1A_600_799,C06_CF_1E1A_800_999,C06_CF_1E1A_1000_1499,C06_CF_1E1A_1500_1999,C06_CF_1E1A_2000_2499,C06_CF_1E1A_2500_2999,C06_CF_1E1A_3000m,C06_CF_1E1A_Ns,C06_CF_1E1A_T,C06_CF_1F1NW_N,C06_CF_1F1NW_1_199,C06_CF_1F1NW_200_399,C06_CF_1F1NW_400_599,C06_CF_1F1NW_600_799,C06_CF_1F1NW_800_999,C06_CF_1F1NW_1000_1499,C06_CF_1F1NW_1500_1999,C06_CF_1F1NW_2000_2499,C06_CF_1F1NW_2500_2999,C06_CF_1F1NW_3000mo,C06_CF_1F1NW_Ns,C06_CF_1F1NW_T,C06_CF_1P1NW_N,C06_CF_1P1NW_1_199
10101,161,43,1538,0,3,10,31,48,26,109,28,11,12,16,3,297,8,3,21,45,76,83,398,155,81,36,51,17,974,3,0,5,8,19,14,51,36,17,17,14,4,188,7,10,23,110,121,96,201,65,28,28,23,40,752,5,8,42,121,82,40,83,24,16,8,7,11,447,0,5,3,14,11,9,19,4,0,3,0,11,79,9,0,0,8,9,8,24,9,7,3,7,6,90,64,107,70,1084,417,91,250,22,15,18,10,100,2248,9,4,4,32,20,4,13,5,0,0,0,446,537,140,154,188,1494,875,424,1608,645,408,244,289,681,7150,9,0,10,26,45,39,316,358,272,186,214,241,1716,0,0,0,18,24,24,70,33,16,5,12,26,228,11,0,8,33,82,140,771,493,218,138,129,172,2195,0,4,3,3,12,14,102,73,47,25,23,54,360,6,11,15,84,188,196,436,151,43,56,27,122,1335,5,0
10102,273,23,1487,0,0,3,9,12,21,51,21,12,5,11,6,151,0,0,6,13,24,45,222,146,71,50,76,7,660,3,3,3,3,3,6,23,28,19,18,18,6,133,3,0,7,34,62,61,136,69,29,42,22,15,480,0,4,20,40,25,16,54,16,14,7,3,3,202,0,0,0,6,4,10,20,5,3,4,0,3,55,0,0,0,4,3,3,5,13,14,9,9,5,65,17,34,26,441,161,63,185,39,17,11,8,39,1041,3,0,0,9,6,3,8,3,0,3,3,289,327,32,49,68,574,312,246,993,638,514,356,423,396,4601,3,5,3,0,13,16,192,291,375,309,482,185,1874,3,0,0,10,7,14,42,31,26,12,21,18,184,3,0,8,7,40,55,417,402,301,182,287,154,1856,0,0,3,3,5,11,57,59,72,53,63,37,363,3,0,7,31,65,125,335,161,44,157,54,75,1057,3,0
10103,25,9,470,4,0,3,12,24,9,36,5,0,3,0,3,99,6,0,3,15,28,22,158,56,15,13,12,6,334,0,0,0,3,10,4,22,11,6,0,0,0,56,0,0,5,18,30,16,46,32,0,14,5,4,170,0,4,9,34,28,7,41,3,4,0,3,7,140,0,0,3,6,3,0,3,3,0,0,3,0,21,0,4,3,0,3,3,5,3,0,0,3,3,27,8,29,12,264,104,31,62,4,6,4,3,20,547,3,0,3,8,7,0,3,0,0,0,0,126,150,26,44,41,375,254,106,545,233,91,67,54,178,2014,0,7,7,10,10,10,129,103,63,23,42,62,466,0,0,0,8,9,10,26,8,0,0,0,9,70,0,0,0,12,21,44,196,129,62,39,23,49,575,0,0,0,5,0,0,27,24,9,5,3,4,77,0,0,0,33,36,41,85,44,9,24,8,29,309,0,0
10104,35,23,990,3,6,13,51,85,51,127,35,8,5,10,13,407,3,0,7,35,77,92,407,124,80,17,32,11,885,0,0,5,10,13,10,69,28,15,10,6,4,170,4,3,17,100,117,76,178,38,10,26,8,31,608,3,11,56,211,122,66,117,25,12,0,0,22,645,3,0,11,13,21,12,21,11,0,3,3,9,107,0,0,0,4,6,7,20,8,6,0,4,8,63,59,127,133,1956,994,276,726,102,59,21,22,143,4618,3,3,4,47,18,8,21,3,0,0,5,554,666,92,162,254,2467,1523,631,2090,558,307,132,125,818,9159,4,5,10,33,48,38,309,212,140,73,55,138,1065,0,6,8,49,69,58,130,48,19,3,6,47,443,6,4,15,42,112,152,650,354,137,69,46,169,1756,3,5,3,12,24,18,73,41,16,15,3,38,251,0,0,18,78,154,183,350,108,17,38,9,111,1066,5,4
10201,295,50,2926,4,3,13,43,71,54,219,68,33,13,20,15,556,4,3,5,27,62,157,720,367,230,91,118,30,1814,0,4,4,13,15,23,128,83,43,26,25,22,386,8,4,14,100,164,204,440,165,54,120,34,61,1368,6,10,47,213,160,99,220,63,11,11,18,31,889,3,0,3,26,28,18,45,26,6,5,3,9,172,0,0,0,9,13,5,45,17,17,11,12,12,141,85,183,128,2707,1671,391,1140,155,81,47,71,234,6893,0,7,5,98,38,12,37,5,3,0,4,848,1057,120,223,222,3259,2269,1003,3745,1658,1137,654,600,1312,16202,5,4,6,18,29,44,462,658,592,454,521,407,3200,3,0,10,32,56,83,236,146,86,33,46,76,807,4,13,13,47,111,214,1567,1389,843,471,536,576,5784,3,5,3,14,20,38,204,186,140,75,92,116,896,4,8,20,95,277,445,1209,574,143,474,102,310,3661,0,6
10202,124,37,2231,3,3,13,39,70,58,109,50,14,11,10,5,385,3,3,8,30,66,105,614,267,126,39,61,35,1357,0,0,3,3,15,19,106,57,35,5,7,20,270,7,0,14,111,198,200,383,99,26,65,15,53,1171,0,4,43,257,154,81,121,21,6,3,7,24,721,3,0,17,36,32,12,34,6,3,3,0,8,154,0,0,3,5,13,6,37,27,6,8,3,11,119,94,223,141,3494,1507,335,811,77,32,22,39,237,7012,5,13,6,106,45,8,24,6,4,7,0,783,1007,124,249,248,4096,2147,855,2984,1232,671,342,266,1213,14427,4,7,5,19,26,37,510,631,518,277,262,332,2628,3,3,9,21,45,68,216,106,53,26,17,66,633,9,4,13,46,109,222,1564,1067,524,261,198,421,4438,3,0,0,13,24,44,225,154,94,57,40,90,744,9,4,23,112,302,494,1229,437,129,207,58,293,3297,0,5
10301,76,11,927,0,0,8,20,36,14,54,14,6,6,5,0,163,4,5,3,14,31,40,256,103,70,22,31,8,587,0,0,0,6,8,3,32,26,14,5,7,4,105,3,5,8,42,69,45,123,53,18,22,14,27,429,0,3,22,61,32,25,47,4,3,3,3,6,209,0,0,3,4,7,9,7,5,0,4,0,0,39,3,0,3,4,3,3,10,7,3,5,0,5,46,30,52,32,555,237,55,148,18,10,9,15,41,1202,0,0,0,14,7,5,5,0,0,0,0,232,263,47,69,82,734,465,219,962,445,294,168,151,334,3970,0,4,0,9,10,10,185,271,212,168,115,116,1100,0,0,0,10,11,17,33,28,4,4,3,17,127,5,5,0,11,58,77,440,367,206,100,90,102,1461,0,0,0,5,6,9,63,55,32,24,16,21,231,3,3,6,34,76,109,311,99,29,57,22,72,821,0,4
10302,55,45,1363,0,3,11,32,38,28,78,29,10,9,6,11,255,19,3,16,71,91,102,360,124,36,16,22,30,890,3,3,5,6,13,8,45,25,9,5,6,16,144,10,6,20,94,135,68,143,31,16,14,3,29,569,0,12,39,125,76,26,45,12,8,5,3,8,359,0,3,6,15,10,11,24,0,0,0,3,11,83,0,3,0,15,7,0,25,12,6,4,0,16,88,39,96,60,1206,406,73,218,27,12,7,6,102,2252,3,3,3,35,22,4,7,3,3,0,0,348,431,118,162,176,1676,886,359,1445,529,233,130,104,616,6434,13,11,16,50,72,50,345,265,167,69,77,202,1337,0,3,3,9,19,20,41,23,8,3,0,22,151,3,13,21,66,123,132,642,310,126,71,55,159,1721,0,0,3,14,15,17,89,54,21,11,4,37,265,7,9,24,120,182,220,399,120,18,33,9,115,1256,0,0
10303,66,22,825,3,0,9,30,34,17,50,12,13,3,11,5,187,3,3,10,25,53,56,214,115,69,33,26,13,620,3,3,0,5,5,9,21,23,15,3,3,9,99,3,3,12,53,77,66,141,54,22,33,10,25,499,3,3,20,97,61,27,25,3,7,0,3,9,258,0,0,6,4,13,9,14,7,0,4,0,10,67,0,0,0,8,6,0,11,3,7,4,4,7,50,32,96,61,975,305,77,173,23,6,8,4,60,1820,3,3,3,28,6,4,10,0,0,0,0,271,328,57,120,130,1262,614,288,923,400,258,143,127,431,4753,8,4,4,21,21,25,165,178,116,96,79,122,839,3,0,5,5,16,17,44,23,7,3,6,15,144,3,0,8,19,70,71,401,344,171,92,79,116,1374,0,0,0,3,8,14,53,31,22,16,8,28,183,3,3,14,61,135,132,294,125,33,78,23,97,998,0,3
10304,125,16,1225,3,0,6,20,34,15,52,18,9,4,9,5,175,6,4,6,17,47,55,282,120,63,34,48,19,701,0,0,0,10,4,11,50,25,17,9,9,8,143,7,6,9,53,80,80,150,32,13,19,6,24,479,0,5,27,77,53,35,63,11,5,5,4,17,302,0,5,10,15,3,3,19,5,0,0,0,4,64,5,0,0,0,11,0,22,12,6,4,0,5,65,21,57,49,776,283,73,176,25,15,7,12,65,1559,0,4,5,22,8,4,6,0,0,0,0,294,343,56,91,115,1014,562,301,1213,509,326,199,213,457,5056,7,5,3,10,18,14,239,276,266,162,159,149,1308,0,0,4,15,7,22,45,28,15,15,10,22,183,0,6,12,18,51,120,557,463,250,103,140,148,1868,3,0,0,3,11,14,86,62,43,28,20,20,290,0,4,6,35,106,164,404,158,42,68,22,93,1102,3,0
