region_id,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85_ov,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85_ov,C11_F_CL_C_I_II_Tot,C11_F_CL_T_15_19,C11_F_CL_T_20_24,C11_F_CL_T_25_34,C11_F_CL_T_35_44,C11_F_CL_T_45_54,C11_F_CL_T_55_64,C11_F_CL_T_65_74,C11_F_CL_T_75_84,C11_F_CL_T_85_ov,C11_F_CL_T_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85o,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85_ov,C11_F_LE_NS_T,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85o,C11_F_T_T,C01_P_Post_Deg_15_19_yrs,C01_P_Post_Deg_20_24_yrs,C01_P_Post_Deg_25_34_yrs,C01_P_Post_Deg_35_44_yrs,C01_P_Post_Deg_45_54_yrs,C01_P_Post_Deg_55_64_yrs,C01_P_Post_Deg_65_74_yrs,C01_P_Post_Deg_75_84_yrs,C01_P_Post_Deg_85o,C01_P_Post_Deg_Tot,C01_P_GrDip_GrCe_15_19,C01_P_GrDip_GrCe_20_24,C01_P_GrDip_GrCe_25_34,C01_P_GrDip_GrCe_35_44,C01_P_GrDip_GrCe_45_54,C01_P_GrDip_GrCe_55_64,C01_P_GrDip_GrCe_65_74,C01_P_GrDip_GrCe_75_84,C01_P_GrDip_GrCe_85ov,C01_P_GrDip_GrCe_Tot,C01_P_BD_15_19,C01_P_BD_20_24,C01_P_BD_25_34,C01_P_BD_35_44,C01_P_BD_45_54,C01_P_BD_55_64,C01_P_BD_65_74,C01_P_BD_75_84,C01_P_BD_85o,C01_P_BD_Tot,C01_P_AdD_DL_15_19,C01_P_AdD_DL_20_24,C01_P_AdD_DL_25_34,C01_P_AdD_DL_35_44,C01_P_AdD_DL_45_54,C01_P_AdD_DL_55_64,C01_P_AdD_DL_65_74,C01_P_AdD_DL_75_84,C01_P_AdD_DL_85o,C01_P_AdD_DL_Tot,C01_P_CL_CL_nfd_15_19,C01_P_CL_CL_nfd_20_24,C01_P_CL_CL_nfd_25_34,C01_P_CL_CL_nfd_35_44,C01_P_CL_CL_nfd_45_54,C01_P_CL_CL_nfd_55_64,C01_P_CL_CL_nfd_65_74,C01_P_CL_CL_nfd_75_84,C01_P_CL_CL_nfd_85_ov,C01_P_CL_CL_nfd_Tot,C01_P_CL_C_III_IV_15_19,C01_P_CL_C_III_IV_20_24,C01_P_CL_C_III_IV_25_34,C01_P_CL_C_III_IV_35_44,C01_P_CL_C_III_IV_45_54,C01_P_CL_C_III_IV_55_64,C01_P_CL_C_III_IV_65_74,C01_P_CL_C_III_IV_75_84,C01_P_CL_C_III_IV_85_ov,C01_P_CL_C_III_IV_Tot,C01_P_CL_C_I_II_15_19,C01_P_CL_C_I_II_20_24,C01_P_CL_C_I_II_25_34,C01_P_CL_C_I_II_35_44,C01_P_CL_C_I_II_45_54,C01_P_CL_C_I_II_55_64,C01_P_CL_C_I_II_65_74,C01_P_CL_C_I_II_75_84,C01_P_CL_C_I_II_85_ov,C01_P_CL_C_I_II_Tot,C01_P_CL_T_15_19,C01_P_CL_T_20_24,C01_P_CL_T_25_34,C01_P_CL_T_35_44,C01_P_CL_T_45_54,C01_P_CL_T_55_64,C01_P_CL_T_65_74,C01_P_CL_T_75_84,C01_P_CL_T_85_ov,C01_P_CL_T_Tot,C01_P_LE_ID_15_19,C01_P_LE_ID_20_24,C01_P_LE_ID_25_34,C01_P_LE_ID_35_44,C01_P_LE_ID_45_54,C01_P_LE_ID_55_64,C01_P_LE_ID_65_74,C01_P_LE_ID_75_84,C01_P_LE_ID_85o,C01_P_LE_ID_Tot,C01_P_LE_NS_15_19,C01_P_LE_NS_20_24,C01_P_LE_NS_25_34,C01_P_LE_NS_35_44,C01_P_LE_NS_45_54,C01_P_LE_NS_55_64,C01_P_LE_NS_65_74,C01_P_LE_NS_75_84,C01_P_LE_NS_85_ov,C01_P_LE_NS_T,C01_P_Tot_15_19_yrs,C01_P_Tot_20_24_yrs,C01_P_Tot_25_34_yrs,C01_P_Tot_35_44_yrs,C01_P_Tot_45_54_yrs,C01_P_Tot_55_64_yrs,C01_P_Tot_65_74_yrs,C01_P_Tot_75_84_yrs,C01_P_Tot_85o,C01_P_T_T,C06_P_Post_Deg_15_19_yrs,C06_P_Post_Deg_20_24_yrs,C06_P_Post_Deg_25_34_yrs,C06_P_Post_Deg_35_44_yrs,C06_P_Post_Deg_45_54_yrs,C06_P_Post_Deg_55_64_yrs,C06_P_Post_Deg_65_74_yrs,C06_P_Post_Deg_75_84_yrs,C06_P_Post_Deg_85o,C06_P_Post_Deg_Tot,C06_P_GrDip_GrCe_15_19,C06_P_GrDip_GrCe_20_24,C06_P_GrDip_GrCe_25_34,C06_P_GrDip_GrCe_35_44,C06_P_GrDip_GrCe_45_54,C06_P_GrDip_GrCe_55_64,C06_P_GrDip_GrCe_65_74,C06_P_GrDip_GrCe_75_84,C06_P_GrDip_GrCe_85ov,C06_P_GrDip_GrCe_Tot,C06_P_BD_15_19,C06_P_BD_20_24,C06_P_BD_25_34,C06_P_BD_35_44,C06_P_BD_45_54,C06_P_BD_55_64,C06_P_BD_65_74,C06_P_BD_75_84,C06_P_BD_85o,C06_P_BD_Tot
10101,73,327,660,721,584,374,99,25,11,2874,37,44,112,132,106,59,28,3,0,521,117,414,846,1006,861,577,185,44,21,4071,8,13,37,85,116,113,66,32,17,487,213,106,222,299,336,413,469,497,252,2807,344,757,2120,2888,2628,2302,1279,757,353,13428,0,0,34,119,175,106,43,14,3,494,0,10,83,152,183,81,28,8,0,545,3,154,636,762,786,437,162,63,15,3018,15,137,437,562,659,401,209,84,30,2534,26,53,62,66,46,20,3,7,0,283,107,553,1495,1605,1379,931,469,170,37,6746,22,121,262,317,283,141,70,29,5,1250,155,727,1819,1988,1708,1092,542,206,42,8279,13,38,109,200,139,91,64,23,5,682,421,376,835,890,750,677,827,596,204,5576,607,1442,3953,4673,4400,2885,1875,994,299,21128,0,3,73,189,227,190,80,24,0,786,0,9,82,126,220,149,40,9,3,638,3,248,805,872,941,675,251,116,23,3934
10102,60,241,516,498,418,230,54,15,8,2040,37,41,73,85,58,33,13,3,3,346,108,309,663,712,589,351,110,32,17,2891,9,15,22,53,99,66,34,10,4,312,161,118,210,268,298,280,219,171,93,1818,289,754,2510,2925,2503,1661,745,291,133,11811,0,6,94,228,259,132,42,10,3,774,0,3,109,219,224,91,14,3,0,663,0,191,799,930,766,353,118,50,13,3220,7,135,458,564,490,234,102,32,7,2029,16,32,38,38,27,11,0,3,0,165,56,382,1133,1266,964,554,256,100,15,4726,37,106,256,264,182,84,31,8,7,975,109,520,1427,1568,1173,649,287,111,22,5866,14,32,77,115,82,50,32,15,6,423,315,183,425,562,508,405,376,287,80,3141,445,1070,3389,4186,3502,1914,971,508,131,16116,0,4,202,441,391,280,83,20,3,1424,0,4,144,271,275,144,32,7,0,877,3,260,1159,1178,967,576,210,69,3,4425
10103,38,165,231,255,221,151,54,8,5,1128,15,37,37,55,41,22,12,0,3,222,62,220,309,358,324,233,87,20,15,1628,0,10,19,30,38,53,27,14,4,195,186,112,175,241,226,199,169,128,67,1503,254,530,1103,1451,1380,1082,573,222,96,6691,0,6,87,173,131,112,31,3,0,543,6,6,78,110,112,61,16,0,0,389,3,284,733,669,503,287,121,40,6,2646,7,160,398,383,296,213,98,31,6,1592,20,43,39,40,25,15,3,0,0,185,66,526,968,913,654,416,187,77,4,3811,32,98,157,178,139,82,36,15,3,740,118,667,1164,1131,818,513,226,92,7,4736,9,29,70,72,68,47,19,9,6,329,256,235,441,490,432,380,357,228,66,2885,399,1387,2971,3028,2360,1613,868,403,91,13120,0,0,70,198,186,154,49,5,0,662,0,4,69,94,127,66,22,4,0,386,0,201,766,778,682,434,177,80,6,3124
10104,56,231,541,643,778,509,192,77,32,3059,38,54,91,118,122,93,38,13,6,573,100,313,689,872,1056,795,349,129,52,4355,0,12,26,63,128,149,115,45,26,564,210,76,206,279,385,529,632,622,356,3295,315,506,1597,2392,3073,3136,1963,1118,531,14631,0,6,33,84,109,94,67,25,3,421,0,4,44,159,217,93,55,23,6,601,0,69,417,715,775,521,362,173,25,3057,7,51,273,555,708,554,394,161,28,2731,19,34,44,52,45,15,12,0,0,221,96,335,1210,1862,1694,1342,1098,499,76,8212,39,81,198,298,282,173,127,48,3,1249,154,450,1452,2212,2021,1530,1237,547,79,9682,13,31,76,174,189,157,104,59,11,814,449,233,492,748,675,799,1087,996,258,5737,623,844,2787,4647,4694,3748,3306,1984,410,23043,0,0,38,110,148,180,92,43,4,615,0,6,52,124,261,171,71,15,0,700,5,87,553,765,1078,825,487,250,51,4101
10201,199,849,1596,1576,1676,820,348,168,73,7305,90,131,213,251,243,194,53,33,14,1222,323,1065,1991,2200,2356,1430,647,288,127,10427,25,44,80,167,266,265,172,122,66,1207,427,266,503,750,950,1027,1216,1441,1199,7779,817,2167,5892,7434,7427,5584,3363,2549,1532,36765,3,4,173,398,461,220,115,50,10,1434,0,14,192,391,441,167,81,31,8,1325,3,590,2193,2371,1976,888,594,292,62,8969,36,383,1615,2017,1726,938,695,400,74,7884,64,134,162,180,124,48,26,25,8,771,295,1268,3662,4767,3805,2528,1813,1121,181,19440,104,257,691,983,827,465,257,153,20,3757,463,1659,4515,5930,4756,3041,2096,1299,209,23968,29,98,307,516,428,261,238,152,32,2061,1076,666,1375,1850,1714,1465,2149,2620,879,13794,1610,3414,10370,13473,11502,6980,5968,4844,1274,59435,0,12,250,555,599,410,172,88,8,2094,3,18,215,335,483,253,114,38,6,1465,6,633,2639,2605,2623,1419,726,461,100,11212
10202,261,857,1939,1760,1458,798,276,157,52,7558,128,156,270,282,235,158,48,14,3,1294,433,1130,2441,2362,2050,1255,476,236,82,10465,20,40,90,134,232,194,135,64,29,938,527,295,451,695,826,895,1233,1344,703,6969,1010,2036,5268,5818,5218,3958,2677,1952,873,28810,0,3,62,147,178,76,46,9,3,524,0,7,86,212,220,78,41,9,3,656,0,265,991,1016,895,407,263,120,19,3976,29,235,1079,1068,944,516,428,171,28,4498,54,125,117,122,71,19,10,7,6,531,272,1066,3406,4038,3104,2079,1727,862,171,16725,107,201,608,696,482,271,172,60,16,2613,433,1392,4131,4856,3657,2369,1909,929,193,19869,24,84,197,339,272,176,137,86,29,1344,792,459,1129,1480,1269,1305,2047,2145,653,11279,1278,2445,7675,9118,7435,4927,4871,3469,928,42146,0,10,100,218,227,165,70,23,3,816,0,3,92,163,263,135,66,18,0,740,3,355,1399,1144,1231,732,368,197,34,5463
10301,75,262,507,424,349,187,57,31,11,1903,35,60,73,86,70,43,11,4,3,385,117,357,638,621,533,331,112,50,23,2782,3,14,20,46,85,83,47,31,10,339,161,103,146,175,206,258,251,246,136,1682,295,697,1607,1766,1726,1415,746,466,214,8932,3,3,57,122,170,90,34,6,5,490,0,6,59,112,131,60,12,10,0,390,0,190,648,581,538,228,92,27,12,2316,9,78,300,410,415,244,130,41,14,1641,31,31,39,29,29,16,0,3,3,181,110,417,1060,1138,936,505,250,120,18,4554,44,94,199,202,158,91,41,25,0,854,185,542,1298,1369,1123,612,291,148,21,5589,6,24,62,114,102,48,26,17,6,405,314,332,601,528,466,368,345,332,155,3441,517,1175,3025,3236,2945,1650,930,581,213,14272,0,0,60,116,195,138,54,12,3,578,0,7,42,95,147,93,14,8,0,406,0,234,726,659,639,406,137,74,24,2899
10302,78,263,546,554,510,295,92,32,15,2385,27,50,96,109,89,66,17,11,3,468,121,337,695,759,737,450,159,58,25,3341,5,17,30,50,126,124,55,28,16,451,205,98,168,243,308,386,474,411,200,2493,341,620,1709,1921,1917,1646,1028,652,277,10111,0,3,37,49,67,28,19,6,0,209,0,8,63,127,119,37,18,0,0,372,0,144,634,473,428,253,114,46,15,2107,3,68,333,442,419,274,159,68,18,1784,20,30,42,60,29,23,7,3,0,214,135,445,1192,1396,1127,693,388,133,25,5534,32,83,224,254,230,105,42,22,4,996,187,558,1458,1710,1386,821,437,158,29,6744,6,26,94,178,168,91,51,35,11,660,326,192,479,646,620,604,730,609,240,4446,522,999,3098,3625,3207,2108,1528,922,313,16322,0,3,35,56,84,70,27,3,0,278,0,10,58,72,129,63,29,11,0,372,0,152,691,544,519,344,150,74,22,2496
10303,56,227,442,464,405,217,65,26,4,1906,24,35,62,85,77,51,21,3,0,358,90,284,547,650,582,345,118,43,8,2667,3,11,24,46,68,76,43,22,12,305,153,64,136,219,256,315,335,291,157,1926,249,481,1244,1618,1580,1336,798,483,202,7991,0,0,26,39,41,37,6,3,0,152,0,8,54,83,80,38,12,0,0,275,0,72,365,383,380,207,92,29,10,1538,3,38,242,353,340,222,106,41,4,1349,14,29,36,39,34,13,3,0,0,168,92,370,1089,1332,1072,693,364,145,20,5177,46,67,175,230,180,102,46,17,4,867,152,466,1300,1601,1286,808,413,162,24,6212,7,21,48,123,113,84,40,20,3,459,275,194,534,573,562,489,543,440,133,3743,437,799,2569,3155,2802,1885,1212,695,174,13728,0,3,30,50,65,77,30,7,3,265,0,3,40,66,117,44,17,3,0,290,0,84,446,403,443,353,126,72,10,1937
10304,73,306,683,587,504,257,85,35,14,2544,52,82,98,96,77,59,19,0,3,486,129,427,855,793,687,416,170,51,25,3553,5,19,23,52,96,92,62,23,11,383,177,106,198,292,274,299,308,299,126,2079,325,841,2258,2409,2160,1708,909,518,192,11320,0,3,49,118,162,80,21,9,0,442,0,8,67,96,157,62,19,7,0,416,3,149,712,732,661,281,115,41,10,2704,12,135,404,529,518,300,139,53,18,2108,17,49,39,60,46,10,3,0,0,224,118,520,1370,1294,980,609,311,130,21,5353,50,106,238,250,212,122,66,19,6,1069,185,675,1647,1604,1238,741,380,149,27,6646,8,42,89,138,131,76,44,17,6,551,358,184,425,484,465,421,525,461,192,3515,566,1196,3393,3701,3332,1961,1243,737,253,16382,0,3,89,155,189,138,40,11,0,625,0,4,60,93,134,91,24,9,0,415,0,170,814,792,787,448,155,90,19,3275
