region_id,C01_T_P_Mo_O_B_OS,C01_T_P_BP_B_Aus,C01_T_P_Bplace_NS,C01_T_P_Tot_resp,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_Bo_par_brn_os,C06_Pol_Fa_only_brn_os,C06_Pol_Mo_only_brn_os,C06_Pol_Bo_par_brn_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_Bo_par_brn_os,C06_Rus_Fa_only_brn_os,C06_Rus_Mo_only_brn_os,C06_Rus_Bo_par_brn_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinh_Fa_O_B_OS,C06_Sinh_Mo_O_B_OS,C06_Sinh_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_S_Afr_Bo_par_brn_os,C06_S_Af_Fa_only_brn_os,C06_S_Af_Mo_only_brn_os,C06_S_Af_Bo_par_brn_Aus,C06_S_Af_Bplace_NS,C06_S_Af_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Welsh_BP_B_OS,C06_Wels_Fa_O_B_OS,C06_Wels_Mo_O_B_OS,C06_Wels_BP_B_Aus,C06_Welsh_Bplace_NS,C06_Welsh_Tot_resp,C06_Other_BP_B_OS,C06_Othr_Fa_O_B_OS,C06_Othr_Mo_O_B_OS,C06_Othr_BP_B_Aus,C06_Other_Bplace_NS,C06_Other_Tot_resp,C06_Anc_ns_Bo_pa_born_os,C06_Anc_ns_Fa_on_born_os,C06_Anc_ns_Mo_on_born_os,C06_Anc_ns_Bo_pa_bor_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_Tot_res_Bo_par_bo_os,C06_Tot_res_Fa_onl_bo_os,C06_Tot_res_Mo_onl_bo_os,C06_Tot_res_Bo_pa_bo_Aus
101,7896,134977,13452,198817,761,7211,5258,82084,2170,97481,4,27,9,751,42,830,786,74,73,363,40,1332,757,115,40,184,35,1130,1707,472,353,814,42,3379,11809,5921,4320,51467,1823,75342,489,23,109,8,16,646,327,74,63,441,13,927,2393,690,441,4722,162,8404,712,167,50,377,34,1337,424,99,30,104,7,667,348,35,28,45,6,464,1957,1302,795,19702,478,24230,2006,625,181,1720,105,4644,82,5,9,12,0,110,207,87,26,111,8,434,958,112,32,117,24,1239,511,126,74,273,28,1015,385,97,56,78,20,644,725,345,225,130,21,1450,750,148,85,258,21,1256,286,64,26,114,15,506,2894,1412,1042,12810,320,18482,593,73,23,74,19,783,97,17,12,12,3,146,233,32,42,35,3,345,303,29,29,149,8,527,62,8,3,0,7,80,187,4,11,4,7,212,422,178,82,570,20,1284,4598,1006,678,1639,184,8103,705,248,163,4054,11024,16200,38478,20826,14368,183222
102,13726,184983,16513,284581,1341,12350,8588,109349,3810,135432,5,34,22,662,43,765,1392,157,141,532,68,2285,452,106,28,98,15,700,2105,647,376,929,76,4132,22310,10488,7245,69701,3295,113039,972,54,256,27,39,1355,524,145,81,647,32,1430,2204,759,462,5192,201,8820,879,271,66,559,44,1820,425,102,31,119,25,700,734,120,66,69,19,1015,3965,2114,1228,23161,743,31219,2104,849,263,2488,178,5878,225,3,15,11,11,270,304,96,35,128,22,583,65,18,4,15,0,104,1228,379,130,702,55,2492,974,218,156,143,81,1567,1355,614,465,247,65,2742,674,141,75,264,24,1187,387,65,56,144,11,668,5097,2443,1576,15407,568,25089,375,91,11,78,10,566,150,42,9,29,3,245,636,99,58,42,32,864,673,76,61,251,26,1090,106,27,11,8,5,158,104,5,13,0,4,124,734,266,126,741,31,1903,6146,1705,1003,2162,304,11325,1165,515,450,6126,14972,23235,59810,34999,23107,240031
103,5844,146541,11479,188591,452,4991,3549,83958,2529,95480,3,24,3,689,42,753,590,56,40,328,27,1034,211,49,18,57,7,339,915,332,227,582,31,2079,6156,4168,3081,54485,1904,69803,352,16,108,21,18,514,173,49,34,457,16,723,1106,424,256,4552,132,6472,244,85,31,248,18,627,174,40,23,62,8,306,223,18,25,42,12,326,1087,917,503,18932,483,21914,814,362,134,1344,56,2706,77,0,3,4,3,91,173,71,6,118,10,384,38,15,3,13,0,62,226,73,58,188,14,566,281,78,31,63,20,475,423,209,205,144,20,1002,405,134,37,235,13,825,218,29,31,85,3,373,1605,1138,812,11761,321,15634,193,36,10,45,3,289,85,15,8,4,8,114,208,31,20,22,3,284,163,27,20,126,12,344,24,12,0,0,9,42,53,0,4,0,5,61,271,108,91,494,19,978,2191,656,353,1274,133,4596,416,209,145,5247,7647,13664,19550,14372,9869,185580
104,4991,89299,6523,121945,410,4239,3008,52809,1565,62033,7,19,14,842,34,904,314,50,31,229,10,640,102,31,0,23,7,158,936,288,129,356,22,1728,7020,3670,2604,33692,1187,48170,245,8,97,8,25,378,191,47,35,349,11,629,1033,321,235,3459,119,5161,148,82,18,144,9,395,124,25,21,49,5,227,590,56,76,55,16,790,1114,710,461,11221,303,13806,535,257,78,1006,39,1913,22,0,3,4,0,28,54,14,8,73,0,139,14,0,3,7,0,26,164,56,47,123,8,393,190,83,55,77,15,421,415,211,152,64,19,862,247,60,32,118,6,458,83,33,23,52,3,186,1629,930,594,8338,223,11715,78,28,4,27,3,138,28,9,3,5,3,45,158,20,15,26,0,221,118,28,22,130,4,295,39,8,0,0,0,40,37,3,5,0,3,45,215,65,26,309,14,626,2095,588,396,1016,90,4188,279,156,162,3089,4687,8371,18634,12095,8357,117700
105,2868,97313,8476,120735,199,2334,1655,54514,1725,60426,0,36,16,2123,53,2228,285,22,23,278,21,633,106,21,9,38,0,174,399,110,94,238,16,857,2510,1948,1376,32042,1227,39101,176,0,33,10,7,230,43,28,20,235,5,335,474,213,139,3097,88,4008,156,52,21,141,17,383,105,22,7,34,0,160,185,16,12,47,3,258,454,439,238,9738,256,11119,404,196,45,692,46,1380,17,0,3,0,0,24,77,23,16,62,5,181,11,0,0,3,0,18,156,75,26,188,13,458,137,38,31,52,6,267,189,77,84,53,14,425,158,43,22,78,4,304,40,10,6,20,3,77,684,539,362,6477,157,8224,149,29,3,25,6,207,45,10,7,4,5,71,76,17,9,15,0,114,45,15,3,71,3,142,13,7,0,0,3,25,19,5,0,0,3,24,68,52,20,250,6,395,1100,252,153,592,47,2145,189,98,95,3647,6146,10173,8669,6727,4528,114764
106,7547,157803,13056,209918,618,6804,4912,99246,2665,114237,7,11,12,681,22,735,652,51,51,273,19,1049,253,46,28,81,11,410,1107,418,304,753,50,2629,9515,5797,4172,63488,2333,85314,504,21,190,13,24,754,215,53,35,428,25,764,1401,600,421,6237,197,8861,275,127,21,276,29,724,192,49,17,63,8,327,268,30,23,51,16,388,1572,986,630,17361,447,20993,708,321,127,1407,60,2627,80,0,3,6,9,98,122,32,4,95,9,262,57,13,8,36,0,118,305,115,67,173,31,692,395,119,83,118,28,739,580,312,187,134,37,1246,822,138,88,399,22,1469,170,35,27,115,3,349,2479,1647,1139,13189,404,18853,196,56,15,45,4,306,51,11,12,13,0,82,249,25,35,24,14,348,205,53,31,181,21,475,31,11,9,10,3,52,83,3,7,0,0,91,400,175,98,706,23,1402,2792,802,584,1403,121,5703,515,277,223,5881,9472,16368,26819,19138,13563,212886
107,13230,129689,14875,256095,1899,11185,7864,80534,2821,104302,23,36,21,536,41,656,2899,92,103,295,76,3471,1743,229,105,241,50,2363,2302,725,407,1018,97,4548,19793,8955,6537,46875,2317,84477,1109,41,207,27,37,1420,456,82,55,453,17,1060,3565,991,611,4113,207,9481,2278,420,150,837,98,3785,659,133,49,155,18,1015,803,59,38,51,10,960,3082,1563,1102,16174,476,22395,7407,1610,664,3454,344,13476,204,8,9,18,3,257,1121,154,113,143,79,1606,6677,504,169,512,224,8089,1535,438,192,653,73,2895,573,143,77,76,45,913,692,301,249,143,35,1414,1395,227,131,367,37,2160,308,52,34,118,4,506,5347,2324,1711,11123,413,20911,2387,214,84,172,69,2919,239,25,5,7,8,285,383,46,47,17,3,504,1970,234,157,324,74,2754,1233,96,44,32,53,1454,765,15,14,7,14,817,1084,293,225,693,47,2343,10078,1642,1102,1895,338,15054,2022,513,356,3913,10599,17406,86031,33350,22632,174976
108,6787,137568,9596,184244,551,6210,4101,82024,2564,95446,6,26,13,1645,66,1755,392,67,54,318,19,853,149,56,12,47,9,267,1253,367,188,512,29,2359,10738,5486,3821,54269,1967,76283,356,13,140,13,25,551,258,75,52,456,15,853,1289,448,266,4547,149,6697,214,90,15,203,16,544,195,52,7,42,0,306,208,32,27,55,8,325,1536,1082,599,16174,480,19873,689,326,92,1422,66,2599,16,0,3,3,0,27,64,48,17,123,0,258,19,3,0,8,3,34,381,108,64,271,23,834,171,61,42,55,6,341,545,274,198,121,29,1162,332,77,34,152,22,612,129,30,29,51,4,238,2401,1284,901,11407,310,16291,137,31,9,25,3,206,46,16,0,4,0,70,195,25,32,25,7,278,117,34,24,178,12,367,25,4,0,8,0,33,46,3,0,5,3,61,322,131,58,447,21,980,2281,701,413,1422,132,4938,403,236,190,4495,7709,13027,25464,17396,11401,180527
109,3247,82744,6266,107634,270,2785,1935,45956,1243,52189,6,14,0,482,22,528,226,21,18,187,17,467,125,39,13,32,3,207,762,221,146,400,25,1557,3710,2372,1643,30244,927,38892,259,9,56,8,12,349,85,24,18,229,6,358,820,379,198,4853,132,6382,221,77,17,166,10,498,125,28,7,42,5,205,214,18,9,19,5,269,572,476,305,10776,240,12371,885,330,91,1327,47,2688,11,0,3,3,0,20,59,25,8,84,3,177,18,3,0,4,0,21,90,33,12,84,3,213,183,33,33,38,3,284,272,110,98,56,5,552,257,56,24,151,8,499,67,22,15,54,0,155,948,573,411,7806,174,9913,138,28,10,44,6,222,37,9,3,3,0,50,107,21,15,9,0,158,77,13,5,108,0,195,9,0,0,0,0,16,32,13,3,0,0,41,143,51,39,225,9,464,1412,338,236,769,62,2815,277,113,89,3229,4225,7929,12417,8234,5460,107388
110,4818,139827,9830,172750,313,3788,2976,80609,2228,89907,8,17,7,1867,73,1967,602,55,40,508,19,1229,75,24,3,17,6,122,701,241,143,418,27,1526,4606,3357,2434,50744,1646,62782,257,9,96,7,11,378,145,50,20,387,16,613,882,306,197,5646,133,7168,132,60,13,160,10,372,112,30,7,42,7,197,218,16,22,57,9,324,819,667,437,15809,328,18056,412,208,62,934,35,1653,54,0,0,8,0,61,79,36,7,116,12,252,10,5,0,4,0,21,143,69,30,120,11,372,160,35,51,87,9,341,312,182,123,97,20,728,178,54,31,128,9,396,88,20,19,79,8,214,1191,830,637,11527,250,14431,89,13,3,36,0,147,73,4,3,12,5,92,145,18,13,5,3,189,57,18,5,158,3,239,28,8,7,7,0,44,31,4,6,0,3,36,173,75,42,364,17,663,1745,462,352,993,98,3656,213,142,114,4875,6992,12330,14051,10803,7900,175821
111,12823,224108,18002,318537,1173,11275,7661,130683,3933,154715,4,44,26,733,46,852,1984,161,147,522,75,2889,632,122,24,135,15,917,1558,608,386,1122,45,3721,13913,9510,6514,89255,3107,122291,866,19,309,17,46,1267,305,121,59,776,21,1287,2492,971,570,7435,232,11700,1320,334,101,792,74,2624,365,99,27,104,19,611,877,86,60,71,12,1104,2326,1763,1086,25577,715,31466,2565,826,241,2577,157,6361,293,3,16,33,13,358,132,67,21,169,8,405,1799,206,61,258,50,2373,344,116,67,211,19,748,455,173,118,122,22,885,911,463,311,203,53,1933,1839,318,207,678,39,3079,404,76,55,181,19,731,4391,2748,1786,20945,584,30454,777,103,42,101,30,1050,270,23,13,12,11,325,377,76,51,36,3,543,390,70,49,235,17,766,101,18,0,4,7,130,275,13,17,5,19,327,678,394,213,1709,50,3049,6900,1592,1008,2510,296,12305,1109,476,337,7315,13091,22330,51825,32874,21583,294526
112,8975,147753,12057,210996,830,7989,5572,86269,2686,103349,3,43,5,1351,67,1484,620,79,85,356,23,1161,177,41,15,53,5,291,1447,428,250,642,59,2822,14646,6806,4679,56339,2200,84671,485,13,183,20,23,722,486,111,70,542,31,1245,2106,667,433,5770,226,9196,339,180,47,352,16,934,255,74,17,61,5,421,460,88,79,77,35,733,2526,1517,993,21946,646,27627,1662,722,234,2988,122,5726,52,0,3,0,3,64,67,52,13,175,17,320,35,10,7,22,0,66,282,94,51,160,15,597,453,123,78,112,22,797,954,402,293,140,40,1825,450,110,55,190,19,824,229,64,29,95,11,427,3246,1600,1151,13945,404,20353,182,48,8,42,14,296,70,19,14,33,4,141,308,83,31,45,8,479,220,39,33,223,16,525,22,18,0,3,0,49,74,9,3,0,0,92,517,137,86,547,21,1300,4155,1297,801,2265,240,8760,697,349,268,4790,9842,15942,38055,23212,15586,199553
113,4316,112250,8524,147493,427,3322,2369,63214,1604,70936,6,31,3,630,21,689,508,26,34,251,19,845,72,17,3,18,3,110,592,257,150,450,16,1459,3885,2900,2019,39800,1245,49858,234,7,78,14,9,334,83,26,20,283,4,412,710,313,207,5594,130,6956,140,65,22,202,8,440,95,26,9,38,6,166,770,19,19,23,28,862,693,588,407,14403,350,16443,3942,1032,298,3538,152,8966,62,0,0,14,3,81,72,10,17,70,8,185,27,7,3,16,0,45,94,30,26,78,7,238,244,50,28,42,9,371,289,168,128,89,10,679,219,44,36,155,8,452,47,9,7,37,0,105,1039,715,581,9444,214,11994,115,22,10,26,0,183,97,3,9,7,5,125,125,6,24,6,3,161,153,18,20,116,10,310,99,6,3,4,3,118,53,0,0,3,0,61,113,66,16,264,6,465,2736,480,258,813,109,4400,513,163,90,3983,5966,10713,18254,10426,6894,143625
114,6123,81110,7016,123941,559,5495,3840,49507,1495,60912,3,15,7,516,32,582,483,42,37,142,27,725,237,52,24,44,11,366,1021,290,168,420,31,1939,10058,4655,3411,31085,1244,50455,263,13,79,3,15,381,199,65,38,307,9,617,1413,355,228,2546,99,4647,406,115,38,255,18,839,281,56,16,70,8,428,177,24,9,17,7,228,1469,841,531,10516,269,13623,1066,364,119,1123,55,2723,33,3,5,10,0,50,78,34,7,73,7,199,64,12,7,18,0,96,460,104,35,226,23,848,167,64,41,47,20,343,424,204,154,83,26,889,416,86,41,123,12,679,163,37,27,82,7,315,2259,1155,792,7231,193,11622,194,23,9,36,14,276,36,3,9,6,0,56,122,50,35,31,4,245,184,35,25,81,5,334,48,3,0,3,0,50,48,3,0,3,3,57,366,117,67,279,16,838,2413,722,410,968,116,4630,454,221,137,2441,5180,8442,25564,15258,10346,108292
115,8551,86686,8963,178816,1552,8053,5363,54777,1238,70984,16,9,8,74,3,101,12425,254,306,400,230,13617,1124,160,83,212,25,1603,1685,487,248,545,33,2998,14307,5701,4017,31708,1036,56767,2842,47,150,30,80,3143,494,84,76,313,16,978,2092,498,329,2688,71,5680,1387,281,129,650,38,2494,530,84,51,95,16,778,5536,117,108,39,113,5909,2863,1183,798,11115,278,16236,4602,1336,512,2895,181,9524,2214,4,30,5,57,2305,2111,317,225,569,99,3324,134,20,6,21,5,183,2125,539,297,1083,100,4146,358,52,27,24,23,481,1126,326,259,109,42,1861,1215,137,101,212,23,1695,517,70,36,116,16,752,2939,1232,911,7687,207,12979,541,93,40,63,12,752,2418,60,28,3,47,2558,1423,103,59,28,21,1631,887,95,70,88,19,1166,438,45,9,7,19,518,407,11,10,3,13,450,477,121,107,436,18,1156,11967,1315,975,1306,370,15936,1550,325,229,2353,5476,9935,84302,23159,15597,119654
116,9434,102334,18937,257146,3356,8444,5490,60885,2485,80656,35,72,22,742,43,910,7395,113,170,280,154,8115,2111,177,87,270,88,2732,1519,457,258,608,64,2901,13745,5732,3850,33395,2029,58751,19307,171,581,62,735,20854,627,80,57,326,19,1119,2295,557,318,2738,161,6077,2067,328,167,599,112,3277,1018,130,45,140,30,1355,13613,195,134,75,386,14404,2491,1106,655,10227,413,14889,3857,1059,357,1981,171,7420,1404,6,18,7,37,1474,3153,489,187,325,171,4324,344,23,26,19,3,412,5356,1020,436,1762,204,8780,2317,199,130,70,159,2875,1093,353,238,142,71,1905,2087,183,150,298,53,2778,589,58,49,100,13,798,2922,1165,914,6877,240,12121,1496,114,53,110,33,1794,2463,39,22,17,73,2614,847,84,46,29,36,1045,2185,96,51,121,94,2551,1868,115,63,51,66,2166,994,15,15,13,48,1084,304,104,64,350,17,840,33009,1962,1057,1288,1334,38652,5467,492,345,3577,13022,22898,141334,25138,16055,127484
117,7857,67960,35385,225741,1866,7150,4797,37397,1273,52480,20,58,13,746,37,866,20062,351,384,420,419,21630,1133,138,55,118,32,1477,1204,460,267,300,29,2259,16939,5313,3555,26019,1205,53034,2408,38,158,28,64,2702,1225,178,120,472,29,2031,2737,688,417,3067,116,7024,7215,623,266,1161,320,9585,939,178,60,88,21,1280,2895,78,65,39,46,3131,5005,1656,1059,14767,431,22922,4142,1003,344,1642,166,7305,2751,12,27,18,67,2868,2259,199,114,290,88,2952,769,43,7,45,26,884,1142,247,139,220,35,1786,1167,107,71,48,38,1438,1866,299,210,80,55,2507,1357,231,119,326,26,2062,1837,105,74,158,40,2216,4324,1429,1011,8596,219,15580,1178,80,43,65,30,1394,485,31,16,7,8,552,660,83,57,23,11,826,1749,91,76,160,60,2138,1405,72,35,18,47,1572,3640,17,44,18,113,3835,632,148,89,527,16,1410,26009,1858,1296,1574,721,31455,2937,242,204,1454,46971,51811,123957,23206,15192,99891
118,10252,80310,23252,231827,1944,8676,6090,40094,1383,58187,12,23,13,214,8,275,14523,412,390,440,270,16038,879,100,85,120,23,1203,1278,397,254,318,33,2278,19554,5715,3963,26274,1305,56813,1180,29,169,13,39,1431,1937,223,143,440,55,2785,3593,652,429,2588,121,7385,6364,1036,407,2106,193,10101,2784,298,174,235,52,3544,2094,107,97,35,32,2365,6047,1849,1222,15642,545,25304,4453,973,391,1949,167,7938,944,10,19,14,16,1000,1080,250,144,455,44,1978,122,22,4,6,3,157,995,176,93,234,30,1536,973,106,58,45,33,1216,1878,317,284,81,53,2616,3057,419,243,384,63,4161,3709,237,177,273,84,4480,4435,1517,994,8125,262,15334,802,67,30,52,26,984,428,33,29,13,5,507,4196,263,167,46,65,4730,1371,78,78,129,43,1701,459,15,24,13,8,520,592,10,22,10,5,643,592,137,80,432,23,1263,21992,2324,1737,1692,576,28317,2345,344,239,1694,26565,31178,116612,26815,18249,104166
