region_id,Ot_ty_Ed_Ins_Pt_st_C01_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,O_t_E_I_F_P_s_s_ns_C01_M,O_t_E_I_F_P_s_s_ns_C01_F,O_t_E_I_F_P_s_s_ns_C01_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,Oth_ty_Edu_Ins_Tot_C01_M,Oth_ty_Edu_Ins_Tot_C01_F,Oth_ty_Edu_Ins_Tot_C01_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Type_Educ_Insti_ns_C01_M,Type_Educ_Insti_ns_C01_F,Type_Educ_Insti_ns_C01_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
101,915,241,619,860,293,611,904,10,8,18,8,13,21,8,11,19,490,743,1233,420,769,1189,425,748,1173,5609,4918,10527,9191,7839,17030,9015,7563,16578,577,606,1183,544,544,1088,564,570,1134,30387,30079,60466,33364,32504,65868,32955,32695,65650
102,1492,353,905,1258,426,974,1400,11,15,26,24,30,54,15,24,39,621,1203,1824,485,1123,1608,590,1228,1818,5625,6236,11861,11530,12741,24271,9898,10666,20564,379,548,927,383,578,961,358,464,822,39968,41256,81224,44427,47005,91432,44486,47925,92411
103,658,148,362,510,178,402,580,14,10,24,15,10,25,8,16,24,279,546,825,219,456,675,242,498,740,4678,3654,8332,7507,6273,13780,8261,6648,14909,212,291,503,215,238,453,303,332,635,29041,29081,58122,29966,29528,59494,30569,30359,60928
104,565,136,411,547,165,355,520,5,6,11,4,9,13,4,5,9,251,477,728,196,487,683,236,459,695,2375,2205,4580,4499,4256,8755,4272,4147,8419,305,360,665,278,337,615,310,378,688,17522,17921,35443,18723,19473,38196,18387,19798,38185
105,415,85,207,292,115,261,376,7,3,10,7,12,19,7,11,18,201,343,544,128,282,410,171,331,502,3278,2991,6269,5322,4929,10251,5450,4633,10083,176,185,361,142,166,308,208,179,387,17383,17869,35252,17574,17945,35519,17208,17321,34529
106,890,218,547,765,278,659,937,5,5,10,6,17,23,10,18,28,415,755,1170,339,724,1063,404,815,1219,5159,4409,9568,8249,7809,16058,8614,7699,16313,306,319,625,323,332,655,311,371,682,31377,31204,62581,34474,34377,68851,35739,36108,71847
107,1129,316,644,960,352,763,1115,14,12,26,11,19,30,8,19,27,549,913,1462,435,814,1249,532,977,1509,5015,5220,10235,9349,9491,18840,7803,7814,15617,644,771,1415,621,724,1345,741,765,1506,39828,39711,79539,42157,42278,84435,42965,43419,86384
108,804,183,432,615,188,470,658,3,10,13,13,9,22,10,15,25,335,702,1037,239,539,778,260,616,876,3088,3329,6417,6952,7209,14161,6921,6834,13755,282,374,656,288,382,670,258,303,561,24161,25387,49548,26554,27862,54416,26368,27851,54219
109,411,93,222,315,121,243,364,7,5,12,7,11,18,4,11,15,169,337,506,138,279,417,187,306,493,2394,2306,4700,4120,3869,7989,3889,3685,7574,135,134,269,166,175,341,169,161,330,15712,16106,31818,16236,17016,33252,15581,16677,32258
110,612,133,369,502,152,384,536,5,3,8,7,9,16,3,4,7,309,524,833,200,462,662,233,465,698,3502,3378,6880,6320,6254,12574,6572,6317,12889,340,392,732,254,301,555,383,349,732,26390,27482,53872,26757,28100,54857,26595,27838,54433
111,1548,362,764,1126,450,840,1290,6,18,24,26,22,48,14,13,27,680,1232,1912,504,1000,1504,633,1121,1754,5792,6182,11974,10752,11127,21879,9477,9517,18994,584,746,1330,676,771,1447,751,771,1522,46439,47884,94323,49242,50493,99735,49411,50946,100357
112,999,245,680,925,311,668,979,13,18,31,6,14,20,18,6,24,460,832,1292,341,838,1179,451,882,1333,4246,4407,8653,8220,8597,16817,7529,7653,15182,1161,1292,2453,922,1112,2034,943,1135,2078,30559,31957,62516,33164,35574,68738,32545,35625,68170
113,504,124,304,428,151,317,468,6,6,12,6,9,15,8,10,18,343,460,803,270,382,652,340,424,764,3556,2773,6329,5825,4857,10682,5733,4810,10543,247,238,485,245,250,495,318,239,557,23231,22666,45897,23914,23617,47531,23757,23965,47722
114,520,146,338,484,155,386,541,8,13,21,0,10,10,8,0,8,215,449,664,199,407,606,230,473,703,2647,2688,5335,4505,4916,9421,4875,4647,9522,186,261,447,198,239,437,247,275,522,17849,18527,36376,18699,19785,38484,18993,19824,38817
115,972,260,530,790,304,621,925,5,7,12,9,9,18,7,16,23,492,751,1243,410,765,1175,459,854,1313,3306,3539,6845,4765,4996,9761,4117,4212,8329,459,642,1101,527,729,1256,594,844,1438,30150,30811,60961,33465,33704,67169,34318,34563,68881
116,1166,373,689,1062,550,908,1458,20,16,36,30,32,62,21,32,53,650,969,1619,647,988,1635,981,1436,2417,7133,6659,13792,11835,11043,22878,10287,9358,19645,502,683,1185,665,934,1599,783,1248,2031,41982,41114,83096,47295,46767,94062,50665,50691,101356
117,2407,772,1129,1901,984,1277,2261,16,14,30,22,28,50,44,32,76,1624,2127,3751,1516,2012,3528,2084,2602,4686,17562,14753,32315,28716,22951,51667,19773,15657,35430,8576,7871,16447,7401,6929,14330,8226,7796,16022,49086,47224,96310,58969,55034,114003,55473,53606,109079
118,2320,526,943,1469,538,971,1509,18,23,41,21,26,47,10,16,26,1315,1864,3179,818,1295,2113,881,1416,2297,10491,10305,20796,17023,14751,31774,13583,11909,25492,2840,3209,6049,2559,2770,5329,2298,2644,4942,39422,40892,80314,43586,42970,86556,43732,43745,87477
119,2899,780,1547,2327,1074,1746,2820,48,49,97,75,68,143,43,56,99,1943,2420,4363,1416,2164,3580,2135,2807,4942,14457,15313,29770,22694,22366,45060,20260,19564,39824,1616,1962,3578,1465,1918,3383,1720,2425,4145,72842,72440,145282,80725,80393,161118,85020,84452,169472
120,2131,571,1009,1580,588,1067,1655,17,22,39,16,19,35,21,26,47,1323,1877,3200,902,1411,2313,1127,1632,2759,6797,7045,13842,11352,10920,22272,9586,9013,18599,1363,1640,3003,1204,1552,2756,1241,1646,2887,34792,36320,71112,39167,40289,79456,40492,41877,82369
121,3641,877,1577,2454,802,1515,2317,20,33,53,24,34,58,23,29,52,1741,2747,4488,1168,2021,3189,1167,1938,3105,7268,8339,15607,11526,12379,23905,9730,10154,19884,2289,2880,5169,2153,2642,4795,2351,2794,5145,52986,57466,110452,56313,59699,116012,58893,61955,120848
122,1841,409,889,1298,468,907,1375,14,11,25,14,15,29,10,19,29,863,1439,2302,614,1157,1771,659,1149,1808,5590,5786,11376,8269,8123,16392,6047,6228,12275,1306,1391,2697,1210,1405,2615,1028,1215,2243,31617,32184,63801,34856,34977,69833,35121,36030,71151
123,992,268,611,879,322,704,1026,6,8,14,15,22,37,11,17,28,464,805,1269,367,774,1141,501,929,1430,5083,5294,10377,8561,8811,17372,7418,7685,15103,382,498,880,308,412,720,295,404,699,36309,36158,72467,37430,38275,75705,37098,38688,75786
124,1554,357,790,1147,415,901,1316,13,18,31,18,20,38,11,11,22,733,1198,1931,519,1008,1527,592,1153,1745,6346,6221,12567,9765,9890,19655,9021,8931,17952,571,707,1278,566,713,1279,480,603,1083,44389,44912,89301,44559,45649,90208,44074,45901,89975
125,2257,751,1090,1841,943,1454,2397,37,49,86,29,39,68,59,68,127,1429,1836,3265,1251,1672,2923,1934,2517,4451,12742,10627,23369,19806,16248,36054,17949,15092,33041,1309,1347,2656,1458,1784,3242,1832,2366,4198,56412,52874,109286,64618,59884,124502,68261,65279,133540
126,1274,300,514,814,332,512,844,6,9,15,7,12,19,6,18,24,685,961,1646,423,676,1099,507,722,1229,2740,3141,5881,5485,5372,10857,3875,3863,7738,971,1194,2165,1018,1353,2371,1125,1510,2635,24722,25135,49857,27041,27105,54146,26934,27480,54414
127,1906,509,939,1448,503,1057,1560,35,34,69,61,97,158,50,50,100,1243,1565,2808,918,1520,2438,1080,1841,2921,9199,8925,18124,15916,15571,31487,14309,14294,28603,544,698,1242,450,611,1061,592,856,1448,52566,51887,104453,57649,58058,115707,60024,61580,121604
128,1302,313,631,944,354,634,988,4,11,15,4,14,18,7,8,15,631,964,1595,400,773,1173,456,777,1233,3231,3560,6791,5961,6176,12137,4634,4924,9558,386,543,929,395,436,831,389,456,845,29664,29818,59482,30595,30960,61555,30080,30918,60998
