region_id,C06_SH_3b_NPFH_4,C06_SH_3b_NPFH_5,C06_SH_3b_NPFH_6_mor,C06_SH_3b_Tot,C06_SH_4mb_NPFH_2,C06_SH_4mb_NPFH_3,C06_SH_4mb_NPFH_4,C06_SH_4mb_NPFH_5,C06_SH_4mb_NPFH_6_mor,C06_SH_4mb_Tot,C06_SH_NB_NS_NPFH_2,C06_SH_NB_NS_NPFH_3,C06_SH_NB_NS_NPFH_4,C06_SH_NB_NS_NPFH_5,C06_SH_NB_NS_NPFH_6_mor,C06_SH_NB_NS_T,C06_SH_Tot_NPFH_2,C06_SH_Tot_NPFH_3,C06_SH_Tot_NPFH_4,C06_SH_Tot_NPFH_5,C06_SH_Tot_NPFH_6_mor,C06_SH_T_T,C06_SDRTHT_0b_NPFH_2,C06_SDRTHT_0b_NPFH_3,C06_SDRTHT_0b_NPFH_4,C06_SDRTHT_0b_NPFH_5,C06_SDRTHT_0b_NPFH_6_mor,C06_SDRTHT_0bTotal,C06_SDRTHT_1b_NPFH_2,C06_SDRTHT_1b_NPFH_3,C06_SDRTHT_1b_NPFH_4,C06_SDRTHT_1b_NPFH_5,C06_SDRTHT_1b_NPFH_6_mor,C06_SDRTHT_1b_Tot,C06_SDRTHT_2b_NPFH_2,C06_SDRTHT_2b_NPFH_3,C06_SDRTHT_2b_NPFH_4,C06_SDRTHT_2b_NPFH_5,C06_SDRTHT_2b_NPFH_6_mor,C06_SDRTHT_2b_Tot,C06_SDRTHT_3b_NPFH_2,C06_SDRTHT_3b_NPFH_3,C06_SDRTHT_3b_NPFH_4,C06_SDRTHT_3b_NPFH_5,C06_SDRTHT_3b_NPFH_6_mor,C06_SDRTHT_3b_Tot,C06_SDRTHT_4mb_NPFH_2,C06_SDRTHT_4mb_NPFH_3,C06_SDRTHT_4mb_NPFH_4,C06_SDRTHT_4mb_NPFH_5,C06_SDRTHT_4mb_NPFH_6_mor,C06_SDRTHT_4mb_Tot,C06_SDRTHT_NB_NS_NPFH_2,C06_SDRTHT_NB_NS_NPFH_3,C06_SDRTHT_NB_NS_NPFH_4,C06_SDRTHT_NB_NS_NPFH_5,C06_SDRTHT_NB_NS_NPFH_6_mor,C06_SDRTHT_NB_NS_T,C06_SDRTHT_Tot_NPFH_2,C06_SDRTHT_Tot_NPFH_3,C06_SDRTHT_Tot_NPFH_4,C06_SDRTHT_Tot_NPFH_5,C06_SDRTHT_Tot_NPFH_6_mor,C06_SDRTHT_T_T,C06_FUA_0b_NPFH_2,C06_FUA_0b_NPFH_3,C06_FUA_0b_NPFH_4,C06_FUA_0b_NPFH_5,C06_FUA_0b_NPFH_6_mor,C06_FUA_0bTotal,C06_FUA_1b_NPFH_2,C06_FUA_1b_NPFH_3,C06_FUA_1b_NPFH_4,C06_FUA_1b_NPFH_5,C06_FUA_1b_NPFH_6_mor,C06_FUA_1b_Tot,C06_FUA_2b_NPFH_2,C06_FUA_2b_NPFH_3,C06_FUA_2b_NPFH_4,C06_FUA_2b_NPFH_5,C06_FUA_2b_NPFH_6_mor,C06_FUA_2b_Tot,C06_FUA_3b_NPFH_2,C06_FUA_3b_NPFH_3,C06_FUA_3b_NPFH_4,C06_FUA_3b_NPFH_5,C06_FUA_3b_NPFH_6_mor,C06_FUA_3b_Tot,C06_FUA_4mb_NPFH_2,C06_FUA_4mb_NPFH_3,C06_FUA_4mb_NPFH_4,C06_FUA_4mb_NPFH_5,C06_FUA_4mb_NPFH_6_mor,C06_FUA_4mb_Tot,C06_FUA_NB_NS_NPFH_2,C06_FUA_NB_NS_NPFH_3,C06_FUA_NB_NS_NPFH_4,C06_FUA_NB_NS_NPFH_5,C06_FUA_NB_NS_NPFH_6_mor,C06_FUA_NB_NS_T,C06_FUA_Tot_NPFH_2,C06_FUA_Tot_NPFH_3,C06_FUA_Tot_NPFH_4,C06_FUA_Tot_NPFH_5,C06_FUA_Tot_NPFH_6_mor,C06_FUA_T_T,C06_OD_0b_NPFH_2,C06_OD_0b_NPFH_3,C06_OD_0b_NPFH_4,C06_OD_0b_NPFH_5,C06_OD_0b_NPFH_6_mor,C06_OD_0bTotal,C06_OD_1b_NPFH_2,C06_OD_1b_NPFH_3,C06_OD_1b_NPFH_4,C06_OD_1b_NPFH_5,C06_OD_1b_NPFH_6_mor,C06_OD_1b_Tot,C06_OD_2b_NPFH_2,C06_OD_2b_NPFH_3,C06_OD_2b_NPFH_4,C06_OD_2b_NPFH_5,C06_OD_2b_NPFH_6_mor,C06_OD_2b_Tot,C06_OD_3b_NPFH_2,C06_OD_3b_NPFH_3,C06_OD_3b_NPFH_4,C06_OD_3b_NPFH_5,C06_OD_3b_NPFH_6_mor,C06_OD_3b_Tot,C06_OD_4mb_NPFH_2,C06_OD_4mb_NPFH_3,C06_OD_4mb_NPFH_4,C06_OD_4mb_NPFH_5,C06_OD_4mb_NPFH_6_mor,C06_OD_4mb_Tot,C06_OD_NB_NS_NPFH_2,C06_OD_NB_NS_NPFH_3,C06_OD_NB_NS_NPFH_4,C06_OD_NB_NS_NPFH_5,C06_OD_NB_NS_NPFH_6_mor,C06_OD_NB_NS_T,C06_OD_Tot_NPFH_2,C06_OD_Tot_NPFH_3,C06_OD_Tot_NPFH_4,C06_OD_Tot_NPFH_5,C06_OD_Tot_NPFH_6_mor,C06_OD_T_T,C06_DS_NS_NPFH_2,C06_DS_NS_NPFH_3,C06_DS_NS_NPFH_4,C06_DS_NS_NPFH_5,C06_DS_NS_NPFH_6_mor,C06_DS_NS_T,C06_Tot_NPFH_2,C06_Tot_NPFH_3,C06_Tot_NPFH_4,C06_Tot_NPFH_5,C06_Tot_NPFH_6_mor,C06_T_T,C11_SH_0b_NPFH_2,C11_SH_0b_NPFH_3,C11_SH_0b_NPFH_4,C11_SH_0b_NPFH_5,C11_SH_0b_NPFH_6_mor,C11_SH_0bTotal,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_T,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5
101,4016,1328,406,22473,6954,3678,4974,2984,1510,20100,322,85,56,25,30,518,22861,9418,9481,4427,1978,48165,0,0,0,0,0,0,39,3,0,0,0,42,596,142,33,4,0,775,585,219,124,32,12,972,105,44,65,19,18,251,30,3,7,0,0,40,1355,411,229,55,30,2080,9,3,0,0,0,12,132,16,3,0,0,151,816,196,63,15,5,1095,231,92,58,19,6,406,26,18,18,9,8,79,33,10,4,0,0,47,1247,335,146,43,19,1790,34,3,4,3,0,44,96,6,3,0,0,105,158,30,16,9,0,213,73,32,38,18,10,171,29,15,25,19,6,94,14,4,3,3,0,24,404,90,89,52,16,651,16,3,4,3,0,26,25883,10257,9949,4580,2043,52712,45,17,12,3,3,80,386,51,33,11,4,485,3097,730,369,90,21,4307,12406,4633,3803,1270,399,22511,8205,4116,5274,3087,1572,22254,274,85,63,32,12,466,24413,9632,9554,4493
102,6606,1904,547,31849,8637,5597,8242,5110,2308,29894,460,131,96,47,32,766,29285,14549,15443,7184,2920,69381,7,3,0,0,0,10,73,3,0,0,0,76,1581,172,44,11,0,1808,2077,763,465,138,32,3475,184,119,142,75,32,552,62,10,6,3,3,84,3984,1070,657,227,67,6005,3,0,0,0,0,3,94,5,0,0,0,99,1164,196,34,9,0,1403,625,225,131,26,13,1020,36,28,26,18,4,112,43,8,8,0,0,59,1965,462,199,53,17,2696,10,0,0,3,0,13,67,4,0,0,0,71,210,30,11,0,0,251,64,15,16,5,0,100,12,9,10,4,7,42,10,0,0,0,0,10,373,58,37,12,7,487,20,7,4,0,0,31,35627,16146,16340,7476,3011,78600,19,15,9,3,3,49,322,44,23,13,7,409,4434,1236,482,106,37,6295,14957,7428,6491,1929,611,31416,9855,6234,8956,5084,2661,32790,389,104,96,49,19,657,29976,15061,16057,7184
103,4171,1533,513,23025,6347,3492,4510,3075,1663,19087,281,83,69,41,25,499,21831,9258,9081,4747,2238,47155,0,0,0,0,0,0,23,0,0,0,0,23,295,55,14,3,0,367,239,133,58,28,10,468,36,16,31,18,11,112,11,4,3,0,0,18,604,208,106,49,21,988,0,3,0,0,0,3,57,7,0,0,0,64,452,87,26,3,3,571,130,49,38,12,4,233,9,7,16,8,3,43,12,3,0,0,0,15,660,156,80,23,10,929,12,5,3,0,0,20,33,3,0,0,3,39,53,25,3,3,0,84,65,20,26,11,3,125,40,13,20,9,8,90,4,4,3,0,0,11,207,70,55,23,14,369,19,17,12,0,3,51,23321,9709,9334,4842,2286,49492,26,11,7,4,3,51,220,33,23,12,8,296,2914,663,279,95,38,3989,11905,4790,3884,1458,507,22544,7460,3722,4786,3261,1736,20965,335,110,61,43,38,587,22860,9329,9040,4873
104,2824,895,301,15282,3703,2000,2606,1734,916,10959,190,57,40,32,26,345,14236,5864,5764,2733,1277,29874,0,0,0,0,0,0,18,0,0,0,0,18,570,109,38,5,3,725,515,206,159,30,13,923,59,34,30,21,7,151,27,5,3,0,0,35,1189,354,230,56,23,1852,5,0,0,0,0,5,49,9,4,0,0,62,710,146,39,12,3,910,251,111,57,17,3,439,34,14,11,6,4,69,17,9,5,0,3,34,1066,289,116,35,13,1519,26,6,7,0,0,39,119,6,4,0,0,129,176,42,13,4,0,235,71,30,27,11,3,142,29,5,13,4,3,54,14,0,0,3,0,17,435,89,64,22,6,616,3,0,3,0,0,6,16929,6596,6177,2846,1319,33867,22,9,12,0,6,49,246,38,18,3,3,308,2044,497,255,61,22,2879,8388,3261,2639,866,333,15487,4556,2224,2820,1755,980,12335,140,71,46,22,23,302,15396,6100,5790,2707
105,2455,955,445,13605,3432,1861,2463,1681,1064,10501,214,69,61,41,37,422,12657,5405,5189,2767,1582,27600,0,0,0,0,0,0,10,0,0,0,3,13,152,38,14,3,3,210,131,60,49,7,3,250,46,39,36,16,10,147,9,0,0,0,0,9,348,137,99,26,19,629,3,0,0,0,0,3,61,5,0,0,0,66,257,70,18,3,3,351,46,20,18,6,3,93,10,5,8,9,0,32,13,4,0,0,0,17,390,104,44,18,6,562,17,4,0,0,0,21,49,4,3,0,0,56,50,17,14,4,3,88,54,18,21,6,6,105,30,19,18,6,6,79,19,3,0,0,0,22,219,65,56,16,15,371,10,0,6,3,0,19,13624,5711,5394,2830,1622,29181,23,3,6,0,0,32,167,16,16,11,7,217,1860,410,177,52,24,2523,6748,2841,2200,850,388,13027,3790,2053,2493,1708,1068,11112,214,72,53,28,26,393,12802,5395,4945,2649
106,5683,1765,578,27866,6959,4379,6407,3845,1815,23405,347,112,101,49,35,644,24484,11690,12625,5761,2468,57028,0,0,0,0,0,0,39,0,0,0,0,39,473,70,16,3,0,562,703,299,154,43,10,1209,121,63,86,49,26,345,19,8,3,3,3,36,1355,440,259,98,39,2191,5,0,0,0,0,5,67,7,4,0,0,78,567,133,28,8,3,739,237,93,62,18,4,414,42,11,17,14,10,94,18,3,3,0,0,24,936,247,114,40,17,1354,19,4,3,3,3,32,67,3,3,0,3,76,119,25,15,3,3,165,53,24,25,13,3,118,19,19,17,10,0,65,8,4,0,3,0,15,285,79,63,32,12,471,20,6,11,3,3,43,27080,12462,13072,5934,2539,61087,24,8,6,3,4,45,248,54,24,12,4,342,3147,844,380,101,34,4506,13819,6170,5302,1834,635,27760,8655,5240,7097,4076,2060,27128,309,96,80,32,36,553,26202,12412,12889,6058
107,7017,2007,590,30711,5537,4448,7015,4306,1914,23220,338,106,97,50,34,625,22751,12670,14557,6450,2555,58983,5,0,0,0,0,5,62,3,3,0,0,68,1420,317,95,8,4,1844,1493,770,509,128,52,2952,98,82,87,51,56,374,47,14,11,3,0,75,3125,1186,705,190,112,5318,5,3,3,0,0,11,270,24,3,3,0,300,2221,547,180,32,3,2983,785,376,251,43,18,1473,54,45,47,32,10,188,76,16,11,5,0,108,3411,1011,495,115,31,5063,0,3,0,0,0,3,67,3,0,3,0,73,237,35,6,3,0,281,72,31,10,5,0,118,12,14,9,17,0,52,11,0,0,0,0,11,399,86,25,28,0,538,18,4,12,9,0,43,29704,14957,15794,6792,2698,69945,16,9,8,4,0,37,176,36,24,14,3,253,2700,839,395,98,27,4059,13894,7050,6737,1911,622,30214,6808,5044,7610,4393,2111,25966,325,89,74,36,34,558,23919,13067,14848,6456
108,4204,1383,476,24865,6253,2980,3711,2431,1259,16634,292,82,67,24,28,493,24119,8842,8343,3948,1817,47069,4,0,0,0,0,4,33,3,0,0,0,36,1048,142,21,4,3,1218,1142,301,140,31,7,1621,101,29,39,22,9,200,35,3,3,3,0,44,2363,478,203,60,19,3123,0,0,0,0,0,0,147,6,3,0,0,156,1081,197,59,4,0,1341,335,116,56,9,5,521,35,12,11,9,3,70,37,9,0,0,0,46,1635,340,129,22,8,2134,32,5,5,0,0,42,160,6,4,7,0,177,377,47,18,5,3,450,115,42,28,7,8,200,30,15,16,11,9,81,19,3,3,3,0,28,733,118,74,33,20,978,10,0,3,3,0,16,28860,9778,8752,4066,1864,53320,41,14,9,4,3,71,317,47,22,9,7,402,3392,669,308,99,35,4503,14148,4826,3802,1364,536,24676,7484,3195,3872,2427,1395,18373,294,60,50,20,24,448,25676,8811,8063,3923
109,2586,899,274,14283,3174,1778,2325,1719,803,9799,188,52,26,19,10,295,12514,5248,5070,2685,1103,26620,0,0,0,0,0,0,17,0,0,0,0,17,340,46,14,0,0,400,131,42,20,9,5,207,15,8,13,3,4,43,11,3,3,0,0,17,514,99,50,12,9,684,4,0,0,0,0,4,55,4,0,0,0,59,643,124,34,3,0,804,195,58,46,7,0,306,23,8,14,3,5,53,30,3,0,0,0,33,950,197,94,13,5,1259,14,0,0,3,0,17,48,0,3,0,0,51,73,7,5,5,0,90,70,31,12,11,0,124,8,7,7,3,3,28,13,0,3,0,0,16,226,45,30,22,3,326,3,4,3,3,0,13,14207,5593,5247,2735,1120,28902,10,3,3,0,4,20,100,9,3,4,0,116,1645,315,110,20,14,2104,7733,2752,2338,745,257,13825,3664,1868,2524,1623,803,10482,187,46,27,14,17,291,13339,4993,5005,2406
110,4028,1563,505,21580,5750,3069,3753,2570,1334,16476,294,96,61,43,42,536,19883,8545,8220,4276,1915,42839,0,0,0,0,0,0,16,0,0,3,0,19,215,48,7,3,0,273,79,39,21,4,4,147,25,18,19,8,3,73,3,0,0,0,0,3,338,105,47,18,7,515,0,0,0,0,0,0,85,12,6,4,0,107,585,157,40,5,4,791,120,46,27,5,4,202,25,19,11,3,8,66,24,8,5,0,0,37,839,242,89,17,16,1203,15,0,3,0,0,18,54,3,3,0,0,60,54,20,11,0,0,85,69,22,28,13,6,138,30,18,25,12,5,90,13,0,0,0,0,13,235,63,70,25,11,404,20,9,6,3,3,41,21315,8964,8432,4339,1952,45002,31,6,7,3,0,47,303,34,23,14,0,374,2615,624,264,78,24,3605,10967,4543,3697,1326,497,21030,6659,3161,3957,2595,1428,17800,289,83,79,32,32,515,20864,8451,8027,4048
