region_id,C11_SH_Tot_NPFH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPFH_2,C11_SDRTHT_0b_NPFH_3,C11_SDRTHT_0b_NPFH_4,C11_SDRTHT_0b_NPFH_5,C11_SDRTHT_0b_NPFH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPFH_2,C11_FUA_0b_NPFH_3,C11_FUA_0b_NPFH_4,C11_FUA_0b_NPFH_5,C11_FUA_0b_NPFH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPFH_2,C11_FUA_1b_NPFH_3,C11_FUA_1b_NPFH_4,C11_FUA_1b_NPFH_5,C11_FUA_1b_NPFH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPFH_2,C11_FUA_2b_NPFH_3,C11_FUA_2b_NPFH_4,C11_FUA_2b_NPFH_5,C11_FUA_2b_NPFH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPFH_2,C11_FUA_3b_NPFH_3,C11_FUA_3b_NPFH_4,C11_FUA_3b_NPFH_5,C11_FUA_3b_NPFH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPFH_2,C11_FUA_4mb_NPFH_3,C11_FUA_4mb_NPFH_4,C11_FUA_4mb_NPFH_5,C11_FUA_4mb_NPFH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPFH_2,C11_FUA_NB_NS_NPFH_3,C11_FUA_NB_NS_NPFH_4,C11_FUA_NB_NS_NPFH_5,C11_FUA_NB_NS_NPFH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPFH_2,C11_FUA_Tot_NPFH_3,C11_FUA_Tot_NPFH_4,C11_FUA_Tot_NPFH_5,C11_FUA_Tot_NPFH_6_mor,C11_FUA_T_T,C11_OD_0b_NPFH_2,C11_OD_0b_NPFH_3,C11_OD_0b_NPFH_4,C11_OD_0b_NPFH_5,C11_OD_0b_NPFH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_T_T,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_T,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_T_T
101,2011,50103,0,0,0,0,0,0,56,11,0,0,0,67,745,196,69,14,3,1027,744,264,177,52,15,1252,112,53,59,23,13,260,26,3,3,5,0,37,1683,527,308,94,31,2643,7,3,0,0,0,10,148,30,9,0,0,187,818,223,104,22,4,1171,237,93,60,18,6,414,48,14,30,7,3,102,26,5,3,0,0,34,1284,368,206,47,13,1918,19,0,4,0,3,26,98,4,6,0,0,108,130,28,10,3,5,176,80,34,28,10,3,155,26,14,8,7,7,62,16,5,0,0,0,21,369,85,56,20,18,548,39,20,11,4,5,79,27788,10632,10135,4658,2078,55291
102,3338,71616,4,3,0,0,0,7,74,6,3,0,0,83,1636,254,70,10,7,1977,2368,942,599,171,48,4128,258,159,206,132,68,823,76,19,12,0,0,107,4416,1383,890,313,123,7125,10,0,0,0,0,10,143,11,6,0,0,160,1448,275,70,17,3,1813,755,243,165,39,17,1219,36,24,27,17,3,107,48,4,3,0,3,58,2440,557,271,73,26,3367,11,0,3,0,0,14,71,3,5,0,0,79,176,24,13,3,0,216,36,7,16,7,6,72,8,6,11,3,7,35,8,0,6,0,3,17,310,40,54,13,16,433,36,18,4,0,3,61,37178,17059,17276,7583,3506,82602
103,2330,48432,0,0,0,0,0,0,29,10,0,0,0,39,459,95,22,4,3,583,317,140,72,27,12,568,42,6,29,20,10,107,21,6,7,0,4,38,868,257,130,51,29,1335,4,0,0,0,0,4,51,3,3,0,0,57,372,71,19,3,0,465,97,45,18,13,5,178,13,5,0,4,0,22,5,0,0,0,0,5,542,124,40,20,5,731,3,3,0,4,0,10,37,3,5,3,0,48,41,10,7,3,0,61,37,11,14,5,0,67,12,7,5,7,4,35,13,0,0,0,0,13,143,34,31,22,4,234,28,3,4,6,0,41,24441,9747,9245,4972,2368,50773
104,1367,31360,0,0,0,0,0,0,20,0,3,0,0,23,578,109,35,3,0,725,530,201,112,31,13,887,45,20,34,14,8,121,13,0,3,3,0,19,1186,330,187,51,21,1775,4,3,0,0,0,7,64,0,0,0,0,64,611,150,56,11,6,834,220,111,49,19,10,409,22,4,10,4,3,43,23,3,3,0,0,29,944,271,118,34,19,1386,27,3,4,0,0,34,120,3,4,0,0,127,206,26,14,3,0,249,64,24,11,3,0,102,17,7,10,0,8,42,13,3,4,0,0,20,447,66,47,6,8,574,7,3,0,3,0,13,17980,6770,6142,2801,1415,35108
105,1513,27304,3,0,0,0,0,3,10,3,0,0,0,13,191,36,16,5,0,248,69,41,27,8,0,145,7,12,6,3,6,34,7,3,0,0,0,10,287,95,49,16,6,453,5,0,0,0,0,5,59,5,3,0,0,67,294,58,22,5,3,382,69,28,20,10,4,131,20,7,19,10,7,63,8,0,0,3,0,11,455,98,64,28,14,659,13,0,0,0,0,13,44,3,0,4,0,51,41,9,3,0,0,53,45,23,10,3,4,85,24,6,8,8,8,54,11,0,7,0,0,18,178,41,28,15,12,274,27,17,8,3,12,67,13749,5646,5094,2711,1557,28757
106,2773,60334,3,0,3,0,0,6,59,3,3,0,0,65,770,158,41,7,3,979,893,377,242,78,12,1602,135,80,96,44,22,377,21,7,6,0,0,34,1881,625,391,129,37,3063,4,3,0,0,0,7,77,13,0,0,0,90,505,118,40,12,0,675,299,107,66,18,9,499,40,16,22,7,7,92,17,5,0,0,3,25,942,262,128,37,19,1388,19,3,0,0,0,22,96,3,3,0,0,102,107,23,8,3,3,144,33,15,13,5,3,69,15,3,9,3,3,33,11,0,0,0,0,11,281,47,33,11,9,381,19,7,4,3,0,33,29325,13353,13445,6238,2838,65199
107,2797,61087,3,3,0,0,3,9,76,6,3,0,3,88,1657,388,129,24,3,2201,1732,928,618,191,48,3517,121,96,123,68,46,454,61,22,6,0,0,89,3650,1443,879,283,103,6358,13,4,0,3,0,20,294,32,8,3,0,337,2324,646,246,46,5,3267,820,327,202,60,22,1431,35,31,34,18,14,132,65,14,8,0,0,87,3551,1054,498,130,41,5274,3,0,0,0,0,3,38,3,0,0,0,41,233,36,9,5,0,283,46,26,12,5,4,93,6,6,4,6,7,29,14,4,0,0,0,18,340,75,25,16,11,467,16,9,0,0,0,25,31476,15648,16250,6885,2952,73211
108,2000,48473,0,0,0,0,0,0,69,3,0,0,0,72,1073,180,37,4,0,1294,1151,313,172,50,13,1699,109,40,58,33,23,263,44,7,0,0,3,54,2446,543,267,87,39,3382,0,0,0,0,0,0,98,9,3,0,0,110,1073,223,57,9,3,1365,489,164,58,20,5,736,29,12,8,5,3,57,24,10,3,0,0,37,1713,418,129,34,11,2305,20,7,3,0,0,30,143,11,4,3,0,161,309,30,12,3,0,354,92,23,20,10,6,151,33,9,8,7,4,61,14,3,0,0,0,17,611,83,47,23,10,774,21,9,3,0,0,33,30467,9864,8509,4067,2060,54967
109,1095,26838,0,0,0,0,0,0,7,0,0,0,0,7,281,33,12,5,0,331,128,61,19,10,4,222,5,10,5,0,0,20,7,0,0,0,0,7,428,104,36,15,4,587,5,3,0,0,0,8,60,5,0,0,0,65,659,169,53,7,0,888,169,70,38,10,3,290,9,6,4,3,3,25,27,7,0,0,3,37,929,260,95,20,9,1313,6,3,3,0,0,12,41,0,0,0,0,41,59,11,0,0,0,70,44,9,10,5,0,68,10,3,3,7,3,26,5,0,3,0,0,8,165,26,19,12,3,225,20,9,13,0,3,45,14881,5392,5168,2453,1114,29008
110,1981,43371,0,3,0,0,0,3,25,0,0,0,0,25,271,61,19,7,0,358,158,50,35,13,3,259,44,26,28,11,7,116,9,5,3,0,3,20,507,145,85,31,13,781,0,0,0,0,0,0,87,6,5,0,0,98,609,167,57,15,0,848,134,71,36,9,0,250,18,3,5,9,4,39,26,8,3,0,0,37,874,255,106,33,4,1272,14,4,0,0,0,18,49,5,0,0,0,54,52,21,4,4,0,81,38,15,19,8,7,87,21,9,8,6,8,52,14,0,0,0,0,14,188,54,31,18,15,306,30,9,8,6,0,53,22463,8914,8257,4136,2013,45783
111,2847,80511,4,3,0,0,0,7,151,7,0,3,0,161,1936,367,107,19,4,2433,1474,681,395,133,49,2732,104,65,102,60,28,359,59,18,9,0,3,89,3728,1141,613,215,84,5781,10,4,0,0,0,14,372,27,4,3,0,406,1746,340,88,11,3,2188,744,300,156,49,19,1268,42,16,17,10,16,101,54,15,3,0,0,72,2968,702,268,73,38,4049,10,5,3,3,0,21,65,7,0,0,0,72,144,28,5,0,0,177,29,10,13,0,6,58,5,6,12,0,6,29,11,0,0,0,0,11,264,56,33,3,12,368,32,7,3,4,0,46,42177,19320,18640,7637,2981,90755
112,2154,49824,5,0,3,0,3,11,94,3,3,0,0,100,1329,276,84,15,3,1707,1899,877,458,127,38,3399,169,85,122,62,43,481,54,12,0,4,0,70,3550,1253,670,208,87,5768,6,0,0,0,0,6,138,13,0,0,0,151,1534,342,78,21,3,1978,793,315,206,61,11,1386,32,25,18,11,10,96,43,5,7,0,3,58,2546,700,309,93,27,3675,34,4,0,0,0,38,231,10,3,0,0,244,320,55,20,7,0,402,97,39,19,11,4,170,16,10,7,4,9,46,24,0,6,0,0,30,722,118,55,22,13,930,30,11,5,4,0,50,30378,12015,10743,4830,2281,60247
113,1867,36280,0,0,0,0,0,0,23,0,0,0,0,23,272,75,27,8,0,382,155,69,46,16,7,293,29,13,13,14,4,73,7,3,0,0,0,10,486,160,86,38,11,781,0,0,3,0,0,3,50,10,0,0,3,63,651,143,83,6,4,887,141,47,31,8,3,230,14,6,13,25,5,63,13,8,4,4,0,29,869,214,134,43,15,1275,6,3,0,0,0,9,27,0,3,0,0,30,28,9,5,3,0,45,33,16,9,0,0,58,12,6,3,6,6,33,8,0,0,0,0,8,114,34,20,9,6,183,19,11,3,4,0,37,18069,7447,7220,3921,1899,38556
114,1320,34809,0,0,0,0,0,0,28,4,0,0,0,32,400,59,8,0,0,467,461,120,73,23,13,690,100,38,56,37,20,251,10,4,0,3,0,17,999,225,137,63,33,1457,0,0,0,0,0,0,28,0,3,0,0,31,270,43,14,0,3,330,88,30,11,6,0,135,8,3,3,4,3,21,12,0,0,0,0,12,406,76,31,10,6,529,4,0,3,4,3,14,53,0,0,3,0,56,112,7,3,3,0,125,37,14,6,0,0,57,9,6,3,3,0,21,4,0,3,0,0,7,219,27,18,13,3,280,24,4,9,0,0,37,19713,6708,6396,2933,1362,37112
115,3182,50711,0,3,0,0,0,3,33,3,3,4,0,43,458,113,50,7,3,631,1168,761,601,133,32,2695,228,171,195,70,36,700,16,0,0,0,0,16,1903,1051,849,214,71,4088,0,0,3,0,0,3,62,7,0,0,0,69,482,167,57,4,5,715,197,121,69,16,4,407,12,11,12,3,3,41,3,0,3,3,0,9,756,306,144,26,12,1244,7,0,0,0,0,7,18,0,0,0,3,21,31,11,3,3,0,48,11,10,5,3,0,29,0,0,5,0,3,8,3,0,0,0,0,3,70,21,13,6,6,116,14,4,7,4,0,29,17642,11880,16097,7298,3271,56188
116,5882,65714,7,3,3,0,3,16,65,17,3,5,4,94,523,284,138,40,20,1005,1637,1564,1331,581,349,5462,275,362,504,283,268,1692,40,26,18,18,11,113,2547,2256,1997,927,655,8382,14,0,6,0,0,20,118,16,6,0,0,140,991,699,405,112,46,2253,62,87,67,34,28,278,7,3,10,10,5,35,32,20,10,0,7,69,1224,825,504,156,86,2795,0,0,0,0,0,0,20,7,0,0,0,27,46,17,11,0,0,74,15,12,9,4,0,40,0,3,3,4,4,14,3,5,0,0,0,8,84,44,23,8,4,163,17,13,8,7,0,45,22771,18134,19894,9673,6627,77099
117,695,12000,25,6,0,0,0,31,591,40,9,4,0,644,3493,1219,516,76,12,5316,2567,1807,1555,366,112,6407,477,456,586,307,155,1981,78,26,9,7,9,129,7231,3554,2675,760,288,14508,660,49,22,4,0,735,7066,591,100,15,0,7772,10206,3824,1903,391,100,16424,1773,1126,879,266,122,4166,90,63,67,41,16,277,202,69,37,11,6,325,19997,5722,3008,728,244,29699,3,3,0,0,0,6,41,6,0,0,0,47,82,34,25,9,0,150,12,23,26,11,12,84,5,3,3,4,8,23,3,3,4,0,0,10,146,72,58,24,20,320,141,44,19,3,0,207,31826,12237,8706,2718,1247,56734
118,1054,19863,8,4,3,0,3,18,189,23,11,0,0,223,1836,680,384,69,3,2972,2265,1709,1781,413,64,6232,571,615,998,520,162,2866,83,18,9,4,0,114,4952,3049,3186,1006,232,12425,193,14,6,3,0,216,3136,257,38,5,5,3441,10040,3923,1549,253,33,15798,2249,1343,1093,264,66,5015,138,93,133,76,25,465,178,43,16,4,0,241,15934,5673,2835,605,129,25176,4,0,0,0,0,4,27,3,0,0,0,30,50,20,19,3,3,95,17,19,18,5,0,59,4,4,10,4,9,31,0,0,0,0,0,0,102,46,47,12,12,219,38,13,19,11,3,84,27264,12793,11849,4431,1430,57767
119,7681,83721,15,3,3,4,3,28,194,26,7,5,3,235,1809,919,588,173,57,3546,2775,2127,2088,830,404,8224,661,861,1089,695,569,3875,83,62,39,24,20,228,5537,3998,3814,1731,1056,16136,92,38,33,4,3,170,1073,245,57,14,4,1393,10274,7099,4432,1330,388,23523,1525,1586,1414,618,369,5512,89,90,128,76,75,458,275,157,118,53,25,628,13328,9215,6182,2095,864,31684,3,0,0,0,0,3,41,9,3,0,0,53,111,60,45,19,10,245,43,40,38,13,15,149,8,8,12,8,10,46,3,0,7,5,0,15,209,117,105,45,35,511,65,57,35,21,19,197,45196,31389,31013,14996,9655,132249
120,1795,33650,8,3,3,0,0,14,251,24,7,0,0,282,2466,1035,541,69,13,4124,1935,1490,1458,320,84,5287,302,292,420,234,74,1322,51,15,5,4,0,75,5013,2859,2434,627,171,11104,114,22,10,3,3,152,1679,259,58,7,5,2008,7963,4101,2016,394,90,14564,1729,1161,1002,303,104,4299,60,56,85,43,25,269,115,61,44,17,7,244,11660,5660,3215,767,234,21536,0,0,0,0,0,0,39,4,0,0,0,43,99,45,23,11,3,181,40,36,32,12,5,125,10,3,14,7,5,39,3,5,0,0,0,8,191,93,69,30,13,396,56,17,14,0,3,90,28121,16290,14844,5305,2216,66776
121,2683,62762,9,0,3,0,0,12,140,17,3,0,0,160,1262,454,218,31,4,1969,2141,1112,1034,221,40,4548,300,206,341,136,49,1032,36,8,12,4,0,60,3888,1797,1611,392,93,7781,204,25,6,3,0,238,3303,361,72,6,0,3742,10629,4269,1864,257,62,17081,3195,1699,1280,278,87,6539,116,73,100,49,9,347,117,41,19,3,3,183,17564,6468,3341,596,161,28130,0,0,0,0,0,0,25,3,0,0,0,28,24,17,9,0,0,50,18,7,11,5,0,41,4,3,3,0,5,15,0,0,0,0,0,0,71,30,23,5,5,134,62,30,21,12,3,128,41757,21326,23427,9480,2945,98935
122,2016,43863,5,0,3,0,0,8,146,14,4,0,0,164,713,220,137,18,0,1088,1088,659,703,166,31,2647,221,133,217,144,57,772,16,4,8,0,0,28,2189,1030,1072,328,88,4707,49,3,4,0,0,56,1625,139,26,3,0,1793,6046,2388,962,127,34,9557,1316,591,462,118,20,2507,73,48,58,41,17,237,88,24,21,3,0,136,9197,3193,1533,292,71,14286,5,0,0,0,0,5,15,3,0,0,0,18,36,13,10,0,0,59,20,10,10,3,0,43,10,3,7,3,4,27,4,0,0,0,0,4,90,29,27,6,4,156,13,3,8,11,0,35,25730,13000,15747,6391,2179,63047
123,4152,54633,3,3,3,3,3,15,43,4,3,0,4,54,955,329,134,47,9,1474,1201,841,615,256,156,3069,173,150,207,108,124,762,36,13,13,8,11,81,2411,1340,975,422,307,5455,3,0,0,3,0,6,56,5,0,0,0,61,419,104,46,10,3,582,128,53,30,6,3,220,11,7,9,0,3,30,14,4,0,0,0,18,631,173,85,19,9,917,0,0,0,0,0,0,18,7,0,0,0,25,13,4,6,3,0,26,26,20,20,3,4,73,14,11,16,6,8,55,3,0,0,0,0,3,74,42,42,12,12,182,11,6,8,5,0,30,20645,13715,15221,7156,4480,61217
