region_id,C11_SH_Tot_NPGH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPGH_2,C11_SDRTHT_0b_NPGH_3,C11_SDRTHT_0b_NPGH_4,C11_SDRTHT_0b_NPGH_5,C11_SDRTHT_0b_NPGH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPGH_2,C11_SDRTHT_1b_NPGH_3,C11_SDRTHT_1b_NPGH_4,C11_SDRTHT_1b_NPGH_5,C11_SDRTHT_1b_NPGH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPGH_2,C11_SDRTHT_2b_NPGH_3,C11_SDRTHT_2b_NPGH_4,C11_SDRTHT_2b_NPGH_5,C11_SDRTHT_2b_NPGH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPGH_2,C11_SDRTHT_3b_NPGH_3,C11_SDRTHT_3b_NPGH_4,C11_SDRTHT_3b_NPGH_5,C11_SDRTHT_3b_NPGH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPGH_2,C11_SDRTHT_4mb_NPGH_3,C11_SDRTHT_4mb_NPGH_4,C11_SDRTHT_4mb_NPGH_5,C11_SDRTHT_4mb_NPGH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPGH_2,C11_SDRTHT_NB_NS_NPGH_3,C11_SDRTHT_NB_NS_NPGH_4,C11_SDRTHT_NB_NS_NPGH_5,C11_SDRTHT_NB_NS_NPGH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPGH_2,C11_SDRTHT_Tot_NPGH_3,C11_SDRTHT_Tot_NPGH_4,C11_SDRTHT_Tot_NPGH_5,C11_SDRTHT_Tot_NPGH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPGH_2,C11_FUA_0b_NPGH_3,C11_FUA_0b_NPGH_4,C11_FUA_0b_NPGH_5,C11_FUA_0b_NPGH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPGH_2,C11_FUA_1b_NPGH_3,C11_FUA_1b_NPGH_4,C11_FUA_1b_NPGH_5,C11_FUA_1b_NPGH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPGH_2,C11_FUA_2b_NPGH_3,C11_FUA_2b_NPGH_4,C11_FUA_2b_NPGH_5,C11_FUA_2b_NPGH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPGH_2,C11_FUA_3b_NPGH_3,C11_FUA_3b_NPGH_4,C11_FUA_3b_NPGH_5,C11_FUA_3b_NPGH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPGH_2,C11_FUA_4mb_NPGH_3,C11_FUA_4mb_NPGH_4,C11_FUA_4mb_NPGH_5,C11_FUA_4mb_NPGH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPGH_2,C11_FUA_NB_NS_NPGH_3,C11_FUA_NB_NS_NPGH_4,C11_FUA_NB_NS_NPGH_5,C11_FUA_NB_NS_NPGH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPGH_2,C11_FUA_Tot_NPGH_3,C11_FUA_Tot_NPGH_4,C11_FUA_Tot_NPGH_5,C11_FUA_Tot_NPGH_6_mor,C11_FUA_T_T,C11_OD_0b_NPGH_2,C11_OD_0b_NPGH_3,C11_OD_0b_NPGH_4,C11_OD_0b_NPGH_5,C11_OD_0b_NPGH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPGH_2,C11_OD_1b_NPGH_3,C11_OD_1b_NPGH_4,C11_OD_1b_NPGH_5,C11_OD_1b_NPGH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPGH_2,C11_OD_2b_NPGH_3,C11_OD_2b_NPGH_4,C11_OD_2b_NPGH_5,C11_OD_2b_NPGH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPGH_2,C11_OD_3b_NPGH_3,C11_OD_3b_NPGH_4,C11_OD_3b_NPGH_5,C11_OD_3b_NPGH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPGH_2,C11_OD_4mb_NPGH_3,C11_OD_4mb_NPGH_4,C11_OD_4mb_NPGH_5,C11_OD_4mb_NPGH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPGH_2,C11_OD_NB_NS_NPGH_3,C11_OD_NB_NS_NPGH_4,C11_OD_NB_NS_NPGH_5,C11_OD_NB_NS_NPGH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPGH_2,C11_OD_Tot_NPGH_3,C11_OD_Tot_NPGH_4,C11_OD_Tot_NPGH_5,C11_OD_Tot_NPGH_6_mor,C11_OD_T_T,C11_DS_NS_NPGH_2,C11_DS_NS_NPGH_3,C11_DS_NS_NPGH_4,C11_DS_NS_NPGH_5,C11_DS_NS_NPGH_6_mor,C11_DS_NS_T,C11_Tot_NPGH_2,C11_Tot_NPGH_3,C11_Tot_NPGH_4,C11_Tot_NPGH_5,C11_Tot_NPGH_6_mor,C11_T_T
101,0,1415,0,0,0,0,0,0,8,0,0,0,0,8,117,7,0,0,0,124,66,19,0,0,0,85,6,0,0,0,0,6,4,0,0,0,0,4,201,26,0,0,0,227,0,0,0,0,0,0,17,0,0,0,0,17,157,16,7,0,0,180,35,8,0,0,0,43,0,3,4,0,0,7,8,0,0,0,0,8,217,27,11,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,4,0,0,0,0,4,0,3,0,0,0,3,6,0,3,0,0,9,26,3,3,0,0,32,0,0,0,3,0,3,1675,195,47,15,0,1932
102,7,2347,0,0,0,0,0,0,4,4,0,0,0,8,139,5,3,0,0,147,229,49,6,0,0,284,16,4,0,0,0,20,4,0,0,0,0,4,392,62,9,0,0,463,0,0,0,0,0,0,21,0,0,0,0,21,228,11,0,0,0,239,77,20,4,0,0,101,6,3,3,0,3,15,6,0,0,0,0,6,338,34,7,0,3,382,0,0,0,0,0,0,10,0,0,0,0,10,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,9,0,0,0,0,9,2821,315,75,17,10,3238
103,3,1627,3,0,0,0,0,3,8,0,0,0,0,8,88,4,0,0,0,92,43,19,0,0,0,62,7,3,3,0,4,17,3,3,0,0,0,6,152,29,3,0,4,188,3,0,0,0,0,3,12,0,0,0,0,12,94,3,0,0,0,97,14,6,0,0,0,20,0,5,4,0,0,9,3,0,0,0,0,3,126,14,4,0,0,144,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16,4,0,0,0,0,4,1611,248,92,21,7,1979
104,0,1140,0,0,0,0,0,0,3,0,0,0,0,3,84,10,0,0,0,94,55,16,5,0,0,76,8,0,0,0,0,8,10,0,0,0,0,10,160,26,5,0,0,191,0,0,0,0,0,0,5,4,0,0,0,9,145,4,0,3,0,152,30,13,0,0,0,43,4,0,0,0,0,4,8,0,0,0,0,8,192,21,0,3,0,216,4,0,0,0,0,4,3,0,0,0,0,3,26,0,0,0,0,26,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,43,0,0,0,0,43,0,0,0,0,0,0,1359,172,50,9,0,1590
105,3,924,0,0,0,0,0,0,3,0,0,0,0,3,16,0,0,0,0,16,12,3,0,0,0,15,3,3,3,0,0,9,0,0,0,0,0,0,34,6,3,0,0,43,0,0,0,0,0,0,7,0,0,0,0,7,71,3,0,0,0,74,12,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,5,95,3,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,3,0,0,3,3,3,0,0,0,6,0,0,0,0,0,0,13,3,3,0,0,19,5,3,0,0,0,8,964,92,26,7,3,1092
106,0,1714,0,0,0,0,0,0,3,0,0,0,0,3,137,3,0,0,0,140,85,7,3,0,0,95,9,3,3,0,0,15,0,3,0,0,0,3,234,16,6,0,0,256,0,0,0,0,0,0,13,0,0,0,0,13,97,0,0,0,0,97,30,11,0,0,0,41,3,3,0,0,0,6,3,0,0,0,0,3,146,14,0,0,0,160,4,0,0,0,0,4,6,0,0,0,0,6,12,0,0,0,0,12,0,3,0,0,0,3,3,3,0,0,0,6,3,0,0,0,0,3,28,6,0,0,0,34,3,0,0,0,0,3,1916,200,39,12,0,2167
107,25,1618,0,0,0,0,0,0,5,0,0,0,0,5,209,12,0,0,0,221,140,92,22,5,0,259,9,3,14,3,3,32,14,5,0,0,0,19,377,112,36,8,3,536,13,4,0,0,0,17,50,3,0,0,0,53,750,80,11,0,0,841,110,167,35,11,0,323,4,5,20,20,5,54,17,4,3,4,0,28,944,263,69,35,5,1316,0,0,0,0,0,0,3,0,0,0,0,3,24,0,0,0,0,24,0,6,0,0,0,6,3,0,3,0,0,6,9,0,0,0,0,9,39,6,3,0,0,48,7,0,0,0,0,7,2517,622,255,98,33,3525
108,3,1578,3,0,0,0,0,3,9,0,0,0,0,9,84,3,0,0,0,87,77,16,0,0,0,93,5,3,0,0,0,8,3,0,0,0,0,3,181,22,0,0,0,203,0,0,0,0,0,0,11,0,0,0,0,11,199,6,0,0,0,205,40,9,0,0,0,49,3,3,3,0,0,9,13,0,0,0,0,13,266,18,3,0,0,287,4,0,0,0,0,4,8,0,0,0,0,8,38,0,0,0,0,38,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54,4,0,0,0,0,4,1935,158,21,9,3,2126
109,5,992,0,3,0,0,0,3,0,0,0,0,0,0,44,4,0,0,0,48,20,16,0,0,0,36,3,0,0,0,0,3,7,0,0,0,0,7,74,23,0,0,0,97,0,0,0,0,0,0,8,0,0,0,0,8,168,3,0,0,0,171,24,14,0,0,0,38,0,3,3,0,0,6,6,0,0,0,0,6,206,20,3,0,0,229,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,14,0,4,0,0,0,4,1096,178,48,9,5,1336
110,0,1494,0,0,0,0,0,0,5,0,0,0,0,5,39,4,0,0,0,43,20,6,0,0,0,26,4,0,3,0,0,7,0,0,0,0,0,0,68,10,3,0,0,81,3,0,0,0,0,3,21,0,0,0,0,21,155,13,0,0,0,168,27,10,0,0,5,42,5,6,3,0,0,14,3,0,0,0,0,3,214,29,3,0,5,251,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,3,0,3,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,19,0,3,0,0,22,6,0,0,0,0,6,1565,210,56,18,5,1854
