region_id,C01_CF_1F1NW_800_999,C01_CF_1F1NW_1000_1499,C01_CF_1F1NW_1500_1999,C01_CF_1F1NW_2000_2499,C01_CF_1F1NW_2500_2999,C01_CF_1F1NW_3000mo,C01_CF_1F1NW_Ns,C01_CF_1F1NW_Tot,C01_CF_1P1NW_N,C01_CF_1P1NW_1_199,C01_CF_1P1NW_200_399,C01_CF_1P1NW_400_599,C01_CF_1P1NW_600_799,C01_CF_1P1NW_800_999,C01_CF_1P1NW_1000_1499,C01_CF_1P1NW_1500_1999,C01_CF_1P1NW_2000_2499,C01_CF_1P1NW_2500_2999,C01_CF_1P1NW_3000_mr,C01_CF_1P1NW_Ns,C01_CF_1P1NW_T,C01_CF_1A1NW_N,C01_CF_1A1NW__1_199,C01_CF_1A1NW_200_399,C01_CF_1A1NW_400_599,C01_CF_1A1NW_600_799,C01_CF_1A1NW_800_999,C01_CF_1A1NW_1000_1499,C01_CF_1A1NW_1500_1999,C01_CF_1A1NW_2000_2499,C01_CF_1A1NW_2500_2999,C01_CF_1A1NW_3000m,C01_CF_1A1NW_Ns,C01_CF_1A1NW_T,C01_CF_BA_N,C01_CF_BA_1_199,C01_CF_BA_200_399,C01_CF_BA_400_599,C01_CF_BA_600_799,C01_CF_BA_800_999,C01_CF_BA_1000_1499,C01_CF_BA_1500_1999,C01_CF_BA_2000_2499,C01_CF_BA_2500_2999,C01_CF_BA_3000_more,C01_CF_BA_Ns,C01_fc_BA_Tot,C01_CF_BNW_N,C01_CF_BNW_1_199,C01_CF_BNW_200_399,C01_CF_BNW_400_599,C01_CF_BNW_600_799,C01_CF_BNW_800_999,C01_CF_BNW_1000_1499,C01_CF_BNW_1500_1999,C01_CF_BNW_2000_2499,C01_CF_BNW_2500_2999,C01_CF_BNW_3000_more,C01_CF_BNW_Ns,C01_CF_BNW_Tot,C01_CF_LFns_N,C01_CF_LFns_1_199,C01_CF_LFns_200_399,C01_CF_LFns_400_599,C01_CF_LFns_600_799,C01_CF_LFns_800_999,C01_CF_LFns_1000_1499,C01_CF_LFns_1500_1999,C01_CF_LFns_2000_2499,C01_CF_LFns_2500_2999,C01_CF_LFns_3000_more,C01_CF_LFns_Ns,C01_CF_LFns_Tot,C01_CF_Tot_N,C01_CF_Tot_1_199,C01_CF_Tot_200_399,C01_CF_Tot_400_599,C01_CF_Tot_600_799,C01_CF_Tot_800_999,C01_CF_Tot_1000_1499,C01_CF_Tot_1500_1999,C01_CF_Tot_2000_2499,C01_CF_Tot_2500_2999,C01_CF_Tot_3000_more,C01_CF_TFI_Ns,C01_CF_T_T,C01_1PF_F_N,C01_1PF_F_1_199,C01_1PF_F_200_399,C01_1PF_F_400_599,C01_1PF_F_600_799,C01_1PF_F_800_999,C01_1PF_F_1000_1499,C01_1PF_F_1500_1999,C01_1PF_F_2000_2499,C01_1PF_F_2500_2999,C01_1PF_F_3000_more,C01_1PF_F_Ns,C01_1PF_F_T,C01_1PF_P_N,C01_1PF_P_1_199,C01_1PF_P_200_399,C01_1PF_P_400_599,C01_1PF_P_600_799,C01_1PF_P_800_999,C01_1PF_P_1000_1499,C01_1PF_P_1500_1999,C01_1PF_P_2000_2499,C01_1PF_P_2500_2999,C01_1PF_P_3000_more,C01_1PF_P_Ns,C01_1PF_P_T,C01_1PF_A_N,C01_1PF_A_1_199,C01_1PF_A_200_399,C01_1PF_A_400_599,C01_1PF_A_600_799,C01_1PF_A_800_999,C01_1PF_A_1000_1499,C01_1PF_A_1500_1999,C01_1PF_A_2000_2499,C01_1PF_A_2500_2999,C01_1PF_A_3000_more,C01_1PF_A_Ns,C01_1PF_A_T,C01_1PF_U_N,C01_1PF_U_1_199,C01_1PF_U_200_399,C01_1PF_U_400_599,C01_1PF_U_600_799,C01_1PF_U_800_999,C01_1PF_U_1000_1499,C01_1PF_U_1500_1999,C01_1PF_U_2000_2499,C01_1PF_U_2500_2999,C01_1PF_U_3000_more,C01_1PF_U_Ns,C01_1PF_U_T,C01_1PF_N_lf_Fi_N,C01_1PF_N_lf_Fi_1_199,C01_1PF_N_lf_Fi_200_399,C01_1PF_N_lf_Fi_400_599,C01_1PF_N_lf_Fi_600_799,C01_1PF_N_lf_Fi_800_999,C01_1PF_N_lf_Fi_1000_1499,C01_1PF_N_lf_Fi_1500_1999,C01_1PF_N_lf_Fi_2000_2499,C01_1PF_N_lf_Fi_2500_2999,C01_1PF_N_lf_Fi_3000_more,C01_1PF_N_lf_Fi_Ns,C01_1PF_N_the_lf_Tot,C01_1PF_LFns_N,C01_1PF_LFns_1_199,C01_1PF_LFns_200_399,C01_1PF_LFns_400_599,C01_1PF_LFns_600_799,C01_1PF_LFns_800_999,C01_1PF_LFns_1000_1499,C01_1PF_LFns_1500_1999,C01_1PF_LFns_2000_2499,C01_1PF_LFns_2500_2999,C01_1PF_LFns_3000mo,C01_1PF_LFns_Ns,C01_1PF_LF_NS_T,C01_1PF_TFI_N,C01_1PF_TFI_1_199,C01_1PF_TFI_200_399,C01_1PF_TFI_400_599,C01_1PF_TFI_600_799,C01_1PF_TFI_800_999,C01_1PF_T_Fi_1000_1499,C01_1PF_T_Fi_1500_1999,C01_1PF_T_Fi_2000_2499,C01_1PF_T_Fi_2500_2999,C01_1PF_TFI_3000_mr,C01_One_par_f_TFI_Ns,C01_One_parent_f_T_T,C01_TFI_N,C01_TFI_1_199,C01_TFI_200_399,C01_TFI_400_599,C01_TFI_600_799,C01_TFI_800_999,C01_TFI_1000_1499,C01_TFI_1500_1999,C01_TFI_2000_2499,C01_TFI_2500_2999,C01_TFI_3000_more,C01_TFI_Ns,C01_T_T,C06_CFNC_BF_N,C06_CFNC_BF_1_199,C06_CFNC_BF_200_399,C06_CFNC_BF_400_599,C06_CFNC_BF_600_799,C06_CFNC_BF_800_999,C06_CFNC_BF_1000_1499,C06_CFNC_BF_1500_1999,C06_CFNC_BF_2000_2499,C06_CFNC_BF_2500_2999
101,812,964,373,100,31,12,367,4012,0,10,106,328,294,133,140,46,10,4,0,110,1181,3,0,19,63,91,75,80,16,13,0,3,56,419,3,0,3,14,18,25,50,46,23,8,7,60,257,20,36,370,543,366,231,222,60,16,10,5,259,2138,0,0,3,11,14,7,3,3,0,0,0,1121,1162,59,86,718,1882,2719,2626,4960,2793,1356,500,323,3271,21293,6,9,67,283,341,255,286,93,22,8,0,160,1530,3,37,411,541,164,96,68,9,3,0,3,110,1445,0,5,42,29,33,29,27,5,0,0,0,25,195,6,45,320,132,18,10,7,0,0,0,0,44,582,33,197,1247,815,282,146,152,30,9,3,0,387,3301,0,5,9,10,6,0,6,0,0,0,0,68,104,48,298,2096,1810,844,536,546,137,34,11,3,794,7157,257,553,7011,7114,6372,5115,8552,4497,2184,829,495,6034,49013,59,37,25,119,176,111,1325,892,737,401
102,1784,2251,1070,216,68,33,720,7854,3,15,118,386,335,271,309,110,31,13,5,178,1774,3,3,18,69,134,141,215,85,22,4,0,107,801,0,3,5,13,25,39,114,73,52,18,9,83,434,24,55,453,862,673,360,556,155,34,9,19,438,3638,0,0,6,12,15,25,23,4,0,3,3,1282,1373,48,103,727,2184,3455,4475,8931,5299,2551,830,437,4704,33744,4,7,80,388,546,481,641,191,47,16,5,321,2727,3,68,612,1058,499,204,178,43,5,4,3,269,2946,0,4,60,82,46,38,40,12,3,3,3,55,346,8,68,515,271,67,23,18,6,0,0,3,72,1051,44,268,2194,1780,604,281,305,57,24,3,7,653,6220,3,3,18,23,14,7,6,0,3,0,0,146,223,62,418,3479,3602,1776,1034,1188,309,82,26,21,1516,13513,234,671,10650,11223,9057,7983,14450,8293,3787,1206,607,8845,77006,21,7,3,36,97,76,1491,1337,1081,513
103,1015,1164,512,100,32,23,452,4840,0,9,60,280,266,123,136,26,11,3,3,105,1022,4,3,21,63,101,93,103,35,9,3,3,62,500,3,3,8,14,30,43,65,38,32,3,4,59,302,13,22,391,764,398,245,219,45,14,7,8,288,2414,3,0,6,4,10,11,9,4,0,0,0,1033,1080,63,73,720,2066,2866,2973,5577,3019,1402,387,254,3375,22775,3,12,71,251,300,241,287,92,16,5,4,170,1452,0,34,353,477,202,66,58,15,3,3,0,114,1325,0,9,42,57,33,23,22,7,3,0,0,26,222,3,52,290,127,36,11,5,3,0,0,3,52,582,24,243,1433,968,355,170,156,41,12,4,5,359,3770,0,0,13,21,6,5,3,4,0,0,0,91,143,30,350,2202,1901,932,516,531,162,34,12,12,812,7494,295,613,6975,6726,6142,5217,8920,4762,2163,587,411,5964,48775,72,53,32,141,214,113,1438,905,621,334
104,564,544,117,34,8,0,238,2511,0,7,100,341,223,112,93,20,6,3,3,82,990,0,0,10,47,67,41,49,13,3,0,3,38,271,3,0,3,16,16,13,39,20,9,3,3,42,167,23,18,421,721,357,185,167,33,3,0,7,221,2156,0,0,0,7,11,0,3,3,3,0,0,648,675,38,46,703,1839,2096,1787,2815,1200,479,113,62,1907,13085,3,10,52,170,224,142,128,29,6,3,0,91,858,0,31,364,511,157,44,37,9,0,0,0,101,1254,0,0,39,46,17,6,13,4,0,0,0,16,141,6,49,345,145,19,10,3,0,0,0,0,55,632,17,142,1112,821,230,86,41,15,7,0,0,277,2748,0,0,9,16,0,3,3,0,0,0,0,49,80,26,232,1921,1709,647,291,225,57,13,3,0,589,5713,157,391,6153,6333,4791,3185,4580,1913,788,177,108,3650,32226,17,5,18,57,96,61,703,402,258,124
105,496,582,207,45,9,9,257,2604,4,4,87,180,150,78,75,12,5,3,0,69,667,0,3,12,44,73,49,57,17,6,3,0,63,327,4,0,8,13,18,23,53,26,15,5,0,46,211,13,19,312,483,300,144,126,34,5,0,3,261,1700,3,0,7,12,8,7,4,0,0,0,0,897,938,72,73,641,1393,1862,1649,2961,1475,631,167,126,2504,13554,6,6,62,206,190,171,166,33,12,0,0,127,979,3,42,262,302,124,48,38,9,0,0,3,86,917,0,5,27,31,19,9,12,6,0,0,0,33,142,0,56,196,76,20,6,4,3,0,0,3,43,407,20,206,1077,714,243,101,83,20,6,3,4,357,2834,0,6,8,7,9,0,0,0,0,0,0,96,126,29,321,1632,1336,605,335,303,71,18,3,10,742,5405,265,537,4881,4475,3898,3017,4967,2392,1008,245,223,4508,30416,58,41,19,100,145,84,851,522,347,184
106,1342,1852,1048,210,71,21,618,6640,0,9,125,315,275,182,211,71,17,0,6,130,1341,0,0,21,70,118,129,123,60,20,0,0,93,634,0,0,5,13,28,28,77,39,48,8,8,70,324,21,41,563,868,576,352,392,102,22,5,9,417,3368,0,0,0,18,8,9,15,4,3,0,0,1143,1200,43,80,868,2085,2910,3420,6617,4003,2052,625,282,3868,26853,3,6,51,258,370,239,327,134,40,9,3,196,1636,0,43,409,610,227,100,102,21,3,3,0,148,1666,3,6,44,63,30,16,21,6,4,0,0,40,233,4,66,433,191,38,17,16,7,0,0,0,64,836,30,259,1733,1250,382,181,152,42,17,0,8,472,4526,0,0,8,14,6,0,4,0,0,0,0,90,122,40,380,2678,2386,1053,553,622,210,64,12,11,1010,9019,210,620,8247,7859,6602,5706,10236,5985,2857,843,401,6795,56361,44,19,11,63,106,103,1273,1000,801,313
107,1405,2504,1192,336,103,57,822,7905,3,11,104,385,320,220,316,112,36,6,5,221,1739,0,7,17,63,108,129,211,97,26,10,3,119,790,0,0,3,17,17,32,96,92,50,21,15,73,416,26,38,547,944,734,516,747,222,76,21,17,550,4438,0,0,0,10,16,13,35,7,4,3,3,1264,1355,44,82,787,2130,3058,3762,8878,5685,2918,985,522,4716,33567,3,9,56,254,411,358,547,198,55,21,3,249,2164,3,36,432,680,324,140,141,45,12,0,0,166,1979,3,5,45,70,39,25,35,20,3,0,0,49,294,9,75,425,206,43,21,12,7,0,0,0,73,871,42,281,1908,1345,502,311,331,84,34,5,6,549,5398,0,0,16,11,10,6,5,0,0,0,0,134,182,60,406,2882,2566,1329,861,1071,354,104,26,9,1220,10888,239,669,9352,8681,7162,6429,13651,8398,4122,1363,638,8119,68823,11,7,7,32,56,56,1025,1033,1022,562
108,765,692,177,43,5,11,313,3408,0,4,174,471,362,151,117,28,6,3,0,142,1458,3,3,27,86,96,68,60,21,8,0,0,55,427,3,0,3,14,23,23,49,19,14,3,4,34,189,12,42,618,989,638,278,251,34,12,3,8,359,3244,0,0,5,7,10,8,7,3,0,0,0,917,957,53,79,1048,2553,3097,2611,3934,1676,720,170,125,2739,18805,3,13,56,238,272,189,210,27,10,3,0,163,1184,3,43,456,614,222,91,64,9,3,0,0,158,1663,0,12,40,58,26,17,16,5,3,0,0,29,206,6,69,450,192,35,13,10,3,0,0,3,82,863,15,225,1636,1254,363,126,108,23,4,0,3,419,4176,0,0,15,20,10,4,0,0,0,0,0,82,131,27,362,2653,2376,928,440,408,67,20,3,6,933,8223,235,637,10337,10041,7416,4996,6795,2737,1217,266,228,5675,50580,27,30,20,78,131,103,1197,569,337,183
109,562,567,205,40,14,15,210,2533,0,0,44,139,106,64,76,24,0,0,0,55,508,0,3,6,38,62,51,44,10,4,0,0,53,271,3,0,6,11,15,19,49,30,12,3,4,38,190,7,9,145,267,162,106,117,33,6,3,6,136,997,3,0,0,6,12,5,10,3,3,0,0,664,706,48,37,360,1079,1614,1770,3109,1637,612,167,152,1998,12583,3,11,28,163,214,149,181,42,18,3,3,103,918,0,16,230,274,126,51,29,6,0,0,0,78,810,0,4,23,21,20,8,17,4,3,0,0,16,116,3,28,159,63,12,3,3,0,0,0,0,25,296,14,95,731,414,194,58,61,20,3,0,4,209,1803,0,3,4,5,3,3,0,0,0,0,0,61,79,20,157,1175,940,569,272,291,72,24,3,7,492,4022,198,261,3705,3833,3747,3156,5206,2596,1020,242,234,3717,27915,62,19,14,73,117,68,1056,597,378,139
110,855,887,231,58,21,21,409,4106,3,13,106,292,245,147,119,20,8,3,6,117,1079,3,3,19,76,97,71,60,15,6,3,0,66,419,0,3,6,25,22,39,63,36,14,3,7,52,270,26,25,422,722,409,208,189,36,7,3,12,292,2351,0,0,5,11,17,9,3,3,0,0,0,1163,1211,117,112,813,2156,2895,2707,4550,2096,951,252,212,3320,20181,7,22,72,262,299,226,253,63,13,3,0,170,1390,3,48,337,462,176,71,52,17,4,0,0,114,1284,3,7,33,42,29,13,19,3,3,0,0,30,182,5,50,307,106,38,9,3,3,3,0,3,61,588,27,207,1409,1019,318,164,132,28,12,3,3,429,3751,0,4,14,15,3,4,5,0,0,0,0,109,154,45,338,2172,1906,863,487,464,114,35,6,6,913,7349,407,624,6812,6833,6086,4918,7566,3537,1573,416,383,5972,45127,85,43,33,132,248,126,1535,755,477,234
