region_id,C06_CF_1P1NW_200_399,C06_CF_1P1NW_400_599,C06_CF_1P1NW_600_799,C06_CF_1P1NW_800_999,C06_CF_1P1NW_1000_1499,C06_CF_1P1NW_1500_1999,C06_CF_1P1NW_2000_2499,C06_CF_1P1NW_2500_2999,C06_CF_1P1NW_3000_mr,C06_CF_1P1NW_Ns,C06_CF_1P1NW_Tot,C06_CF_1A1NW_N,C06_CF_1A1NW__1_199,C06_CF_1A1NW_200_399,C06_CF_1A1NW_400_599,C06_CF_1A1NW_600_799,C06_CF_1A1NW_800_999,C06_CF_1A1NW_1000_1499,C06_CF_1A1NW_1500_1999,C06_CF_1A1NW_2000_2499,C06_CF_1A1NW_2500_2999,C06_CF_1A1NW_3000m,C06_CF_1A1NW_Ns,C06_CF_1A1NW_Tot,C06_CF_BA_N,C06_CF_BA_1_199,C06_CF_BA_200_399,C06_CF_BA_400_599,C06_CF_BA_600_799,C06_CF_BA_800_999,C06_CF_BA_1000_1499,C06_CF_BA_1500_1999,C06_CF_BA_2000_2499,C06_CF_BA_2500_2999,C06_CF_BA_3000_more,C06_CF_BA_Ns,C06_CF_BA_Tot,C06_CF_BNW_N,C06_CF_BNW_1_199,C06_CF_BNW_200_399,C06_CF_BNW_400_599,C06_CF_BNW_600_799,C06_CF_BNW_800_999,C06_CF_BNW_1000_1499,C06_CF_BNW_1500_1999,C06_CF_BNW_2000_2499,C06_CF_BNW_2500_2999,C06_CF_BNW_3000_more,C06_CF_BNW_Ns,C06_CF_BNW_Tot,C06_CF_LFns_N,C06_CF_LFns_1_199,C06_CF_LFns_200_399,C06_CF_LFns_400_599,C06_CF_LFns_600_799,C06_CF_LFns_800_999,C06_CF_LFns_1000_1499,C06_CF_LFns_1500_1999,C06_CF_LFns_2000_2499,C06_CF_LFns_2500_2999,C06_CF_LFns_3000_more,C06_CF_LFns_Ns,C06_CF_LFns_Tot,C06_C_f_c_T_Fi_N,C06_C_f_c_T_Fi_1_199,C06_C_f_c_T_Fi_200_399,C06_C_f_c_T_Fi_400_599,C06_C_f_c_T_Fi_600_799,C06_C_f_c_T_Fi_800_999,C06_CF_c_T_Fi_1000_1499,C06_CF_c_T_Fi_1500_1999,C06_CF_c_T_Fi_2000_2499,C06_CF_c_T_Fi_2500_2999,C06_CF_c_T_Fi_3000_more,C06_C_f_with_c_TFI_Ns,C06_C_f_with_c_T_T,C06_1PF_F_N,C06_1PF_F_1_199,C06_1PF_F_200_399,C06_1PF_F_400_599,C06_1PF_F_600_799,C06_1PF_F_800_999,C06_1PF_F_1000_1499,C06_1PF_F_1500_1999,C06_1PF_F_2000_2499,C06_1PF_F_2500_2999,C06_1PF_F_3000_more,C06_1PF_F_Ns,C06_1PF_F_Tot,C06_1PF_P_N,C06_1PF_P_1_199,C06_1PF_P_200_399,C06_1PF_P_400_599,C06_1PF_P_600_799,C06_1PF_P_800_999,C06_1PF_P_1000_1499,C06_1PF_P_1500_1999,C06_1PF_P_2000_2499,C06_1PF_P_2500_2999,C06_1PF_P_3000_more,C06_1PF_P_Ns,C06_1PF_P_Tot,C06_1PF_A_N,C06_1PF_A_1_199,C06_1PF_A_200_399,C06_1PF_A_400_599,C06_1PF_A_600_799,C06_1PF_A_800_999,C06_1PF_A_1000_1499,C06_1PF_A_1500_1999,C06_1PF_A_2000_2499,C06_1PF_A_2500_2999,C06_1PF_A_3000_more,C06_1PF_A_Ns,C06_1PF_A_Tot,C06_1PF_U_N,C06_1PF_U_1_199,C06_1PF_U_200_399,C06_1PF_U_400_599,C06_1PF_U_600_799,C06_1PF_U_800_999,C06_1PF_U_1000_1499,C06_1PF_U_1500_1999,C06_1PF_U_2000_2499,C06_1PF_U_2500_2999,C06_1PF_U_3000_more,C06_1PF_U_Ns,C06_1PF_U_To,C06_1PF_N_lf_Fi_N,C06_1PF_N_lf_Fi_1_199,C06_1PF_N_lf_Fi_200_399,C06_1PF_N_lf_Fi_400_599,C06_1PF_N_lf_Fi_600_799,C06_1PF_N_lf_Fi_800_999,C06_1PF_N_lf_Fi_1000_1499,C06_1PF_N_lf_Fi_1500_1999,C06_1PF_N_lf_Fi_2000_2499,C06_1PF_N_lf_Fi_2500_2999,C06_1PF_N_lf_Fi_3000_more,C06_1PF_N_lf_Fi_Ns,C06_1PF_N_the_lf_Tot,C06_1PF_LFns_N,C06_1PF_LFns_1_199,C06_1PF_LFns_200_399,C06_1PF_LFns_400_599,C06_1PF_LFns_600_799,C06_1PF_LFns_800_999,C06_1PF_lf_ns_Fi_1000_1499,C06_1PF_LFns_1500_1999,C06_1PF_LFns_2000_2499,C06_1PF_lf_ns_Fi_2500_2999,C06_1PF_LFns_3000mo,C06_1PF_LFns_Ns,C06_1PF_LF_NS_T,C06_1PF_TFI_N,C06_1PF_TFI_1_199,C06_1PF_TFI_200_399,C06_1PF_TFI_400_599,C06_1PF_TFI_600_799,C06_1PF_TFI_800_999,C06_1PF_T_Fi_1000_1499,C06_1PF_T_Fi_1500_1999,C06_1PF_T_Fi_2000_2499,C06_1PF_T_Fi_2500_2999,C06_1PF_TFI_3000_mr,C06_One_par_f_TFI_Ns,C06_One_parent_f_T_T,C06_TFI_N,C06_TFI_1_199,C06_TFI_200_399,C06_TFI_400_599,C06_TFI_600_799,C06_TFI_800_999,C06_TFI_1000_1499,C06_TFI_1500_1999,C06_TFI_2000_2499,C06_TFI_2500_2999,C06_TFI_3000_more,C06_TFI_Ns,C06_T_T,C11_CFNC_BF_N,C11_CFNC_BF_1_199,C11_CFNC_BF_200_399,C11_CFNC_BF_400_599,C11_CFNC_BF_600_799,C11_CFNC_BF_800_999,C11_CFNC_BF_1000_1499,C11_CFNC_BF_1500_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_mr,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_N,C11_CFNC_BPT_1_199,C11_CFNC_BPT_200_399,C11_CFNC_BPT_400_599,C11_CFNC_BPT_600_799,C11_CFNC_BPT_800_999,C11_CFNC_BPT_1000_1499
101,63,198,189,158,201,50,25,22,12,123,1057,3,4,7,29,55,56,93,44,16,21,4,61,393,0,3,3,3,11,17,65,48,32,20,27,53,282,19,35,97,387,381,182,245,96,31,21,12,224,1730,3,3,3,17,12,16,29,9,3,0,0,1258,1353,96,98,297,1125,1622,1615,5345,3365,1999,1492,1555,3458,22067,11,9,55,246,272,246,568,190,45,60,22,255,1979,6,19,404,588,248,148,202,21,14,11,5,166,1832,0,0,39,37,41,12,41,10,6,5,3,35,229,3,20,222,139,37,17,13,0,0,0,0,58,509,33,71,932,801,372,207,268,73,9,19,5,335,3125,0,4,12,8,3,8,5,0,0,0,0,111,151,53,123,1664,1819,973,638,1097,294,74,95,35,960,7825,436,631,2509,7856,5554,3659,11681,5735,3394,2391,2479,6492,52817,39,32,9,75,102,231,688,884,1036,519,1272,91,4978,9,15,16,78,159,250,247
102,64,246,267,226,419,149,34,40,34,171,1659,0,3,7,45,68,98,219,74,17,36,7,105,679,3,0,10,4,11,7,80,74,53,29,36,90,397,22,51,130,547,575,363,541,209,77,40,30,339,2924,0,3,0,13,24,18,34,19,11,10,0,1698,1830,74,116,310,1268,1947,2389,8713,5879,3315,2491,1971,5099,33572,8,9,62,295,487,417,969,353,114,97,19,460,3290,6,42,576,1058,611,301,422,118,30,14,9,382,3569,4,3,64,75,53,42,64,21,5,5,3,75,414,20,32,452,335,89,43,38,7,4,4,3,119,1146,79,129,1610,1667,812,438,561,137,44,28,8,617,6130,0,4,20,31,16,15,9,0,0,0,3,205,303,117,219,2784,3461,2068,1256,2063,636,197,148,45,1858,14852,434,805,3568,12080,8429,5503,17505,9408,5326,3634,2886,9478,79056,19,16,4,20,38,164,734,1067,1505,562,1066,73,5268,4,18,16,66,138,196,269
103,50,175,153,124,196,50,18,16,10,85,885,3,3,3,37,50,57,99,35,8,3,3,49,350,5,0,0,11,7,12,65,48,30,20,13,50,261,10,40,88,463,394,211,237,94,28,12,7,222,1806,3,3,9,13,22,6,28,10,11,8,6,1217,1336,86,116,287,1217,1645,1662,5453,3518,1875,1264,980,3289,21392,8,13,56,196,271,231,487,126,29,35,14,216,1682,5,20,323,540,249,147,152,31,3,4,5,123,1602,3,4,36,48,25,12,30,13,3,0,0,27,201,9,20,296,159,36,19,12,0,3,0,0,39,593,41,77,1087,915,409,245,265,48,12,13,9,425,3546,3,0,17,8,9,7,5,0,0,0,0,149,198,69,134,1815,1866,999,661,951,218,50,52,28,979,7822,432,694,2606,7766,5173,3492,10951,5620,3038,1951,1602,6104,49429,62,36,25,96,117,271,691,790,966,449,857,86,4446,7,14,7,73,116,183,216
104,38,213,204,128,179,58,9,0,7,90,937,0,0,4,32,32,40,71,15,7,4,3,25,233,3,3,0,7,8,9,52,22,12,14,8,26,164,11,29,88,414,335,220,242,68,17,3,11,164,1602,3,0,3,12,13,8,13,6,0,0,3,787,848,32,65,215,1004,1306,1324,3567,1759,791,430,315,2039,12847,5,5,43,153,210,151,312,71,13,7,3,184,1157,6,13,315,536,251,106,130,19,0,0,0,174,1550,0,0,22,45,27,12,28,0,3,4,0,26,167,7,19,257,170,56,16,11,3,0,0,0,55,594,30,57,862,826,359,152,152,35,3,13,0,294,2783,0,0,15,9,10,7,3,3,0,0,0,114,161,48,94,1514,1739,913,444,636,131,19,24,3,847,6412,230,430,2102,7059,4475,2711,7409,2872,1334,712,584,4159,34077,17,11,5,38,56,135,401,425,413,134,281,30,1946,5,8,13,68,99,152,179
105,25,118,83,74,97,28,12,9,8,65,527,0,3,3,18,24,33,77,20,3,10,3,41,235,3,3,0,8,5,10,41,17,17,3,11,42,160,15,22,83,323,251,120,143,49,16,5,4,182,1213,0,0,3,19,8,13,12,8,0,3,3,931,1000,73,85,212,773,945,933,2979,1697,971,582,433,2328,12011,9,4,44,160,187,144,301,88,20,17,5,147,1126,3,12,238,323,139,58,96,21,3,0,0,90,983,3,6,23,30,17,18,27,5,0,0,0,46,175,6,6,196,108,27,14,16,3,0,0,0,51,427,33,54,883,650,303,149,168,29,5,17,8,308,2607,3,6,9,10,7,6,8,0,0,0,3,138,190,57,88,1393,1281,680,389,616,146,28,34,16,780,5508,314,466,1867,4873,3128,1970,6085,2828,1565,928,763,4410,29197,63,38,13,49,67,206,450,501,588,221,446,82,2724,6,15,7,31,53,84,101
106,49,192,201,169,307,126,35,23,10,132,1262,0,5,9,35,60,58,177,73,18,51,12,78,576,3,0,0,7,3,14,61,59,51,25,23,62,308,20,50,123,498,512,317,413,176,53,21,14,309,2506,0,0,4,12,18,15,37,18,4,9,8,1576,1701,74,110,257,1079,1659,1885,6916,4756,2699,2233,1698,4191,27557,9,6,64,224,306,308,638,229,71,46,22,266,2189,7,21,433,685,365,180,241,61,9,13,5,225,2245,0,0,55,56,36,21,41,10,6,5,0,55,285,8,16,369,210,53,25,31,3,0,0,0,59,774,57,88,1328,1198,567,280,338,98,13,13,12,483,4475,0,0,14,15,15,11,3,4,0,0,0,166,228,81,131,2263,2388,1342,825,1292,405,99,77,39,1254,10196,410,659,2962,9151,6003,4092,13440,7456,4191,3126,2493,7498,61481,31,28,9,38,47,136,545,928,1243,525,1256,90,4876,5,14,8,63,110,154,217
107,75,221,206,168,338,148,56,46,27,149,1449,3,0,6,51,59,71,171,106,26,47,17,108,665,0,0,5,3,11,20,82,93,55,37,47,70,423,46,34,161,529,641,387,613,303,101,47,39,410,3311,3,3,3,13,25,17,49,27,13,8,3,1633,1797,100,90,322,1169,1750,1970,7471,6068,3631,2888,2505,4751,32715,5,8,58,191,332,325,831,318,129,93,40,325,2655,3,22,458,740,461,189,319,71,24,17,4,261,2569,3,0,45,53,39,28,66,20,12,4,0,49,319,13,21,429,242,67,30,30,7,0,0,0,80,919,70,107,1426,1364,637,363,522,145,40,35,10,552,5271,5,0,14,16,12,9,15,3,0,0,0,178,252,99,158,2430,2606,1548,944,1783,564,205,149,54,1445,11985,453,718,3218,10281,6673,4240,14328,9067,5522,4144,3467,8239,70350,12,3,3,7,33,100,449,824,1299,611,1230,57,4628,0,11,13,45,94,139,185
108,71,299,317,179,254,46,14,15,12,137,1356,3,0,13,52,66,57,105,31,4,12,0,42,385,0,0,4,7,14,22,58,42,22,13,0,42,224,24,34,127,635,596,319,338,93,25,14,9,290,2504,3,3,3,15,16,23,28,8,3,0,3,1024,1129,57,84,345,1472,1998,1852,5193,2470,1175,615,484,2825,18570,5,10,71,199,263,224,416,104,31,24,9,215,1571,5,19,453,720,344,146,183,28,3,5,0,215,2121,0,4,40,43,24,23,22,4,3,5,0,43,211,0,20,403,254,61,26,20,0,0,0,0,107,891,42,87,1258,1226,532,255,258,35,12,4,4,486,4199,0,0,9,21,8,4,7,0,3,0,0,145,197,52,140,2234,2463,1232,678,906,171,52,38,13,1211,9190,368,772,3191,11783,7612,4131,11411,4179,1974,1078,906,6126,53531,38,35,16,55,89,214,600,670,569,212,448,72,3018,8,15,20,92,159,259,287
109,22,78,74,71,89,25,18,10,0,49,440,0,4,3,23,32,25,49,25,8,7,0,28,204,3,3,0,3,10,6,45,32,10,11,11,34,168,11,16,40,166,145,90,114,46,8,4,8,115,763,0,0,4,6,4,9,12,10,7,5,4,659,720,59,69,155,595,836,958,3385,2048,991,592,478,1877,12043,9,6,30,112,201,164,304,90,20,27,4,138,1105,3,4,226,307,159,74,103,17,4,6,0,93,996,0,8,24,23,12,12,24,0,0,0,0,21,124,3,12,145,92,17,8,4,0,0,0,0,31,312,24,32,559,420,192,109,117,30,4,8,0,197,1692,0,0,6,3,4,5,3,3,0,0,0,72,96,39,62,990,957,585,372,555,140,28,41,4,552,4325,287,346,1376,4279,2983,2081,7069,3322,1631,930,772,3661,28737,46,15,19,51,61,150,495,602,559,213,324,60,2595,3,10,8,38,73,108,148
110,50,173,166,120,171,44,13,7,5,97,859,4,5,14,43,48,62,93,29,7,7,6,43,361,7,0,0,13,7,13,71,31,19,13,17,55,246,32,31,122,461,416,217,245,64,14,9,10,248,1869,3,0,8,8,18,13,23,10,3,0,0,1225,1311,111,108,339,1168,1665,1604,5178,2681,1336,815,664,3226,18895,5,12,61,187,294,210,413,104,25,29,9,214,1563,3,20,326,522,212,104,153,39,8,0,0,148,1535,0,0,22,45,31,11,34,4,3,0,3,44,197,12,16,276,169,42,18,19,9,0,0,0,75,636,48,83,1060,878,397,209,264,48,10,20,3,415,3435,4,0,11,10,8,4,7,0,0,5,0,141,190,72,131,1756,1811,984,556,890,204,46,54,15,1037,7556,481,635,2560,7419,5009,3224,10461,4380,2239,1323,1152,6071,44954,81,63,19,93,135,274,782,875,817,302,610,111,4162,11,20,11,79,122,194,186
