region_id,Tot_persons_C01_M,Tot_persons_C01_F,Tot_persons_C01_P,Tot_persons_C06_M,Tot_persons_C06_F,Tot_persons_C06_P,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Age_0_4_C01_M,Age_0_4_C01_F,Age_0_4_C01_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_5_14_C01_M,Age_5_14_C01_F,Age_5_14_C01_P,Age_5_14_C06_M,Age_5_14_C06_F,Age_5_14_C06_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_15_19_C01_M,Age_15_19_C01_F,Age_15_19_C01_P,Age_15_19_C06_M,Age_15_19_C06_F,Age_15_19_C06_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_20_24_C01_M,Age_20_24_C01_F,Age_20_24_C01_P,Age_20_24_C06_M,Age_20_24_C06_F,Age_20_24_C06_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_25_34_C01_M,Age_25_34_C01_F,Age_25_34_C01_P,Age_25_34_C06_M,Age_25_34_C06_F,Age_25_34_C06_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_35_44_C01_M,Age_35_44_C01_F,Age_35_44_C01_P,Age_35_44_C06_M,Age_35_44_C06_F,Age_35_44_C06_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_45_54_C01_M,Age_45_54_C01_F,Age_45_54_C01_P,Age_45_54_C06_M,Age_45_54_C06_F,Age_45_54_C06_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_55_64_C01_M,Age_55_64_C01_F,Age_55_64_C01_P,Age_55_64_C06_M,Age_55_64_C06_F,Age_55_64_C06_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_65_74_C01_M,Age_65_74_C01_F,Age_65_74_C01_P,Age_65_74_C06_M,Age_65_74_C06_F,Age_65_74_C06_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_75_84_C01_M,Age_75_84_C01_F,Age_75_84_C01_P,Age_75_84_C06_M,Age_75_84_C06_F,Age_75_84_C06_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_grp_85ov_C01_M,Age_grp_85ov_C01_F,Age_grp_85ov_C01_P,Age_grp_85ov_C06_M,Age_grp_85ov_C06_F,Age_grp_85ov_C06_P,Age_grp_85ov_C11_M,Age_grp_85ov_C11_F,Age_grp_85ov_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,IP_Abor_C01_M,IP_Abor_C01_F,IP_Abor_C01_P,IP_Abor_C06_M,IP_Abor_C06_F,IP_Abor_C06_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Tor_Strt_Is_2001_Ce_M,IP_Tor_Strt_Is_2001_Ce_F,IP_Tor_Strt_Is_2001_Ce_P,IP_Tor_Strt_Is_2006_Ce_M,IP_Tor_Strt_Is_2006_Ce_F,IP_Tor_Strt_Is_2006_Ce_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2001_Ce_M,IP_B_Ab_To_St_Is_2001_Ce_F,IP_B_Ab_To_St_Is_2001_Ce_P,IP_B_Ab_To_St_Is_2006_Ce_M,IP_B_Ab_To_St_Is_2006_Ce_F,IP_B_Ab_To_St_Is_2006_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_Tot_2001_Ce_M,IP_Tot_2001_Ce_F,IP_Tot_2001_Ce_P,IP_Tot_2006_Ce_M,IP_Tot_2006_Ce_F,IP_Tot_2006_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,Brthplace_Aust_2001_Ce_M,Brthplace_Aust_2001_Ce_F,Brthplace_Aust_2001_Ce_P,Brthplace_Aust_2006_Ce_M,Brthplace_Aust_2006_Ce_F,Brthplace_Aust_2006_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Elsewhere_2001_Ce_M,Brthplace_Elsewhere_2001_Ce_F,Brthplace_Elsewhere_2001_Ce_P,Brthplace_Elsewhere_2006_Ce_M,Brthplace_Elsewhere_2006_Ce_F,Brthplace_Elsewhere_2006_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,LSH_Eng_only_2001_Ce_M,LSH_Eng_only_2001_Ce_F,LSH_Eng_only_2001_Ce_P,LSH_Eng_only_2006_Ce_M,LSH_Eng_only_2006_Ce_F,LSH_Eng_only_2006_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Oth_Lan_2001_Ce_M,LSH_Oth_Lan_2001_Ce_F,LSH_Oth_Lan_2001_Ce_P,LSH_Oth_Lan_2006_Ce_M,LSH_Oth_Lan_2006_Ce_F,LSH_Oth_Lan_2006_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,Aust_citiz_C01_M,Aust_citiz_C01_F,Aust_citiz_C01_P,Aust_citiz_C06_M,Aust_citiz_C06_F,Aust_citiz_C06_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P
105051100,17735,18162,35897,18057,18401,36458,19886,20290,40176,1175,1107,2282,1247,1076,2323,1341,1281,2622,2147,2125,4272,2129,2023,4152,2329,2131,4460,1169,1094,2263,1066,1065,2131,1109,1161,2270,1287,1302,2589,1292,1260,2552,1333,1296,2629,2829,2859,5688,2779,2887,5666,3181,3294,6475,2913,2727,5640,2910,2779,5689,3172,3164,6336,2379,2418,4797,2443,2426,4869,2751,2560,5311,1765,1862,3627,1899,2055,3954,2085,2244,4329,1260,1387,2647,1334,1379,2713,1510,1643,3153,638,929,1567,772,1049,1821,863,1064,1927,173,352,525,186,402,588,213,452,665,148,177,325,165,176,341,217,276,493,257,275,532,291,308,599,279,318,597,8,4,12,9,6,15,7,10,17,9,5,14,5,5,10,4,0,4,274,284,558,305,319,624,290,328,618,8603,8842,17445,9110,9191,18301,10191,10242,20433,7646,7706,15352,7374,7635,15009,8136,8518,16654,8421,8510,16931,9153,9078,18231,10165,9907,20072,7977,8213,16190,7614,8098,15712,8306,9010,17316,13982,14501,28483,14238,14676,28914,15536,16020,31556
105054800,23252,25453,48705,23198,25500,48698,24488,27460,51948,1309,1295,2604,1752,1598,3350,2163,2062,4225,1910,1775,3685,1823,1773,3596,2243,2235,4478,942,979,1921,861,897,1758,833,813,1646,1625,1957,3582,1315,1553,2868,1226,1488,2714,5742,6555,12297,4893,5915,10808,4361,5400,9761,4336,4505,8841,4837,4979,9816,5226,5559,10785,3270,3621,6891,3091,3447,6538,3344,3678,7022,2052,2060,4112,2543,2683,5226,2706,3181,5887,1233,1334,2567,1235,1375,2610,1467,1652,3119,666,941,1607,673,900,1573,724,940,1664,167,431,598,175,380,555,196,451,647,340,393,733,222,303,525,245,291,536,170,178,348,181,199,380,220,257,477,8,7,15,8,12,20,14,11,25,15,8,23,9,7,16,8,7,15,193,193,386,198,218,416,242,275,517,14632,16658,31290,14429,16320,30749,15675,18005,33680,6696,6807,13503,6353,6795,13148,7092,7737,14829,18102,19883,37985,17882,19795,37677,19389,21564,40953,3369,3712,7081,3127,3607,6734,3514,4344,7858,18668,20798,39466,18293,20598,38891,19901,22725,42626
105055200,36723,36708,73431,35533,36433,71966,37714,38610,76324,2074,1987,4061,2149,2076,4225,2558,2405,4963,3310,3188,6498,2945,2774,5719,3205,2993,6198,1886,1924,3810,1607,1519,3126,1479,1439,2918,2960,3259,6219,2627,3061,5688,2752,3047,5799,8160,8325,16485,7558,8215,15773,7936,8473,16409,6950,6487,13437,6996,6741,13737,7281,7400,14681,4777,4601,9378,4750,4801,9551,5230,5007,10237,3148,2899,6047,3343,3270,6613,3503,3620,7123,2211,2130,4341,2103,2122,4225,2139,2222,4361,971,1307,2278,1190,1336,2526,1301,1433,2734,276,601,877,265,518,783,331,571,902,415,427,842,335,420,755,326,381,707,419,503,922,474,554,1028,467,553,1020,21,15,36,21,23,44,21,21,42,8,17,25,3,7,10,19,18,37,448,535,983,498,584,1082,507,592,1099,18684,19755,38439,19157,20275,39432,21514,22619,44133,14593,13703,28296,12245,12349,24594,12859,13055,25914,19431,19973,39404,20330,21216,41546,23166,23947,47113,14215,13801,28016,11540,11901,23441,11431,11978,23409,28678,29594,58272,27633,29243,56876,29785,31439,61224
105057201,16566,13942,30508,19464,16620,36084,22184,19108,41292,404,382,786,372,315,687,398,324,722,1014,924,1938,613,607,1220,594,575,1169,885,1077,1962,857,943,1800,898,919,1817,1838,1935,3773,2892,3337,6229,3063,3278,6341,3581,3067,6648,5237,4710,9947,6677,6019,12696,3124,2099,5223,3388,2336,5724,3639,2676,6315,2829,1940,4769,2981,2048,5029,3242,2359,5601,1572,1236,2808,1957,1383,3340,2369,1824,4193,910,802,1712,774,583,1357,936,763,1699,339,395,734,324,265,589,291,280,571,70,85,155,69,93,162,77,91,168,4304,3821,8125,4135,3687,7822,4672,4144,8816,49,45,94,56,26,82,74,67,141,3,3,6,0,3,3,3,3,6,3,0,3,0,3,3,3,0,3,55,48,103,56,32,88,80,70,150,3296,2296,5592,3741,2622,6363,5015,3809,8824,3904,3773,7677,5412,5339,10751,8022,7949,15971,4380,2992,7372,5035,3394,8429,6827,5012,11839,2836,3090,5926,4118,4628,8746,6131,6758,12889,4728,3494,8222,5545,4075,9620,7345,5926,13271
105057204,27928,21524,49452,29697,22180,51877,29240,23155,52395,735,607,1342,631,576,1207,689,653,1342,1285,1228,2513,711,690,1401,658,683,1341,879,920,1799,609,750,1359,557,615,1172,2669,2547,5216,2903,2503,5406,2380,2471,4851,8317,6427,14744,9186,7195,16381,9315,7865,17180,5684,3183,8867,6630,3635,10265,6201,3889,10090,3723,2463,6186,3862,2446,6308,4152,2417,6569,2225,1695,3920,2758,1961,4719,2790,2097,4887,1473,1167,2640,1400,1068,2468,1525,1226,2751,737,862,1599,787,853,1640,744,726,1470,201,425,626,220,503,723,228,513,741,2326,2138,4464,1349,1084,2433,1426,1301,2727,212,163,375,227,151,378,244,193,437,10,8,18,12,7,19,12,3,15,6,5,11,11,3,14,9,14,23,228,176,404,250,161,411,265,210,475,11610,9334,20944,12206,9492,21698,13299,10682,23981,8735,6202,14937,8381,6172,14553,10316,7987,18303,16466,12312,28778,16693,12504,29197,18496,14190,32686,3961,3268,7229,3885,3289,7174,5063,4545,9608,15916,12529,28445,16265,12636,28901,18051,14237,32288
105057205,20631,18762,39393,26511,23493,50004,30221,27228,57449,854,814,1668,1124,1029,2153,1324,1243,2567,1361,1236,2597,1265,1153,2418,1340,1276,2616,913,910,1823,1130,1113,2243,974,1018,1992,2108,2272,4380,2826,3112,5938,3231,3465,6696,5629,4762,10391,7505,6638,14143,8743,8187,16930,3758,2899,6657,5245,3797,9042,6019,4498,10517,2390,2188,4578,3123,2497,5620,3766,2892,6658,1667,1447,3114,2104,1821,3925,2474,2204,4678,1241,1187,2428,1342,1316,2658,1436,1343,2779,586,805,1391,720,775,1495,763,831,1594,124,242,366,127,242,369,151,271,422,362,371,733,472,499,971,584,652,1236,476,513,989,489,490,979,524,540,1064,19,20,39,24,25,49,12,17,29,25,19,44,11,15,26,16,15,31,520,552,1072,524,530,1054,552,572,1124,10706,9986,20692,12621,11252,23873,15010,13316,28326,7328,6470,13798,8939,8248,17187,11247,10499,21746,12747,11394,24141,15459,13243,28702,18630,15940,34570,5460,5212,10672,6335,6522,12857,7821,8044,15865,15155,14291,29446,17761,16153,33914,20892,18839,39731
105057206,17023,16824,33847,21331,21178,42509,22854,22788,45642,595,572,1167,686,676,1362,888,769,1657,1001,959,1960,857,877,1734,882,888,1770,1137,1372,2509,1083,1455,2538,1065,1293,2358,2609,2911,5520,3484,3830,7314,3264,3877,7141,4839,4506,9345,6571,6239,12810,7258,6917,14175,2505,2185,4690,3208,2758,5966,3743,3263,7006,1948,1823,3771,2257,2213,4470,2312,2232,4544,1208,1112,2320,1811,1709,3520,1951,1955,3906,741,763,1504,846,780,1626,1000,963,1963,364,477,841,438,502,940,416,471,887,76,144,220,90,138,228,75,160,235,1154,1083,2237,1053,1190,2243,1086,1148,2234,163,207,370,231,294,525,260,323,583,13,17,30,11,14,25,13,14,27,8,10,18,4,9,13,7,8,15,184,234,418,246,317,563,280,345,625,7815,7894,15709,8204,8525,16729,9638,9749,19387,5612,5655,11267,6577,6907,13484,8802,9233,18035,9799,9534,19333,10423,10444,20867,12409,12059,24468,3680,4052,7732,4475,5147,9622,6100,7034,13134,10483,10431,20914,11167,11601,22768,13313,13514,26827
105106550,59448,62049,121497,60080,62094,122174,64466,67053,131519,3250,3099,6349,3371,3198,6569,4016,3796,7812,5716,5378,11094,5575,5265,10840,6036,5769,11805,3930,3874,7804,3684,3443,7127,3739,3571,7310,6675,6613,13288,6631,6313,12944,7318,7039,14357,11873,11926,23799,11392,11593,22985,12186,12442,24628,9057,9192,18249,9482,9514,18996,9860,10222,20082,7224,7675,14899,7218,7726,14944,7810,8152,15962,5056,5147,10203,5702,5978,11680,6089,6495,12584,3685,4333,8018,3696,4049,7745,3927,4414,8341,2376,3524,5900,2643,3609,6252,2538,3348,5886,606,1288,1894,687,1406,2093,947,1805,2752,1361,1556,2917,1186,1302,2488,1243,1346,2589,632,638,1270,706,681,1387,903,858,1761,25,22,47,33,29,62,40,35,75,19,15,34,14,17,31,28,18,46,676,675,1351,753,727,1480,971,911,1882,32367,33996,66363,32152,33249,65401,34257,35326,69583,21073,21917,42990,20741,22104,42845,23992,25613,49605,36741,38674,75415,36740,38397,75137,39063,40899,79962,16390,17714,34104,15703,17650,33353,18225,20455,38680,44086,47407,91493,43351,46791,90142,45744,49764,95508
105108050,29718,31614,61332,30300,31388,61688,31471,32759,64230,1609,1482,3091,1827,1714,3541,2199,2071,4270,2608,2630,5238,2584,2429,5013,2838,2692,5530,1401,1531,2932,1274,1305,2579,1215,1228,2443,2495,2692,5187,2209,2380,4589,1980,2309,4289,7253,7410,14663,7324,7505,14829,7592,7937,15529,4955,4768,9723,5263,5018,10281,5837,5608,11445,3672,3760,7432,3598,3585,7183,3693,3651,7344,2396,2510,4906,2843,2881,5724,2804,2941,5745,1740,2027,3767,1663,1891,3554,1780,1976,3756,1209,1925,3134,1279,1760,3039,1082,1428,2510,380,879,1259,436,920,1356,450,919,1369,946,982,1928,905,950,1855,684,823,1507,95,89,184,87,73,160,112,110,222,6,6,12,6,12,18,8,7,15,4,3,7,3,3,6,0,3,3,105,98,203,96,88,184,120,120,240,14527,15937,30464,13872,14967,28839,15708,16343,32051,10970,11332,22302,9892,10771,20663,11449,12281,23730,20190,21347,41537,19297,20359,39656,21813,22429,44242,5492,6159,11651,4732,5724,10456,5483,6405,11888,21424,23336,44760,20040,22111,42151,22204,23568,45772
105108500,23354,26886,50240,23389,27034,50423,24567,27858,52425,1126,1179,2305,1294,1287,2581,1513,1518,3031,2416,2428,4844,2327,2341,4668,2572,2534,5106,1366,1435,2801,1303,1437,2740,1357,1335,2692,1557,1879,3436,1364,1648,3012,1408,1708,3116,4566,5262,9828,4133,4908,9041,4351,5074,9425,3542,3750,7292,3647,3959,7606,3718,4131,7849,3275,3821,7096,2957,3370,6327,3138,3500,6638,2479,2643,5122,3050,3413,6463,2840,3260,6100,1564,1895,3459,1612,1957,3569,2049,2351,4400,1112,1811,2923,1248,1785,3033,1090,1447,2537,351,783,1134,454,930,1384,530,1001,1531,466,595,1061,414,462,876,329,421,750,37,35,72,39,43,82,60,50,110,5,8,13,4,7,11,3,3,6,3,3,6,3,0,3,0,0,0,45,46,91,46,50,96,63,53,116,12935,15423,28358,12595,15144,27739,13824,16111,29935,7448,8050,15498,7224,8036,15260,7715,8600,16315,17655,20114,37769,17205,19985,37190,18469,21068,39537,2909,3498,6407,2841,3519,6360,3170,3774,6944,17797,20725,38522,17415,20591,38006,18685,21784,40469
