region_id,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T
105051100,0,0,6,3351,3883,2491,2188,859,373,13145,912,1514,1030,1256,571,294,5577,252,341,214,205,65,27,1104,179,237,224,206,87,29,962,431,578,438,411,152,56,2066,443,249,118,86,20,12,928,929,1024,704,498,140,42,3337,715,792,327,193,55,18,2100,0,0,0,5,0,0,5,2087,2065,1149,782,215,72,6370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,15,10,3,10,74,14,22,15,10,3,10,74,20,5,8,0,0,0,33,3464,4184,2640,2459,941,432,14120
105054800,0,0,3,6301,7686,3209,2226,571,162,20155,1460,2551,1541,1426,424,126,7528,928,1319,650,463,106,15,3481,923,1700,850,618,148,41,4280,1851,3019,1500,1081,254,56,7761,818,484,173,61,14,6,1556,886,617,121,32,5,3,1664,1161,1022,224,73,14,3,2497,23,10,0,0,0,0,33,2888,2133,518,166,33,12,5750,0,3,0,0,0,0,3,3,3,0,0,0,0,6,83,97,40,22,6,3,251,86,103,40,22,6,3,260,6,14,0,0,0,0,20,6291,7820,3599,2695,717,197,21319
105055200,3,4,31,8661,10067,4476,3184,1062,636,28086,1785,3178,2061,1924,686,413,10047,1226,2053,973,650,169,61,5132,648,1116,638,542,132,42,3118,1874,3169,1611,1192,301,103,8250,2164,1685,541,244,69,19,4722,2024,1800,516,242,68,21,4671,735,688,182,66,23,5,1699,64,42,17,8,0,0,131,4987,4215,1256,560,160,45,11223,0,0,0,0,0,0,0,3,3,0,0,0,0,6,102,119,71,47,29,12,380,105,122,71,47,29,12,386,21,25,12,8,4,0,70,8772,10709,5011,3731,1180,573,29976
105057201,0,0,46,2096,2197,813,658,175,75,6014,78,87,28,29,6,7,235,74,23,6,4,0,0,107,51,35,9,7,0,3,105,125,58,15,11,0,3,212,51,31,4,3,3,0,92,17,9,0,0,0,0,26,2720,2958,1063,874,222,105,7942,4,0,0,3,0,0,7,2792,2998,1067,880,225,105,8067,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,4,0,0,7,18,7,5,3,0,0,33,3013,3150,1118,927,231,115,8554
105057204,0,0,35,9902,7057,1377,675,209,84,19304,110,132,48,48,18,17,373,72,84,30,18,4,0,208,1112,1651,737,450,144,53,4147,1184,1735,767,468,148,53,4355,506,345,70,24,6,0,951,1463,1021,201,47,16,8,2756,7779,5253,777,238,37,5,14089,13,3,4,0,0,0,20,9761,6622,1052,309,59,13,17816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,16,8,4,0,95,32,35,16,8,4,0,95,57,24,5,4,0,0,90,11144,8548,1888,837,229,83,22729
105057205,0,0,21,7477,8108,2781,1459,447,181,20453,410,576,360,273,104,52,1775,634,1023,392,239,53,13,2354,1035,1787,979,631,187,65,4684,1669,2810,1371,870,240,78,7038,568,385,101,37,8,0,1099,1240,1112,270,102,16,9,2749,4575,4745,1390,627,118,43,11498,40,16,5,3,4,0,68,6423,6258,1766,769,146,52,15414,4,4,0,0,0,0,8,0,0,0,0,0,0,0,18,29,14,9,0,3,73,22,33,14,9,0,3,81,225,97,22,11,0,3,358,8749,9774,3533,1932,490,188,24666
105057206,0,0,3,5094,5673,1748,973,276,133,13897,171,252,110,79,41,18,671,344,338,153,100,28,10,973,729,1062,538,407,119,57,2912,1073,1400,691,507,147,67,3885,569,436,147,51,18,4,1225,864,812,224,94,13,10,2017,3601,3942,1049,524,127,47,9290,10,4,5,0,0,0,19,5044,5194,1425,669,158,61,12551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,12,7,0,0,68,20,29,12,7,0,0,68,21,18,6,4,3,0,52,6329,6893,2244,1266,349,146,17227
105106550,3,0,56,12687,15765,7270,6068,2206,856,44852,2247,3969,2580,3505,1582,668,14551,854,1075,707,808,215,49,3708,657,1069,812,796,277,89,3700,1511,2144,1519,1604,492,138,7408,1806,1735,760,396,90,20,4807,3988,4162,1623,769,173,33,10748,3336,3927,1527,719,172,39,9720,28,21,11,3,3,4,70,9158,9845,3921,1887,438,96,25345,3,0,0,0,0,0,3,0,0,0,0,0,0,0,53,65,38,25,7,7,195,56,65,38,25,7,7,198,23,22,7,9,0,0,61,12995,16045,8065,7030,2519,909,47563
105108050,0,0,9,7417,8445,3127,2671,889,260,22809,714,1322,898,1209,609,190,4942,499,759,426,427,133,29,2273,447,751,464,506,185,48,2401,946,1510,890,933,318,77,4674,1156,1346,481,216,51,10,3260,2210,2494,719,281,50,14,5768,2475,2421,712,314,56,11,5989,6,6,3,3,4,0,22,5847,6267,1915,814,161,35,15039,0,3,0,0,3,0,6,3,0,0,0,0,0,3,52,51,18,16,7,5,149,55,54,18,16,10,5,158,16,17,12,3,5,3,56,7578,9170,3733,2975,1103,310,24869
105108500,0,0,45,6547,7188,2517,2163,877,269,19561,745,1380,755,1157,653,229,4919,229,284,137,110,32,5,797,872,1402,763,586,154,24,3801,1101,1686,900,696,186,29,4598,515,595,236,129,39,6,1520,1370,1603,449,169,33,7,3631,2769,2160,494,203,46,10,5682,3,6,0,0,0,0,9,4657,4364,1179,501,118,23,10842,0,0,3,0,0,0,3,0,0,0,0,0,0,0,19,18,7,11,0,0,55,19,18,10,11,0,0,58,20,17,6,0,0,3,46,6542,7465,2850,2365,957,284,20463
