region_id,C01_Ne_Nil_in_1PF_1C,C01_Ne_Nil_in_1PF_2C,C01_Ne_Nil_in_1PF_3C,C01_Ne_Ni_in_1PF_4mo_ch,C01_Ne_Ni_in_T,C01_1_199_1PF_1C,C01_1_199_1PF_2C,C01_1_199_1PF_3C,C01_1_199_1PF_4mo_ch,C01_1_199_T,C01_200_399_1PF_1C,C01_200_399_1PF_2C,C01_200_399_1PF_3C,C01_200_399_1PF_4mo_ch,C01_200_399_T,C01_400_599_1PF_1C,C01_400_599_1PF_2C,C01_400_599_1PF_3C,C01_400_599_1PF_4mo_ch,C01_400_599_T,C01_600_799_1PF_1C,C01_600_799_1PF_2C,C01_600_799_1PF_3C,C01_600_799_1PF_4mo_ch,C01_600_799_T,C01_800_999_1PF_1C,C01_800_999_1PF_2C,C01_800_999_1PF_3C,C01_800_999_1PF_4mo_ch,C01_800_999_T,C01_1000_1499_1PF_1C,C01_1000_1499_1PF_2C,C01_1000_1499_1PF_3C,C01_1000_1499_1_p_fa_4mo_c,C01_1000_1499_T,C01_1500_1999_1PF_1C,C01_1500_1999_1PF_2C,C01_1500_1999_1PF_3C,C01_1500_1999_1_p_fa_4mo_c,C01_1500_1999_T,C01_2000_2499_1PF_1C,C01_2000_2499_1PF_2C,C01_2000_2499_1PF_3C,C01_2000_2499_1_pa_f_4mo_c,C01_2000_2499_T,C01_2500_2999_1PF_1C,C01_2500_2999_1PF_2C,C01_2500_2999_1PF_3C,C01_2500_2999_1_p_fa_4mo_c,C01_2500_2999_T,C01_3000m_1PF_1C,C01_3000m_1PF_2C,C01_3000m_1PF_3C,C01_3000m_1PF_4mo_ch,C01_3000m_T,C01_PI_S_1PF_1C,C01_PI_S_1PF_2C,C01_PI_S_1PF_3C,C01_PI_S_1_pa_fa_4mo_c,C01_PI_S_1_pa_fa_w_To,C01_All_in_ns_1PF_1C,C01_All_in_ns_1PF_2C,C01_All_in_ns_1PF_3C,C01_All_in_ns_1_pa_fa_4mo_c,C01_All_in_ns_1_pa_fa_w_To,C01_Tot_1PF_1C,C01_Tot_1PF_2C,C01_Tot_1PF_3C,C01_Tot_1PF_4mo_ch,C01_Tot_T,C06_Ne_Nil_in_1PF_1C,C06_Ne_Nil_in_1PF_2C,C06_Ne_Nil_in_1PF_3C,C06_Ne_Ni_in_1PF_4mo_ch,C06_Ne_Ni_in_T,C06_1_199_1PF_1C,C06_1_199_1PF_2C,C06_1_199_1PF_3C,C06_1_199_1PF_4mo_ch,C06_1_199_T,C06_200_399_1PF_1C,C06_200_399_1PF_2C,C06_200_399_1PF_3C,C06_200_399_1PF_4mo_ch,C06_200_399_T,C06_400_599_1PF_1C,C06_400_599_1PF_2C,C06_400_599_1PF_3C,C06_400_599_1PF_4mC,C06_400_599_T,C06_600_799_1PF_1C,C06_600_799_1PF_2C,C06_600_799_1PF_3C,C06_600_799_1PF_4mC,C06_600_799_T,C06_800_999_1PF_1C,C06_800_999_1PF_2C,C06_800_999_1PF_3C,C06_800_999_1PF_4mC,C06_800_999_T,C06_1000_1499_1PF_1C,C06_1000_1499_1PF_2C,C06_1000_1499_1PF_3C,C06_1000_1499_1PF_4mC,C06_1000_1499_T,C06_1500_1999_1PF_1C,C06_1500_1999_1PF_2C,C06_1500_1999_1PF_3C,C06_1500_1999_1PF_4mC,C06_1500_1999_T,C06_2000_2499_1PF_1C,C06_2000_2499_1PF_2C,C06_2000_2499_1PF_3C,C06_2000_2499_1PF_4mC,C06_2000_2499_T,C06_2500_2999_1PF_1C,C06_2500_2999_1PF_2C,C06_2500_2999_1PF_3C,C06_2500_2999_1PF_4mC,C06_2500_2999_T,C06_3000m_1PF_1C,C06_3000m_1PF_2C,C06_3000m_1PF_3C,C06_3000m_1PF_4mo_ch,C06_3000m_T,C06_PI_S_1PF_1C,C06_PI_S_1PF_2C,C06_PI_S_1PF_3C,C06_PI_S_1_pa_fa_4mo_c,C06_PI_S_1_pa_fa_w_To,C06_All_in_ns_1PF_1C,C06_All_in_ns_1PF_2C,C06_All_in_ns_1PF_3C,C06_All_in_ns_1_pa_fa_4mo_c,C06_All_in_ns_1_pa_fa_w_To,C06_Tot_1PF_1C,C06_Tot_1PF_2C,C06_Tot_1PF_3C,C06_Tot_1PF_4mo_ch,C06_Tot_T,C11_Ne_Nil_in_1PF_1C,C11_Ne_Nil_in_1PF_2C,C11_Ne_Nil_in_1PF_3C,C11_Ne_Ni_in_1PF_4mo_ch,C11_Ne_Ni_in_T,C11_1_199_1PF_1C,C11_1_199_1PF_2C,C11_1_199_1PF_3C,C11_1_199_1PF_4mo_ch,C11_1_199_T,C11_200_399_1PF_1C,C11_200_399_1PF_2C,C11_200_399_1PF_3C,C11_200_399_1PF_4mo_ch,C11_200_399_T,C11_400_599_1PF_1C,C11_400_599_1PF_2C,C11_400_599_1PF_3C,C11_400_599_1PF_4mC,C11_400_599_T,C11_600_799_1PF_1C,C11_600_799_1PF_2C,C11_600_799_1PF_3C,C11_600_799_1PF_4mC,C11_600_799_T,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_T,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_T,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_T,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_T,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_T,C11_3000m_1PF_1C,C11_3000m_1PF_2C,C11_3000m_1PF_3C,C11_3000m_1PF_4mo_ch,C11_3000m_T,C11_PI_S_1PF_1C,C11_PI_S_1PF_2C,C11_PI_S_1PF_3C,C11_PI_S_1_pa_fa_4m_c,C11_PI_S_1_pa_fa_w_To
105051100,5,3,0,0,8,32,11,7,3,53,191,89,32,0,312,221,97,25,10,353,161,67,13,9,250,128,38,12,3,181,160,78,12,9,259,33,26,6,3,68,21,17,5,0,43,3,3,4,3,13,0,0,0,0,0,75,64,26,9,174,29,17,4,0,50,1059,510,146,49,1764,8,10,4,0,22,17,7,5,0,29,149,83,23,6,261,150,73,22,3,248,144,53,10,6,213,122,46,15,0,183,226,75,12,9,322,68,39,7,3,117,31,20,3,3,57,19,13,5,0,37,6,6,0,0,12,93,65,17,11,186,38,18,0,0,56,1071,508,123,41,1743,12,8,0,0,20,28,7,0,0,35,96,24,12,3,135,134,77,22,0,233,162,61,12,12,247,119,49,15,3,186,222,101,20,7,350,113,67,8,3,191,58,33,4,0,95,45,21,5,3,74,27,20,6,3,56,75,58,20,8,161
105054800,11,3,0,0,14,44,15,0,0,59,170,55,11,0,236,146,62,14,5,227,149,46,4,4,203,151,44,7,0,202,215,60,11,0,286,127,50,14,3,194,38,12,5,3,58,14,7,0,0,21,3,3,0,0,6,99,60,18,3,180,20,5,0,3,28,1187,422,84,21,1714,10,0,0,0,10,14,4,3,0,21,131,46,10,3,190,145,46,8,0,199,120,33,5,0,158,88,32,9,3,132,234,90,5,0,329,109,46,7,3,165,31,15,6,0,52,85,26,10,0,121,19,16,3,0,38,97,48,14,5,164,17,9,3,0,29,1100,411,83,14,1608,21,4,0,0,25,22,8,4,0,34,76,31,5,0,112,110,27,9,3,149,132,37,6,3,178,95,25,9,3,132,223,67,3,0,293,140,49,9,3,201,68,16,0,0,84,147,56,13,3,219,43,23,3,3,72,88,59,12,6,165
105055200,25,7,3,0,35,67,36,14,3,120,326,128,29,13,496,330,106,52,14,502,241,79,22,9,351,190,57,14,4,265,270,105,27,8,410,92,63,11,3,169,35,27,3,3,68,3,5,3,3,14,0,9,3,0,12,102,87,36,21,246,68,19,9,6,102,1749,728,226,87,2790,19,11,3,0,33,22,14,4,0,40,290,117,27,11,445,281,115,30,19,445,227,84,23,9,343,167,50,14,9,240,389,119,27,10,545,137,63,7,4,211,37,30,6,4,77,66,32,7,0,105,17,6,6,3,32,121,78,40,13,252,62,18,8,5,93,1835,737,202,87,2861,17,9,0,0,26,48,8,3,0,59,169,70,13,4,256,191,96,29,6,322,262,71,21,9,363,193,53,10,3,259,369,137,24,12,542,247,73,17,6,343,81,43,7,10,141,148,56,9,3,216,37,27,8,3,75,140,93,33,17,283
105057201,20,10,0,0,30,9,7,0,0,16,40,19,3,3,65,32,3,3,0,38,24,5,0,0,29,9,3,3,0,15,26,8,4,0,38,15,5,0,0,20,11,3,0,0,14,3,3,0,0,6,0,0,0,0,0,11,11,3,0,25,10,3,3,0,16,210,80,19,3,312,29,8,4,0,41,11,3,0,0,14,36,6,4,0,46,24,6,0,0,30,18,3,0,0,21,18,7,0,0,25,22,4,0,0,26,11,0,0,0,11,3,3,0,0,6,10,7,0,0,17,6,3,0,0,9,21,6,5,0,32,6,3,0,0,9,215,59,13,0,287,40,6,3,0,49,12,3,0,0,15,29,4,0,0,33,26,12,0,0,38,33,4,0,0,37,27,5,0,0,32,39,12,0,0,51,14,7,0,0,21,3,0,0,0,3,31,9,0,0,40,10,7,3,0,20,21,5,0,0,26
105057204,6,0,0,0,6,35,5,0,0,40,98,26,7,3,134,109,28,7,4,148,63,15,0,0,78,47,12,0,0,59,66,18,0,3,87,47,17,0,0,64,20,0,0,3,23,9,0,0,0,9,5,0,0,0,5,45,18,4,3,70,10,7,3,0,20,560,146,21,16,743,9,0,0,0,9,12,3,0,0,15,73,25,5,0,103,79,10,7,3,99,47,5,0,0,52,41,6,0,3,50,83,15,0,3,101,36,9,0,3,48,14,0,0,0,14,34,5,5,0,44,10,3,3,0,16,35,26,3,0,64,18,6,0,0,24,491,113,23,12,639,15,10,0,0,25,12,5,0,0,17,50,18,4,0,72,58,12,6,3,79,67,7,3,4,81,37,8,3,3,51,86,20,0,0,106,62,13,0,0,75,21,4,0,0,25,62,14,3,0,79,29,7,0,0,36,56,26,5,0,87
105057205,13,10,3,0,26,75,18,4,0,97,254,112,26,11,403,200,65,16,7,288,117,35,9,6,167,97,21,5,6,129,134,41,5,3,183,44,27,8,3,82,12,7,0,3,22,0,4,0,3,7,0,0,0,0,0,78,52,14,4,148,40,14,9,0,63,1064,406,99,46,1615,28,5,0,0,33,27,13,4,0,44,166,66,14,4,250,155,42,20,9,226,125,53,7,4,189,68,24,8,0,100,167,48,8,4,227,69,25,3,3,100,34,5,0,0,39,43,23,3,3,72,15,3,0,0,18,75,45,19,4,143,36,8,7,0,51,1008,360,93,31,1492,24,13,0,0,37,37,11,3,0,51,106,37,11,0,154,140,44,12,3,199,135,34,16,0,185,123,36,5,4,168,173,52,6,8,239,101,34,4,0,139,43,16,3,0,62,81,31,3,0,115,21,19,5,0,45,79,37,17,7,140
105057206,17,3,0,0,20,34,14,5,3,56,168,60,11,5,244,106,28,15,8,157,70,22,4,0,96,63,15,3,0,81,77,20,7,0,104,43,16,3,3,65,16,6,0,0,22,3,0,0,0,3,3,0,0,0,3,48,27,9,10,94,18,13,0,3,34,666,224,57,32,979,16,5,0,0,21,19,6,0,3,28,110,52,11,3,176,93,29,18,9,149,66,22,0,4,92,54,10,3,3,70,100,25,0,0,125,38,11,3,0,52,12,7,3,0,22,38,15,3,3,59,18,5,0,0,23,43,26,14,10,93,11,5,4,3,23,618,218,59,38,933,25,14,0,0,39,19,5,3,3,30,78,37,12,3,130,93,37,15,3,148,108,24,8,6,146,71,19,3,0,93,92,36,9,4,141,45,18,7,0,70,27,8,0,3,38,56,17,0,3,76,38,13,0,3,54,43,28,14,7,92
105106550,49,26,6,3,84,98,44,8,3,153,448,185,54,3,690,457,171,37,13,678,404,127,29,9,569,329,107,18,4,458,476,190,40,11,717,185,107,34,10,336,86,36,4,4,130,20,10,5,0,35,3,16,7,0,26,233,166,63,11,473,94,36,9,5,144,2882,1221,314,76,4493,56,32,4,0,92,69,12,3,0,84,403,152,40,10,605,404,148,34,13,599,333,106,23,6,468,279,84,15,7,385,568,197,40,14,819,239,128,23,0,390,84,53,8,4,149,109,48,11,0,168,32,29,6,4,71,232,145,65,16,458,81,19,5,5,110,2889,1153,277,79,4398,58,29,9,3,99,60,19,0,0,79,202,81,23,5,311,291,137,35,4,467,360,116,23,7,506,291,95,22,12,420,594,169,38,6,807,367,138,29,3,537,126,86,11,5,228,207,85,24,0,316,92,63,14,4,173,229,192,51,14,486
105108050,28,5,4,3,40,35,11,0,0,46,194,52,12,0,258,222,64,15,3,304,183,64,4,3,254,164,37,10,0,211,231,81,12,3,327,124,43,10,3,180,43,23,3,0,69,9,3,3,0,15,4,8,0,3,15,105,80,26,3,214,34,10,4,0,48,1376,481,103,21,1981,33,10,0,0,43,20,5,0,0,25,115,32,7,0,154,158,61,7,7,233,136,44,6,3,189,86,26,8,3,123,287,63,10,0,360,91,38,12,0,141,35,13,6,0,54,65,30,3,3,101,24,15,4,3,46,105,54,25,3,187,31,11,3,0,45,1186,402,91,22,1701,31,17,0,0,48,20,11,0,0,31,64,28,6,0,98,117,32,8,3,160,125,31,4,5,165,115,38,13,3,169,240,68,12,0,320,136,46,10,0,192,48,18,10,0,76,106,74,5,3,188,38,20,7,3,68,99,68,30,5,202
105108500,13,9,3,0,25,21,4,0,0,25,77,23,3,0,103,90,30,5,0,125,108,31,7,3,149,117,27,10,0,154,140,57,13,0,210,121,58,17,3,199,59,20,4,0,83,29,12,3,0,44,10,10,0,3,23,93,61,33,5,192,23,6,3,0,32,901,348,101,14,1364,25,20,4,0,49,9,3,0,0,12,44,18,3,0,65,83,25,5,0,113,74,23,6,0,103,61,22,5,0,88,181,45,7,6,239,81,28,11,0,120,40,21,0,0,61,94,54,13,4,165,50,23,4,6,83,108,56,23,5,192,31,13,0,0,44,881,351,81,21,1334,30,16,4,0,50,21,9,3,0,33,36,16,6,0,58,67,21,5,3,96,77,23,3,0,103,59,23,8,0,90,164,62,13,0,239,104,39,7,0,150,49,6,3,0,58,131,76,13,3,223,80,26,7,0,113,96,78,26,9,209
