region_id,C06_F_NatPhy_sci_15_19,C06_F_NatPhy_sci_20_24,C06_F_NatPhy_sci_25_34,C06_F_NatPhy_sci_35_44,C06_F_NatPhy_sci_45_54,C06_F_NatPhy_sci_55_64,C06_F_NatPhy_sci_65_74,C06_F_NatPhy_sci_75_84,C06_F_NatPhy_sci_85o,C06_F_NatPhy_sci_T,C06_F_InfTec_15_19,C06_F_InfTec_20_24,C06_F_InfTec_25_34,C06_F_InfTec_35_44,C06_F_InfTec_45_54,C06_F_InfTec_55_64,C06_F_InfTec_65_74,C06_F_InfTec_75_84,C06_F_InfTec_85_ov,C06_F_InfTec_Tot,C06_F_EngRT_15_19,C06_F_EngRT_20_24,C06_F_EngRT_25_34,C06_F_EngRT_35_44,C06_F_EngRT_45_54,C06_F_EngRT_55_64,C06_F_EngRT_65_74,C06_F_EngRT_75_84,C06_F_EngRT_85_ov,C06_F_EngRT_Tot,C06_F_ArchBuild_15_19,C06_F_ArchBuild_20_24,C06_F_ArchBuild_25_34,C06_F_ArchBuild_35_44,C06_F_ArchBuild_45_54,C06_F_ArchBuild_55_64,C06_F_ArchBuild_65_74,C06_F_ArchBuild_75_84,C06_F_ArchBuild_85o,C06_F_Arch_building_Tot,C06_F_AgEnv_RS_15_19,C06_F_AgEnv_RS_20_24,C06_F_AgEnv_RS_25_34,C06_F_AgEnv_RS_35_44,C06_F_AgEnv_RS_45_54,C06_F_AgEnv_RS_55_64,C06_F_AgEnv_RS_65_74,C06_F_AgEnv_RS_75_84,C06_F_Agr_env_re_st_85o,C06_F_AgEnv_RS_Tot,C06_F_Health_15_19,C06_F_Health_20_24,C06_F_Health_25_34,C06_F_Health_35_44,C06_F_Health_45_54,C06_F_Health_55_64,C06_F_Health_65_74,C06_F_Health_75_84,C06_F_Health_85o,C06_F_Healt_To,C06_F_Educ_15_19,C06_F_Educ_20_24,C06_F_Educ_25_34,C06_F_Educ_35_44,C06_F_Educ_45_54,C06_F_Educ_55_64,C06_F_Educ_65_74,C06_F_Educ_75_84,C06_F_Educ_85o,C06_F_Educ_Tot,C06_F_MngtCom_15_19,C06_F_MngtCom_20_24,C06_F_MngtCom_25_34,C06_F_MngtCom_35_44,C06_F_MngtCom_45_54,C06_F_MngtCom_55_64,C06_F_MngtCom_65_74,C06_F_MngtCom_75_84,C06_F_MngtCom_85o,C06_F_MngtCom_Tot,C06_F_Soc_cult_15_19,C06_F_Soc_cult_20_24,C06_F_Soc_cult_25_34,C06_F_Soc_cult_35_44,C06_F_Soc_cult_45_54,C06_F_Soc_cult_55_64,C06_F_Soc_cult_65_74,C06_F_Soc_cult_75_84,C06_F_Soc_cult_85o,C06_F_Society_cultur_Tot,C06_F_Creative_art_15_19,C06_F_Creative_art_20_24,C06_F_Creative_art_25_34,C06_F_Creative_art_35_44,C06_F_Creative_art_45_54,C06_F_Creative_art_55_64,C06_F_Creative_art_65_74,C06_F_Creative_art_75_84,C06_F_Create_arts_85ov,C06_F_Creative_arts_Tot,C06_F_FoodHos_PS_15_19,C06_F_FoodHos_PS_20_24,C06_F_FoodHos_PS_25_34,C06_F_FoodHos_PS_35_44,C06_F_FoodHos_PS_45_54,C06_F_FoodHos_PS_55_64,C06_F_FoodHos_PS_65_74,C06_F_FoodHos_PS_75_84,C06_F_FoodHos_PS_85o,C06_F_Foo_hos_pers_S_Tot,C06_F_MixFld_pr_15_19,C06_F_MixFld_pr_20_24,C06_F_MixFld_pr_25_34,C06_F_MixFld_pr_35_44,C06_F_MixFld_pr_45_54,C06_F_MixFld_pr_55_64,C06_F_MixFld_pr_65_74,C06_F_MixFld_pr_75_84,C06_F_MixFld_pr_85_ov,C06_F_MixFld_pr_Tot,C06_F_FldStu_ID_15_19,C06_F_FldStu_ID_20_24,C06_F_FldStu_ID_25_34,C06_F_FldStu_ID_35_44,C06_F_FldStu_ID_45_54,C06_F_FldStu_ID_55_64,C06_F_FldStu_ID_65_74,C06_F_FldStu_ID_75_84,C06_F_FldStu_ID_85o,C06_F_FldStu_ID_Tot,C06_F_FldStu_NS_15_19,C06_F_FldStu_NS_20_24,C06_F_FldStu_NS_25_34,C06_F_FldStu_NS_35_44,C06_F_FldStu_NS_45_54,C06_F_FldStu_NS_55_64,C06_F_FldStu_NS_65_74,C06_F_FldStu_NS_75_84,C06_F_FldStu_NS_85o,C06_F_FldStu_NS_T,C06_F_Tot_15_19,C06_F_Tot_20_24,C06_F_Tot_25_34,C06_F_Tot_35_44,C06_F_Tot_45_54,C06_F_Tot_55_64,C06_F_Tot_65_74,C06_F_Tot_75_84,C06_F_Tot_85o,C06_F_T_T,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85_ov,C11_F_NatPhy_sci_Tot,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85_o,C11_F_InfTec_T,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85_o,C11_F_EngRT_T,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85o,C11_F_ArchBuild_T,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_AgEnv_RE_85o,C11_F_AgEnv_RS_T
105051100,0,25,76,52,26,17,3,0,0,199,3,22,102,48,24,3,3,0,0,205,0,4,72,57,41,25,34,15,7,255,0,10,22,18,10,5,0,0,0,65,0,3,15,13,6,3,0,0,0,40,3,34,162,175,127,84,26,21,4,636,3,29,140,148,109,78,39,16,9,571,24,234,610,474,282,132,50,29,8,1843,5,69,261,186,110,55,21,5,0,712,3,48,76,57,33,18,7,4,0,246,9,48,120,113,68,43,11,9,0,421,3,3,3,4,6,4,3,0,0,26,0,5,26,30,15,5,0,3,4,88,170,135,258,288,277,249,205,254,101,1937,223,669,1943,1663,1134,721,402,356,133,7244,3,27,90,67,53,25,9,0,3,277,0,12,98,66,31,10,0,0,0,217,0,18,80,58,48,52,34,26,9,325,0,9,24,20,9,8,0,0,0,70,0,3,11,13,10,5,0,0,0,42
105054800,3,40,199,133,80,45,5,4,0,509,0,11,88,74,40,19,5,0,0,237,0,12,73,64,39,18,17,12,4,239,0,15,82,89,33,22,8,0,0,249,3,4,42,24,20,8,0,0,0,101,0,64,438,429,325,218,68,27,7,1576,0,26,255,275,369,331,82,18,5,1361,16,207,1425,1022,469,223,73,28,7,3470,9,114,970,796,545,416,101,28,5,2984,9,135,600,471,215,97,26,12,6,1571,15,53,172,112,54,45,11,0,0,462,0,0,0,5,3,3,0,3,0,14,0,12,95,81,63,29,8,6,0,294,110,153,500,402,292,257,230,211,99,2254,165,846,4939,3977,2547,1731,634,349,133,15321,0,30,181,166,95,76,17,0,3,568,0,3,79,77,49,30,5,0,0,243,0,10,66,66,50,27,30,14,5,268,0,11,103,123,60,30,10,5,0,342,0,8,43,46,23,24,6,0,0,150
105055200,0,73,281,183,88,36,13,3,0,677,0,41,141,85,38,11,6,0,0,322,4,32,102,91,47,36,37,14,4,367,0,17,104,79,29,8,0,0,0,237,0,21,69,40,13,4,0,0,0,147,0,103,560,551,370,162,50,29,8,1833,5,59,413,462,456,249,78,23,12,1757,25,351,1332,949,483,188,37,29,11,3405,8,237,1286,956,571,265,62,14,5,3404,18,264,896,600,223,66,16,9,3,2095,26,115,259,162,69,42,16,7,0,696,0,6,3,8,5,3,0,0,0,25,3,36,146,106,52,27,6,3,0,379,241,328,805,662,538,413,337,302,161,3787,330,1683,6397,4934,2982,1510,658,433,204,19131,0,78,311,224,102,47,18,0,0,780,0,14,136,112,56,18,8,3,0,347,3,18,118,108,60,47,32,22,6,414,0,29,137,137,46,8,4,3,0,364,0,14,69,66,24,8,3,0,0,184
105057201,0,33,86,23,28,12,3,0,0,185,8,70,107,45,11,4,0,0,0,245,0,27,56,13,9,5,5,4,0,119,0,12,24,9,8,4,0,0,0,57,0,7,10,3,4,4,0,0,0,28,0,31,116,58,84,59,26,11,0,385,0,20,71,61,58,63,27,12,0,312,25,500,889,290,166,102,30,8,0,2010,5,121,308,133,113,72,33,15,5,805,5,93,128,51,23,10,5,5,0,320,7,51,99,35,13,10,3,4,0,222,7,21,3,3,4,0,0,0,0,38,0,14,32,13,13,12,6,0,3,93,288,1087,1446,698,594,388,193,102,47,4843,345,2087,3375,1435,1128,745,331,161,55,9662,0,32,101,34,24,28,0,0,0,219,0,23,167,54,18,10,0,0,0,272,0,25,96,27,20,6,4,3,0,181,0,9,49,14,11,0,3,0,0,86,4,0,20,9,6,0,3,0,0,42
105057204,0,28,153,43,31,25,15,9,4,308,3,19,106,34,27,4,5,0,0,198,0,24,78,33,24,22,13,3,3,200,0,23,116,66,26,7,5,3,0,246,0,8,38,6,11,3,3,0,0,69,3,65,358,188,165,122,66,35,12,1014,0,27,162,128,130,139,56,33,17,692,11,271,1223,517,243,157,48,36,16,2522,0,167,1009,493,291,208,68,41,9,2286,6,213,737,307,146,64,24,18,4,1519,14,105,214,93,43,40,7,7,0,523,0,3,3,0,5,0,0,0,0,11,3,18,97,68,38,23,13,7,4,271,183,572,1722,965,633,530,353,317,225,5500,223,1543,6016,2941,1813,1344,676,509,294,15359,0,31,187,77,35,27,19,5,3,384,0,11,113,54,18,11,4,0,0,211,0,29,119,42,31,15,11,5,6,258,3,35,161,91,33,25,7,0,3,358,0,13,46,15,3,4,0,0,0,81
105057205,0,82,206,100,49,27,9,3,0,476,0,29,148,66,22,10,3,0,0,278,0,30,108,70,40,38,34,11,6,337,0,17,111,61,22,15,0,0,0,226,0,11,50,14,5,7,3,0,0,90,3,98,453,259,146,93,44,31,6,1133,0,31,249,170,182,133,42,27,0,834,25,398,1362,594,264,120,38,26,6,2833,6,228,842,455,289,155,49,7,4,2035,17,237,635,295,123,42,17,8,0,1374,17,91,217,113,54,28,12,3,0,535,10,11,3,0,5,3,5,0,0,37,6,39,102,59,27,17,12,7,3,272,192,471,984,637,435,335,306,239,61,3660,276,1773,5470,2893,1663,1023,574,362,86,14120,3,79,236,127,60,28,13,4,0,550,0,15,140,84,35,10,0,0,0,284,3,38,147,77,46,41,32,19,4,407,3,27,153,80,36,12,5,3,0,319,0,4,47,18,15,9,3,3,0,99
105057206,0,101,202,76,41,31,10,5,3,469,3,57,146,65,12,6,4,0,0,293,3,44,96,27,25,14,10,5,3,227,0,20,87,31,23,0,0,3,0,164,0,7,28,12,6,0,0,0,0,53,3,72,324,139,137,91,39,18,3,826,8,29,173,107,152,155,49,24,4,701,30,506,1296,451,216,120,26,11,3,2659,5,223,772,344,233,194,71,17,3,1862,14,193,472,180,102,36,7,3,3,1010,11,76,131,58,37,18,4,0,0,335,3,12,3,3,3,0,0,3,0,27,0,29,69,31,31,21,4,3,0,188,299,826,1386,596,503,405,215,160,48,4438,379,2195,5185,2120,1521,1091,439,252,70,13252,0,95,245,105,54,37,8,6,4,554,3,32,182,87,34,12,0,0,0,350,3,44,152,50,32,19,8,7,0,315,0,31,116,63,27,17,5,0,0,259,0,11,42,14,9,12,0,4,0,92
105106550,10,176,449,272,161,104,40,9,5,1226,5,106,288,162,108,36,0,0,0,705,0,121,249,163,114,108,66,62,28,911,0,48,162,111,45,13,6,3,0,388,0,26,77,31,10,7,0,3,0,154,4,271,1092,931,771,431,206,122,43,3871,0,83,576,651,733,461,194,133,53,2884,71,887,2654,1831,1060,590,232,165,46,7536,21,417,1420,1039,711,394,111,68,11,4192,25,289,773,529,212,90,34,25,5,1982,33,179,379,318,164,157,55,40,13,1338,11,18,11,8,12,6,6,4,0,76,21,51,144,118,75,49,10,11,0,479,427,614,1082,927,807,735,696,844,363,6495,628,3286,9356,7091,4983,3181,1656,1489,567,32237,6,160,487,274,231,138,52,18,13,1379,0,35,214,192,134,45,8,3,0,631,3,125,313,163,156,87,98,59,29,1033,0,81,221,126,69,27,11,0,0,535,3,26,89,45,27,17,0,0,0,207
105108050,0,40,174,88,69,55,23,8,0,457,0,9,104,74,23,10,0,0,0,220,0,8,85,53,62,58,46,45,29,386,3,15,103,89,41,14,0,3,0,268,0,0,42,20,11,4,7,3,0,87,5,58,495,376,317,198,111,77,23,1660,4,44,329,295,392,272,127,61,20,1544,8,304,1444,898,414,300,122,86,42,3618,9,168,1066,677,440,282,94,44,9,2789,3,174,755,503,172,88,42,26,9,1772,9,97,224,167,82,91,19,22,5,716,0,7,3,0,5,4,0,3,3,25,3,20,101,96,67,37,9,8,4,345,242,416,1295,723,559,499,414,523,295,4966,286,1360,6220,4059,2654,1912,1014,909,439,18853,0,35,172,129,66,71,29,14,7,523,0,8,72,87,57,12,3,0,0,239,0,14,98,65,41,47,52,30,24,371,0,22,130,81,54,24,8,3,0,322,0,7,35,29,10,8,4,0,0,93
105108500,0,38,102,81,71,50,16,30,7,395,0,8,45,40,32,10,4,0,0,139,0,3,51,30,27,31,19,25,15,201,0,15,106,78,49,44,11,10,6,319,0,7,33,15,8,6,4,3,6,82,0,60,297,305,352,321,213,116,46,1710,0,34,208,190,344,338,142,84,20,1360,8,213,1074,808,465,396,152,111,46,3273,3,147,834,663,539,472,163,81,33,2935,5,176,580,361,186,143,65,41,20,1577,12,43,135,121,63,60,16,24,6,480,5,3,6,0,0,0,0,4,0,18,0,30,112,88,76,85,24,18,4,437,230,221,630,529,448,469,350,406,263,3546,263,998,4213,3309,2660,2425,1179,953,472,16472,0,36,127,108,67,52,43,19,17,469,0,0,38,43,35,17,8,0,0,141,0,3,38,37,28,23,23,22,17,191,0,33,99,94,68,45,17,7,3,366,3,3,19,19,12,10,4,0,3,73
