region_id,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85_ov,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85_ov,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85_ov,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85o,C11_P_Arch_building_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85o,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85o,C11_P_Healt_To,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85o,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85o,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85o,C11_P_Society_cultur_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85o,C11_P_Creative_arts_Tot,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85o,C11_P_Foo_hos_pers_S_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85_ov,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85o,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85o,C11_P_FldStu_NS_T,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85o,C11_P_T_T
105051100,3,38,147,135,105,67,26,6,3,530,3,47,401,228,81,27,5,0,0,792,12,129,512,574,584,445,292,140,33,2721,6,46,158,207,159,95,58,40,8,777,0,8,40,53,47,21,5,5,0,179,6,66,301,335,218,153,64,21,14,1178,3,44,208,278,197,144,79,27,11,991,40,325,1400,1095,671,345,150,66,23,4115,10,127,501,419,292,176,66,20,0,1611,9,82,244,138,85,42,17,9,0,626,11,96,262,248,148,85,44,12,4,910,3,8,9,6,4,7,0,6,0,43,3,9,49,60,50,26,12,4,3,216,234,239,534,565,510,501,483,359,175,3600,343,1264,4766,4341,3151,2134,1301,715,274,18289
105054800,0,52,326,390,204,183,62,10,6,1233,4,28,319,335,161,60,13,0,0,920,9,64,476,592,478,347,240,91,30,2327,4,49,321,415,307,204,105,35,4,1444,0,12,97,101,71,54,17,3,3,358,0,84,601,636,480,399,180,50,9,2439,0,36,329,384,378,569,222,55,10,1983,15,270,2192,2497,1197,676,209,55,19,7130,5,231,1441,1632,976,884,322,82,12,5585,10,278,1088,842,506,275,86,22,7,3114,14,62,235,264,113,70,26,15,6,805,0,6,6,8,0,0,0,0,0,20,3,26,117,156,97,77,32,16,0,524,144,186,580,689,442,428,362,333,215,3379,208,1384,8128,8941,5410,4226,1876,767,321,31261
105055200,0,144,564,471,249,144,52,13,0,1637,4,111,741,473,217,60,12,3,0,1621,10,157,816,856,659,400,254,120,32,3304,3,103,498,506,283,156,88,38,11,1686,0,28,150,153,84,42,12,0,0,469,7,180,861,857,612,322,111,46,19,3015,3,84,570,640,632,518,153,46,8,2654,41,611,2662,2274,1193,583,161,39,19,7583,20,438,2135,2025,1284,780,217,48,8,6955,26,531,1873,1362,658,220,56,13,7,4746,24,215,527,427,216,101,43,16,3,1572,7,9,9,6,10,4,6,3,3,57,0,62,240,239,148,64,25,5,4,787,332,517,1406,1192,897,737,557,461,220,6319,477,3190,13052,11481,7142,4131,1747,851,334,42405
105057201,0,57,215,99,81,88,19,4,3,566,5,91,703,236,104,53,4,0,0,1196,8,125,450,279,267,187,68,37,7,1428,4,28,133,61,57,56,23,11,0,373,4,0,44,33,29,9,13,0,0,132,0,69,282,157,147,152,91,27,6,931,0,23,126,101,131,164,73,21,7,646,47,932,2765,1115,751,390,155,38,4,6197,10,205,874,464,350,290,123,30,10,2356,13,167,406,141,64,43,13,9,0,856,15,207,384,108,51,29,9,6,3,812,14,25,13,9,5,0,0,0,0,66,0,40,90,36,43,21,14,4,0,248,317,1197,2500,1337,1229,910,389,139,50,8068,437,3166,8985,4176,3309,2392,994,326,90,23875
105057204,3,66,440,244,130,99,46,20,3,1051,3,77,624,310,121,45,11,0,0,1191,8,132,728,395,332,217,174,79,23,2088,6,79,439,306,195,132,72,25,6,1260,3,30,92,74,37,23,10,3,4,276,8,98,712,431,321,294,153,70,32,2119,0,32,299,251,218,291,137,50,12,1290,20,557,3617,1885,838,458,227,79,20,7701,7,309,2171,1321,815,651,280,86,29,5669,12,389,1762,830,433,189,76,29,7,3727,21,167,552,342,210,113,39,10,6,1460,7,7,8,6,3,3,0,3,0,37,3,42,178,149,108,54,28,10,7,579,210,724,2431,1517,1081,813,512,411,345,8044,311,2709,14053,8061,4842,3382,1765,875,494,36492
105057205,3,154,512,336,174,93,53,13,3,1341,0,87,786,409,141,39,11,0,0,1473,6,186,944,575,392,303,170,112,8,2696,6,90,484,332,216,135,60,20,3,1346,0,18,103,79,55,36,12,3,0,306,4,129,873,525,341,192,86,38,13,2201,3,51,436,383,308,286,104,41,8,1620,20,754,3571,1990,886,402,133,33,5,7794,18,410,1963,1264,719,491,153,57,3,5078,21,494,1711,804,395,172,46,20,0,3663,17,178,513,396,188,93,46,8,3,1442,22,28,10,6,0,4,3,6,0,79,3,50,201,149,93,55,33,8,4,596,301,912,1772,1047,824,647,577,391,128,6599,424,3541,13879,8295,4732,2948,1487,750,178,36234
105057206,5,196,470,235,123,102,42,19,4,1196,3,128,870,369,121,54,7,0,0,1552,3,184,770,340,254,222,116,40,11,1940,7,71,327,187,118,83,48,14,0,855,3,19,82,43,30,24,4,10,0,215,3,142,616,334,227,212,106,38,6,1684,0,39,272,201,181,276,121,45,5,1140,28,820,3206,1355,637,406,123,28,6,6609,13,425,1541,851,542,501,219,56,7,4155,22,372,1041,415,229,129,43,18,0,2269,14,148,409,163,94,40,20,0,0,888,6,10,9,0,3,0,0,0,0,28,6,48,150,88,49,52,21,7,0,421,347,1044,1857,942,677,560,342,188,67,6024,460,3646,11620,5523,3285,2661,1212,463,106,28976
105106550,16,304,891,613,475,328,174,45,23,2869,10,191,967,654,378,148,19,3,0,2370,29,699,2026,1345,1379,1080,728,432,159,7877,12,275,942,746,562,355,209,99,35,3235,6,59,243,172,115,56,26,19,3,699,15,312,1773,1516,1151,774,396,225,97,6259,4,134,843,838,836,843,361,213,102,4174,85,1437,5088,4212,2532,1454,596,268,122,15794,34,676,2568,2244,1536,1010,394,166,59,8687,38,466,1522,1045,575,208,90,43,18,4005,29,261,655,598,355,267,132,80,20,2397,36,50,15,8,13,12,6,3,3,146,3,74,215,248,172,95,61,24,15,907,810,1455,2595,1950,1599,1389,1182,1066,575,12621,1127,6393,20343,16189,11678,8019,4374,2686,1231,72040
105108050,0,57,341,282,173,136,74,39,10,1112,0,34,388,334,188,64,13,0,0,1021,3,84,719,540,427,441,311,178,77,2780,3,120,549,385,279,184,106,49,10,1685,0,13,113,92,43,24,7,5,0,297,6,101,740,589,525,385,206,138,52,2742,6,46,438,386,424,417,221,99,25,2062,20,446,3460,2572,1233,728,322,173,98,9052,15,265,1890,1577,915,733,304,121,35,5855,14,291,1536,974,447,197,77,44,19,3599,10,124,440,338,194,110,79,27,19,1341,0,0,10,5,0,5,8,4,3,35,3,44,175,199,109,53,32,14,7,636,275,615,2184,1291,842,690,637,498,343,7375,355,2240,12983,9564,5799,4167,2397,1389,698,39592
105108500,0,67,225,229,136,131,98,41,27,954,0,17,198,155,102,38,17,0,0,527,3,40,338,261,273,268,231,149,95,1658,0,60,278,268,187,177,113,35,25,1143,3,7,54,41,46,26,16,15,3,211,0,80,466,465,557,594,447,263,114,2986,0,30,262,232,311,487,213,111,43,1689,12,407,2372,1935,1408,901,521,214,92,7862,10,269,1519,1258,1124,1015,597,236,70,6098,8,237,971,593,398,226,104,51,28,2616,9,81,217,190,116,99,45,25,14,796,3,0,0,3,0,3,3,6,3,21,4,40,118,137,117,94,55,25,4,594,307,357,1115,904,731,641,565,423,350,5393,359,1692,8133,6671,5506,4700,3025,1594,868,32548
