region_id,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Notin_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Notin_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Notin_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Notin_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Notin_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Notin_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Notin_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75ov_Em_FT,C11_M_75ov_Em_PT,C11_M_75ov_Em_AFW,C11_M_75ov_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Lo_ft_wor,C11_M_75ov_Unem_Lo_pt_wor,C11_M_75ov_Unempl_Tot,C11_M_75ov_Tot_LF,C11_M_75over_N_lab_forc,C11_M_75ov_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_T_T_labo_for,C11_M_Tot_Notin_LF,C11_M_Tot_LF_NS,C11_M_T_T,C01_F_15_19_Em_FT,C01_F_15_19_Em_PT,C01_F_15_19_Em_AFW,C01_F_15_19_Em_Hrs_NS,C01_F_15_19_Em_Tot,C01_F_15_19_Unem_Look_FT,C01_F_15_19_Unem_Look_PT,C01_F_15_19_Unem_Tot,C01_F_15_19_Tot_LF,C01_F_15_19_Notin_LF,C01_F_15_19_LF_NS,C01_F_15_19_Tot,C01_F_20_24_Em_FT,C01_F_20_24_Em_PT,C01_F_20_24_Em_AFW,C01_F_20_24_Em_Hrs_NS,C01_F_20_24_Em_Tot,C01_F_20_24_Unem_Look_FT,C01_F_20_24_Unem_Look_PT,C01_F_20_24_Unem_Tot,C01_F_20_24_Tot_LF,C01_F_20_24_Notin_LF,C01_F_20_24_LF_NS,C01_F_20_24_Tot,C01_F_25_29_Em_FT,C01_F_25_29_Em_PT,C01_F_25_29_Em_AFW,C01_F_25_29_Em_Hrs_NS,C01_F_25_29_Em_Tot,C01_F_25_29_Unem_Look_FT,C01_F_25_29_Unem_Look_PT,C01_F_25_29_Unem_Tot,C01_F_25_29_Tot_LF,C01_F_25_29_Notin_LF,C01_F_25_29_LF_NS,C01_F_25_29_Tot,C01_F_30_34_Em_FT,C01_F_30_34_Em_PT,C01_F_30_34_Em_AFW,C01_F_30_34_Em_Hrs_NS,C01_F_30_34_Em_Tot,C01_F_30_34_Unem_Look_FT,C01_F_30_34_Unem_Look_PT,C01_F_30_34_Unem_Tot,C01_F_30_34_Tot_LF,C01_F_30_34_Notin_LF,C01_F_30_34_LF_NS,C01_F_30_34_Tot,C01_F_35_39_Em_FT,C01_F_35_39_Em_PT,C01_F_35_39_Em_AFW,C01_F_35_39_Em_Hrs_NS,C01_F_35_39_Em_Tot,C01_F_35_39_Unem_Look_FT,C01_F_35_39_Unem_Look_PT,C01_F_35_39_Unem_Tot,C01_F_35_39_Tot_LF,C01_F_35_39_Notin_LF,C01_F_35_39_LF_NS,C01_F_35_39_Tot,C01_F_40_44_Em_FT,C01_F_40_44_Em_PT,C01_F_40_44_Em_AFW,C01_F_40_44_Em_Hrs_NS,C01_F_40_44_Em_Tot,C01_F_40_44_Unem_Look_FT,C01_F_40_44_Unem_Look_PT,C01_F_40_44_Unem_Tot,C01_F_40_44_Tot_LF,C01_F_40_44_Notin_LF,C01_F_40_44_LF_NS,C01_F_40_44_Tot,C01_F_45_49_Em_FT,C01_F_45_49_Em_PT,C01_F_45_49_Em_AFW,C01_F_45_49_Em_Hrs_NS,C01_F_45_49_Em_Tot,C01_F_45_49_Unem_Look_FT,C01_F_45_49_Unem_Look_PT,C01_F_45_49_Unem_Tot,C01_F_45_49_Tot_LF,C01_F_45_49_Notin_LF,C01_F_45_49_LF_NS,C01_F_45_49_Tot,C01_F_50_54_Em_FT,C01_F_50_54_Em_PT,C01_F_50_54_Em_AFW,C01_F_50_54_Em_Hrs_NS,C01_F_50_54_Em_Tot,C01_F_50_54_Unem_Look_FT,C01_F_50_54_Unem_Look_PT,C01_F_50_54_Unem_Tot,C01_F_50_54_Tot_LF,C01_F_50_54_Notin_LF,C01_F_50_54_LF_NS,C01_F_50_54_Tot
105051100,1265,38,9,47,1312,126,103,1541,963,122,24,26,1135,34,6,40,1175,145,82,1402,804,132,30,29,995,36,7,43,1038,164,99,1301,601,137,24,13,775,27,9,36,811,188,72,1071,357,139,19,13,528,15,12,27,555,349,74,978,135,80,11,12,238,4,5,9,247,493,65,805,38,25,3,0,66,0,0,0,66,555,67,688,9,13,0,3,25,0,0,0,25,946,102,1073,7568,1865,296,263,9992,372,180,552,10544,4343,1131,16018,118,257,12,28,415,25,23,48,463,549,57,1069,553,260,24,30,867,32,26,58,925,299,61,1285,645,201,32,32,910,36,20,56,966,325,70,1361,578,318,47,25,968,29,24,53,1021,378,68,1467,480,354,42,41,917,25,28,53,970,345,74,1389,561,282,29,26,898,19,13,32,930,310,79,1319,527,275,21,30,853,21,17,38,891,294,58,1243,393,199,22,24,638,21,16,37,675,403,73,1151
105054800,1995,66,7,73,2068,156,138,2362,1290,182,42,19,1533,55,11,66,1599,149,89,1837,994,127,38,14,1173,50,6,56,1229,168,90,1487,818,172,33,11,1034,42,15,57,1091,214,68,1373,543,243,27,5,818,19,11,30,848,383,77,1308,196,138,23,3,360,3,7,10,370,471,56,897,45,52,4,0,101,3,0,3,104,393,60,557,16,28,0,0,44,0,0,0,44,740,125,909,11400,2260,382,200,14242,501,203,704,14946,3699,1206,19851,101,247,17,22,387,18,35,53,440,408,96,944,892,494,48,39,1473,38,48,86,1559,225,81,1865,2158,412,98,32,2700,64,29,93,2793,236,106,3135,2032,542,113,37,2724,58,22,80,2804,405,101,3310,1215,530,105,29,1879,45,30,75,1954,441,103,2498,963,501,55,18,1537,31,16,47,1584,274,106,1964,1006,400,47,19,1472,27,14,41,1513,240,80,1833,844,405,58,15,1322,22,16,38,1360,326,66,1752
105055200,2723,108,22,130,2853,255,244,3352,1850,317,58,42,2267,83,20,103,2370,301,208,2879,1344,266,50,36,1696,88,17,105,1801,353,178,2332,888,245,55,24,1212,75,21,96,1308,398,148,1854,559,217,35,10,821,43,17,60,881,600,141,1622,162,117,14,8,301,5,4,9,310,756,97,1163,33,31,5,3,72,0,7,7,79,795,76,950,15,29,4,3,51,0,5,5,56,1397,174,1627,15746,4149,555,413,20863,876,400,1276,22139,6935,2567,31641,205,497,28,44,774,46,67,113,887,866,135,1888,1305,773,77,62,2217,128,78,206,2423,570,150,3143,2228,728,94,63,3113,111,52,163,3276,631,170,4077,2113,745,154,60,3072,85,69,154,3226,720,185,4131,1571,709,120,52,2452,70,41,111,2563,738,175,3476,1349,579,71,53,2052,73,45,118,2170,627,172,2969,1122,431,62,36,1651,57,37,94,1745,575,142,2462,858,332,56,37,1283,36,19,55,1338,666,99,2103
105057201,858,16,5,21,879,65,385,1329,674,61,22,6,763,18,7,25,788,75,360,1223,640,67,13,17,737,13,6,19,756,62,353,1171,505,70,24,0,599,6,7,13,612,94,328,1034,297,92,13,7,409,11,6,17,426,151,218,795,126,62,7,5,200,0,0,0,200,151,133,484,31,35,3,0,69,0,0,0,69,119,73,261,17,23,5,0,45,0,0,0,45,212,83,340,6720,1971,262,178,9131,232,300,532,9663,2732,4393,16788,23,98,3,8,132,3,32,35,167,369,254,790,272,235,31,18,556,16,64,80,636,567,297,1500,465,180,28,15,688,22,35,57,745,213,339,1297,357,103,13,5,478,15,10,25,503,129,312,944,272,69,15,8,364,11,5,16,380,95,315,790,188,67,13,4,272,4,5,9,281,81,312,674,189,50,10,8,257,9,5,14,271,96,269,636,156,71,15,0,242,9,3,12,254,120,240,614
105057204,1943,86,19,105,2048,259,397,2704,1219,189,36,23,1467,63,19,82,1549,257,309,2115,973,182,31,12,1198,50,22,72,1270,283,322,1875,640,159,24,8,831,41,21,62,893,262,228,1383,465,180,17,9,671,28,14,42,713,412,187,1312,196,114,17,5,332,8,0,8,340,428,154,922,50,62,4,3,119,0,4,4,123,334,100,557,24,38,4,4,70,0,0,0,70,681,206,957,13850,2932,425,213,17420,620,288,908,18328,4109,4072,26509,65,130,4,9,208,14,18,32,240,298,253,791,888,413,45,15,1361,56,43,99,1460,276,283,2019,1998,449,72,30,2549,57,28,85,2634,309,282,3225,1502,324,83,29,1938,70,26,96,2034,294,291,2619,790,233,43,14,1080,37,15,52,1132,215,272,1619,565,205,31,18,819,32,14,46,865,184,271,1320,467,175,29,15,686,26,10,36,722,171,277,1170,422,175,23,16,636,21,7,28,664,228,184,1076
105057205,2085,67,22,89,2174,227,254,2655,1274,205,47,16,1542,64,10,74,1616,253,204,2073,901,184,32,11,1128,48,13,61,1189,265,207,1661,591,150,29,16,786,48,15,63,849,327,149,1325,316,147,16,9,488,34,14,48,536,418,145,1099,106,77,3,8,194,0,6,6,200,482,123,805,23,28,0,4,55,0,3,3,58,457,102,617,9,17,3,0,29,0,3,3,32,686,188,906,13903,3083,457,222,17665,626,401,1027,18692,5211,3089,26992,96,175,15,20,306,21,40,61,367,401,109,877,843,512,54,38,1447,69,70,139,1586,426,114,2126,1444,373,57,30,1904,57,37,94,1998,351,140,2489,1175,360,64,24,1623,43,22,65,1688,347,135,2170,716,304,50,22,1092,36,24,60,1152,317,133,1602,562,224,30,16,832,37,23,60,892,277,110,1279,454,199,22,18,693,30,21,51,744,281,103,1128,334,149,23,16,522,21,17,38,560,370,104,1034
105057206,1042,60,8,68,1110,126,227,1463,652,110,34,7,803,35,6,41,844,148,168,1160,616,94,21,8,739,26,7,33,772,125,173,1070,485,102,19,4,610,26,0,26,636,176,138,950,340,118,15,0,473,16,12,28,501,281,142,924,115,74,4,3,196,3,3,6,202,301,105,608,29,36,3,3,71,0,3,3,74,228,67,369,10,11,0,4,25,0,0,0,25,349,104,478,9309,2431,362,160,12262,458,372,830,13092,3885,3065,20042,78,369,21,6,474,22,93,115,589,560,153,1302,814,705,61,27,1607,52,107,159,1766,671,127,2564,1374,368,44,26,1812,69,46,115,1927,364,181,2472,890,242,48,20,1200,37,31,68,1268,315,157,1740,506,193,26,11,736,29,21,50,786,241,119,1146,360,140,21,7,528,29,12,41,569,192,174,935,348,152,24,11,535,21,17,38,573,201,134,908,307,136,31,10,484,13,5,18,502,193,122,817
105106550,3581,98,30,128,3709,472,296,4477,2783,374,89,57,3303,119,24,143,3446,468,273,4187,2190,355,100,57,2702,104,19,123,2825,480,247,3552,1702,368,82,49,2201,82,38,120,2321,590,255,3166,1054,423,56,43,1576,43,32,75,1651,1014,185,2850,426,284,33,16,759,6,14,20,779,1200,183,2162,110,152,15,3,280,0,5,5,285,1287,161,1733,39,114,15,11,179,0,0,0,179,2913,383,3475,23938,6223,973,655,31789,1067,919,1986,33775,15218,4258,53251,323,902,63,78,1366,49,150,199,1565,1953,221,3739,2142,1403,125,99,3769,106,239,345,4114,1675,272,6061,3391,955,169,70,4585,124,70,194,4779,988,242,6009,2713,1101,227,66,4107,81,60,141,4248,1058,272,5578,1921,1288,181,58,3448,67,58,125,3573,1018,281,4872,1742,1125,115,65,3047,70,50,120,3167,800,228,4195,1663,912,95,76,2746,64,48,112,2858,783,260,3901,1443,829,118,56,2446,55,29,84,2530,907,193,3630
105108050,2096,60,10,70,2166,126,265,2557,1271,225,31,28,1555,50,10,60,1615,137,179,1931,1085,185,36,22,1328,35,10,45,1373,162,188,1723,800,179,30,18,1027,42,14,56,1083,174,136,1393,543,254,20,18,835,30,18,48,883,350,139,1372,234,166,20,10,430,0,8,8,438,431,115,984,61,107,9,3,180,3,0,3,183,484,110,777,34,79,10,7,130,3,3,6,136,1167,223,1526,13529,3034,449,334,17346,484,249,733,18079,4513,3195,25787,124,301,19,27,471,23,48,71,542,714,194,1450,1018,551,41,42,1652,62,51,113,1765,358,189,2312,2257,578,112,63,3010,100,32,132,3142,380,215,3737,1805,643,118,39,2605,63,33,96,2701,472,201,3374,1031,677,65,37,1810,38,25,63,1873,465,213,2551,818,638,61,38,1555,26,32,58,1613,359,200,2172,787,471,48,30,1336,39,15,54,1390,276,215,1881,718,454,38,30,1240,27,13,40,1280,367,176,1823
105108500,1410,34,8,42,1452,100,185,1737,1132,137,37,18,1324,42,6,48,1372,95,170,1637,957,183,26,18,1184,40,11,51,1235,109,137,1481,797,166,43,15,1021,28,5,33,1054,130,117,1301,694,289,26,9,1018,17,18,35,1053,314,140,1507,380,255,34,7,676,5,4,9,685,387,111,1183,136,162,11,3,312,0,8,8,320,417,104,841,94,170,11,11,286,0,6,6,292,1110,207,1609,10415,2433,368,200,13416,330,196,526,13942,4073,2180,20195,70,237,7,24,338,5,36,41,379,828,166,1373,757,419,33,35,1244,32,33,65,1309,269,182,1760,1699,311,55,33,2098,47,18,65,2163,205,202,2570,1361,420,83,28,1892,43,23,66,1958,391,213,2562,782,413,67,26,1288,35,13,48,1336,372,194,1902,681,475,39,30,1225,17,22,39,1264,368,152,1784,662,427,36,37,1162,16,19,35,1197,327,173,1697,836,513,56,29,1434,15,22,37,1471,450,147,2068
