region_id,C11_P_35_39_Tot_LF,C11_P_35_39_Notin_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Notin_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Notin_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Notin_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Notin_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Notin_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Notin_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Notin_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Emp_Wor_ft,C11_P_75ov_Em_Work_pt,C11_P_75ov_Em_Aw_fr_w,C11_P_75ov_Emp_Hou_w_ns,C11_P_75andOver_Em_Tot,C11_P_75over_Unem_Lo_ft_w,C11_P_75over_Unem_Lo_pt_w,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_T_T_labo_for,C11_P_Tot_Notin_LF,C11_P_Tot_LF_NS,C11_P_T_T
105051100,2614,430,196,3240,1659,573,66,58,2356,64,32,96,2452,416,182,3050,1541,476,55,40,2112,61,22,83,2195,397,148,2740,1293,420,52,40,1805,50,25,75,1880,418,179,2477,1003,383,56,23,1465,39,28,67,1532,575,143,2250,544,312,36,19,911,20,20,40,951,911,135,1997,201,160,14,21,396,4,5,9,405,1168,144,1717,46,43,7,0,96,0,0,0,96,1189,111,1396,15,23,0,6,44,0,0,0,44,2297,243,2584,12439,5094,710,434,18677,597,439,1036,19713,10762,2165,32640
105054800,5008,607,304,5919,2787,889,125,50,3851,96,41,137,3988,570,245,4803,2344,674,91,39,3148,97,38,135,3283,406,185,3874,1848,511,76,23,2458,77,28,105,2563,408,147,3118,1558,568,85,23,2234,57,32,89,2323,561,157,3041,936,606,57,14,1613,32,32,64,1677,952,148,2777,334,287,39,6,666,3,12,15,681,1060,132,1873,56,109,7,0,172,6,0,6,178,918,117,1213,20,49,6,0,75,0,0,0,75,1885,336,2296,20894,7160,1153,345,29552,780,481,1261,30813,9481,2456,42750
105055200,6538,830,529,7897,3768,1239,154,70,5231,169,83,252,5483,783,439,6705,3148,967,119,78,4312,136,58,194,4506,710,364,5580,2422,748,106,56,3332,131,48,179,3511,789,308,4608,1664,643,94,45,2446,101,46,147,2593,974,280,3847,909,489,75,22,1495,55,37,92,1587,1369,238,3194,258,229,25,11,523,8,7,15,538,1639,183,2360,51,55,13,7,126,0,7,7,133,1668,156,1957,24,41,4,8,77,0,5,5,82,3155,387,3624,28371,10803,1518,706,41398,1383,944,2327,43725,16048,4725,64498
105057201,1743,245,631,2619,1164,180,36,10,1390,24,15,39,1429,192,627,2248,1042,172,45,13,1272,26,12,38,1310,194,585,2089,954,180,38,21,1193,22,14,36,1229,180,590,1999,739,178,37,4,958,17,17,34,992,295,523,1810,395,175,25,12,607,11,13,24,631,373,347,1351,150,114,10,5,279,0,0,0,279,337,217,833,39,59,7,3,108,0,0,0,108,267,141,516,21,37,5,0,63,0,0,0,63,442,170,675,10822,4425,554,305,16106,448,661,1109,17215,6435,7453,31103
105057204,4243,475,787,5505,2389,498,87,39,3013,117,41,158,3171,473,608,4252,1832,360,71,37,2300,89,25,114,2414,432,485,3331,1425,372,47,21,1865,73,38,111,1976,495,471,2942,1062,363,50,13,1488,58,38,96,1584,487,394,2465,697,341,29,17,1084,42,28,70,1154,755,313,2222,290,212,33,10,545,8,0,8,553,824,246,1623,71,115,4,6,196,0,9,9,205,675,167,1047,31,57,8,7,103,0,0,0,103,1556,516,2175,22934,6063,865,381,30243,955,547,1502,31745,8268,7071,47084
105057205,4841,538,506,5885,2653,617,124,41,3435,97,54,151,3586,520,420,4526,1977,504,73,30,2584,106,31,137,2721,498,366,3585,1477,405,50,28,1960,77,34,111,2071,584,331,2986,994,357,50,20,1421,66,32,98,1519,685,255,2459,516,289,35,20,860,42,25,67,927,924,254,2105,155,131,14,11,311,0,9,9,320,955,205,1480,36,49,0,4,89,0,3,3,92,964,206,1262,15,31,3,0,49,0,3,3,52,1569,384,2005,23860,7022,1040,397,32319,999,851,1850,34169,11359,5535,51063
105057206,3096,439,485,4020,1451,352,69,29,1901,89,23,112,2013,366,391,2770,1077,312,52,19,1460,61,28,89,1549,358,290,2197,1071,292,44,14,1421,55,23,78,1499,349,322,2170,857,293,43,9,1202,40,15,55,1257,453,265,1975,516,288,35,7,846,22,22,44,890,636,231,1757,176,152,13,6,347,6,6,12,359,652,160,1171,42,64,6,6,118,0,6,6,124,486,121,731,14,24,4,4,46,0,0,0,46,853,205,1104,16501,6012,880,298,23691,822,879,1701,25392,9218,5456,40066
105106550,8464,1483,724,10671,4908,1806,219,94,7027,162,105,267,7294,1338,583,9215,4564,1640,172,111,6487,168,96,264,6751,1168,538,8457,3805,1365,176,107,5453,170,68,238,5691,1172,480,7343,2842,1168,176,86,4272,123,78,201,4473,1581,454,6508,1692,1071,114,64,2941,61,60,121,3062,2435,390,5887,609,600,62,29,1300,6,22,28,1328,2823,365,4516,152,256,26,12,446,0,8,8,454,2940,347,3741,53,161,26,27,267,0,0,0,267,7418,930,8615,41598,17638,2399,1150,62785,1687,1984,3671,66456,34708,8297,109461
105108050,5045,677,664,6386,2676,969,102,63,3810,90,52,142,3952,538,460,4950,2045,770,65,51,2931,80,47,127,3058,455,350,3863,1719,676,75,43,2513,64,31,95,2608,450,336,3394,1274,583,68,37,1962,62,32,94,2056,513,260,2829,847,616,45,34,1542,35,31,66,1608,939,267,2814,343,359,28,15,745,3,13,16,761,1064,232,2057,86,164,19,7,276,7,4,11,287,1146,223,1656,44,117,16,14,191,3,3,6,197,3091,570,3858,23121,8715,1100,600,33536,819,625,1444,34980,11961,6082,53023
105108500,3191,500,437,4128,1906,596,82,36,2620,58,31,89,2709,544,375,3628,1805,570,68,33,2476,66,32,98,2574,499,341,3414,1587,603,72,36,2298,57,31,88,2386,494,289,3169,1321,544,90,24,1979,44,20,64,2043,505,245,2793,1084,770,61,21,1936,27,34,61,1997,935,289,3221,519,527,54,21,1121,8,8,16,1137,1133,248,2518,180,289,18,8,495,0,13,13,508,1134,192,1834,115,257,22,18,412,0,9,9,421,3081,548,4050,18009,6949,944,389,26291,569,446,1015,27306,11779,4525,43610
105154150,4359,927,175,5461,2857,1050,92,104,4103,117,69,186,4289,870,169,5328,3016,1183,98,91,4388,133,63,196,4584,832,186,5602,2785,1003,95,82,3965,119,60,179,4144,903,202,5249,1979,813,102,71,2965,87,58,145,3110,1277,161,4548,1130,650,85,34,1899,69,49,118,2017,1843,143,4003,324,300,27,19,670,5,11,16,686,2261,141,3088,73,142,4,8,227,0,3,3,230,2223,123,2576,29,60,11,8,108,0,3,3,111,5723,442,6276,23583,10571,1216,890,36260,1316,1034,2350,38610,23155,2555,64320
105154450,3208,625,146,3979,2209,838,85,69,3201,80,63,143,3344,579,134,4057,2336,826,79,83,3324,78,60,138,3462,565,152,4179,2134,700,89,46,2969,80,48,128,3097,603,156,3856,1474,602,85,35,2196,64,37,101,2297,756,146,3199,864,524,44,18,1450,36,31,67,1517,1268,131,2916,255,267,42,18,582,0,9,9,591,1515,122,2228,83,103,10,3,199,0,5,5,204,1462,125,1791,27,60,10,11,108,0,4,4,112,3582,449,4143,17517,7922,952,648,27039,850,737,1587,28626,15372,2255,46253
105156650,5967,1174,515,7656,3623,1288,141,125,5177,160,86,246,5423,1070,403,6896,3485,1141,134,123,4883,140,78,218,5101,948,382,6431,3098,915,132,95,4240,146,66,212,4452,1051,346,5849,2219,848,122,81,3270,113,53,166,3436,1441,313,5190,1442,749,83,54,2328,77,44,121,2449,2266,286,5001,450,328,44,22,844,5,18,23,867,2730,234,3831,101,160,11,16,288,5,4,9,297,2752,214,3263,30,70,12,7,119,0,3,3,122,6714,641,7477,29350,12707,1621,1230,44908,1634,1161,2795,47703,27243,5275,80221
105157151,6060,893,265,7218,3908,1670,162,100,5840,111,75,186,6026,837,230,7093,3776,1577,177,98,5628,135,70,205,5833,723,222,6778,3894,1497,177,84,5652,121,49,170,5822,808,204,6834,2947,1317,155,63,4482,80,41,121,4603,1228,196,6027,1703,1204,123,49,3079,63,42,105,3184,2218,208,5610,584,702,58,17,1361,9,16,25,1386,2908,239,4533,134,301,24,13,472,0,10,10,482,2964,154,3600,61,175,24,18,278,0,7,7,285,8219,792,9296,32829,15577,1938,922,51266,1135,830,1965,53231,25153,3512,81896
105157152,6706,956,181,7843,4406,2028,185,110,6729,114,64,178,6907,831,180,7918,4754,1940,163,88,6945,123,60,183,7128,718,164,8010,4686,1814,198,110,6808,99,41,140,6948,856,187,7991,3786,1520,214,77,5597,94,48,142,5739,1231,160,7130,2032,1311,160,60,3563,52,57,109,3672,2479,148,6299,563,637,63,19,1282,11,13,24,1306,3161,144,4611,113,184,10,15,322,3,4,7,329,2558,92,2979,31,73,14,12,130,0,3,3,133,5269,469,5871,36577,18041,2181,1044,57843,1112,968,2080,59923,23607,2406,85936
