CED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED101,60464,64160,124632,1450,1512,2960,6148,6346,12497,92,75,171,111,110,217,34,38,67,51,52,99,6,3,14,12,11,25,30,27,59,0,0,0,6484,6659,13147,1652,1926,3578,133,124,250,9716,10218,19934,4688,4801,9492,74870,79178,154051
CED102,64263,65968,130226,2138,2089,4218,7723,7581,15309,137,136,275,157,169,327,56,46,98,98,80,185,17,17,36,26,20,45,55,80,136,3,0,5,8283,8127,16408,3291,3514,6808,225,187,408,13930,13910,27842,6446,6260,12704,84631,86144,170775
CED103,62669,66256,128926,2342,2413,4753,7654,7855,15505,200,213,412,231,210,444,81,86,172,126,103,233,24,13,37,13,16,34,66,68,129,0,0,0,8401,8560,16965,3155,3557,6714,139,112,252,14036,14647,28686,4748,4769,9519,81453,85679,167130
CED104,60016,62332,122343,1051,1131,2180,4671,4805,9475,79,62,142,107,88,197,28,28,54,59,52,119,3,5,8,7,5,19,33,33,69,0,0,0,4996,5088,10082,859,991,1845,93,98,184,6992,7299,14297,3657,3637,7294,70667,73267,143933
CED105,68391,67706,136094,2072,1771,3846,7034,6179,13215,198,86,283,171,92,262,139,40,179,141,55,195,9,19,31,25,9,34,21,11,29,0,0,0,7736,6493,14234,2412,2102,4517,223,159,381,12456,10521,22981,6947,6112,13059,87787,84338,172130
CED106,60579,65626,126202,1950,2105,4051,6511,6968,13486,151,158,307,185,175,362,59,70,128,99,88,187,17,15,32,16,11,28,63,57,120,3,0,3,7105,7541,14641,2301,2682,4984,103,104,208,11455,12426,23886,4159,4504,8660,76193,82552,158746
CED107,59381,60695,120075,4035,4349,8383,5531,5843,11377,95,101,196,280,289,570,44,38,82,89,64,151,13,23,39,25,26,48,52,51,107,0,0,0,6135,6432,12565,291,347,637,173,134,310,10639,11261,21897,9589,7760,17354,79605,79713,159323
CED108,66409,68432,134841,1720,1755,3474,7029,7083,14116,78,84,166,136,133,271,35,42,81,71,62,130,10,4,8,27,16,41,19,15,31,0,0,0,7404,7447,14856,1231,1444,2673,165,119,283,10524,10757,21281,6318,6318,12637,83253,85514,168765
CED109,53846,57480,111326,1547,1606,3152,5339,5662,10999,82,76,163,152,152,305,17,12,31,60,54,111,6,10,13,8,8,17,31,34,64,0,3,0,5701,6006,11709,617,653,1266,114,125,238,7981,8381,16367,4853,4938,9792,66681,70801,137478
CED110,57993,62042,120036,3491,3966,7459,5641,6169,11811,206,212,421,631,653,1283,44,53,95,106,107,213,39,33,72,50,49,98,52,64,119,3,0,0,6768,7342,14109,382,492,874,228,221,446,10873,12026,22897,7428,7460,14892,76294,81530,157824
CED111,59718,61371,121091,2134,2141,4277,6450,6811,13262,120,111,234,162,153,319,31,17,48,91,70,157,17,18,37,27,26,52,90,94,184,0,0,0,6995,7300,14295,1368,1165,2528,153,136,289,10652,10734,21387,5630,5557,11185,75998,77665,153666
CED112,57812,61526,119335,2008,2236,4242,6964,7617,14584,60,61,123,208,224,426,31,41,74,73,61,134,5,9,19,22,25,50,29,41,74,0,0,0,7387,8091,15476,301,365,669,212,221,426,9907,10907,20813,5862,6339,12197,73583,78773,152349
CED113,56431,56595,113030,2877,3089,5970,3619,3731,7353,418,388,805,350,356,706,76,59,135,99,116,212,29,28,53,61,64,131,1445,1487,2929,0,3,7,6097,6243,12338,468,441,909,163,147,318,9608,9921,19531,6925,6478,13406,72965,73000,145962
CED114,61474,62293,123766,3828,4140,7968,3493,3730,7220,1732,1916,3652,340,347,687,136,122,260,110,98,202,26,31,61,58,62,122,56,67,126,0,0,3,5960,6375,12330,520,546,1063,230,195,427,10534,11258,21795,8204,8308,16508,80217,81854,162067
CED115,64402,66774,131175,1777,1760,3533,5630,5676,11302,106,92,205,97,99,200,37,32,66,37,30,67,0,0,7,4,6,11,18,17,42,3,0,3,5934,5958,11894,1412,1628,3041,175,128,301,9295,9467,18766,6222,6104,12324,79917,82351,162271
CED116,56619,58670,115289,3075,3378,6451,5214,5543,10759,150,174,324,295,310,604,40,39,81,97,83,179,45,43,93,44,37,81,256,283,539,10,10,27,6158,6536,12689,313,352,667,167,180,350,9716,10441,20154,7137,6504,13640,73465,75609,149082
CED117,51961,55125,107085,1972,2073,4041,8011,8416,16430,259,250,504,238,264,509,83,57,142,131,123,257,20,20,36,20,21,41,90,107,196,0,0,0,8853,9261,18114,1812,2052,3865,187,195,380,12822,13578,26400,7090,7082,14175,71869,75791,147664
CED118,66396,67096,133492,1628,1553,3178,7926,7489,15421,121,80,198,202,148,353,63,48,109,73,54,126,12,6,16,16,17,37,43,49,88,0,0,4,8465,7892,16353,1507,1741,3249,120,113,230,11722,11296,23017,6077,4989,11062,84188,83386,167575
CED119,59512,61705,121213,1298,1362,2657,4458,4576,9036,100,63,159,233,178,408,18,21,42,38,35,66,10,3,14,38,28,66,52,33,84,0,0,0,4950,4932,9878,449,542,988,84,110,197,6780,6937,13724,3891,3672,7565,70187,72314,142496
CED120,58940,60150,119087,2445,2597,5044,5736,6042,11778,80,81,160,163,168,329,16,12,24,47,39,81,12,16,22,11,17,22,122,137,260,0,0,0,6184,6505,12689,298,314,609,156,119,270,9073,9538,18611,5785,5303,11090,73797,74985,148785
CED121,59506,61302,120808,3203,3498,6698,5906,6356,12256,123,88,204,401,340,743,50,34,89,118,91,209,26,20,48,36,34,69,27,25,56,0,0,0,6687,6989,13671,222,276,504,160,155,309,10268,10913,21182,6962,5961,12924,76738,78174,154912
CED122,60897,64056,124951,2369,2381,4750,8224,8397,16623,255,289,545,284,313,598,68,71,135,153,130,286,18,22,42,42,29,76,95,105,204,0,0,0,9148,9357,18505,4168,4376,8540,172,152,325,15858,16268,32121,9425,7763,17184,86176,88081,174260
CED123,62927,65167,128097,1849,1976,3826,7950,8284,16232,68,68,135,178,189,362,32,43,73,71,67,135,10,10,17,13,20,31,23,34,55,0,0,3,8346,8705,17051,566,617,1181,186,155,344,10945,11450,22400,6923,6619,13543,80795,83245,164038
CED124,55510,57746,113260,3123,3518,6639,5139,5366,10506,84,97,187,340,332,681,24,28,54,53,63,117,26,30,56,32,24,52,20,23,41,0,3,7,5720,5968,11690,172,197,370,187,186,370,9199,9874,19070,5921,6019,11942,70632,73644,144274
CED125,61084,63003,124087,1751,1926,3678,8600,8799,17404,71,74,144,151,162,312,29,40,74,73,62,131,14,5,22,29,25,53,30,24,52,0,0,0,9001,9195,18191,697,860,1555,163,142,306,11605,12125,23734,5865,5975,11845,78559,81106,159666
CED126,58013,60913,118926,1931,2045,3981,5286,5546,10829,98,81,176,144,125,270,18,14,37,50,39,94,11,6,15,20,15,34,24,25,49,0,0,0,5654,5852,11505,979,991,1970,129,138,274,8693,9029,17724,5002,5357,10362,71707,75304,147010
CED127,55451,58289,113733,2111,2155,4271,4899,5122,10024,76,109,179,137,144,281,26,27,51,47,46,98,9,19,30,19,22,43,28,23,51,0,0,0,5242,5509,10753,341,359,700,117,114,237,7816,8147,15961,5016,5183,10203,68279,71620,139902
CED128,65979,67583,133567,1788,1924,3711,5857,5653,11502,126,94,218,131,106,235,41,16,51,84,41,127,0,3,3,18,7,28,17,7,20,0,0,0,6267,5923,12190,1412,1546,2962,132,106,238,9600,9502,19102,5509,5276,10785,81087,82363,163453
CED129,61506,64439,125954,1203,1222,2416,6366,6613,12976,143,120,265,157,154,313,48,50,101,82,73,158,7,13,16,14,10,24,49,39,85,4,0,3,6878,7066,13944,1132,1322,2450,98,84,185,9308,9688,18991,3461,3433,6895,74276,77561,151841
CED130,56516,58933,115446,4118,4646,8763,4662,5138,9802,119,118,241,640,665,1306,52,48,96,54,54,107,26,16,44,46,45,92,51,41,97,3,3,5,5661,6126,11788,521,524,1043,197,171,375,10506,11461,21971,7522,7551,15076,74540,77947,152489
CED131,56707,58253,114963,2205,2231,4432,8379,8983,17366,157,176,330,334,293,627,68,62,131,83,93,175,23,31,57,46,53,98,66,55,122,0,3,3,9160,9747,18907,1149,1163,2307,206,186,396,12723,13326,26044,5138,5041,10176,74565,76617,151185
