CED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,10933,6267,3448,1700,75769
CED102,9177,5123,2933,1677,87486
CED103,12748,7356,3972,2031,95152
CED104,14402,9339,4376,2185,79956
CED105,7555,4278,2231,1114,66576
CED106,13980,9890,5861,3204,92222
CED107,12664,9291,4295,1510,76429
CED108,9085,4825,1959,631,68712
CED109,11510,7480,4284,2140,72816
CED110,15397,11615,6224,2886,77626
CED111,12417,7879,4100,1734,79657
CED112,11370,8262,4662,2433,70250
CED113,14275,9450,4147,1616,74373
CED114,12453,8410,4507,1841,72575
CED115,7723,4493,2007,813,58115
CED116,15637,13212,6625,2533,76814
CED117,10881,6017,2201,861,91064
CED118,9633,5009,1898,637,80977
CED119,11807,7053,2847,1344,73454
CED120,11451,7638,3415,1474,70702
CED121,11813,8461,4182,1938,71606
CED122,10931,6754,3437,1595,99076
CED123,9730,5710,2321,805,72145
CED124,14203,12173,6102,2336,69329
CED125,9848,5617,1890,578,68289
CED126,12944,9541,5186,2607,80845
CED127,13801,9268,3828,1291,73327
CED128,8611,4751,2074,839,63820
CED129,11989,7760,3047,1049,79549
CED130,12561,8977,4351,1602,70328
CED131,12120,7128,3583,2130,79364
CED132,13433,9337,4229,2158,101958
CED133,16005,10589,4817,1825,75108
CED134,10957,6949,3683,1413,65579
CED135,9957,5467,2687,1112,96394
CED136,11352,8660,4163,1514,70080
CED137,11805,6719,3029,1479,103175
CED138,15725,10929,5567,2756,78184
CED139,11722,7987,4073,1529,69126
CED140,12533,9419,4983,2394,72042
CED141,11886,8835,4764,1778,68683
CED142,11050,6384,2480,725,138888
CED143,12208,8530,4026,1992,88382
CED144,8305,4426,2394,1093,74197
CED145,11305,8563,4190,2325,95520
CED146,8494,4128,1787,689,66265
CED147,11686,8716,4642,1733,70152
CED194,1142,722,150,41,7741
CED197,43,60,25,3,212
