CED_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
CED101,38,19,21,0,23,10,12,36,0,158,11,23,12,3,20,3,13,7,0,88,755,475,989,20,573,235,524,570,50,4184,74,129,110,3,105,6,86,37,18,567,831,309,2835,12,691,97,213,762,71,5810,528,471,165,5,587,389,320,106,34,2613,1020,469,393,78,495,3740,284,476,39,7000,733,97,971,1547,220,635,99,1036,29,5365,472,357,218,169,1263,275,1844,229,79,4908,243,628,224,11,213,123,5,23,33,1521,757,1701,80,33,1926,182,53,49,72,4858,203,186,44,11,289,580,32,39,6,1393,690,3363,449,28,1336,111,19,52,58,6102,279,284,146,281,371,79,85,1081,31,2642,454,923,292,780,1151,20,162,171,82,4025,397,3555,147,772,780,21,20,99,32,5830,420,3196,322,2592,1155,78,73,377,30,8245,149,172,118,341,179,67,24,52,20,1119,213,326,1129,327,321,67,37,228,18,2675,396,430,482,159,492,257,352,393,665,3640
CED102,27,14,9,0,11,9,9,34,0,118,10,33,7,0,18,0,5,7,0,83,560,464,893,52,392,225,410,594,48,3644,59,107,69,3,75,7,62,40,14,437,803,359,2713,6,529,70,267,1199,78,6021,532,496,154,5,518,366,319,106,43,2544,1228,536,449,108,542,4461,270,565,55,8213,1089,171,1713,2018,300,836,140,1531,64,7863,525,455,175,210,1375,412,2296,276,80,5799,333,984,301,13,312,137,20,30,34,2162,776,2018,79,31,1982,190,31,47,86,5237,178,239,45,16,298,614,22,37,14,1460,850,4487,554,33,1213,149,29,56,60,7432,340,367,141,353,462,111,74,1958,29,3831,468,1063,254,746,1177,19,194,178,90,4181,457,3617,154,678,733,28,36,135,38,5875,420,3541,358,2906,1128,82,67,527,60,9095,156,325,104,413,150,56,19,76,18,1325,245,351,1106,430,295,65,65,335,24,2915,450,526,579,208,523,293,395,532,932,4438
CED103,42,29,19,7,13,4,8,29,0,152,23,47,16,3,5,0,9,3,0,106,866,1025,635,55,499,272,240,324,39,3956,105,203,86,0,84,16,26,15,5,537,912,520,2148,10,580,86,121,539,59,4976,935,1256,189,12,752,388,193,80,37,3828,1182,746,384,79,528,3701,222,411,44,7287,953,149,985,1506,230,544,97,754,30,5254,345,362,88,72,618,140,882,85,39,2627,567,1742,327,20,414,181,15,30,24,3311,995,2684,102,21,1985,168,10,13,93,6068,244,307,40,15,367,758,17,28,20,1788,1329,6425,641,16,1577,174,21,62,89,10343,335,414,156,265,434,75,38,1006,23,2751,512,1250,288,561,923,28,124,72,71,3823,610,4632,166,903,941,17,39,123,41,7471,566,4528,343,2315,1474,81,60,368,66,9793,165,275,72,411,124,45,11,40,19,1160,270,523,956,386,366,76,25,190,21,2813,600,800,385,124,528,318,174,243,753,3923
CED104,310,30,84,3,56,24,15,179,6,697,41,44,13,0,23,3,20,3,3,151,1023,700,622,31,491,275,154,229,24,3556,131,168,89,4,82,14,45,6,3,551,1254,451,2572,4,805,81,256,586,63,6066,1131,772,162,4,557,362,137,69,33,3223,1174,484,359,40,436,3366,135,430,25,6446,588,107,348,1064,161,502,54,607,19,3443,339,251,85,69,416,77,648,80,13,1976,508,1055,241,9,290,119,4,33,21,2278,988,2000,48,18,1444,164,18,22,70,4769,229,223,31,9,301,579,15,34,25,1448,1407,4984,572,10,1463,163,10,70,60,8757,336,311,246,181,384,61,38,563,17,2133,597,1102,201,580,743,21,60,66,59,3426,692,4861,204,986,900,19,23,107,29,7826,609,4125,282,2144,1469,53,65,268,45,9054,167,272,89,341,122,41,3,25,16,1079,300,349,960,339,359,46,20,113,19,2509,543,523,261,101,503,193,117,153,524,2922
CED105,31,6,16,0,7,4,15,47,4,137,3,10,8,0,3,3,3,0,0,36,469,341,1289,40,444,190,933,1469,84,5260,28,68,80,3,65,17,61,54,7,384,637,233,3789,21,461,55,364,1251,86,6906,312,267,187,8,431,334,471,262,40,2311,876,397,432,74,411,3722,406,529,53,6897,603,65,896,1160,149,679,95,1056,46,4744,252,169,145,57,1130,160,2508,269,63,4749,125,399,231,6,171,104,30,36,22,1115,266,773,70,22,1291,103,32,43,46,2643,94,77,39,12,174,312,37,61,14,817,280,1849,376,22,711,77,36,51,30,3427,149,223,116,160,307,56,142,1424,35,2611,189,506,167,692,769,21,115,138,51,2637,220,2144,107,657,512,17,37,98,29,3829,222,2239,257,2951,914,69,71,452,52,7238,78,86,67,234,102,54,14,75,21,733,125,209,1091,546,218,44,77,342,26,2676,339,353,1001,234,429,313,679,820,1164,5322
CED106,92,37,20,5,28,9,3,46,5,232,94,73,3,0,24,0,6,0,3,213,954,716,316,42,279,187,80,193,23,2793,128,158,27,0,48,7,15,11,4,407,902,458,1081,7,385,66,45,291,35,3272,1188,962,115,5,476,331,85,40,43,3244,1282,609,239,54,321,3131,143,321,40,6137,850,134,550,1331,140,395,66,465,23,3960,375,347,53,61,361,107,405,39,29,1766,739,1419,191,4,356,191,9,43,28,2985,1774,3512,53,23,1722,190,11,19,172,7472,348,357,30,10,289,778,18,21,40,1892,2208,7614,496,22,1614,235,16,69,124,12406,435,405,142,226,362,68,17,541,21,2214,554,1126,104,275,574,13,33,42,57,2779,642,4424,130,987,735,25,22,38,31,7037,631,5335,216,1921,1419,91,33,251,67,9958,167,310,57,325,118,46,3,26,25,1091,304,446,534,396,272,53,13,115,15,2151,797,712,196,95,441,238,85,115,551,3218
CED107,2757,117,316,16,168,32,166,857,55,4491,208,324,1143,16,171,11,1695,154,45,3764,613,279,1224,51,346,237,605,938,39,4341,84,94,362,5,114,10,176,77,11,932,631,95,2457,10,459,69,598,857,43,5217,223,93,145,4,174,336,190,148,10,1322,979,176,508,69,371,3844,140,646,40,6770,806,25,609,1382,198,535,61,1128,46,4800,231,55,104,35,515,105,1276,103,12,2433,76,190,105,13,138,122,12,15,3,663,118,228,22,19,502,60,9,16,14,994,96,60,40,9,150,339,54,53,9,819,179,1166,361,7,713,37,32,54,13,2565,134,132,176,137,328,25,57,970,18,1961,474,1019,354,1293,1298,29,299,329,93,5187,468,3529,184,1046,735,19,45,221,39,6285,425,3571,293,3198,1185,41,85,546,63,9399,98,129,94,184,62,25,11,80,7,704,170,142,1333,352,263,41,62,297,14,2666,240,139,436,110,223,165,258,341,529,2438
CED108,91,20,16,0,16,10,58,161,4,367,4,18,22,0,21,0,23,10,0,105,545,406,1328,29,724,199,1599,1493,92,6424,42,107,143,0,141,18,195,74,9,727,370,234,2398,14,519,69,581,1336,65,5577,338,375,304,6,675,337,899,264,29,3224,798,332,407,63,598,3731,912,708,64,7611,585,62,510,876,133,833,98,1018,33,4147,331,155,169,54,1290,194,3719,402,84,6397,147,390,330,15,192,92,38,30,15,1244,340,858,92,33,1926,196,64,70,70,3650,76,75,53,15,178,243,47,55,11,762,280,1485,442,22,727,68,49,50,38,3164,145,232,165,181,404,63,292,1124,39,2652,213,664,279,1057,1261,30,204,226,82,4013,165,1888,158,758,465,23,51,127,27,3668,256,2740,446,3820,1137,53,161,666,73,9355,73,85,79,196,104,47,22,65,9,686,143,177,1198,229,274,56,78,265,24,2441,243,281,593,186,460,231,1009,763,868,4638
CED109,53,17,22,0,22,11,14,15,3,149,17,28,36,7,8,0,23,3,4,128,910,400,824,40,499,310,277,251,36,3543,117,89,131,4,102,21,72,35,10,576,1374,306,3471,13,811,110,246,765,67,7151,732,406,104,4,455,418,199,54,25,2392,1198,428,370,63,511,3401,185,367,38,6556,828,83,404,1410,215,433,63,528,39,3999,725,498,296,434,1137,465,1200,209,58,5028,246,482,160,3,183,120,8,19,17,1244,782,1309,59,19,1308,164,35,13,73,3764,259,229,43,6,391,759,26,29,24,1765,794,3066,388,5,1382,132,27,44,55,5895,372,278,176,252,401,87,54,636,30,2280,559,823,314,1162,968,20,114,105,95,4151,442,3664,79,789,560,21,19,58,18,5657,462,3438,226,1841,1400,54,71,225,48,7754,209,245,89,400,171,62,6,41,12,1237,311,223,1123,434,331,55,28,139,19,2670,536,403,402,109,514,269,208,233,532,3204
CED110,1098,60,89,11,71,40,80,627,24,2103,30,16,51,0,7,0,79,6,9,200,328,113,765,45,213,197,320,494,21,2506,135,200,196,3,212,12,118,63,13,963,635,235,2670,9,499,73,665,1063,53,5898,189,59,115,10,158,256,155,66,10,1022,1083,209,550,66,379,4005,220,648,35,7202,997,39,764,1501,262,681,83,1337,60,5726,180,62,114,48,462,94,1041,110,17,2134,64,155,103,0,88,95,3,15,3,538,118,266,12,4,499,38,4,7,22,974,102,59,36,12,204,505,32,38,17,1007,193,1199,305,11,725,34,8,46,18,2533,135,205,198,201,251,39,37,1121,24,2213,307,636,231,776,1026,16,133,234,78,3443,378,3314,115,1020,552,17,13,98,24,5532,484,4031,375,3514,1371,47,79,506,79,10491,110,152,102,233,67,25,11,70,11,783,122,155,1158,326,221,45,24,216,18,2283,181,152,305,125,213,167,155,300,497,2100
