CED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED101,8675,17116,9148,7172,12200,6965,4249,5817,1384,72728
CED102,9503,20148,9854,8233,12028,8141,4728,8278,1770,82673
CED103,11559,27903,8012,6769,12448,7064,2330,4421,1471,81976
CED104,12362,22798,7468,5946,10988,6156,1842,3660,1081,72293
CED105,5297,10403,10349,6895,8687,6333,6136,8483,1873,64461
CED106,14471,29157,4558,5791,9953,6150,1116,2691,1332,75220
CED107,9009,11550,10275,7958,8116,6083,5836,7825,1109,67745
CED108,5185,10589,9125,7556,11248,6491,10099,8891,1649,70841
CED109,10925,16401,8718,6996,11353,6914,2869,3780,1185,69136
CED110,6876,11323,8256,7923,7484,6409,3281,7077,1022,59642
CED111,7550,17766,9597,8347,9171,5867,3626,5477,1035,68439
CED112,6945,10772,10402,8206,8767,7169,4392,7207,1087,64950
CED113,11320,12129,9615,7589,10014,5836,3973,7025,1366,68868
CED114,12152,10610,9784,7395,8269,6545,5391,10155,1207,71500
CED115,4771,8908,8757,6187,8261,5626,7018,8706,1732,59969
CED116,6787,10206,9335,7565,6598,5892,3010,5865,944,56202
CED117,14022,31562,6808,6848,10454,5819,1872,3742,1320,82447
CED118,9532,18904,10134,7513,13759,7525,6470,6654,1551,82035
CED119,10399,17877,10364,7906,12972,6821,3316,4240,1181,75075
CED120,9738,11498,11806,8134,10455,6581,6184,6992,1304,72696
CED121,6324,9399,11521,7387,7998,6174,7729,7603,1096,65233
CED122,12364,26570,8598,8624,12088,7363,3287,5012,1463,85361
CED123,8065,12096,11620,8475,13895,7568,8468,7691,1531,79401
CED124,6552,8651,8091,6232,6182,5565,3765,6392,848,52277
CED125,7059,11186,10545,8068,11959,7409,8293,7753,1484,73759
CED126,13130,19263,9540,7314,10565,7099,2336,4264,1201,74712
CED127,8620,15050,10620,7582,9690,5525,4198,5810,1064,68160
CED128,6278,10309,10296,6440,11276,6426,7069,7177,1647,66912
CED129,12914,22896,8008,6192,12638,7355,2494,3641,1370,77513
CED130,10432,10776,8628,6783,7219,5868,4501,9151,1073,64424
CED131,7394,20283,9267,8895,9517,6652,3578,5926,1030,72551
CED132,17362,36148,4929,5870,10902,6389,1043,2295,1500,86432
CED133,7694,10519,8269,7640,7459,6089,4052,8498,1017,61233
CED134,11692,9615,8480,7396,7108,5436,5803,7771,1212,64497
CED135,8767,23671,9490,7499,12404,7222,5424,7242,1883,83605
CED136,5998,9315,11321,7793,8245,6717,6304,7751,1036,64477
CED137,13766,28492,8621,7402,12794,8323,2749,5634,2012,89789
CED138,7613,12314,9237,8137,7051,6616,3025,6796,1033,61819
CED139,11250,10770,9716,7633,7537,6296,4606,8308,1040,67164
CED140,7736,13786,9091,7489,8861,6319,2864,5645,1085,62881
CED141,6172,12222,9929,7410,8838,6496,4007,6148,869,62084
CED142,18876,42075,9071,11635,12506,8537,1711,5893,2088,112396
CED143,16255,26884,6228,6466,9683,6367,1404,2827,1353,77468
CED144,6842,14039,9522,7500,9759,7343,5822,8017,1727,70559
CED145,16411,32084,4743,6196,8567,6141,929,2313,1403,78789
CED146,6583,11286,10045,6756,11251,6615,8032,7824,1704,70082
CED147,6603,10146,10932,8092,8490,6874,5276,6945,1038,64394
CED194,274,649,480,430,261,224,339,582,103,3331
CED197,3,22,18,16,21,17,10,18,5,130
