POA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
POA2000,8,662,..,8,0,8,0,8,..,0,0,0,0,0,..,11,0,11,0,11,..,13,0,13,0,13,..,50,3,53,0,53,..,3,0,3,0,3,..,8,0,10,0,10,..,37,0,43,0,43,..,957,123,1080,9,1089,..,38,0,38,0,38,..,13,0,14,0,14,..,1050,123,1169,9,1179,..,123,13,135,3,142,..,20,3,18,0,18,..,1455,804,2260,25,2286,..,9,0,7,0,7,..,213,22,230,0,230,..,246,23,268,7,271,..,6679,2065,8746,78,8826,..,44,6,47,1793,1836,2938,6719,2073,8798,1868,13597,6885,..,..,..,..,6885,..,22,0,22,0,22,..,158,25,181,0,185,..,3,0,3,0,3,..,890,247,1136,3,1140,..,3161,949,4111,20,4133,..,202,74,274,3,274,..,4251,1267,5523,28,5555,..,22,0,22,0,22,..,30,0,30,0,30,..,229,16,245,4,244,..,87,3,90,0,90
POA2006,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,76,0,76,0,76,..,0,0,0,64,64,578,76,0,76,64,718,982,..,..,..,..,982,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,46,0,46,0,46,..,0,0,0,0,0,..,60,0,60,0,60,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4
POA2007,0,120,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,20,0,20,..,14,0,13,0,13,..,30,0,30,0,30,..,0,0,0,0,0,..,3,3,8,0,8,..,13,0,13,0,13,..,103,7,108,0,108,..,12,0,12,0,12,..,4,0,4,0,4,..,134,7,141,0,143,..,57,12,67,0,67,..,9,0,9,0,9,..,202,66,269,3,272,..,4,0,5,0,5,..,55,6,66,0,66,..,102,8,108,0,108,..,2570,557,3130,18,3148,..,9,4,9,498,514,930,2583,564,3146,519,4592,2091,..,..,..,..,2091,..,0,0,0,0,0,..,73,8,84,0,84,..,0,0,0,0,0,..,420,194,612,4,615,..,2033,432,2458,11,2478,..,164,51,217,3,218,..,2614,676,3288,22,3308,..,4,0,4,0,4,..,19,0,19,0,19,..,107,7,111,0,111,..,41,0,41,0,41
POA2008,0,90,..,4,0,4,0,4,..,0,0,0,0,0,..,22,0,20,0,20,..,11,0,11,0,11,..,19,0,19,0,19,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,10,0,10,..,203,8,213,0,213,..,29,0,28,0,32,..,34,0,34,0,34,..,275,9,284,3,289,..,72,10,82,0,86,..,9,0,9,0,9,..,129,56,184,0,182,..,7,0,7,0,9,..,86,23,110,0,110,..,133,9,144,0,144,..,3034,474,3512,20,3530,..,13,0,11,627,639,1919,3046,472,3525,644,6089,4223,..,..,..,..,4223,..,5,0,5,0,5,..,76,10,89,0,89,..,0,0,0,0,0,..,469,80,552,3,556,..,2473,380,2857,11,2868,..,173,65,236,0,236,..,3120,530,3646,14,3654,..,6,3,11,0,11,..,24,0,22,0,22,..,100,0,100,0,100,..,58,0,56,0,57
POA2009,0,251,..,8,0,8,0,11,..,0,0,0,0,0,..,17,0,15,0,15,..,18,3,20,0,20,..,45,3,52,0,52,..,4,0,4,0,4,..,26,0,30,0,30,..,37,0,41,0,41,..,92,5,94,0,94,..,31,0,31,0,29,..,12,0,12,0,12,..,167,4,180,0,181,..,130,18,144,3,146,..,17,0,14,0,14,..,134,35,170,0,172,..,17,3,22,0,22,..,64,19,82,0,82,..,236,40,279,4,278,..,2297,490,2790,20,2803,..,15,0,16,552,571,2953,2310,491,2801,574,6332,6296,..,..,..,..,6296,..,12,0,12,0,12,..,81,0,83,0,80,..,0,0,0,0,0,..,451,107,560,5,563,..,819,245,1059,8,1071,..,58,27,81,0,81,..,1325,378,1703,13,1715,..,8,3,17,0,17,..,26,0,26,0,26,..,158,13,165,3,169,..,48,0,47,0,47
POA2010,4,116,..,4,0,4,0,4,..,7,4,15,0,15,..,22,3,23,0,26,..,37,0,34,0,34,..,82,24,104,0,105,..,0,0,0,0,0,..,18,0,18,0,18,..,25,0,25,0,25,..,107,11,116,3,115,..,39,0,39,0,41,..,11,5,10,0,10,..,174,14,191,3,193,..,206,22,229,3,233,..,7,0,7,0,7,..,323,163,488,0,489,..,10,3,12,0,12,..,87,18,102,0,105,..,342,36,377,4,376,..,2695,615,3311,23,3337,..,22,5,28,1509,1534,6886,2720,619,3339,1531,11761,16678,..,..,..,..,16678,..,22,0,22,0,22,..,96,6,106,0,106,..,8,0,8,0,8,..,371,168,544,3,546,..,535,203,739,3,743,..,56,18,77,0,77,..,968,397,1361,4,1367,..,33,0,36,0,36,..,108,0,107,0,107,..,496,26,525,4,527,..,192,0,192,3,197
POA2011,0,48,..,4,0,3,0,3,..,3,0,4,0,4,..,15,0,18,0,18,..,40,3,41,0,41,..,68,3,74,0,74,..,3,0,3,0,3,..,24,0,26,0,26,..,24,0,25,3,32,..,44,3,46,0,46,..,44,6,52,0,52,..,5,0,5,0,5,..,125,8,128,3,133,..,179,14,191,0,190,..,4,0,4,0,4,..,88,29,115,0,115,..,23,3,26,0,26,..,31,16,49,0,50,..,242,21,261,6,267,..,1668,192,1864,19,1875,..,24,3,23,1579,1599,5774,1687,194,1886,1594,9253,12838,..,..,..,..,12838,..,14,0,14,0,14,..,79,7,82,0,82,..,7,0,12,0,12,..,112,27,132,3,139,..,236,62,300,3,302,..,24,8,29,0,29,..,371,95,468,5,475,..,27,0,27,0,29,..,65,0,65,0,65,..,360,22,379,3,383,..,186,3,190,0,198
POA2015,0,25,..,8,0,8,0,8,..,0,0,0,0,0,..,17,0,17,0,17,..,15,3,12,0,12,..,29,0,29,0,29,..,6,0,6,0,6,..,17,0,24,0,24,..,12,0,12,0,12,..,40,10,55,0,55,..,17,0,17,0,17,..,3,0,3,0,3,..,71,10,86,0,86,..,68,3,77,0,77,..,3,0,3,0,3,..,34,10,38,0,38,..,4,0,11,0,11,..,55,21,72,0,78,..,135,24,165,3,165,..,940,169,1116,13,1122,..,15,0,12,368,385,3393,953,174,1129,378,4897,7006,..,..,..,..,7006,..,3,0,3,0,3,..,31,0,31,0,37,..,7,0,7,0,3,..,135,75,205,0,205,..,216,62,280,3,279,..,13,3,20,0,20,..,369,137,507,3,505,..,13,0,13,0,13,..,8,0,12,0,12,..,117,6,125,0,123,..,53,0,56,0,56
POA2016,0,54,..,6,3,5,0,5,..,3,0,3,0,3,..,11,4,11,0,11,..,15,0,18,0,16,..,79,66,147,0,142,..,0,0,0,0,0,..,24,4,32,0,32,..,12,0,12,0,12,..,34,3,36,0,36,..,13,0,13,0,13,..,5,0,5,0,10,..,71,3,71,0,71,..,117,12,136,0,136,..,3,0,3,0,3,..,58,21,73,3,76,..,15,7,20,0,20,..,49,20,64,0,65,..,142,18,159,3,166,..,1370,445,1814,20,1834,..,19,0,19,628,649,3549,1383,445,1830,648,6031,8141,..,..,..,..,8141,..,5,0,6,0,6,..,134,28,166,0,166,..,6,0,6,0,6,..,166,163,331,3,329,..,384,163,544,0,546,..,45,10,57,0,57,..,592,338,930,4,933,..,24,0,26,0,26,..,31,0,31,0,31,..,167,5,175,0,176,..,85,0,84,0,88
POA2017,0,218,..,11,0,11,0,11,..,3,0,6,0,6,..,53,5,54,0,54,..,36,9,46,0,46,..,209,154,365,3,363,..,3,0,3,0,3,..,41,3,46,0,46,..,16,4,20,0,20,..,192,20,209,0,216,..,45,0,45,0,45,..,15,0,15,0,15,..,270,22,289,0,289,..,189,18,208,4,209,..,15,0,15,0,15,..,76,24,102,0,104,..,35,10,44,0,44,..,93,54,144,0,146,..,376,90,462,13,473,..,4766,1191,5948,43,5990,..,25,3,28,1279,1312,4720,4793,1190,5979,1317,12022,10633,..,..,..,..,10633,..,7,0,7,0,7,..,215,34,250,3,255,..,6,0,6,0,6,..,759,212,972,3,979,..,3861,947,4802,31,4832,..,277,136,408,0,408,..,4892,1296,6187,34,6225,..,30,5,37,0,37,..,38,0,38,0,38,..,195,4,196,0,196,..,144,5,149,0,146
