POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2000,14,220,821,288,138,79,80,30,9,1677,0,63,514,212,92,64,53,18,3,1022,13,41,492,199,90,67,50,26,4,979,3,24,292,160,86,64,24,16,7,671,0,20,579,406,214,124,76,21,8,1450,9,24,319,495,412,324,157,49,13,1799,162,709,1571,668,413,292,192,71,39,4113,1038,4788,10675,4151,2142,1674,1108,428,159,26161
POA2006,7,3,0,0,0,0,0,0,0,10,0,3,6,0,0,0,0,0,0,11,0,0,6,0,4,0,0,0,0,9,0,0,3,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,5,0,0,3,0,6,3,0,0,0,16,48,78,14,3,3,0,4,0,0,155,554,582,56,16,12,12,6,3,0,1240
POA2007,5,69,257,75,39,23,7,0,3,478,5,23,139,68,27,13,3,0,0,281,0,15,140,60,25,18,3,0,0,259,3,12,75,51,25,16,3,0,0,178,0,10,152,97,61,22,11,0,0,339,0,6,60,74,33,17,6,0,0,190,75,290,382,150,73,40,36,14,4,1069,700,2734,2847,994,479,333,219,113,42,8469
POA2008,29,139,405,66,47,27,19,0,0,738,17,62,318,70,50,21,6,0,0,550,3,30,295,104,57,36,5,0,0,533,9,20,202,95,48,27,9,0,0,408,8,18,249,174,86,36,12,0,0,584,4,11,85,121,72,53,14,0,0,359,100,385,502,140,96,72,51,18,4,1361,972,3610,4027,1177,680,473,262,75,20,11307
POA2009,0,107,403,165,93,93,64,8,3,939,0,49,335,177,76,68,48,8,0,762,3,37,310,178,80,58,37,5,0,705,0,21,267,140,73,58,25,6,0,589,0,16,518,414,188,133,49,14,3,1347,0,3,253,435,270,195,97,9,3,1269,34,134,414,219,157,158,84,48,13,1257,282,1155,4087,2353,1371,1218,808,279,62,11623
POA2010,3,229,1057,367,224,135,74,19,3,2110,4,144,976,312,215,136,45,12,3,1836,0,66,951,360,204,148,63,7,3,1815,0,35,669,313,204,104,33,8,0,1374,0,29,1283,894,450,258,63,18,0,3003,0,28,693,1040,613,290,93,19,3,2768,89,334,1416,845,569,412,253,135,50,4114,447,2159,9931,5415,3528,2435,1444,731,294,26380
POA2011,13,193,734,263,170,163,93,28,18,1684,6,119,633,276,160,132,51,15,7,1393,0,70,685,284,184,121,70,21,6,1442,0,30,507,234,149,106,42,13,7,1093,5,17,880,591,313,196,109,29,10,2150,3,6,451,646,446,289,160,60,30,2081,178,774,1677,677,478,364,234,161,134,4674,417,1900,7026,3737,2591,2151,1462,690,428,20409
POA2015,4,108,434,168,105,50,19,10,0,895,3,55,432,196,109,65,15,0,0,877,3,27,402,200,120,69,13,0,0,834,0,16,269,188,109,35,7,0,0,623,3,12,446,412,165,90,7,6,0,1129,0,5,141,298,171,68,12,0,0,696,19,77,308,180,118,59,29,23,8,823,219,748,3294,2046,1244,740,351,139,36,8814
POA2016,0,107,496,158,116,80,32,6,4,996,0,53,505,176,116,60,26,3,0,941,0,22,470,190,125,55,13,3,0,867,0,7,296,138,105,53,8,0,0,620,0,4,449,355,194,128,27,7,0,1161,0,5,143,267,206,101,28,5,0,746,45,138,475,256,206,181,141,107,34,1574,274,1171,4065,2174,1703,1309,855,576,177,12305
POA2017,38,254,967,260,155,55,43,9,3,1782,9,134,898,268,108,62,28,3,0,1515,5,79,894,328,111,51,13,3,0,1489,5,22,585,295,107,48,15,0,0,1085,6,37,1002,635,224,89,13,0,0,2004,6,10,318,355,174,59,18,5,0,954,165,373,938,392,269,260,219,131,42,2794,1509,3848,8569,3474,1964,1545,1170,630,153,22867
