POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2000,3071,6201,0,6,30,130,3,15,633,2124,669,2273,27,89,99,292,140,407,258,789,930,3065,0,0,16,49,10,18,112,281,138,352,13,37,97,206,140,289,245,533,387,886,348,784,4737,10935
POA2006,0,0,0,0,0,3,0,0,0,4,3,11,0,0,0,0,0,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
POA2007,706,1400,0,0,15,53,0,11,169,592,186,659,8,31,27,96,35,107,73,239,261,899,0,0,3,6,0,4,46,102,49,112,0,10,37,74,37,79,75,169,127,281,86,174,1171,2751
POA2008,1165,2316,0,0,11,50,0,4,205,696,218,753,3,15,20,52,27,74,44,146,265,893,0,0,9,32,0,0,37,86,49,113,4,20,29,61,40,90,72,164,118,276,127,272,1680,3758
POA2009,1826,3576,0,0,32,124,10,46,600,2009,635,2177,22,71,54,180,109,325,183,576,819,2758,0,0,14,37,7,27,131,319,150,386,3,16,49,116,136,270,192,399,341,782,110,235,3102,7348
POA2010,3894,7584,6,18,33,134,5,20,642,2197,680,2364,23,78,93,286,107,331,218,696,898,3059,0,7,12,29,3,8,123,282,138,323,5,20,63,140,170,342,241,502,375,821,154,319,5322,11782
POA2011,2708,5206,3,6,15,62,0,7,353,1160,375,1237,10,41,36,106,60,170,107,322,480,1560,5,16,13,39,9,18,112,242,128,327,11,24,41,88,146,278,197,392,327,718,92,185,3596,7672
POA2015,1459,2827,3,16,42,172,0,3,525,1837,578,2033,13,61,52,153,61,204,124,422,704,2454,0,11,16,39,10,31,102,249,128,330,7,22,33,66,81,179,121,260,245,595,61,125,2468,6004
POA2016,1592,3091,0,7,21,90,8,23,425,1499,453,1615,11,47,38,136,74,231,128,414,585,2030,0,0,7,26,4,18,93,219,103,266,6,31,31,65,147,305,184,396,288,667,103,213,2560,6003
POA2017,3250,6411,0,4,37,142,8,39,902,2990,947,3172,9,39,57,172,114,344,178,554,1121,3727,7,18,23,79,13,51,235,586,276,733,19,60,116,249,258,538,393,850,671,1584,232,488,5270,12214
