POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA2000,..,2703,2703,2501,652,3152,853,356,1210,734,450,1191,258,171,430,245,186,429,4589,4521,9111
POA2006,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA2007,..,901,901,632,329,963,249,180,432,169,144,315,62,78,146,40,67,106,1149,1703,2855
POA2008,..,1763,1763,1131,519,1646,292,261,549,173,185,355,42,76,117,28,64,88,1664,2865,4520
POA2009,..,1547,1547,1852,423,2270,674,179,851,388,113,498,93,27,126,47,27,72,3060,2311,5363
POA2010,..,5253,5253,3852,1039,4893,834,365,1200,412,199,605,118,53,177,60,45,103,5275,6960,12234
POA2011,..,5234,5234,2881,634,3515,467,152,614,190,33,218,38,5,43,10,3,14,3584,6054,9642
POA2015,..,1215,1215,1470,388,1860,504,140,643,343,50,393,82,9,92,30,0,36,2430,1803,4235
POA2016,..,2251,2251,1610,542,2155,480,266,747,323,115,441,89,40,127,26,31,59,2532,3239,5771
POA2017,..,3490,3490,3255,1148,4398,1227,553,1777,535,215,755,131,53,189,58,26,83,5204,5487,10688
POA2018,..,1563,1563,1724,356,2081,1025,138,1162,917,52,970,351,15,368,162,7,173,4182,2131,6308
POA2019,..,742,742,939,114,1053,673,27,705,745,4,755,278,3,283,115,0,115,2752,901,3653
POA2020,..,1040,1040,1421,349,1775,883,147,1029,800,69,872,281,32,311,172,12,179,3562,1640,5208
POA2021,..,2250,2250,1917,379,2299,730,193,921,607,84,689,172,15,184,37,3,44,3469,2925,6387
POA2022,..,1399,1399,1384,266,1645,633,124,755,566,65,634,179,16,198,62,8,68,2820,1880,4705
POA2023,..,941,941,1140,211,1357,543,69,607,561,17,580,296,3,302,82,3,81,2618,1248,3867
POA2024,..,1025,1025,1110,242,1350,597,50,645,596,21,620,230,3,238,61,0,56,2598,1343,3940
POA2025,..,911,911,930,146,1078,408,40,445,335,14,352,99,3,104,31,0,31,1800,1124,2918
POA2026,..,3619,3619,3548,1226,4774,1616,411,2031,1363,153,1518,424,37,464,151,26,177,7104,5478,12583
POA2027,..,1314,1314,1230,175,1406,394,54,446,246,16,259,66,0,66,33,0,33,1976,1553,3530
POA2028,..,663,663,673,152,827,210,46,257,157,8,167,65,0,65,10,3,10,1123,871,1996
POA2029,..,1033,1033,1197,185,1384,573,41,613,531,7,539,226,0,222,47,0,47,2568,1266,3833
POA2030,..,931,931,1310,102,1410,751,26,779,933,3,935,483,0,483,156,0,158,3632,1066,4695
POA2031,..,3489,3489,3894,969,4863,1996,340,2335,1742,105,1843,534,42,575,141,17,150,8298,4958,13260
POA2032,..,1452,1452,1321,425,1745,752,360,1108,757,242,998,310,124,438,129,77,204,3274,2679,5953
POA2033,..,1036,1036,1130,378,1514,562,168,735,513,77,591,194,42,231,71,15,84,2470,1719,4187
POA2034,..,2335,2335,2211,645,2850,1130,251,1380,1034,63,1094,317,15,329,107,5,110,4792,3304,8097
POA2035,..,3194,3194,3411,498,3907,1893,255,2148,2103,98,2204,761,33,796,329,28,359,8497,4106,12603
POA2036,..,2387,2387,2558,241,2795,1661,65,1727,1831,30,1864,744,5,749,340,9,349,7133,2743,9877
POA2037,..,2413,2413,1919,462,2387,739,216,954,522,124,642,134,48,188,47,33,82,3364,3297,6661
POA2038,..,1089,1089,1013,170,1181,522,96,611,521,32,555,125,5,127,39,3,38,2214,1390,3602
POA2039,..,913,913,1215,139,1355,492,51,540,491,11,504,114,3,119,18,0,18,2329,1121,3450
POA2040,..,2172,2172,2224,342,2567,1397,168,1568,1408,67,1479,361,15,374,82,3,85,5472,2769,8242
POA2041,..,1926,1926,1964,219,2179,870,55,925,849,21,874,261,5,266,56,3,58,4000,2228,6232
POA2042,..,2548,2548,2232,623,2850,867,388,1256,653,147,800,139,57,194,60,17,73,3951,3773,7723
POA2043,..,962,962,1270,279,1545,406,131,538,281,50,335,41,10,50,15,4,19,2009,1433,3446
POA2044,..,646,646,800,198,995,442,95,537,425,37,463,120,17,130,77,10,86,1853,1000,2855
POA2045,..,398,398,592,41,640,360,16,380,496,6,502,198,5,206,47,0,52,1697,473,2174
POA2046,..,2517,2517,3031,308,3341,1674,57,1725,1721,9,1733,534,7,541,178,0,175,7138,2906,10042
POA2047,..,1293,1293,1487,212,1697,663,81,738,621,14,634,209,0,208,53,7,55,3023,1606,4628
POA2048,..,837,837,910,205,1113,384,130,515,335,56,389,112,19,129,41,3,47,1781,1244,3034
POA2049,..,1298,1298,1263,307,1572,618,105,723,519,44,563,135,16,151,52,8,55,2591,1772,4364
POA2050,..,2055,2055,1257,299,1556,330,127,454,205,51,258,58,15,76,9,4,15,1862,2553,4414
POA2052,..,257,257,72,33,104,13,17,31,5,18,21,3,19,21,0,5,3,89,348,442
POA2060,..,2306,2306,2225,294,2514,735,95,833,400,22,425,116,8,117,26,3,31,3498,2729,6230
POA2061,..,1199,1199,1092,143,1230,253,34,287,140,5,143,26,3,32,10,0,10,1526,1379,2910
POA2062,..,962,962,944,118,1063,430,32,464,382,0,382,96,3,96,20,0,20,1869,1117,2987
POA2063,..,313,313,576,22,601,315,4,318,467,0,467,258,0,262,59,0,59,1677,338,2017
POA2064,..,847,847,959,196,1156,708,49,752,577,19,592,172,7,174,64,0,67,2477,1110,3593
POA2065,..,3806,3806,4211,610,4819,1803,219,2021,1415,40,1463,386,13,397,94,0,93,7908,4686,12599
POA2066,..,2932,2932,3450,386,3836,1944,74,2026,1971,24,1995,742,5,744,231,0,236,8346,3427,11766
POA2067,..,2028,2028,2574,357,2932,1799,163,1960,1576,66,1650,527,35,560,224,23,249,6705,2671,9379
POA2068,..,1030,1030,1424,97,1518,998,26,1023,1364,6,1372,512,3,519,154,0,154,4454,1162,5611
POA2069,..,676,676,1218,81,1299,750,12,766,1081,11,1094,554,4,558,166,3,167,3761,794,4554
POA2070,..,834,834,1161,59,1217,759,15,770,1060,8,1063,461,0,469,145,0,145,3584,920,4499
POA2071,..,668,668,1187,48,1238,826,12,841,1022,12,1037,429,0,434,175,6,183,3643,749,4396
POA2072,..,421,421,737,39,775,495,13,506,547,0,543,213,3,214,87,3,87,2072,473,2549
POA2073,..,627,627,1321,41,1363,956,9,964,1332,6,1332,587,4,597,214,0,217,4408,697,5103
POA2074,..,1391,1391,2175,82,2257,1169,16,1188,1680,3,1681,690,0,696,224,0,224,5936,1494,7429
POA2075,..,1029,1029,1989,48,2040,1191,7,1199,1633,3,1637,672,3,676,230,0,238,5714,1096,6815
POA2076,..,1347,1347,2225,85,2307,1272,15,1290,1806,14,1819,756,0,754,303,0,308,6360,1464,7823
POA2077,..,2993,2993,3700,362,4061,2719,66,2790,2479,20,2500,873,8,880,354,6,359,10130,3452,13583
POA2079,..,275,275,579,23,602,475,7,481,585,0,585,224,0,224,94,0,94,1945,308,2257
POA2080,..,88,88,151,5,157,104,0,108,123,0,122,55,0,55,22,0,22,460,90,555
POA2081,..,226,226,440,20,458,327,3,333,417,0,418,181,0,181,83,0,83,1447,255,1698
POA2082,..,235,235,495,17,513,338,0,343,431,0,430,171,0,171,69,0,69,1503,255,1751
POA2083,..,158,158,219,15,236,62,3,65,86,0,86,34,0,34,10,0,10,412,178,590
POA2084,..,120,120,303,7,311,170,3,173,265,0,265,129,0,130,58,0,58,924,135,1060
POA2085,..,669,669,1068,31,1104,545,9,555,872,0,872,411,0,417,142,0,142,3044,708,3750
POA2086,..,482,482,1017,38,1062,709,5,714,1181,7,1184,488,3,484,187,3,194,3586,538,4122
POA2087,..,726,726,1031,35,1069,635,8,647,1092,3,1093,450,0,450,153,0,153,3361,775,4140
POA2088,..,3242,3242,3448,275,3729,1548,42,1591,1621,4,1625,671,0,671,169,0,169,7458,3567,11022
POA2089,..,1867,1867,1771,317,2085,654,81,733,421,9,434,100,4,103,26,0,26,2977,2272,5245
POA2090,..,2084,2084,1967,232,2197,761,58,818,664,8,671,163,3,163,42,3,43,3585,2391,5982
POA2092,..,264,264,531,22,558,373,3,377,635,5,636,285,0,287,66,0,66,1895,298,2188
POA2093,..,1646,1646,2092,200,2288,1364,53,1411,1746,5,1754,664,6,671,171,6,174,6039,1911,7946
POA2094,..,540,540,783,83,865,357,47,407,346,14,353,116,0,113,11,0,11,1617,684,2300
POA2095,..,1964,1964,2219,411,2631,785,161,940,684,31,718,218,15,228,40,3,44,3941,2585,6524
POA2096,..,1288,1288,1688,256,1946,802,58,858,877,5,883,333,3,339,101,0,100,3798,1610,5411
POA2097,..,910,910,1436,106,1539,855,15,874,1073,7,1077,480,0,475,204,0,204,4037,1045,5082
POA2099,..,3785,3785,3974,492,4466,2377,122,2496,2454,38,2490,939,12,951,411,9,416,10147,4451,14595
POA2100,..,1250,1250,1683,111,1790,1086,31,1114,1601,15,1611,655,4,661,304,0,307,5330,1415,6742
POA2101,..,1835,1835,2033,169,2201,993,29,1021,1204,10,1221,473,3,480,202,0,202,4905,2050,6954
POA2102,..,381,381,693,32,724,439,6,446,584,0,581,191,3,197,85,0,86,1990,426,2415
POA2103,..,850,850,1171,65,1231,544,15,565,682,0,684,287,0,293,116,0,116,2809,938,3746
POA2104,..,525,525,438,16,454,153,0,153,192,0,192,81,0,85,37,0,37,904,536,1441
POA2105,..,126,126,239,4,244,95,3,97,119,0,119,38,0,38,10,0,10,501,133,640
POA2106,..,740,740,1010,53,1066,524,18,541,603,0,602,294,0,296,94,0,98,2525,809,3339
POA2107,..,873,873,1543,67,1607,726,8,737,1068,3,1078,451,0,451,174,0,176,3971,957,4927
POA2108,..,161,161,260,9,278,65,0,68,64,0,63,36,0,36,14,0,14,440,174,612
