POA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
POA2000,112,72,1342,21,3,32,8,3,3,73,33,3,65,5,3,0,111,165,18,250,32,11,12,492,36,3,58,17,10,10,121,201,21,396,37,17,8,688,40,12,194,94,22,14,367,39,10,56,16,6,0,135,108,15,108,25,9,3,261,84,14,322,103,41,29,595,9,3,39,16,11,4,82,11,0,65,27,20,9,148,37,0,143,64,19,73,340,1039,111,2725,989,345,267,5477,5,0,8,4,0,0,21,11,0,25,6,3,0,48,56,0,113,58,31,10,277,10,0,16,5,0,0,38,46,0,109,42,89,7,300,59,7,101,26,10,11,214,107,13,381,206,57,32,798,197,17,1169,844,304,155,2687,51,9,107,39,17,10,233,82,13,127,22,13,6,262,391,51,672,91,38,26,1273,79,6,122,37,27,15,288,510,46,977,89,53,31,1712,74,11,334,159,45,26,662,106,21,153,44,40,3,366,183
POA2006,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,0,0,24,3,0,4,0,0,0,6,0,0,4,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,3,13,0,26,4,5,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,8,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18
POA2007,18,12,227,5,0,15,3,0,0,23,11,0,14,0,0,4,37,33,5,44,3,7,0,91,12,4,3,0,5,0,22,62,7,90,8,9,0,180,14,0,41,8,6,4,75,7,7,14,0,5,0,34,46,8,38,8,5,0,112,29,8,81,18,17,3,159,5,0,16,4,6,3,36,3,0,12,8,9,0,36,12,0,27,7,3,9,70,319,42,626,171,106,43,1314,0,0,0,0,0,0,7,0,0,4,0,0,0,5,19,0,27,16,7,0,60,3,0,3,3,0,0,8,6,0,29,7,28,3,78,21,0,42,7,5,3,73,45,7,101,56,21,3,235,51,3,231,120,49,22,482,20,0,35,11,8,3,75,28,3,54,3,9,3,108,73,9,115,16,8,7,225,18,4,19,3,6,3,47,123,15,214,28,12,6,400,24,0,75,22,10,6,138,24,7,39,5,14,3,94,97
POA2008,34,7,292,6,4,8,0,0,3,22,19,3,62,12,3,0,108,38,6,49,11,6,3,105,13,0,14,3,3,0,37,110,18,192,18,11,4,356,9,3,35,12,15,0,78,30,3,45,5,6,0,100,117,16,102,17,3,0,256,62,9,122,17,11,3,222,13,3,36,3,3,0,58,11,0,27,10,15,3,60,13,0,27,17,4,4,69,538,67,1035,224,137,45,2044,3,0,3,0,0,0,13,0,0,3,0,0,0,3,23,0,44,12,10,3,90,7,0,10,0,3,0,25,19,3,57,16,40,10,138,23,0,50,12,9,3,98,56,5,139,38,32,3,274,67,9,288,121,76,12,562,18,4,30,6,16,7,90,45,10,145,32,18,4,257,75,11,126,14,9,8,251,26,4,34,3,11,4,73,226,26,466,51,26,11,818,15,3,72,27,24,0,135,51,14,83,17,23,0,200,214
POA2009,41,19,309,19,0,29,10,6,0,67,24,0,84,15,10,4,138,97,16,212,46,23,3,397,23,0,25,16,0,4,63,106,26,286,38,27,12,496,21,9,71,28,17,7,146,29,8,55,10,19,3,118,83,13,89,14,10,7,219,59,21,133,43,22,13,285,11,0,31,20,8,3,79,17,0,28,16,17,0,81,25,3,48,14,10,12,111,607,109,1433,387,250,122,2910,3,0,5,5,3,0,13,7,0,5,0,0,0,9,35,3,59,20,23,7,150,12,4,21,3,3,0,44,25,0,78,31,77,14,218,30,8,97,18,15,4,170,57,7,140,56,39,22,317,53,7,302,174,118,41,710,37,3,76,23,31,6,182,76,10,206,36,18,12,344,231,43,486,91,38,8,902,34,3,57,27,16,7,140,284,58,668,86,51,35,1180,33,8,134,40,28,12,248,65,14,109,36,38,5,265,143
POA2010,58,27,549,16,4,53,11,11,3,95,64,17,218,43,13,10,370,87,38,292,50,24,9,499,13,6,58,23,7,3,112,290,56,800,98,40,22,1313,23,3,166,38,31,12,268,74,30,140,16,18,3,286,186,34,238,33,24,5,517,173,51,369,84,48,19,743,43,10,85,13,14,4,174,17,3,46,33,43,7,141,36,6,118,45,19,19,238,1198,288,3283,767,416,158,6107,7,0,11,3,0,4,19,9,0,12,0,3,0,19,51,3,170,43,41,12,325,25,0,19,4,0,4,53,52,10,167,52,123,18,420,78,17,163,37,39,0,328,89,21,412,169,125,23,824,95,17,578,344,216,60,1311,61,6,166,49,56,9,352,144,44,497,97,60,23,868,308,88,837,120,58,29,1437,42,7,126,47,38,7,273,784,127,1812,243,102,63,3125,57,9,342,93,67,19,592,192,53,329,68,72,8,725,414
POA2011,38,13,317,10,3,35,14,9,3,74,41,12,144,30,16,4,248,91,20,216,40,23,12,400,16,5,44,19,19,7,110,241,56,513,75,41,23,941,22,12,95,26,18,9,172,77,37,155,33,62,3,369,160,36,132,19,7,8,373,101,33,231,67,47,9,489,34,7,88,21,10,8,159,16,4,48,26,39,5,141,24,8,72,23,18,12,154,970,241,2176,568,412,123,4485,0,0,7,3,4,0,16,4,0,14,0,0,0,19,41,4,90,35,34,3,213,11,0,22,0,3,0,36,36,6,100,37,108,14,301,47,3,104,26,16,3,208,59,10,237,104,84,14,509,77,11,288,188,146,26,726,32,8,92,38,35,4,215,86,21,292,61,29,14,504,245,56,545,100,44,15,1007,36,6,106,39,39,15,244,530,107,1171,160,89,41,2108,50,9,188,42,52,9,351,182,60,342,131,334,17,1060,300
POA2015,25,3,108,14,3,20,19,18,0,82,22,8,90,19,8,3,152,55,10,117,40,21,3,243,10,0,23,4,6,3,48,85,30,249,45,21,11,437,19,3,50,21,20,5,108,56,19,90,24,20,0,211,116,21,134,19,17,3,300,90,22,182,40,30,11,370,14,6,35,12,10,0,68,15,3,34,15,26,0,94,9,0,49,14,11,11,92,555,143,1297,369,267,62,2691,0,0,3,0,3,0,7,9,0,9,0,0,0,9,17,5,73,18,25,4,150,6,0,16,3,5,0,36,17,6,88,29,100,7,248,22,4,72,24,25,3,147,30,5,136,69,65,7,322,19,3,110,54,83,4,266,33,12,69,46,46,5,197,43,22,187,40,24,3,326,104,25,265,70,41,6,513,18,6,43,21,24,3,106,194,53,555,98,65,17,979,28,3,89,30,42,3,200,86,26,170,58,53,10,399,192
POA2016,29,3,168,5,0,21,8,10,4,43,25,8,114,19,9,0,172,27,13,80,16,12,0,152,5,0,23,13,3,0,49,139,35,307,45,16,6,546,12,4,57,20,12,9,115,52,10,107,16,13,3,205,109,33,121,27,8,0,292,86,25,198,38,27,3,375,24,3,47,18,6,0,96,13,7,31,13,32,0,87,10,6,40,11,12,7,87,557,152,1420,321,230,50,2742,0,0,3,0,0,0,7,3,0,5,3,0,0,14,20,0,76,19,24,6,152,6,0,16,3,0,0,23,16,5,79,36,76,9,220,23,0,78,20,11,7,145,33,10,173,70,51,18,351,36,3,162,93,89,14,396,27,9,65,27,42,11,166,57,18,236,41,31,9,386,88,35,231,37,29,13,433,6,3,41,22,16,9,101,306,62,733,89,43,18,1251,14,5,125,38,21,19,225,105,25,192,47,33,7,415,228
POA2017,36,13,337,19,12,55,24,17,6,130,33,12,108,18,15,3,188,104,36,226,52,36,7,463,47,0,43,20,15,3,133,209,18,433,60,29,15,775,44,4,97,33,19,7,207,59,23,113,36,32,4,271,147,20,163,28,26,5,392,129,24,287,70,50,20,579,13,0,49,16,9,0,86,22,3,33,24,53,4,139,45,10,70,27,25,14,185,1072,183,2200,600,437,118,4604,0,0,5,3,7,0,13,4,0,11,5,11,0,29,58,3,124,32,39,12,262,16,0,22,5,3,3,49,57,6,182,41,209,12,511,61,8,126,52,34,7,289,124,9,310,144,111,29,721,82,8,302,188,137,29,744,48,19,143,67,67,7,360,71,21,239,47,35,13,437,247,63,468,100,73,9,951,95,9,102,47,44,11,312,467,58,930,147,82,30,1709,70,7,184,67,46,14,385,108,31,232,90,109,9,577,291
