SA2_MAINCODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
101021007,0,0,0,0,0,43,0,0,0,0,0,0,0,0,3,52,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,301,22,10,4,3,7,0,12,3,13,370,46,4,12,7,0,0,4,0,0,3,74,7,0,3,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,45,4,13,7,0,0,6,0,0,4,85,3,0,0,0,0,0,0,0,0,0,3,344,28,30,4,5,8,4,13,4,18,460
101021008,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,125,17,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,31,424,43,36,13,4,8,8,5,0,15,562,389,70,88,17,21,15,15,14,4,14,639,78,5,15,0,0,0,3,4,3,4,115,0,0,0,0,0,0,0,0,0,0,4,465,78,101,20,21,15,20,16,13,22,759,0,0,0,0,0,0,0,0,0,0,3,896,113,136,34,30,23,22,25,15,41,1322
101021009,0,0,0,0,0,216,0,0,0,0,0,0,0,0,18,236,28,0,0,0,0,0,0,0,0,4,33,41,0,0,0,0,0,0,0,0,3,46,33,0,0,0,0,0,0,0,0,8,43,3,0,0,0,0,0,0,0,0,0,7,75,0,0,0,0,0,0,0,0,14,91,0,0,0,0,0,0,0,0,0,4,5,103,0,0,0,0,0,0,0,0,22,132,560,63,87,23,21,19,15,13,8,35,844,477,98,436,70,79,95,111,100,52,34,1556,126,12,19,9,7,10,13,17,19,16,243,10,0,8,0,0,0,0,3,0,7,27,611,115,460,76,84,103,126,122,71,56,1823,3,0,0,0,0,0,0,0,0,12,17,1170,175,544,101,105,124,142,136,79,100,2680
101021010,0,0,0,0,0,53,0,3,0,0,0,0,0,0,3,57,8,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,4,24,282,28,61,7,9,8,8,13,4,9,430,159,56,206,31,22,34,67,53,24,11,668,23,0,16,0,8,3,10,8,6,3,80,3,0,0,0,0,0,0,3,0,3,8,187,57,213,34,34,38,83,66,31,16,757,3,0,0,0,0,0,0,0,0,0,6,473,86,277,35,44,46,90,75,40,28,1189
101021011,0,0,0,0,0,138,0,0,0,0,0,0,0,0,7,149,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,24,1225,98,109,18,24,13,15,23,8,57,1605,309,51,89,27,18,21,14,7,9,0,551,23,3,3,0,0,3,0,0,9,4,43,0,0,0,0,0,0,0,0,0,0,4,327,56,95,27,18,25,15,9,14,7,594,3,0,0,0,0,0,0,0,0,3,6,1561,156,199,45,50,38,30,30,22,70,2205
101021012,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,103,16,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,24,755,128,112,29,21,32,41,19,11,22,1161,449,78,110,26,8,12,16,10,0,26,743,52,0,13,4,0,0,0,3,0,0,73,9,0,0,0,0,0,0,0,0,0,9,507,80,117,26,8,11,19,13,0,26,821,3,0,0,0,0,0,0,0,0,0,4,1267,210,231,53,29,42,59,39,8,50,1988
101031013,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,128,4,3,0,0,0,0,0,0,3,144,21,10,11,0,0,0,0,3,0,0,41,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,10,11,0,0,0,3,4,0,3,45,0,0,0,0,0,0,0,0,0,0,0,152,12,9,0,0,0,3,5,0,8,192
101031014,0,0,0,0,0,150,0,3,3,0,0,0,0,0,3,150,30,0,0,0,0,0,0,0,0,4,35,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,3,57,471,26,21,8,9,0,0,0,0,19,560,195,25,32,0,4,3,8,16,0,12,293,14,5,3,3,0,0,3,3,0,5,43,3,0,3,0,0,0,0,0,0,0,3,214,31,39,4,3,3,7,19,0,16,341,0,0,0,0,0,0,0,0,0,70,76,684,59,56,6,15,3,7,19,3,114,977
101031015,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,67,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,273,11,14,4,0,0,0,4,0,17,320,65,7,6,0,0,0,0,0,0,3,81,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,66,7,6,0,0,0,0,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,341,20,20,4,0,0,3,5,0,18,408
101031016,0,0,0,0,0,73,3,0,0,0,0,0,0,0,3,76,9,0,0,0,0,0,0,0,0,3,8,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,16,455,40,56,11,13,14,3,9,13,49,654,107,11,14,9,3,9,10,13,5,16,206,4,0,3,0,0,3,15,13,0,5,43,3,0,0,0,0,0,0,0,0,0,8,113,16,19,6,3,14,29,26,10,23,254,0,0,0,0,0,0,0,0,0,0,7,575,53,73,17,17,25,34,31,24,69,917
