SA2_MAINCODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
101021007,38,37,104,155,206,213,91,33,5,888,4,0,6,5,9,26,17,4,3,81,0,0,0,0,0,0,0,0,0,0,6,0,3,9,5,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,3,0,0,0,16,0,0,0,3,4,3,0,0,0,11,6,0,3,13,13,21,6,3,0,74,11,11,6,10,13,6,0,0,0,58,0,0,4,3,7,0,0,0,0,17,0,0,0,4,3,0,0,0,0,10,0,0,3,4,4,3,0,0,0,12,0,0,4,3,0,3,0,0,0,9,0,3,12,15,12,7,5,0,0,50,0,0,4,3,3,3,3,0,0,22,0,0,11,32,36,17,3,0,0,109,0,4,12,21,26,26,8,0,0,93,0,3,12,12,32,32,6,0,0,103,0,0,3,6,3,10,3,0,0,20,0,0,6,9,11,3,4,0,0,28
101021008,143,205,454,452,466,345,83,3,0,2154,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,7,14,13,6,3,0,0,43,0,0,0,6,0,4,0,0,0,12,3,3,5,3,13,10,0,0,0,38,0,0,6,5,6,9,0,0,0,22,46,35,43,34,32,25,0,0,0,217,48,18,27,12,16,7,3,0,0,120,3,5,13,14,6,5,0,0,0,50,0,3,0,4,3,0,0,0,0,17,0,5,5,7,4,4,0,0,0,26,0,3,6,6,5,3,4,0,0,39,0,13,24,26,27,15,3,0,0,108,0,7,13,23,22,28,4,0,0,96,4,25,119,150,159,66,6,0,0,532,5,10,38,42,59,33,3,0,0,192,12,44,68,75,85,75,5,0,0,364,4,9,3,9,0,3,0,0,0,28,10,8,18,6,14,10,0,0,0,73
101021009,95,272,897,667,554,364,82,11,0,2947,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,6,18,15,3,0,0,0,44,0,3,9,0,5,4,0,0,0,20,3,4,14,19,7,6,0,0,0,53,0,10,10,9,10,5,0,0,0,33,33,56,60,49,51,27,3,0,0,288,33,38,55,15,18,9,3,0,0,177,0,3,13,8,11,0,0,0,0,37,0,4,14,13,5,7,3,0,0,38,0,9,18,13,7,5,0,0,0,52,0,4,17,5,7,7,0,0,0,39,0,17,49,39,30,16,15,0,0,159,0,9,22,17,19,19,3,0,0,95,4,36,195,167,173,62,5,0,0,652,4,20,72,53,53,34,6,0,0,239,13,66,163,105,98,69,8,0,0,531,4,6,11,12,8,3,0,0,0,44,4,13,34,6,10,7,0,0,0,73
101021010,46,144,403,287,284,187,47,7,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,4,5,3,0,0,26,0,0,0,0,0,0,0,0,0,3,0,3,3,8,4,3,3,0,0,27,0,0,4,3,3,3,0,0,0,14,18,26,39,22,22,8,3,0,0,133,25,15,34,16,8,8,0,0,0,106,0,0,3,3,7,0,0,0,0,16,0,0,3,6,3,0,0,0,0,11,0,0,7,3,6,3,0,0,0,15,0,3,13,11,3,3,0,0,0,26,0,13,22,12,10,11,0,0,0,73,0,0,12,3,11,8,6,0,0,41,0,12,93,73,87,37,0,0,0,312,4,13,23,22,19,20,11,0,0,111,10,27,61,41,56,41,9,0,0,231,0,3,3,0,0,0,0,0,0,15,3,8,12,3,5,6,0,0,0,33
101021011,240,290,737,971,1220,821,236,27,0,4541,5,3,6,3,16,15,21,6,0,75,0,0,3,0,0,0,0,0,0,4,7,9,12,10,15,6,6,0,0,71,0,5,5,12,3,0,0,0,0,26,8,9,23,34,30,16,8,0,0,122,0,0,7,6,14,6,3,0,0,44,69,47,30,37,63,45,15,0,0,308,81,29,26,28,18,10,3,0,0,193,0,4,12,20,23,21,3,0,0,84,0,6,16,8,11,9,0,0,0,53,0,7,20,19,21,11,0,0,0,77,0,7,18,23,24,9,0,0,0,83,3,23,47,75,91,60,13,0,0,313,7,4,15,19,45,23,3,0,0,109,6,37,230,384,381,170,16,0,0,1226,17,24,73,128,160,84,12,0,0,506,10,52,105,132,159,140,23,0,0,615,16,11,3,23,15,17,3,0,0,79,19,23,16,36,36,19,0,0,0,148
101021012,258,304,622,804,1060,495,87,5,3,3641,0,0,3,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,10,3,7,12,8,12,0,0,0,63,0,0,0,3,6,0,0,0,0,16,0,3,16,12,22,9,0,0,0,66,3,6,3,7,6,5,0,0,0,25,102,48,32,45,48,36,12,0,0,317,77,27,30,23,25,3,0,0,0,185,3,3,7,14,18,4,0,0,0,50,0,7,8,0,11,4,0,0,0,37,0,8,10,15,17,6,0,0,0,61,0,7,19,12,12,9,0,0,0,57,6,23,59,64,55,14,3,0,0,227,3,4,14,21,31,19,4,0,0,91,9,46,191,358,390,134,3,0,0,1135,15,24,76,106,133,45,6,0,0,411,14,49,74,105,158,71,7,0,0,477,7,4,12,6,6,9,3,0,0,46,11,21,20,41,30,16,0,0,0,138
101031013,28,44,97,91,123,136,57,11,4,591,0,4,9,8,12,16,22,0,0,72,0,0,0,0,0,0,0,0,0,0,5,3,6,5,5,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4,11,8,10,15,8,10,3,0,0,59,13,0,7,3,4,8,0,0,0,39,0,0,0,0,5,3,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,7,3,6,3,0,0,0,21,0,0,0,4,9,3,0,0,0,22,0,0,9,9,6,9,3,0,0,33,0,0,10,15,20,12,3,0,0,62,0,3,17,12,16,30,6,0,0,85,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,12
101031014,101,137,269,254,315,290,89,12,3,1476,0,3,3,0,3,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,6,12,5,6,3,0,0,0,33,0,3,13,10,12,8,0,0,0,43,0,0,3,3,3,3,0,0,0,12,0,0,0,5,4,5,0,0,0,17,24,26,44,48,54,27,7,0,0,226,47,31,31,21,29,21,3,0,0,188,0,0,4,3,5,3,0,0,0,17,0,0,3,0,3,3,0,0,0,7,0,8,8,3,9,6,0,0,0,28,3,0,3,4,11,3,0,0,0,21,0,0,21,11,16,10,6,0,0,63,0,0,11,9,17,5,7,0,0,57,3,0,19,26,45,29,5,0,0,125,0,10,23,32,54,41,8,3,0,183,3,24,58,48,71,67,14,0,0,288,0,0,3,3,3,4,0,0,0,17,3,3,5,4,9,6,0,0,0,35
101031015,46,36,86,143,213,185,90,38,3,831,3,3,7,17,21,10,23,4,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,18,0,0,0,3,6,3,0,0,0,12,0,0,0,3,3,3,0,0,0,14,0,3,3,0,4,0,0,0,0,15,14,4,8,7,26,19,3,0,0,91,20,12,9,6,15,12,9,0,0,74,0,0,3,5,3,8,0,0,0,12,0,0,0,0,7,0,0,0,0,10,0,0,0,3,3,3,0,0,0,11,0,0,4,0,5,4,0,0,0,12,0,0,7,15,9,9,3,0,0,34,0,0,0,4,6,8,4,0,0,29,0,0,11,27,19,18,4,0,0,80,0,5,9,22,30,16,7,0,0,89,3,3,10,12,27,37,3,0,0,99,0,0,0,0,0,3,0,0,0,9,0,0,3,3,3,4,0,0,0,18
101031016,96,212,422,428,447,352,111,5,5,2093,3,4,6,4,14,20,9,3,0,67,0,0,0,3,0,0,0,0,0,3,5,0,5,11,10,0,0,0,0,31,0,0,3,4,5,0,0,0,0,8,0,0,5,9,3,9,0,0,0,28,0,0,3,8,9,6,0,0,0,27,16,15,29,29,44,26,8,0,0,166,32,67,112,79,67,43,14,0,0,419,3,0,8,9,16,5,3,0,0,39,3,4,0,3,7,0,0,0,0,11,0,0,13,4,3,3,0,0,0,27,7,5,4,12,8,13,3,0,0,56,0,3,5,27,19,12,3,0,0,73,0,6,19,20,28,15,7,0,0,91,0,0,20,33,37,23,7,0,0,114,5,8,33,57,62,33,4,0,0,203,3,0,27,36,54,49,3,0,0,181,9,28,42,27,37,13,5,0,0,171,0,4,12,12,10,0,0,0,0,46
101041017,94,97,246,242,266,276,73,15,0,1306,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,7,3,6,3,0,0,0,27,0,0,3,0,6,0,0,0,0,16,48,22,26,38,60,41,7,0,0,243,33,15,44,29,27,26,10,0,0,184,0,0,0,3,10,0,0,0,0,13,0,0,0,0,5,3,0,0,0,6,0,0,0,3,7,4,0,0,0,13,0,0,9,5,9,6,3,0,0,31,3,0,6,11,9,7,3,0,0,45,0,0,7,18,15,7,6,0,0,59,0,3,12,22,28,18,4,0,0,84,3,0,18,35,23,30,0,3,0,117,4,15,41,50,58,92,9,4,0,270,0,0,3,3,4,4,0,0,0,10,4,10,12,9,15,7,0,0,0,54
101041018,84,100,202,257,330,299,99,10,3,1383,0,0,0,0,4,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,4,12,9,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,4,5,0,0,31,0,0,0,3,5,5,3,0,0,10,42,24,31,46,37,48,12,3,0,242,37,15,26,29,43,31,3,0,0,179,0,0,0,3,6,3,3,0,0,16,3,3,0,3,3,3,0,0,0,13,3,3,7,5,4,6,0,0,0,22,0,4,5,9,8,11,4,0,0,38,0,7,8,15,18,9,3,0,0,57,0,4,11,11,17,19,3,0,0,61,0,3,9,25,38,17,3,0,0,107,4,4,29,40,39,46,13,0,0,166,4,16,30,68,104,109,13,0,0,352,0,0,4,4,4,3,0,0,0,22,6,0,8,18,15,18,4,0,0,62
