SA3_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
10102,36,110,86,110,203,228,138,164,17,1095,37,101,65,91,189,203,72,152,251,1153,1219,2664,2155,2941,6439,6196,3314,4579,527,30027
10103,7,33,17,24,47,70,30,65,8,298,18,31,21,20,38,38,32,43,78,317,335,977,861,1125,1602,1413,900,2009,212,9436
10104,23,158,105,123,166,172,77,147,15,991,44,131,84,97,120,122,44,106,246,990,1191,3943,3152,3894,4560,3708,1887,3311,547,26195
10105,11,70,49,64,140,113,53,104,8,610,31,51,32,40,85,87,33,81,122,574,603,1570,1558,1869,3210,2572,1227,2503,312,15408
10106,20,85,37,65,119,116,66,85,3,596,27,75,49,52,87,87,37,87,156,663,665,1781,1512,1862,2872,2777,1452,2959,380,16274
10201,84,435,348,345,598,550,274,373,39,3039,108,306,226,229,461,545,179,360,579,2984,2683,9307,8343,8722,13535,14351,6270,9973,1269,74452
10202,70,331,272,341,594,543,271,375,24,2827,82,275,248,200,524,498,162,304,559,2852,2397,7588,7170,8089,13107,11953,5424,8171,1246,65144
10301,17,104,65,69,147,126,70,131,4,735,40,81,50,53,129,96,52,107,173,791,806,2479,1960,2179,4147,3409,1776,3246,408,20409
10302,18,96,79,80,143,188,90,152,7,852,45,72,52,66,113,133,65,123,260,933,874,2367,2074,2518,3393,3549,2081,4729,594,22183
10303,15,96,78,83,125,142,61,165,8,773,30,70,46,46,86,92,22,84,134,618,725,2070,1900,2141,3063,2805,1685,3209,365,17966
10304,27,116,96,87,188,176,134,209,8,1039,34,84,47,62,130,133,64,110,213,880,980,2722,2401,2813,4679,4410,2554,4682,481,25729
10401,27,92,53,99,148,131,47,118,8,725,42,93,48,48,95,74,29,60,169,667,739,2351,2062,2525,3232,2406,1285,2432,387,17415
10402,32,201,121,158,263,232,119,181,15,1316,49,151,137,127,200,173,69,118,285,1309,1258,4868,3997,5118,6584,5138,2555,4510,637,34661
10501,9,20,24,28,54,71,19,47,0,275,19,17,19,27,43,37,23,53,138,380,351,747,694,930,1421,1436,796,2544,286,9203
10502,15,40,32,37,65,56,30,38,3,312,17,24,13,16,42,24,20,37,91,284,357,815,643,876,1552,1236,616,1537,204,7839
