SA4_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
101,37673,21228,20796,24064,29666,30159,24196,12303,4959,205030,63,51,47,36,33,47,47,31,13,371,2225,2114,2594,2415,2323,2575,1750,559,212,16762,127,162,229,193,222,370,479,303,61,2131,499,358,355,461,439,335,222,36,3,2702,28,62,80,41,57,58,59,14,3,405,30,31,64,43,37,54,29,5,0,304,10,23,13,17,28,44,56,11,0,199,8,10,13,3,10,18,9,0,0,69,247,322,333,279,261,363,303,110,28,2235,0,0,0,0,0,0,0,0,0,0,3175,3094,3668,3449,3367,3813,2911,1034,304,24812,3233,3145,3710,3482,3398,3861,2963,1066,317,25182,40908,24372,24511,27540,33062,34020,27157,13371,5276,230210
102,58947,36046,33283,37760,41689,40046,34132,20552,9767,312210,57,64,37,37,58,49,49,35,20,406,1158,1596,1572,1092,1083,1178,989,583,384,9627,33,29,39,44,50,58,69,16,0,342,50,42,64,73,83,83,59,23,3,479,15,7,15,18,12,14,28,3,0,115,6,10,19,26,28,33,11,5,0,146,3,6,4,3,11,12,7,9,3,55,3,4,3,5,11,0,6,0,0,34,30,18,24,22,12,23,10,3,0,141,0,0,0,0,0,0,4,0,0,8,1304,1708,1749,1274,1296,1405,1184,640,388,10948,1361,1771,1784,1311,1350,1452,1232,676,412,11351,60304,37815,35066,39071,43039,41497,35361,21224,10184,323565
103,39770,22522,21661,22441,25620,24967,20664,11755,4831,194224,76,86,51,40,48,50,38,27,3,427,866,1974,1293,986,1095,1104,785,410,184,8712,19,40,60,42,53,106,151,35,15,533,29,49,66,74,82,100,96,10,3,513,5,6,14,17,14,32,49,7,0,141,3,5,23,24,12,17,25,3,0,112,9,0,6,3,8,15,16,12,0,71,3,13,10,3,3,3,0,4,0,38,9,51,31,15,15,25,23,3,0,171,0,0,0,0,0,0,0,0,0,0,951,2148,1503,1164,1286,1407,1145,480,193,10275,1022,2234,1553,1208,1334,1460,1181,514,202,10707,40795,24756,23209,23650,26953,26426,21847,12264,5034,204936
104,23196,13089,11907,13920,17141,19782,16304,9195,3854,128397,34,41,33,37,26,22,32,26,7,257,623,866,768,576,801,1145,1234,538,181,6722,40,35,75,50,58,299,768,279,32,1631,137,150,205,161,178,324,282,78,18,1526,5,3,7,7,25,60,97,29,6,238,5,11,25,15,18,25,27,10,0,131,9,0,3,6,13,16,67,13,3,138,0,9,3,7,5,4,3,0,0,31,5,5,3,4,3,45,86,30,3,190,0,0,0,0,0,8,0,0,0,10,825,1073,1098,824,1101,1921,2554,985,247,10622,866,1113,1129,858,1128,1944,2582,1008,252,10883,24060,14207,13034,14783,18273,21728,18888,10203,4109,139279
105,21803,11590,12900,11831,13839,14157,10834,6305,2552,105799,65,47,39,36,33,48,33,30,8,339,650,1051,1027,732,939,1077,881,406,134,6898,41,39,87,69,116,306,454,119,7,1235,62,56,94,54,109,142,138,10,3,669,14,32,49,46,70,108,206,32,5,563,8,6,10,29,16,34,73,0,0,173,0,0,0,5,12,20,40,6,0,88,0,0,5,4,7,4,0,0,0,20,4,18,8,9,24,24,11,6,0,104,0,0,0,0,0,0,0,0,0,0,776,1202,1279,944,1294,1712,1805,588,151,9750,839,1242,1316,978,1332,1761,1837,620,165,10088,22640,12834,14216,12806,15169,15915,12674,6919,2712,115890
106,51840,29485,29662,30975,33063,31386,25250,12933,4959,249550,65,68,55,46,36,48,35,31,8,390,1063,1646,1600,1042,1141,1325,1026,529,222,9602,22,54,57,35,57,100,159,56,7,537,42,138,156,97,164,145,117,22,6,889,0,18,16,4,19,44,42,11,0,155,11,21,31,13,14,16,28,5,3,142,4,12,6,3,8,33,14,4,0,76,0,14,13,11,0,4,0,0,0,48,9,14,21,21,17,25,16,12,0,139,0,0,0,0,0,0,0,0,0,0,1156,1911,1899,1232,1428,1696,1393,635,239,11586,1226,1982,1957,1273,1464,1745,1431,666,243,11976,53062,31467,31618,32246,34518,33132,26675,13599,5205,261534
107,52445,37855,33858,35322,36946,34208,26190,16187,6927,279920,44,56,42,33,30,49,36,30,22,354,982,1751,1546,975,938,913,754,534,346,8731,18,38,83,34,45,54,54,20,4,349,11,37,64,40,46,67,41,20,0,326,3,3,8,16,12,13,11,3,0,70,9,7,19,24,18,19,15,3,0,108,0,3,5,5,9,17,15,10,0,61,0,10,8,4,0,3,0,0,0,20,6,34,34,16,27,22,14,8,0,166,0,0,0,0,0,0,0,0,0,0,1025,1890,1765,1107,1087,1107,902,592,357,9832,1067,1943,1805,1141,1118,1155,943,624,376,10186,53511,39803,35667,36465,38066,35359,27127,16811,7301,290110
108,33790,18685,16108,19671,25666,30735,30219,17287,7405,199558,70,70,40,35,49,53,53,37,18,411,807,1173,1144,872,1096,1582,1762,751,313,9497,59,37,57,73,98,307,542,197,31,1404,80,106,122,101,160,216,133,47,18,973,0,5,3,10,10,36,86,30,4,186,3,4,17,10,25,29,13,11,0,123,4,0,3,0,10,52,67,16,0,154,3,10,6,3,8,8,0,0,0,37,13,3,20,11,22,40,69,29,3,217,0,0,0,0,0,0,0,0,0,3,964,1339,1378,1084,1426,2271,2684,1072,362,12581,1031,1408,1414,1112,1475,2320,2734,1111,384,12996,34822,20090,17523,20779,27140,33057,32959,18401,7785,212553
109,20793,12078,11517,12206,13938,15087,12220,7076,3009,107930,32,30,30,20,27,21,27,35,8,234,362,580,482,335,420,507,361,182,98,3326,172,412,448,330,496,555,550,199,43,3206,14,24,43,30,41,69,50,12,0,279,10,14,30,35,39,91,112,37,3,368,9,14,40,18,26,26,26,3,0,153,5,12,7,4,9,21,15,4,0,65,0,3,0,5,3,0,0,0,0,14,3,17,9,10,16,12,7,0,0,78,0,0,0,0,0,0,0,0,0,0,585,1069,1058,756,1035,1281,1119,438,150,7499,617,1100,1088,781,1066,1309,1151,469,162,7734,21418,13169,12610,12987,15002,16396,13371,7548,3164,115664
110,34306,19984,18804,19218,22087,22706,18318,10511,4015,169943,103,92,56,41,51,38,37,24,13,457,942,1911,1272,875,997,1130,1002,493,147,8777,8,51,61,30,52,138,218,77,7,648,127,201,207,178,235,274,239,44,10,1518,4,13,23,8,23,47,62,32,0,221,0,10,3,10,10,26,20,10,3,97,0,4,7,10,9,28,46,14,0,131,9,7,7,4,5,3,0,0,0,32,6,10,14,10,3,14,20,7,0,88,0,0,0,0,0,0,0,0,0,0,1102,2210,1594,1129,1346,1653,1618,680,164,11507,1201,2299,1654,1172,1398,1695,1654,700,183,11963,35513,22285,20459,20394,23487,24403,19974,11205,4193,181906
