SA4_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
101,7532,150,3,3,155,4,7697,223,584,21,3,603,0,831,7,50,18,0,66,0,70,3,0,0,0,0,0,7,234,631,40,3,675,0,905,15,0,0,0,0,17,28,7775,786,39,10,835,23,8637,8507,159,3,0,166,18,8691,234,489,19,0,503,0,743,7,31,8,0,38,0,45,0,3,0,4,6,0,7,236,522,29,3,555,0,791,16,0,0,0,0,23,40,8757,685,33,4,717,50,9524,5032,75,0,3,83,8,5125,129,246,14,0,262,0,392,0,15,6,0,21,0,21,0,0,0,0,3,0,4,132,263,20,0,281,0,414,14,0,0,0,0,14,24,5177,344,19,6,366,22,5561,3110,51,0,0,56,15,3177,57,133,4,0,140,0,201,3,11,0,0,10,0,14,3,0,0,0,4,0,5,64,143,5,4,157,0,217,14,0,0,0,0,5,21,3182,196,5,3,210,14,3413,4121,65,3,3
102,12169,368,0,4,370,25,12568,511,777,18,3,800,0,1317,10,74,36,0,106,0,117,0,0,0,0,3,0,8,526,858,54,3,911,0,1443,24,0,0,0,0,21,44,12720,1222,52,14,1289,48,14054,12786,313,3,0,317,14,13115,482,733,26,3,756,0,1243,16,58,28,0,81,0,94,11,4,0,0,9,0,14,506,794,51,4,851,0,1355,18,5,0,0,5,15,38,13303,1112,59,5,1169,32,14510,7382,155,9,0,160,14,7550,232,369,21,0,391,0,623,3,37,10,0,46,0,48,11,4,0,3,8,0,12,247,405,34,6,442,0,692,11,0,0,0,0,19,32,7638,559,37,6,604,32,8273,4651,105,0,0,104,4,4764,130,217,10,0,223,3,361,9,12,12,0,27,0,28,0,0,0,0,0,0,0,136,234,15,0,248,3,393,9,0,0,0,0,14,22,4797,334,19,3,358,23,5172,6083,111,5,0
103,8573,93,7,3,102,13,8689,147,382,5,0,392,3,542,4,27,16,0,43,0,48,4,0,0,0,0,0,3,155,410,21,4,431,3,596,12,3,0,0,3,15,23,8743,507,24,4,536,28,9305,9051,81,0,0,90,10,9143,159,307,13,3,321,3,482,0,27,21,0,47,0,52,3,0,0,0,4,0,9,162,337,37,3,375,3,545,12,0,0,0,0,24,36,9225,419,39,3,461,39,9726,4912,52,3,0,52,6,4972,75,155,9,3,164,0,243,0,7,19,0,23,0,25,4,0,0,0,0,0,4,76,170,23,3,190,0,273,12,0,0,0,0,24,36,5005,217,24,4,243,33,5279,3090,25,0,0,25,5,3117,59,91,7,0,94,0,157,0,9,3,0,11,0,11,0,0,0,0,0,0,0,62,101,10,0,108,0,169,6,0,0,0,0,8,18,3159,121,10,0,133,15,3310,3844,43,0,0
104,4215,65,0,0,68,13,4298,147,314,21,0,336,0,486,7,27,51,0,72,0,81,0,0,0,3,7,0,6,156,337,70,4,410,0,567,6,3,0,0,3,13,23,4381,409,70,7,482,27,4889,4789,85,0,0,90,14,4893,145,295,12,0,306,0,451,5,24,44,0,62,0,68,0,0,0,3,4,0,3,150,316,54,4,379,0,531,12,0,0,0,0,6,19,4951,404,54,3,463,18,5435,2778,29,0,0,29,4,2815,63,130,14,0,144,0,204,0,14,20,0,29,0,29,0,0,0,4,5,0,5,63,142,30,4,175,0,238,3,0,0,0,0,8,8,2846,175,30,4,211,17,3066,1754,25,0,0,25,8,1789,44,66,3,0,68,0,110,0,8,22,0,30,0,30,0,0,0,0,0,0,0,44,73,22,0,96,0,141,5,0,0,0,0,7,14,1809,103,22,0,122,12,1943,2383,17,0,0
105,4196,41,0,0,41,10,4244,104,239,5,0,242,0,341,0,23,3,0,27,0,25,3,0,0,0,0,0,3,107,260,6,0,271,0,372,11,0,0,0,0,15,21,4309,304,6,0,313,24,4639,4395,27,0,0,27,13,4430,80,197,3,0,204,0,281,0,14,0,0,18,0,18,0,0,0,0,0,0,0,80,216,5,0,224,0,305,13,0,0,0,0,12,30,4487,249,5,0,254,22,4764,2374,15,0,0,15,3,2393,33,85,0,0,82,0,116,0,7,0,0,12,0,12,0,0,0,0,0,0,0,33,89,4,0,92,0,127,10,0,0,0,0,7,15,2420,102,4,0,106,8,2540,1365,19,0,0,19,3,1388,21,49,0,0,55,0,78,0,5,3,0,3,0,3,0,0,0,0,0,0,0,21,54,3,0,61,0,81,7,0,0,0,0,4,12,1398,75,3,0,76,5,1481,1676,13,0,0
106,11065,168,3,0,168,23,11257,235,375,17,0,392,4,628,17,32,11,0,43,0,55,3,0,0,0,0,0,4,253,405,33,0,437,4,690,16,0,0,0,0,18,31,11329,569,30,0,606,49,11985,11678,140,5,0,141,23,11842,227,343,15,0,356,4,593,5,21,16,3,35,0,44,0,4,0,0,3,0,3,237,367,27,6,394,4,637,21,0,0,0,3,28,47,11935,505,33,6,536,53,12527,6422,78,0,0,81,19,6517,91,177,0,0,181,0,276,4,10,7,0,11,0,21,0,0,0,0,0,0,0,100,190,8,3,196,0,294,10,0,0,0,0,14,26,6527,267,7,0,284,32,6842,4207,40,0,0,40,9,4249,61,114,8,0,118,0,184,0,8,0,0,9,0,13,0,0,0,0,0,0,0,66,126,5,0,128,0,198,12,0,0,0,0,9,18,4279,165,5,0,167,18,4465,5347,39,0,3
107,10404,448,17,6,461,12,10875,517,1479,65,9,1552,0,2067,5,176,99,3,282,0,285,5,11,0,8,18,0,18,524,1666,171,21,1848,0,2375,21,3,3,0,5,17,42,10948,2111,183,24,2317,30,13296,10720,400,13,0,408,12,11135,472,1545,51,7,1605,0,2083,4,137,115,0,256,0,260,4,11,0,3,14,0,14,482,1689,165,14,1868,0,2355,15,6,0,0,6,18,37,11212,2096,175,14,2288,25,13525,6267,211,7,0,222,5,6491,221,772,34,4,811,0,1026,3,48,66,0,110,0,116,3,3,0,5,8,0,6,226,821,96,6,923,0,1152,8,3,0,0,3,10,23,6498,1037,103,7,1147,15,7666,3947,109,0,0,110,8,4070,160,434,25,0,463,0,625,0,25,42,0,72,0,72,0,3,0,3,7,0,9,162,465,70,3,542,0,703,8,0,0,0,0,3,11,4126,573,77,0,652,14,4786,5192,166,3,3
108,6104,87,0,4,87,20,6213,164,214,9,0,220,3,389,3,8,13,0,23,0,26,0,0,0,0,0,0,0,167,218,19,0,247,3,411,12,0,0,0,0,16,32,6286,306,22,8,336,38,6657,7181,101,3,3,110,31,7319,142,185,3,0,194,0,336,4,7,12,0,16,0,20,0,0,0,3,3,0,5,151,190,17,3,214,0,364,14,0,0,0,0,20,33,7353,298,13,4,318,49,7715,4242,54,0,0,54,20,4312,87,99,0,0,102,0,187,0,6,4,0,5,0,5,0,0,0,0,0,0,0,88,99,3,0,102,0,197,11,0,0,0,0,12,28,4345,154,3,0,159,31,4536,2783,25,0,3,30,4,2819,58,53,6,0,57,0,116,3,5,4,0,11,0,10,0,0,0,0,0,0,0,61,59,12,0,65,0,122,16,0,0,0,0,3,20,2856,81,12,3,97,11,2963,3701,35,0,0
109,4484,43,0,0,47,15,4548,87,280,15,3,292,0,382,0,41,26,0,64,0,63,0,0,0,0,3,0,3,92,322,35,3,360,0,452,6,0,0,0,0,8,20,4576,367,39,7,409,26,5014,4626,36,0,3,40,12,4678,90,227,15,0,241,0,337,0,31,23,0,52,0,57,0,3,0,0,3,0,3,95,263,36,0,301,0,395,7,0,0,0,0,11,19,4726,294,36,3,338,21,5086,2670,21,0,0,26,8,2702,42,108,5,0,120,0,159,0,3,20,0,24,0,24,0,0,0,0,0,0,0,42,117,24,0,137,0,185,14,0,0,0,0,3,17,2727,135,29,0,165,9,2902,1687,12,0,0,15,0,1700,35,55,3,0,58,0,90,0,3,16,0,23,0,23,0,0,0,0,0,0,0,35,58,16,0,73,0,107,7,0,0,0,0,4,12,1724,72,22,0,89,9,1820,2142,21,0,0
110,6838,72,0,0,72,19,6928,150,331,10,0,349,0,496,5,52,15,0,70,0,71,3,4,0,3,5,3,11,157,388,23,6,422,3,583,18,0,0,0,0,24,49,7011,464,23,6,489,51,7557,7257,88,3,0,91,26,7374,84,312,5,0,316,0,402,7,32,8,0,39,0,46,0,0,0,3,3,0,4,91,341,18,3,361,0,455,25,0,0,0,0,22,40,7373,431,24,3,454,43,7869,4123,49,0,0,51,13,4189,57,132,3,0,142,0,200,0,21,5,0,30,0,29,0,0,0,0,0,0,0,63,155,11,0,167,0,227,13,0,0,0,0,12,24,4203,199,16,0,216,19,4440,2455,31,0,0,31,9,2490,28,68,7,0,73,0,105,0,7,6,0,12,0,11,0,0,0,3,3,0,3,33,77,7,3,85,0,118,8,0,0,0,0,7,13,2496,102,7,3,110,16,2624,3037,39,0,0
