SA4_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
101,0,81,..,362,80,444,3,450,..,52,0,52,0,52,..,27,8,30,0,33,..,108,10,120,3,121,..,79,6,90,0,88,..,43,0,42,0,42,..,145,21,164,5,169,..,159,3,163,0,165,..,78,14,90,3,90,..,243,3,250,3,248,..,50,0,48,0,51,..,528,16,547,4,557,..,201,14,215,5,224,..,37,3,38,0,38,..,134,27,170,4,174,..,29,7,36,0,36,..,80,26,107,0,107,..,883,156,1037,33,1070,..,5788,787,6579,119,6694,..,286,28,316,7455,7768,95256,6076,813,6894,7570,109716,189352,..,..,..,..,189352,..,145,4,152,0,151,..,435,74,505,5,514,..,60,4,65,0,60,..,198,82,280,4,282,..,412,137,543,16,559,..,30,10,36,0,36,..,642,219,864,18,878,..,406,51,454,13,461,..,315,6,322,6,325,..,351,18,364,6,371,..,814,26,836,16,851
102,9,330,..,16,3,25,0,25,..,211,5,215,4,214,..,44,11,57,0,52,..,163,9,174,3,173,..,241,48,281,0,286,..,58,8,65,0,65,..,87,16,101,3,105,..,255,8,260,4,269,..,153,14,164,0,164,..,462,12,480,4,485,..,67,5,71,3,75,..,940,41,977,15,992,..,727,73,796,10,807,..,66,12,72,0,72,..,310,69,382,3,379,..,44,10,52,0,52,..,140,48,188,0,188,..,1564,259,1820,43,1858,..,8921,1354,10273,135,10407,..,514,44,558,9180,9738,148827,9432,1395,10831,9317,168972,289774,..,..,..,..,289774,..,410,3,413,3,418,..,503,47,553,6,552,..,61,3,63,0,63,..,560,252,811,5,816,..,1061,436,1496,17,1514,..,48,24,72,0,72,..,1676,706,2382,22,2402,..,224,11,238,5,249,..,426,4,432,9,434,..,620,35,648,7,656,..,859,34,895,5,903
103,0,55,..,13,0,12,0,11,..,21,0,21,0,21,..,36,7,36,0,36,..,52,3,56,0,56,..,64,11,75,0,75,..,14,0,14,0,14,..,41,3,45,0,45,..,116,3,125,0,121,..,38,4,47,0,47,..,176,7,179,4,185,..,37,0,35,3,35,..,367,13,383,9,391,..,108,8,119,0,120,..,46,5,60,0,56,..,93,27,119,0,118,..,11,4,16,0,16,..,74,32,100,0,103,..,672,116,785,25,813,..,3215,511,3726,58,3781,..,247,13,265,8144,8403,91275,3464,523,3989,8199,103464,180602,..,..,..,..,180602,..,212,5,213,0,213,..,278,42,319,5,322,..,139,5,144,4,144,..,206,126,330,7,340,..,290,106,397,3,401,..,24,14,35,0,33,..,523,248,765,12,781,..,102,19,121,3,126,..,122,0,126,3,130,..,142,11,150,4,151,..,308,15,325,3,328
104,0,22,..,8,0,5,0,5,..,12,0,12,0,12,..,6,14,26,0,26,..,35,0,40,0,40,..,39,0,39,0,39,..,9,0,14,0,13,..,10,0,10,0,10,..,81,3,88,0,84,..,38,5,39,0,39,..,124,5,130,3,133,..,43,0,43,0,43,..,287,10,295,3,294,..,143,10,159,3,161,..,14,0,11,0,11,..,89,12,105,0,105,..,11,0,11,0,11,..,40,18,59,3,58,..,605,283,885,22,909,..,3013,636,3648,83,3727,..,216,11,231,4661,4889,61086,3229,649,3874,4745,69704,119455,..,..,..,..,119455,..,92,3,90,0,90,..,143,19,167,0,165,..,127,0,125,5,127,..,113,62,175,6,180,..,181,109,292,6,301,..,21,8,34,3,33,..,322,176,496,14,511,..,21,0,28,0,25,..,198,3,199,3,203,..,221,13,232,5,242,..,452,5,460,12,476
105,0,30,..,8,0,8,0,8,..,16,0,14,0,14,..,11,0,11,0,11,..,15,0,15,0,15,..,15,0,15,0,15,..,3,0,3,0,3,..,26,4,31,0,31,..,58,3,61,3,61,..,15,4,19,0,19,..,118,9,119,0,127,..,26,0,26,0,26,..,214,16,230,7,233,..,36,3,44,0,44,..,28,0,28,0,28,..,34,9,48,0,48,..,3,0,3,0,3,..,47,0,51,0,52,..,354,55,408,7,415,..,1812,222,2038,36,2075,..,169,12,183,5161,5339,49888,1982,240,2219,5196,57300,98454,..,..,..,..,98454,..,96,0,96,0,99,..,108,10,120,3,120,..,144,10,160,17,172,..,93,49,141,0,141,..,165,46,213,4,213,..,4,3,8,0,8,..,265,96,362,4,367,..,45,8,51,0,51,..,41,0,45,0,45,..,63,3,65,0,64,..,160,3,163,4,161
106,3,56,..,19,0,19,0,19,..,25,0,30,0,30,..,3,3,8,0,8,..,99,12,109,0,111,..,50,9,57,0,57,..,36,0,40,0,40,..,27,4,25,3,28,..,172,3,172,3,177,..,43,3,48,0,48,..,278,8,284,8,295,..,48,0,48,0,48,..,545,13,556,12,567,..,154,18,176,4,179,..,24,0,29,0,29,..,157,41,198,3,203,..,18,4,20,0,20,..,68,42,106,0,107,..,688,140,827,28,856,..,3723,549,4274,81,4350,..,267,13,281,8282,8563,119871,3992,561,4556,8356,132782,236895,..,..,..,..,236895,..,372,10,383,4,388,..,181,18,204,10,210,..,83,3,86,3,89,..,259,107,365,3,369,..,312,146,464,9,466,..,17,6,26,0,24,..,592,255,852,12,860,..,119,11,122,4,133,..,179,4,184,0,184,..,236,16,254,0,254,..,426,12,440,9,446
107,0,197,..,2306,796,3098,38,3134,..,282,19,302,6,306,..,178,33,206,3,211,..,255,39,293,7,295,..,105,15,122,0,125,..,47,0,47,0,47,..,682,189,870,10,882,..,199,6,207,3,211,..,145,21,165,0,163,..,402,23,424,5,428,..,97,3,106,0,106,..,845,52,895,16,911,..,1074,206,1281,9,1289,..,63,3,68,0,68,..,357,79,433,0,433,..,478,110,589,5,598,..,483,198,681,0,684,..,2273,620,2896,61,2961,..,17449,4102,21553,299,21851,..,362,74,433,6923,7356,119797,17813,4169,21989,7226,149005,236409,..,..,..,..,236409,..,196,0,195,3,200,..,2402,662,3063,23,3094,..,39,0,39,3,43,..,573,209,783,3,788,..,2537,714,3246,15,3266,..,278,120,396,0,396,..,3388,1044,4433,20,4453,..,827,144,964,17,982,..,435,6,444,12,451,..,432,21,451,4,459,..,1059,46,1101,23,1122
108,0,46,..,3,0,3,0,3,..,35,0,30,0,30,..,8,0,6,0,6,..,43,4,42,0,45,..,38,3,42,0,42,..,4,0,4,0,4,..,21,4,25,0,25,..,109,0,117,0,114,..,43,0,45,0,45,..,167,3,165,3,172,..,20,0,20,0,20,..,343,6,350,3,351,..,156,6,164,0,163,..,6,0,14,0,14,..,115,24,143,5,148,..,15,0,10,0,10,..,51,14,66,5,69,..,472,69,539,26,567,..,2741,300,3044,66,3112,..,299,9,307,7267,7569,98220,3040,314,3354,7335,108901,191140,..,..,..,..,191140,..,123,0,123,0,128,..,142,8,148,6,151,..,138,14,153,15,164,..,147,71,215,7,219,..,207,95,300,6,300,..,20,6,26,0,30,..,372,169,537,12,552,..,55,8,61,0,66,..,251,0,256,0,253,..,246,9,257,3,265,..,482,8,497,10,505
109,0,28,..,8,0,8,0,8,..,3,0,3,0,3,..,6,3,16,0,16,..,14,5,19,0,18,..,15,0,22,0,22,..,7,0,10,0,10,..,28,4,32,0,32,..,91,3,98,0,99,..,19,0,19,0,19,..,115,3,121,0,122,..,21,3,20,0,20,..,244,5,250,3,254,..,55,8,61,0,61,..,36,0,37,0,37,..,74,12,83,0,88,..,0,0,4,0,4,..,19,7,25,3,27,..,398,80,474,11,485,..,2229,454,2683,40,2721,..,148,9,160,4448,4606,51413,2383,462,2844,4481,58743,101332,..,..,..,..,101332,..,92,0,89,0,89,..,95,13,116,3,116,..,89,3,89,4,95,..,93,32,121,3,128,..,169,118,287,0,291,..,4,3,7,0,7,..,272,147,424,0,423,..,53,7,61,0,61,..,129,0,127,4,132,..,84,4,90,0,86,..,193,12,203,3,207
110,0,70,..,0,0,0,0,0,..,5,0,5,3,7,..,23,5,25,0,25,..,11,0,15,0,15,..,34,0,37,0,37,..,7,0,7,0,7,..,13,9,24,0,24,..,131,3,134,3,136,..,28,3,30,0,30,..,258,10,269,10,280,..,25,3,26,0,26,..,447,19,467,11,475,..,64,6,73,0,70,..,32,4,33,0,33,..,68,13,81,0,82,..,6,0,6,0,6,..,68,30,101,0,102,..,499,82,575,18,597,..,2833,456,3293,57,3344,..,246,19,265,7506,7770,81184,3080,475,3558,7558,92299,159220,..,..,..,..,159220,..,210,3,214,0,217,..,308,81,386,3,385,..,96,9,107,0,107,..,173,68,240,3,241,..,447,247,691,9,704,..,30,16,50,0,50,..,649,337,987,14,1002,..,14,0,18,0,18,..,107,0,107,4,113,..,151,4,159,3,165,..,301,11,306,0,309
