SA4_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
101,3995,1210,5265,31778,12865,1327,45973,115831,18273,180076
102,7895,2288,10278,52139,22558,2534,77236,168866,21210,267307
103,4030,960,5075,31424,12875,1424,45727,100616,18910,165251
104,3106,915,4052,19149,8207,981,28333,72940,11147,112427
105,2201,505,2741,16062,6626,677,23368,56309,11475,91150
106,4216,953,5219,43646,18309,2002,63957,127192,19004,210150
107,5981,1251,7332,47226,21714,2205,71140,151898,16691,239730
108,6032,1656,7749,27228,12358,1184,40773,118787,17930,177488
109,2489,684,3208,16960,7124,727,24812,59441,10101,94353
110,3298,884,4248,26413,10417,1146,37980,91435,16515,145922
111,7390,2420,9928,57228,27269,2571,87072,188607,20016,295691
112,6177,1796,8042,34679,14447,1656,50781,126826,20918,198521
113,3072,824,3951,23558,9460,913,33931,77306,13607,124846
114,3533,1017,4588,20305,9588,978,30870,79637,12162,122671
115,3170,765,4003,42915,14583,1271,58769,113057,8952,180785
116,3075,454,3575,62526,17243,1843,81607,162470,18235,262316
117,2639,727,3426,31804,10283,947,43035,208060,34200,285297
118,5042,1157,6342,39636,12467,1121,53224,149206,23860,226282
119,11268,1924,13419,91486,26140,2005,119630,311628,33077,464334
120,5382,666,6153,46623,12702,1232,60555,168073,18440,247072
121,8532,1436,10139,74883,21562,1915,98369,212277,19735,330375
122,5521,1313,6945,47586,15220,1608,64413,125105,13502,203023
123,2317,807,3174,46823,16440,1657,64924,124789,14371,204085
124,3902,605,4571,52553,20341,2285,75182,152122,17491,244791
125,6437,1051,7583,75422,18467,1576,95470,235273,29178,359916
126,4293,566,4930,31326,9237,756,41322,102185,7711,151220
127,4850,603,5545,63369,18436,1459,83263,213408,23898,320571
128,5260,605,5949,38958,15817,1314,56090,111151,9093,176329
197,6,0,10,39,37,0,79,226,76,374
199,49,28,78,847,475,45,1373,6811,3361,11545
