SA4_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
101,671,629,354,225,334,125,45,2386,475,605,386,270,341,88,29,2191,630,677,363,242,288,75,31,2312,7181,8027,4732,2864,3823,793,246,27674,53,63,38,24,28,6,0,205,9010,10003,5868,3615,4813,1091,365,34767,53,73,61,45,65,28,10,340,109,189,128,107,121,11,10,680,70,111,81,63,73,28,3,433,1524,2151,1295,918,1159,206,57,7308,84,78,49,29,34,0,6,273,1840,2602,1616,1159,1451,278,87,9033,10850,12601,7491,4778,6268,1364,453,43805
102,1290,1436,812,535,687,331,159,5241,1340,1501,850,536,715,271,124,5341,1210,1279,698,426,547,213,97,4476,10685,10845,6271,3902,5073,1718,776,39274,75,93,59,43,38,9,3,314,14598,15151,8692,5435,7054,2543,1159,54641,67,192,152,122,174,67,41,814,322,459,316,220,295,99,34,1743,167,285,202,139,205,48,28,1080,2664,3519,2263,1533,2023,518,232,12759,136,128,91,41,53,7,0,459,3359,4586,3022,2054,2755,743,339,16855,17959,19737,11719,7484,9808,3286,1495,71499
103,487,453,263,162,192,61,9,1625,335,453,254,144,180,36,16,1417,378,439,218,164,209,39,15,1462,8427,8795,4784,3017,3753,705,165,29643,47,71,58,25,25,7,0,227,9674,10203,5571,3511,4368,847,202,34378,35,39,40,30,44,14,0,213,97,138,71,65,101,14,6,498,41,60,48,43,62,11,3,275,2141,2562,1556,1013,1271,236,56,8829,112,104,55,46,39,5,0,356,2427,2904,1772,1191,1528,283,63,10174,12103,13110,7346,4701,5899,1131,268,44548
104,440,484,252,148,217,67,17,1623,327,380,213,126,159,35,4,1242,371,350,192,115,170,29,10,1246,3941,4465,2559,1639,2221,405,80,15303,39,29,22,24,15,0,0,129,5118,5712,3242,2054,2775,533,117,19549,50,83,81,60,89,46,18,418,79,158,101,80,108,14,9,540,45,85,73,62,86,15,11,376,1210,1763,1072,720,894,144,43,5851,55,78,47,37,22,5,3,240,1437,2165,1373,949,1197,225,82,7432,6557,7880,4619,3005,3973,754,198,26976
105,277,259,98,71,73,26,4,798,142,133,64,57,58,10,5,478,200,170,74,38,59,6,0,554,4240,4479,2456,1405,1731,254,54,14614,30,35,27,8,4,0,0,109,4900,5074,2715,1584,1930,297,65,16557,11,26,25,9,20,3,0,100,50,56,30,25,27,9,0,200,19,34,28,6,14,0,3,103,1731,1947,1074,714,781,113,28,6391,85,89,44,32,13,3,3,265,1902,2152,1201,789,853,128,30,7056,6798,7225,3909,2374,2784,425,99,23613
106,608,661,347,264,304,108,43,2337,587,665,359,233,312,95,20,2274,631,669,335,246,269,69,43,2262,10691,11155,6127,3961,5056,1281,472,38741,54,87,45,23,28,5,0,247,12573,13235,7212,4727,5970,1561,577,45857,44,67,43,29,47,18,0,248,183,194,131,105,122,23,8,771,64,111,90,73,88,8,11,448,2961,3668,2177,1400,1651,352,137,12345,106,102,62,33,28,3,0,341,3346,4144,2503,1649,1944,412,163,14155,15921,17374,9718,6372,7907,1973,744,60011
107,1542,1618,836,559,846,498,276,6179,1166,1332,752,508,753,347,171,5036,1156,1172,686,429,627,270,128,4472,9871,9904,5671,3445,4502,1758,760,35917,68,90,45,34,24,7,4,277,13805,14118,7986,4985,6754,2881,1343,51870,96,196,163,133,253,119,74,1041,273,348,242,193,300,118,51,1523,97,184,140,116,173,92,46,847,1984,2614,1644,1164,1468,469,199,9544,93,94,62,43,44,16,5,353,2544,3438,2256,1650,2235,816,375,13312,16346,17552,10242,6639,8994,3698,1713,65182
108,276,321,194,130,189,35,12,1147,400,507,272,183,253,48,8,1671,400,470,278,162,231,45,14,1598,5814,6752,3999,2614,3469,611,120,23376,51,49,36,18,18,3,6,171,6931,8101,4773,3108,4160,735,157,27970,10,35,37,29,40,3,0,157,135,189,116,103,109,15,9,670,51,111,91,68,94,16,5,428,2194,2822,1785,1217,1559,229,53,9870,108,122,68,47,33,4,3,392,2501,3279,2092,1462,1838,263,70,11510,9434,11383,6868,4571,5997,1004,229,39481
109,376,333,143,114,113,55,22,1159,202,204,132,65,113,26,6,740,209,222,117,74,92,12,3,732,4403,4573,2647,1644,2093,444,108,15906,22,21,21,15,12,0,0,91,5209,5355,3059,1917,2413,543,139,18634,24,24,14,22,24,13,3,120,69,72,64,41,37,3,8,288,30,29,34,22,19,3,11,149,910,1244,775,535,662,119,29,4277,44,71,39,28,18,3,0,203,1071,1435,933,647,757,144,53,5043,6278,6792,3992,2565,3172,684,188,23672
110,473,422,230,144,205,32,4,1507,257,306,153,81,111,24,8,947,315,264,187,87,130,29,8,1020,6765,7213,4113,2448,3022,478,83,24126,62,70,27,14,14,3,0,192,7880,8282,4707,2777,3481,562,101,27798,32,39,26,24,37,15,3,174,90,104,75,60,61,14,3,405,26,55,39,33,71,17,4,243,2213,2585,1545,1015,1106,145,36,8644,103,122,60,52,38,3,4,382,2463,2903,1746,1179,1317,191,43,9851,10346,11187,6460,3959,4795,753,146,37645
