SA4_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
101,315,3,0,3,313,27,0,343,8777,1024,149,83,10032,117,27,143,10175,501,3,10672,10189,1506,180,93,11975,122,54,180,12146,442,22,12614,1026,150,198,11,1385,12,5,18,1401,56,7,1461,175,22,7,178,384,3,0,3,383,19,7,412,20164,2707,532,364,23771,252,86,334,24106,1018,37,25161,174,24,4,14,218,45,9,49,268,36,0,302,292,61,5,7,360,28,8,37,403,15,0,418,466,85,12,20,579,73,20,87,668,51,0,723,20627,2794,546,387,24346,321,104,429,24774,1070,37,25880,4510,774,158,175,5613,219,44,268,5878,1074,22,6979,51,21,0,13,79,0,0,0,79,4,75,163,25188,3587,699,574,30043,541,152,691,30735,2151,139,33024
102,941,24,8,27,967,124,3,1088,10318,1405,152,79,11948,207,57,264,12212,783,19,13021,18513,1964,250,143,20878,246,66,310,21187,719,18,21928,1544,183,244,21,1987,29,9,37,2024,76,3,2105,219,23,7,201,445,9,0,15,458,26,18,500,30590,3573,647,448,35266,493,131,626,35890,1607,56,37553,336,40,11,11,394,43,12,55,445,44,0,492,917,104,12,15,1054,55,9,65,1117,69,3,1185,1252,144,25,24,1443,106,20,119,1562,110,3,1672,31843,3718,673,474,36704,597,151,743,37449,1720,57,39229,9061,1245,290,233,10829,340,68,406,11243,1532,23,12799,60,15,7,28,108,0,0,0,108,8,99,207,40968,4980,967,731,47645,935,218,1156,48798,3257,182,52232
103,161,3,3,7,162,24,7,194,7480,701,106,67,8350,141,28,167,8510,401,19,8928,11330,1079,135,130,12675,110,22,134,12807,406,14,13228,1025,93,178,24,1326,11,0,11,1337,39,0,1384,155,25,8,187,372,3,0,3,376,20,5,395,19988,1895,431,407,22722,266,46,312,23034,863,38,23940,193,31,0,0,220,54,0,60,280,42,3,324,370,51,16,6,433,40,9,48,482,30,0,514,560,78,16,6,658,96,9,106,759,74,3,841,20547,1974,442,414,23377,360,57,420,23793,940,41,24777,5009,716,165,201,6086,371,64,435,6521,1258,24,7805,28,4,0,19,58,0,0,0,59,8,57,117,25589,2694,613,633,29525,726,123,856,30380,2202,121,32702
104,89,0,0,0,89,25,0,112,3578,596,41,37,4254,72,39,114,4367,325,8,4702,5478,1199,82,98,6861,112,29,140,7001,395,7,7407,438,87,80,0,604,11,3,15,617,36,0,659,94,5,4,50,152,14,0,14,163,19,13,190,9590,1896,208,185,11879,208,76,283,12155,775,26,12956,94,37,0,3,136,71,10,79,220,18,3,235,244,30,14,3,289,51,24,75,363,28,3,395,342,68,12,3,426,120,31,158,585,41,3,629,9932,1965,220,189,12304,328,110,435,12740,816,31,13586,2879,613,89,91,3679,164,38,201,3876,963,14,4859,24,16,0,8,51,3,0,3,50,4,53,105,12835,2593,307,289,16029,491,145,639,16669,1786,99,18557
105,50,0,0,0,52,10,4,62,3991,330,44,20,4389,60,9,67,4456,249,6,4710,4714,549,73,65,5403,80,24,106,5508,207,3,5725,504,59,67,13,645,13,3,16,661,8,0,676,70,4,3,78,159,9,4,7,171,19,0,186,9278,943,193,186,10592,155,47,204,10799,486,16,11301,91,26,3,0,121,41,9,50,168,16,0,190,113,15,9,8,141,14,11,21,160,15,0,174,204,36,9,12,261,55,16,68,334,35,0,365,9484,979,203,193,10855,212,58,269,11127,522,16,11661,2286,276,83,87,2731,218,23,243,2977,777,19,3770,41,0,3,0,49,0,0,0,49,0,54,103,11813,1258,287,277,13638,431,88,521,14156,1295,88,15540
106,466,11,3,17,481,62,0,549,8600,848,161,59,9669,199,50,247,9919,528,3,10446,14702,1622,258,130,16709,230,33,260,16973,537,11,17527,1224,108,202,11,1547,17,3,19,1559,58,0,1618,167,12,3,177,369,16,0,16,382,20,12,413,24695,2587,625,389,28292,451,85,537,28829,1145,27,30008,276,68,12,11,366,79,7,77,444,49,0,491,795,104,7,25,934,38,15,54,988,72,10,1067,1070,168,19,39,1293,117,15,134,1429,123,10,1565,25765,2754,643,425,29592,567,105,674,30263,1269,38,31571,8078,1118,266,225,9682,462,86,550,10229,1472,19,11721,79,4,0,21,102,0,0,4,107,11,94,211,33923,3880,907,667,39379,1029,196,1224,40601,2747,149,43499
107,1067,18,14,33,1093,180,3,1281,9754,1232,155,59,11201,177,79,255,11456,692,3,12153,17942,1905,255,147,20256,217,54,272,20526,677,21,21219,1599,169,243,27,2043,23,3,29,2065,60,3,2128,130,5,11,139,283,8,0,8,293,21,9,320,29429,3311,668,377,33779,427,133,562,34339,1445,36,35827,292,55,6,12,366,37,12,47,414,53,0,462,805,93,17,15,932,65,18,80,1012,51,3,1066,1098,153,26,23,1294,103,28,132,1427,103,3,1528,30522,3461,687,401,35078,530,162,690,35768,1546,40,37353,7985,1254,204,231,9677,289,126,417,10094,2053,23,12167,52,15,0,24,90,3,0,3,92,9,84,185,38563,4735,893,651,44845,821,288,1105,45953,3603,152,49704
108,115,3,0,7,118,23,0,144,5287,907,99,50,6345,104,38,139,6489,512,5,7005,7805,1535,172,86,9597,193,48,237,9838,648,16,10501,495,127,112,7,747,15,3,15,759,27,0,788,100,18,3,133,257,3,0,3,257,19,5,283,13687,2587,388,274,16941,313,88,400,17346,1201,30,18579,106,49,6,9,173,60,0,67,235,67,0,302,324,55,9,9,390,45,9,54,443,33,0,474,432,106,11,21,563,105,11,113,684,96,0,780,14121,2693,401,294,17505,419,95,517,18021,1306,30,19359,3816,966,169,176,5121,339,72,413,5531,1572,27,7133,48,5,0,22,72,0,0,0,77,8,74,156,17986,3668,564,485,22698,765,169,936,23630,2886,136,26649
109,119,0,0,0,120,18,0,132,3810,351,74,39,4278,29,15,45,4318,220,8,4545,6648,670,113,64,7501,76,11,86,7589,217,9,7814,568,67,98,3,733,0,0,0,733,8,0,738,72,14,4,73,159,0,0,0,159,19,4,182,11103,1097,285,173,12663,107,30,131,12794,462,19,13281,64,21,0,3,88,29,0,31,114,16,0,132,189,21,6,4,220,13,7,21,241,10,0,255,255,43,5,12,309,38,6,47,362,24,0,385,11352,1140,295,184,12976,148,39,182,13155,489,19,13666,2652,409,62,83,3209,130,24,150,3362,601,10,3976,34,4,0,14,50,0,0,0,50,8,52,111,14037,1556,354,282,16232,279,59,337,16567,1096,87,17751
110,82,0,0,0,84,13,0,102,6396,652,71,46,7161,87,19,104,7270,332,4,7609,8443,943,144,96,9621,107,27,136,9761,297,21,10074,739,84,140,7,968,13,0,13,980,19,0,999,141,10,7,153,312,8,0,8,316,32,6,351,15717,1684,354,302,18066,212,50,257,18324,679,27,19038,132,36,0,10,179,74,10,84,259,45,0,306,242,47,4,12,300,41,6,43,343,43,3,392,374,83,5,24,480,111,9,125,610,89,3,700,16095,1769,362,323,18550,330,57,387,18937,769,28,19733,4042,612,120,134,4904,235,63,293,5198,1267,20,6491,48,8,0,9,67,0,0,0,67,11,74,150,20183,2386,481,470,23523,560,118,681,24202,2052,128,26379
