SA4_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
101,15560,16298,13869,11455,13513,8856,5624,10321,1839,97339
102,15643,25902,21602,17315,19083,14852,8354,14463,2383,139593
103,13073,14014,12803,9609,10006,7681,7499,10131,1468,86287
104,6279,9300,7189,6679,6504,5475,3200,6575,880,52076
105,7964,7271,6232,5931,5210,4091,3641,5519,860,46707
106,11715,15517,19692,12507,13430,10649,12637,13055,1771,110966
107,13274,27129,19665,15952,17128,11985,8621,11586,1987,127331
108,8759,12837,10790,9745,8787,8128,4608,9221,1279,74160
109,8295,7941,6996,5535,5890,4703,3666,6272,812,50100
110,12886,12417,9848,7934,8550,6801,5784,10442,1331,75985
111,15977,37341,23461,19068,21969,15529,9786,15001,2316,160447
112,12018,18471,13748,12312,11236,10029,5242,11775,1599,96427
113,11057,10860,9865,7622,7894,6293,5015,9765,1084,69453
114,7193,10278,9517,7254,6456,5900,3149,6196,944,56899
115,19901,31149,13486,9152,18484,10768,4198,6207,1971,115320
116,14711,29119,19312,15108,24989,14088,16700,15493,3161,152682
117,27760,62097,15363,17541,20961,13588,4195,9832,3123,174465
118,24777,51162,10240,11933,16611,10901,2685,5209,2360,135879
119,27082,52698,31953,25329,37624,25057,17558,24573,5537,247411
120,24054,51289,13455,12430,20626,12826,4161,8423,2867,150117
121,39799,80982,13297,15372,26931,15888,2999,6901,3551,205722
122,24082,37083,14705,12242,17481,11805,3554,6623,2109,129685
123,12406,19511,18205,13319,19420,11751,12653,12213,2332,121806
124,15763,26653,21611,16136,24125,13342,13424,13661,2611,147331
125,20323,46703,25067,17472,28483,16959,13397,18304,4746,191445
126,13465,31318,7978,7189,13095,7516,2188,4309,1538,88601
127,15094,25114,23626,15866,24458,15057,17630,19192,4174,160218
128,16897,27016,15142,11795,18768,10667,4323,6054,1774,112434
197,3,22,18,16,21,17,10,18,5,130
199,274,649,480,430,261,224,339,582,103,3331
