SED_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED10001,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,7,5,34,34,23,0,0,0,0,0,97,0,3,0,14,13,24,48,30,12,141,7,25,24,83,79,77,53,21,3,369,0,0,0,0,0,0,8,4,0,13,0,4,0,11,0,0,0,0,0,21,0,4,0,9,9,0,0,0,0,16,3,13,23,95,39,39,20,4,0,239,0,0,0,4,4,4,4,3,7,25,0,0,0,12,12,27,38,25,8,120,0,0,0,3,6,4,0,0,0,13,0,6,11,25,17,4,11,0,4,82,0,0,0,0,0,3,7,7,3,25,3,3,9,30,6,4,0,0,0,61,0,0,0,0,0,0,0,0,0,6,0,3,9,34,15,6,7,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,22,12,13,7,0,0,77
SED10002,0,0,3,19,7,6,3,3,0,41,0,12,20,104,58,36,13,13,3,257,4,25,418,962,23,20,5,0,0,1453,0,0,0,10,0,3,3,0,0,17,8,52,72,173,70,53,21,6,0,462,0,0,0,3,3,0,0,0,0,9,26,139,138,460,98,37,9,0,0,900,0,0,0,3,0,3,7,0,0,14,7,25,65,429,191,168,88,26,10,1006,0,0,3,17,9,15,9,9,9,70,0,0,0,8,0,11,10,6,3,39,0,10,21,46,15,11,8,6,0,119,0,5,8,55,19,10,11,0,0,112,0,0,0,4,10,9,8,7,0,39,0,16,44,257,137,105,69,26,7,664,4,4,43,248,17,20,6,0,0,347,0,6,25,174,19,18,0,0,0,251,0,0,0,4,3,11,12,5,0,33,4,9,41,323,369,216,134,74,17,1186,3,15,14,24,3,3,0,0,0,68
SED10003,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,4,3,28,27,36,39,25,11,171,3,47,47,191,145,153,100,33,9,730,0,0,0,3,3,3,6,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,16,23,15,3,0,0,65,0,10,7,45,21,31,15,8,0,128,0,0,0,12,3,3,0,3,4,29,0,3,5,29,23,29,34,19,10,138,3,0,0,7,7,3,0,0,0,28,0,11,12,56,42,31,26,20,8,205,0,0,0,0,0,0,3,0,0,6,0,0,0,3,3,7,3,3,0,21,0,0,0,4,3,0,0,0,0,10,0,7,8,51,24,9,8,0,0,103,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,7,14,19,81,61,59,30,9,0,269
SED10004,0,0,0,9,6,9,3,3,0,26,0,0,17,16,4,0,5,6,0,43,0,0,4,16,0,0,0,0,0,23,3,3,9,44,17,11,17,3,0,105,10,25,90,461,238,224,97,33,7,1180,0,0,0,17,8,10,4,0,0,45,0,3,0,5,0,0,0,0,0,10,0,0,3,20,5,11,0,0,0,41,3,5,20,194,30,35,27,0,4,321,0,0,3,65,7,28,8,3,3,119,0,4,7,79,49,48,36,7,3,239,0,11,47,88,20,18,5,0,0,200,0,5,18,119,44,33,20,4,0,254,0,0,0,6,11,13,8,7,0,41,0,0,0,48,15,17,11,5,0,94,0,3,18,99,10,12,3,3,0,153,3,11,43,380,42,19,6,5,0,497,0,0,0,11,4,3,3,4,0,30,0,0,4,32,13,10,7,9,3,81,16,36,50,206,62,39,37,8,0,475
SED10005,0,0,3,11,14,19,9,14,3,79,0,5,6,47,9,21,9,3,0,100,0,3,5,43,4,0,0,0,0,57,0,0,4,4,3,3,0,6,15,30,17,106,108,199,71,41,19,6,0,565,0,0,0,0,3,0,3,0,0,12,30,61,54,335,36,26,0,0,0,551,0,0,0,0,0,3,0,0,0,15,3,13,38,187,116,81,36,8,3,486,0,0,0,16,12,21,29,29,42,143,0,0,0,3,4,14,10,11,7,52,0,3,0,11,3,5,3,4,0,39,0,3,4,11,6,5,7,3,0,42,0,0,0,3,3,10,9,12,0,42,0,0,6,18,12,9,11,5,0,65,0,0,6,37,3,11,3,0,0,57,3,11,21,91,25,25,4,3,0,176,0,3,10,68,91,112,104,59,12,457,0,0,7,41,46,18,14,12,0,140,0,13,10,19,7,7,0,0,0,53
SED10006,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,0,21,0,0,0,0,0,25,0,0,0,3,0,18,22,5,0,48,3,6,15,81,60,55,29,15,3,267,0,0,0,3,0,3,3,0,0,8,0,3,0,14,0,0,0,0,0,20,0,4,3,12,3,0,0,0,0,24,3,16,13,94,40,32,20,4,0,214,0,0,0,4,0,0,3,0,0,10,0,4,3,5,10,14,17,8,0,57,0,0,0,3,0,3,0,0,0,11,0,7,15,33,11,16,7,3,0,84,0,0,0,0,4,3,6,7,0,14,0,0,0,4,4,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,16,6,3,0,0,0,33,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,15,14,3,3,66
SED10007,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,6,3,18,0,0,0,0,0,28,0,0,0,4,6,22,39,26,8,108,0,21,29,114,89,76,57,14,7,408,0,0,0,3,3,6,9,4,0,27,0,0,0,9,3,0,0,0,0,13,0,0,0,4,9,5,0,0,0,23,3,11,4,65,44,40,9,0,0,181,0,0,0,4,0,8,3,7,4,28,3,3,7,12,30,36,37,22,8,146,0,0,0,7,5,3,0,3,0,21,0,3,8,26,13,10,12,0,0,76,0,0,0,0,3,4,8,0,0,19,0,6,3,15,9,6,3,0,0,42,0,0,0,0,0,0,0,0,0,5,0,6,8,30,11,3,0,0,0,60,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,10,3,20,9,16,13,3,0,67
SED10008,0,0,0,7,10,12,9,3,0,46,0,4,0,26,14,17,13,0,0,65,0,0,13,33,4,0,0,0,0,48,0,0,3,14,11,7,29,11,4,73,5,44,68,129,101,111,52,18,0,526,0,0,0,9,8,6,14,3,0,36,3,17,12,70,20,20,4,0,3,157,0,0,3,11,4,6,0,0,0,31,3,20,23,170,107,130,76,15,12,545,0,3,4,41,22,37,13,12,4,134,0,3,3,10,17,23,34,14,8,118,13,17,26,35,36,28,27,9,0,183,6,36,60,154,77,59,33,15,0,441,0,0,0,3,10,7,3,3,3,32,8,37,39,243,181,167,59,25,14,774,3,3,9,67,28,36,23,4,0,167,0,0,9,75,17,13,9,0,3,132,0,0,0,3,0,5,0,0,0,16,0,0,0,17,25,9,5,10,0,66,10,42,122,79,25,10,7,0,0,294
SED10009,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,13,43,78,48,14,192,3,6,9,66,94,132,69,27,12,410,0,0,0,0,3,0,10,8,3,21,0,0,0,0,0,0,0,0,0,5,0,0,0,9,3,5,3,0,0,24,4,5,3,62,35,47,18,9,0,182,0,0,0,11,0,5,4,3,4,28,0,0,3,5,18,44,69,46,23,200,0,3,0,3,0,4,3,0,0,14,0,0,0,19,9,28,26,12,4,98,0,0,0,0,6,4,4,6,3,26,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,5,29,12,11,4,0,0,65,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,0,0,0,4,0,7,6,28,13,43,32,5,0,131
SED10010,0,0,3,14,9,20,11,10,7,77,0,9,15,77,33,28,17,3,0,180,0,25,51,162,15,7,0,4,0,264,0,0,0,4,3,7,26,28,6,78,16,96,185,345,140,102,35,10,3,934,0,0,0,4,8,7,7,3,0,30,10,42,54,162,41,30,10,6,0,345,0,0,4,7,9,5,3,0,0,29,28,156,311,1240,660,620,325,78,59,3485,0,0,3,21,15,55,24,44,83,243,0,0,0,14,11,11,29,17,11,95,0,5,3,9,7,10,5,3,0,47,0,6,10,48,21,27,14,3,0,128,0,0,4,15,13,22,20,24,0,95,15,26,39,258,77,68,40,16,4,550,0,0,4,17,3,3,0,0,0,29,0,5,9,66,23,18,7,0,0,136,0,0,0,4,8,10,5,3,0,33,5,3,8,71,57,30,27,7,0,206,0,13,11,17,12,10,10,0,0,82
