SED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,0,4,0,13,12,3,3,0,0,35,5,36,34,147,62,48,26,4,0,362,0,0,0,7,4,11,10,3,16,46,0,0,7,19,29,62,75,46,12,247,3,0,0,9,13,4,0,0,0,28,0,12,23,43,33,16,18,6,4,155,0,0,0,0,6,4,12,11,6,41,5,7,9,64,11,9,0,0,0,111,0,0,0,3,0,0,0,0,0,4,3,12,14,41,17,7,7,0,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,16,33,19,25,16,3,0,135,0,7,3,26,3,3,3,0,0,47,0,0,0,8,7,14,14,0,0,59,0,4,8,17,4,7,3,0,0,37,7,42,53,327,152,122,137,107,41,985,278,550,671,1421,801,990,853,635,334,6524,4819,9980,9507,17928,10143,10625,8629,4889,2118,78641
SED10002,0,0,0,12,0,5,4,0,0,25,8,55,111,768,327,265,141,39,11,1724,0,0,3,30,13,31,19,18,18,124,0,0,0,20,9,22,27,12,6,97,6,23,28,72,23,27,8,5,0,195,0,10,20,114,42,16,21,3,0,231,0,0,0,11,12,15,17,10,0,69,4,43,132,771,281,231,142,56,22,1688,7,3,75,588,33,31,16,0,0,758,3,16,50,263,24,21,5,0,0,393,0,0,0,11,6,14,19,14,0,66,6,29,104,671,713,446,282,134,23,2418,16,34,31,59,10,9,6,0,0,156,7,17,114,830,920,1023,393,150,52,3511,0,0,0,7,0,3,9,0,0,18,0,6,7,32,5,8,0,0,0,60,71,269,481,1791,732,477,330,174,94,4428,462,639,950,2672,785,693,410,249,97,6957,7611,11574,15042,38626,11872,9737,5278,2777,1176,103686
SED10003,0,0,3,37,36,27,3,3,0,115,4,14,16,51,27,31,13,8,0,163,0,0,0,21,4,7,7,3,3,51,0,6,12,41,44,55,67,40,15,276,3,0,0,13,7,10,3,0,0,44,0,18,23,96,85,76,75,29,10,403,0,0,0,0,3,5,5,0,0,15,0,0,0,11,4,8,8,3,3,41,0,4,0,8,3,0,0,0,0,17,0,18,22,50,27,15,8,0,0,133,0,0,0,3,0,0,0,0,0,6,0,0,0,7,7,0,0,0,0,17,4,23,41,129,87,86,87,15,4,480,0,5,0,22,9,3,0,0,0,49,0,3,8,14,11,12,20,12,3,87,0,3,0,18,16,12,9,0,0,57,16,58,69,464,190,183,135,60,31,1204,286,701,596,1719,1186,1310,912,491,339,7543,3617,8592,6753,16003,10633,11907,8859,4473,2442,73276
SED10004,0,0,6,31,13,11,0,0,0,71,4,10,32,299,49,49,39,4,3,497,0,0,3,108,12,43,25,8,6,199,0,9,16,189,103,97,66,19,5,510,9,19,56,151,39,25,13,3,0,323,4,7,39,265,86,68,40,4,0,515,0,0,0,14,20,17,13,9,0,69,0,0,17,94,26,26,12,9,0,185,0,7,33,151,22,14,9,3,0,241,8,9,69,585,62,28,5,5,0,768,0,0,0,20,5,12,7,9,0,56,0,0,10,75,27,26,10,9,3,157,35,89,81,383,144,89,61,20,0,908,0,7,81,279,90,107,55,28,14,658,0,0,3,73,42,22,19,3,0,156,0,0,0,36,18,6,9,0,0,74,37,82,289,1563,388,265,284,143,60,3111,335,477,916,3035,948,798,548,260,119,7437,5062,7289,10571,31090,11064,8433,5901,2384,968,82772
SED10005,0,0,4,0,6,10,4,0,0,28,4,33,86,314,176,123,51,18,3,809,0,5,3,29,22,48,43,43,54,245,0,3,0,9,6,27,27,15,18,98,3,8,3,21,7,13,7,4,4,69,0,3,4,24,18,18,13,12,0,82,0,0,0,10,13,19,14,21,4,81,3,0,22,58,30,28,20,9,4,175,0,4,11,69,4,13,6,0,0,103,3,10,46,129,26,26,3,6,0,248,0,3,20,124,181,231,223,108,23,920,0,4,12,67,92,49,32,19,0,279,4,26,26,36,14,12,6,0,0,121,47,175,783,3247,2244,2039,717,314,157,9722,0,0,0,0,0,3,3,0,0,15,0,6,18,24,10,5,0,0,0,60,78,298,471,1779,826,603,446,269,137,4909,461,764,781,1715,810,658,480,336,155,6151,6792,12049,12005,24159,10441,9049,5800,3440,1788,85522
SED10006,0,10,0,17,13,0,0,0,0,45,7,38,21,146,53,40,21,4,0,319,0,0,0,3,0,7,3,0,0,13,0,4,3,9,15,26,30,11,0,101,0,0,0,3,0,4,0,0,0,13,0,10,21,43,26,20,7,3,0,131,0,0,0,0,3,3,14,16,0,39,0,8,0,20,13,3,3,3,0,46,0,3,0,0,0,0,0,0,0,3,0,6,0,21,6,3,0,0,0,37,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,6,23,14,21,19,14,7,119,0,0,3,8,4,0,3,0,0,25,0,0,0,3,3,3,3,6,3,21,0,3,0,11,9,6,0,0,0,28,3,13,27,80,50,67,74,55,12,387,521,905,825,2085,1386,1375,1223,755,334,9414,5098,10060,8190,17248,10354,10931,8578,4944,1939,77345
SED10007,0,0,0,12,16,3,0,0,0,41,12,27,31,97,50,44,14,4,0,274,0,0,0,7,0,14,14,14,12,59,3,5,10,24,50,72,83,44,11,298,0,0,0,13,9,5,3,3,0,30,0,7,23,52,29,16,22,8,0,160,0,0,0,0,6,9,16,9,0,41,0,11,8,25,17,13,3,0,0,78,0,0,3,3,3,0,0,0,0,8,0,4,18,43,10,3,0,0,0,88,0,0,0,3,4,3,7,0,0,13,0,0,0,0,0,0,0,0,0,3,3,14,16,36,15,31,20,7,0,133,3,4,13,65,19,8,0,0,0,114,0,0,0,4,25,11,15,7,0,57,0,3,4,12,5,6,3,0,0,34,3,18,45,130,88,99,115,77,14,589,284,611,887,1450,1011,1039,1021,588,289,7185,4627,10012,10145,17810,10367,10323,8666,4381,1758,78079
SED10008,0,0,8,24,11,12,8,0,0,63,4,32,45,293,161,219,124,21,13,919,0,3,3,66,36,69,34,14,6,226,0,13,5,29,42,53,61,28,13,236,13,48,48,82,53,51,45,10,3,347,17,76,124,307,165,119,66,20,5,899,0,0,0,5,18,12,13,3,3,60,6,58,75,431,362,331,139,49,20,1473,5,3,23,134,40,56,37,3,0,311,3,9,15,96,27,21,10,0,3,184,0,0,0,8,8,8,3,3,0,29,0,0,3,34,51,19,14,12,0,134,19,76,210,132,51,25,26,6,0,535,0,3,9,145,96,95,29,10,0,386,0,4,0,7,8,13,7,4,0,47,0,0,16,34,26,12,3,0,0,83,31,146,201,629,367,378,257,130,47,2177,106,198,215,589,310,285,246,139,39,2135,5036,11068,10174,20391,11043,9728,7472,3187,1046,79148
SED10009,0,0,0,8,13,11,6,0,0,37,7,19,6,79,39,44,20,7,4,219,0,0,0,10,7,11,16,9,12,57,0,0,3,18,37,89,140,76,33,403,3,3,0,3,3,7,3,0,0,29,3,7,3,39,27,46,57,19,6,204,0,0,0,3,10,5,11,20,8,57,0,0,0,11,4,0,5,0,0,24,0,0,0,5,0,0,0,0,0,5,3,5,14,40,11,11,4,0,0,85,0,0,0,0,3,0,6,4,0,16,0,0,0,0,7,0,0,0,0,8,0,14,7,46,24,64,70,11,3,240,0,0,0,30,16,7,6,0,0,56,0,0,0,6,16,28,29,14,6,93,0,0,0,0,3,14,11,0,0,25,6,11,17,115,115,137,227,158,49,832,166,468,450,1016,885,1191,1082,703,306,6269,2934,7579,6015,11543,9247,12864,11590,5904,2382,70054
SED10010,0,0,6,18,13,3,7,0,0,50,61,302,597,2326,1165,1076,551,126,75,6267,0,0,5,54,27,91,55,61,118,408,0,0,0,20,27,31,56,33,15,182,4,20,4,25,13,28,16,3,0,104,0,6,22,85,48,46,24,11,3,251,0,0,4,36,28,49,37,40,7,197,21,68,100,604,159,144,90,39,12,1231,0,0,9,32,7,11,0,0,0,55,3,16,19,87,30,27,7,0,0,191,0,0,0,9,16,17,13,8,0,59,3,8,21,153,114,69,46,15,0,427,3,28,20,53,21,19,11,0,0,162,0,0,9,92,55,53,24,11,7,247,0,0,0,8,4,3,12,7,0,30,0,0,7,14,4,3,0,0,0,39,42,233,535,1403,772,559,387,214,79,4216,296,443,541,1321,563,532,427,276,155,4556,6740,11290,11665,27960,10371,9324,5884,3220,1264,87705
