SED_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
SED10001,298,62,62,58,60,46,33,12,709,0,0,0,0,0,0,0,0,0,20,20,116,81,365,83,90,71,73,59,43,36,1021,216,91,52,10,17,6,10,12,9,3,426,85,72,213,30,39,16,31,19,18,5,526,4,7,30,21,9,5,4,14,0,0,90,0,0,3,0,0,0,0,0,0,0,3,91,77,243,51,47,23,39,27,15,10,628,0,0,0,0,0,0,0,0,0,11,11,305,169,298,61,61,33,47,36,25,29,1058,538,55,61,12,10,5,3,9,0,27,717,116,39,65,8,4,4,4,3,4,8,264,8,0,28,7,8,13,10,3,3,0,76,0,0,0,0,0,0,0,0,0,0,0,128,42,91,16,17,15,11,5,7,8,340,0,0,0,0,0,0,0,0,0,7,11,668,97,146,27,27,26,17,13,6,38,1075,750,34,12,0,0,5,3,6,0,28,840,153,12,6,5
SED10002,4623,789,1250,1512,1296,1184,651,428,15261,3,0,4,0,3,0,4,0,0,172,189,2050,1981,4850,838,1309,1572,1369,1249,703,635,16548,481,145,133,19,18,24,13,13,7,29,877,2390,1616,1514,217,263,251,180,140,70,121,6750,319,486,638,117,269,230,112,132,65,63,2421,13,19,16,0,4,4,3,0,3,11,71,2725,2120,2163,337,539,476,293,274,136,184,9243,3,0,0,0,0,0,0,0,0,140,150,3201,2269,2289,353,555,504,313,285,142,360,10271,546,79,52,5,8,11,10,5,0,23,733,3790,650,350,51,72,52,38,29,14,116,5174,1330,516,594,106,143,107,85,92,52,117,3141,31,10,4,5,4,3,0,0,0,8,66,5155,1177,941,159,214,168,124,121,72,238,8376,3,0,0,0,0,0,0,0,0,104,111,5702,1258,993,167,223,176,131,130,72,366,9217,516,34,17,3,3,0,0,6,0,18,608,3041,177,83,12
SED10003,129,25,46,65,46,52,17,26,474,0,0,0,0,0,0,0,0,0,6,3,167,102,272,72,103,114,89,83,33,54,1087,505,245,216,21,30,19,15,10,8,58,1120,116,133,150,25,25,30,10,14,9,15,517,0,3,3,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,3,7,118,134,155,20,24,30,10,17,5,18,538,0,0,0,0,0,0,0,0,0,0,0,617,380,372,42,52,43,28,31,20,76,1659,1033,154,114,12,17,9,13,9,8,72,1437,218,78,43,9,3,10,6,6,3,15,391,5,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,225,79,45,9,3,9,6,6,3,20,410,0,0,0,0,0,0,0,0,0,0,0,1261,235,162,21,23,17,20,13,11,91,1851,1412,75,27,5,8,3,3,8,3,56,1591,225,13,10,3
SED10004,901,231,254,335,448,517,324,150,3946,0,0,0,0,0,0,0,0,0,0,3,1131,554,1483,433,452,537,690,780,425,236,6718,1219,804,752,143,104,109,77,65,42,52,3368,611,498,467,79,73,76,93,85,48,38,2071,16,13,37,7,11,13,16,10,14,3,136,5,3,5,0,3,0,0,0,0,0,16,632,515,508,84,85,87,112,98,54,42,2224,0,0,0,0,0,0,0,0,0,3,5,1850,1321,1255,228,188,197,189,164,102,103,5596,1831,370,214,41,31,29,22,30,12,51,2624,766,173,94,12,25,23,13,14,13,26,1162,76,20,18,10,0,3,11,13,8,14,162,3,0,0,0,0,0,0,0,0,0,5,845,192,106,23,26,32,18,27,20,40,1331,4,0,0,0,0,0,0,0,0,0,3,2682,562,318,64,51,59,40,58,33,99,3961,1624,77,46,8,7,10,12,5,3,38,1833,690,25,21,3
SED10005,1862,291,352,423,402,370,181,179,6025,0,0,0,0,0,0,0,0,0,146,155,1302,989,1934,309,374,449,431,397,196,352,6740,319,81,66,12,6,10,9,3,6,15,527,2386,1097,726,105,93,107,90,75,43,77,4790,426,319,341,49,62,79,71,50,28,44,1469,13,6,9,3,0,3,0,0,0,0,38,2825,1422,1074,154,153,187,158,130,67,121,6298,3,0,0,0,0,0,0,0,0,117,125,3143,1505,1144,162,160,197,170,131,79,260,6945,530,48,26,4,3,8,3,0,0,13,646,3667,422,198,34,24,31,22,25,11,112,4547,1237,274,229,43,40,42,67,31,38,80,2075,24,3,3,0,0,0,0,0,0,8,38,4929,700,431,76,68,69,90,62,45,191,6663,0,0,0,0,0,0,0,0,0,72,77,5464,749,457,85,77,77,91,62,50,282,7378,505,21,12,0,3,0,0,3,0,13,557,3004,133,65,10
SED10006,101,30,31,33,40,21,8,12,314,0,0,0,0,0,0,0,0,0,9,14,79,43,157,44,52,56,51,28,14,39,550,119,43,36,5,8,3,5,3,0,8,233,29,30,114,16,21,22,8,9,8,7,271,0,0,3,0,3,0,3,0,0,3,13,0,3,0,0,0,0,0,0,0,0,3,29,36,112,21,24,25,12,9,10,10,282,0,0,0,0,0,0,0,0,0,5,9,143,77,156,24,34,28,15,12,11,22,522,281,37,26,0,3,9,4,4,0,14,383,73,22,44,5,14,5,0,0,0,5,173,8,0,5,0,0,0,0,3,0,3,19,3,0,0,0,0,0,0,0,0,0,5,75,22,53,5,14,5,3,4,0,10,196,0,0,0,0,0,0,0,0,0,4,6,360,60,81,10,15,12,3,10,0,30,587,399,26,13,5,3,0,0,6,0,22,474,94,13,4,0
SED10007,116,15,26,19,32,35,16,13,329,0,0,0,0,0,0,0,0,0,104,104,115,50,175,25,39,40,38,45,24,123,676,262,66,49,8,16,7,8,4,11,18,451,84,65,105,20,11,13,15,16,6,3,340,3,12,12,6,0,0,3,3,0,3,43,0,0,0,0,0,0,0,0,0,0,3,92,73,114,28,15,10,21,18,6,7,385,3,0,0,0,0,0,0,0,0,64,67,351,144,167,40,27,24,25,26,13,91,904,619,37,40,9,3,11,3,4,0,30,752,164,48,37,5,5,3,0,5,0,6,278,14,3,3,7,0,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,176,53,38,10,6,6,3,3,5,4,312,0,0,0,0,0,0,0,0,0,49,50,797,91,82,14,8,19,5,3,5,88,1119,818,23,20,0,3,5,0,4,5,26,906,144,13,15,0
SED10008,891,113,125,135,146,145,83,57,3204,0,0,0,0,0,0,0,0,0,0,3,1241,819,992,146,150,163,178,176,115,77,4058,692,214,213,37,43,35,29,32,12,31,1326,1369,1636,1000,141,118,126,104,81,67,41,4681,49,73,113,15,26,33,18,27,12,4,360,6,9,3,0,0,0,0,0,0,3,20,1423,1711,1123,157,146,155,123,102,74,51,5059,0,0,0,0,0,0,0,0,0,0,0,2112,1929,1331,189,186,188,152,134,86,76,6389,1166,191,119,15,21,18,10,6,5,21,1570,2598,651,290,39,31,24,15,9,9,34,3695,270,93,90,16,19,11,11,8,3,18,545,12,3,3,0,0,0,0,0,0,0,20,2881,741,382,52,49,33,28,20,15,54,4262,0,0,0,0,0,0,0,0,0,0,0,4058,935,501,64,70,47,42,24,21,77,5839,1347,83,27,7,11,5,8,0,0,23,1504,2622,138,44,9
SED10009,43,11,18,18,20,9,9,8,166,0,0,0,0,0,0,0,0,0,0,0,83,42,76,17,20,25,24,13,17,15,335,214,68,54,7,8,4,6,6,3,18,388,38,42,63,8,10,12,10,8,8,9,198,3,5,8,3,0,0,4,0,0,3,18,0,0,0,0,0,0,0,0,0,0,4,41,44,64,9,10,12,12,10,8,13,224,0,0,0,0,0,0,0,0,0,3,3,257,114,126,11,24,21,16,14,12,30,615,738,64,39,6,12,4,4,3,3,40,915,144,32,14,5,5,0,0,3,0,6,213,7,0,7,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,152,35,20,5,3,0,3,3,0,4,233,0,0,0,0,0,0,0,0,0,0,0,895,100,60,13,12,3,7,3,4,52,1148,1521,42,28,6,3,7,3,3,0,61,1680,181,7,8,4
SED10010,2746,364,456,471,629,509,263,134,7562,0,0,3,0,0,0,0,0,0,11,17,1618,1113,2915,397,499,510,678,555,292,182,8767,630,186,110,13,27,15,13,15,4,32,1048,1443,1520,1973,186,186,153,162,107,81,75,5882,54,91,160,17,24,25,32,26,14,11,453,14,11,7,0,0,4,5,0,0,0,50,1516,1626,2140,206,209,184,205,134,92,85,6392,0,0,5,0,0,0,0,0,0,0,3,2145,1816,2253,222,232,199,217,151,98,117,7441,843,133,79,11,13,7,8,0,3,32,1126,2324,768,544,60,45,30,33,31,11,49,3893,217,120,136,19,36,29,16,24,37,39,675,17,7,7,3,0,0,0,0,0,3,31,2555,893,683,83,75,62,50,58,46,95,4598,0,0,0,0,0,0,0,0,0,0,8,3401,1031,763,96,93,67,55,56,48,122,5735,977,57,27,3,3,3,3,0,0,38,1113,2576,253,114,18
