SED_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
SED10001,..,140,12,152,0,154,..,91,9,101,0,101,..,138,11,145,0,146,..,237,42,281,7,282,..,64,4,67,0,67,..,29,10,40,0,40,..,354,267,624,4,629,..,914,344,1259,15,1272,..,143,12,156,3,162,..,33,11,45,0,45,..,33,8,45,0,45,..,10,0,10,0,10,..,13,0,13,0,13,..,25,3,29,0,29,..,31,6,35,0,35,..,32,4,35,0,35,..,0,0,0,0,0,..,45,4,50,0,50,..,94,3,100,0,102,..,14,0,14,0,14,..,138,3,142,0,143,..,24,0,27,0,27,..,276,8,282,3,289,..,79,5,81,0,81,..,42,0,46,0,48,..,74,11,82,0,84,..,0,0,0,0,3,..,27,17,41,3,43,..,611,138,748,19,768,..,3272,702,3973,61,4032,..,183,13,198,5555,5756,68853,3457,716,4176,5617,78641
SED10002,..,402,115,519,3,520,..,638,51,681,0,684,..,1115,75,1185,9,1197,..,637,61,696,5,701,..,158,14,172,0,172,..,3031,301,3336,47,3382,..,3732,248,3978,23,4004,..,9304,740,10046,88,10135,..,549,80,632,3,630,..,122,23,140,0,140,..,3833,2703,6534,57,6593,..,65,26,84,0,84,..,75,7,79,0,79,..,537,216,751,4,760,..,132,18,150,0,148,..,282,63,344,5,347,..,142,13,156,6,160,..,118,17,138,0,138,..,480,11,492,3,498,..,509,52,564,8,568,..,936,22,965,8,969,..,111,7,116,0,116,..,2035,103,2135,19,2154,..,599,106,703,14,722,..,1734,286,2018,19,2034,..,227,95,318,4,320,..,3397,1060,4460,55,4513,..,1632,684,2315,9,2328,..,6043,2445,8486,188,8678,..,53844,19569,73412,724,74135,..,290,148,439,7748,8188,21362,54136,19717,73850,8477,103686
SED10003,..,85,0,85,0,83,..,3,0,3,0,5,..,46,0,46,0,46,..,81,11,94,6,94,..,14,0,14,0,14,..,0,0,0,0,0,..,21,0,21,0,21,..,161,11,173,3,178,..,316,17,335,8,343,..,195,35,226,4,232,..,20,11,27,0,27,..,6,0,6,0,6,..,15,0,15,0,15,..,17,3,23,0,23,..,31,0,34,0,34,..,29,0,31,0,31,..,4,0,4,0,4,..,6,0,12,0,12,..,33,0,34,0,34,..,39,3,40,3,43,..,32,0,32,3,36,..,19,0,19,0,19,..,125,3,126,5,131,..,263,14,272,3,282,..,13,0,13,0,13,..,104,11,112,3,116,..,23,0,22,0,22,..,49,10,57,0,57,..,747,61,806,19,834,..,3410,234,3642,72,3709,..,191,8,200,6656,6854,62708,3595,243,3837,6728,73276
SED10004,..,711,140,844,3,849,..,62,5,65,0,65,..,313,12,319,3,326,..,37,0,39,0,44,..,51,0,49,0,54,..,36,3,35,0,35,..,138,4,139,0,139,..,629,28,660,3,663,..,1451,275,1723,15,1738,..,389,64,452,4,455,..,326,108,436,0,436,..,78,5,85,0,85,..,77,9,78,0,82,..,185,10,198,0,201,..,159,15,174,3,177,..,234,24,258,0,257,..,18,0,18,0,18,..,137,20,163,0,164,..,134,4,136,0,139,..,330,22,351,0,351,..,136,0,137,0,137,..,73,0,81,0,81,..,676,30,706,0,707,..,976,107,1083,14,1102,..,84,0,87,0,87,..,580,191,766,3,774,..,188,20,205,7,213,..,523,198,721,7,725,..,1523,209,1736,47,1778,..,15646,2587,18225,160,18389,..,170,31,199,6871,7068,57319,15813,2613,18424,7034,82772
SED10005,..,1528,324,1857,21,1879,..,863,72,934,6,938,..,526,41,565,5,566,..,145,18,164,0,167,..,54,4,64,0,65,..,1587,159,1744,22,1765,..,248,28,275,4,277,..,3422,318,3742,40,3778,..,785,146,929,7,931,..,45,7,54,0,54,..,382,299,680,9,689,..,1239,316,1551,14,1567,..,66,11,77,0,77,..,134,65,203,3,204,..,204,55,260,0,263,..,111,12,125,0,125,..,456,28,490,6,491,..,144,24,174,0,177,..,193,7,199,7,205,..,526,92,619,3,625,..,421,5,429,3,429,..,50,6,61,0,62,..,1198,115,1306,13,1317,..,469,105,572,15,580,..,83,11,99,0,100,..,155,44,203,6,209,..,387,104,490,5,499,..,8375,4375,12754,82,12832,..,3200,867,4069,112,4182,..,42638,12901,55537,527,56069,..,256,128,386,5524,5910,23551,42902,13027,55926,6052,85522
SED10006,..,54,7,62,0,62,..,28,0,29,0,29,..,42,3,44,0,47,..,17,0,17,0,18,..,32,3,38,0,38,..,46,0,49,0,46,..,88,9,94,0,95,..,245,18,267,6,272,..,83,9,89,0,95,..,27,4,31,0,31,..,4,3,5,0,5,..,7,0,7,0,7,..,24,0,22,0,22,..,0,0,0,0,0,..,9,0,10,0,10,..,11,0,11,0,11,..,0,0,0,0,0,..,41,14,60,0,60,..,81,3,85,3,91,..,11,0,11,0,11,..,109,5,113,5,119,..,26,0,26,0,26,..,223,9,235,5,236,..,34,10,44,0,44,..,15,0,15,0,15,..,23,9,38,0,38,..,8,0,8,0,8,..,24,3,32,0,32,..,337,43,380,8,383,..,1701,197,1902,42,1949,..,232,11,243,8303,8552,66852,1932,214,2149,8351,77345
SED10007,..,56,3,53,0,60,..,50,9,57,0,57,..,75,0,78,0,78,..,73,16,87,0,87,..,35,0,35,0,35,..,34,0,31,3,38,..,73,4,71,0,71,..,335,28,363,3,363,..,126,16,138,0,138,..,41,8,47,0,46,..,16,8,22,0,22,..,13,0,13,0,13,..,20,0,20,0,20,..,30,5,34,0,34,..,40,3,40,0,40,..,28,0,30,0,30,..,5,0,5,0,5,..,37,3,43,0,43,..,68,0,72,0,74,..,22,0,20,0,23,..,99,0,102,3,103,..,11,0,11,0,11,..,200,3,205,8,212,..,81,6,87,0,94,..,45,5,49,0,49,..,67,18,90,0,90,..,8,0,8,0,8,..,71,20,90,0,91,..,447,88,531,14,542,..,2420,344,2763,45,2805,..,181,7,187,7453,7643,67629,2600,353,2950,7499,78079
SED10008,..,484,34,518,9,522,..,323,11,329,0,330,..,1684,51,1737,10,1747,..,664,52,711,3,712,..,691,24,715,4,723,..,372,17,385,5,388,..,689,28,709,3,715,..,4418,177,4597,29,4626,..,574,46,620,8,627,..,162,16,180,0,180,..,1529,530,2067,19,2080,..,42,0,47,3,47,..,129,0,126,0,126,..,776,123,900,8,904,..,236,10,245,4,248,..,199,25,224,0,224,..,7,0,9,0,9,..,111,9,120,0,120,..,270,4,271,5,276,..,440,27,474,0,477,..,387,13,396,0,402,..,61,0,61,0,61,..,1156,48,1202,5,1209,..,641,41,690,0,691,..,1255,47,1302,4,1304,..,143,34,182,0,182,..,204,21,223,0,223,..,295,49,340,3,342,..,1804,277,2085,56,2142,..,25618,4342,29959,223,30183,..,171,33,197,1765,1967,47001,25783,4376,30157,1990,79148
SED10009,..,86,10,104,3,106,..,15,0,15,0,15,..,17,0,13,3,15,..,19,0,16,0,15,..,15,0,15,0,19,..,6,0,6,0,6,..,13,3,15,0,15,..,79,3,82,6,87,..,168,19,183,3,188,..,22,3,26,0,26,..,12,12,23,0,23,..,11,0,11,0,11,..,30,0,30,0,30,..,5,3,8,0,8,..,49,3,53,0,54,..,28,3,35,0,35,..,11,0,12,0,12,..,27,5,32,0,32,..,49,0,53,0,53,..,16,4,23,0,23,..,67,0,63,3,65,..,18,0,20,0,20,..,153,5,161,3,160,..,106,11,112,3,118,..,3,0,5,0,5,..,58,15,73,7,74,..,9,0,13,0,13,..,53,14,63,0,67,..,338,46,388,13,397,..,2116,229,2342,42,2384,..,237,11,251,4968,5217,62449,2351,238,2593,5010,70054
SED10010,..,537,93,629,3,629,..,892,71,961,3,969,..,3628,215,3846,30,3871,..,4027,465,4489,34,4523,..,372,38,412,3,412,..,746,99,841,10,847,..,2553,336,2890,35,2918,..,12213,1215,13435,117,13545,..,517,84,598,3,605,..,49,3,47,0,47,..,375,228,603,3,609,..,57,19,69,0,76,..,604,70,671,4,675,..,342,138,481,9,491,..,352,118,467,0,470,..,150,16,169,3,172,..,498,53,553,11,562,..,356,79,439,8,448,..,1840,53,1889,16,1902,..,324,38,359,0,359,..,3632,130,3759,42,3805,..,182,5,183,0,183,..,5978,220,6201,59,6256,..,609,103,720,6,727,..,1208,144,1357,4,1359,..,132,29,163,0,165,..,539,168,704,6,707,..,217,67,288,0,289,..,4537,1048,5584,123,5713,..,34419,5418,39843,413,40259,..,270,93,362,3808,4168,43282,34689,5510,40197,4229,87705
