SED_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SED10001,416,1149,2205,2133,1454,1615,1053,438,130,10601,187,288,476,484,679,532,344,131,34,3145,280,521,1038,1055,1833,1776,1186,530,126,8346,58,87,171,188,390,460,706,329,101,2494,12,35,58,82,163,302,489,412,214,1770,4,3,18,18,26,23,34,26,13,165,154,215,416,408,433,469,472,371,218,3158,1113,2302,4390,4375,4978,5178,4280,2237,830,29678,535,1564,3021,2841,2066,1718,946,422,171,13283,149,185,360,435,735,661,437,174,54,3184,163,301,622,799,1585,1875,1445,675,232,7689,44,60,101,133,268,442,642,362,184,2240,12,16,49,58,87,244,384,422,292,1563,3,3,15,36,30,17,26,32,15,174,143,190,337,356,386,492,462,557,340,3262,1040,2314,4500,4657,5161,5447,4337,2651,1288,31398,953,2709,5229,4974,3521,3330,1994,862,301,23879,333,476,834,917,1409,1193,779,305,89,6326,441,827,1659,1850,3413,3645,2630,1204,354,16040,98,144,273,324,665,897,1350,695,284,4732
SED10002,948,3605,9346,4989,3250,2528,1148,419,94,26324,137,232,397,246,224,146,56,24,4,1462,157,371,883,763,870,808,418,225,64,4559,31,84,256,233,248,231,182,90,40,1407,21,123,430,423,441,464,417,263,86,2659,8,151,451,348,323,249,191,133,43,1900,190,565,1591,986,647,448,291,179,77,4970,1497,5132,13355,7994,6010,4873,2704,1327,411,43293,951,3262,8421,4619,3211,2234,827,287,106,23920,110,125,268,174,185,120,56,24,10,1062,72,153,544,541,960,866,481,245,124,3985,18,42,118,172,223,250,211,118,84,1234,6,38,159,256,440,606,478,341,179,2502,3,43,183,204,352,369,247,230,122,1757,168,355,904,570,447,378,248,192,135,3403,1324,4020,10597,6536,5814,4819,2553,1439,760,37868,1892,6874,17769,9609,6465,4758,1972,707,200,50248,245,355,670,422,407,263,110,40,11,2530,233,525,1423,1306,1829,1668,897,471,188,8542,53,123,374,405,476,484,399,214,129,2647
SED10003,350,770,1966,2463,2194,2473,1835,586,194,12826,85,149,266,304,370,333,200,85,25,1815,187,248,606,826,1527,1769,1155,516,161,7001,34,37,87,108,213,283,475,248,125,1614,11,11,31,38,77,176,265,235,191,1040,3,0,3,12,19,13,11,8,3,78,167,154,366,452,575,675,498,312,183,3385,842,1372,3333,4202,4967,5723,4446,1993,890,27759,321,941,2532,3313,2893,2579,1442,517,229,14769,72,95,227,269,378,395,215,120,31,1806,108,183,400,646,1613,2081,1543,746,334,7645,16,26,78,95,166,325,470,366,263,1805,6,6,18,30,53,135,237,287,329,1097,0,3,8,8,9,15,6,7,8,65,149,134,365,477,557,648,502,433,352,3616,670,1389,3634,4835,5662,6177,4412,2475,1553,30797,665,1709,4495,5775,5089,5051,3282,1107,425,27602,159,238,497,569,743,728,416,210,59,3616,297,436,1005,1473,3138,3847,2702,1255,493,14644,52,59,168,204,378,608,944,612,391,3419
SED10004,506,2778,6334,5779,3818,2612,1674,420,93,24019,45,86,214,208,208,137,85,24,14,1019,40,101,346,395,713,516,350,165,38,2669,11,35,62,59,87,92,134,87,31,598,5,14,18,32,53,86,172,171,79,634,0,5,32,9,9,19,25,41,26,165,120,329,865,684,509,412,313,145,61,3431,725,3347,7860,7169,5394,3871,2756,1065,340,32533,722,3478,7241,6318,4196,2960,1707,442,142,27200,38,74,170,160,229,135,112,44,8,964,45,83,251,260,626,752,518,234,101,2872,11,45,54,24,71,136,193,104,54,689,8,15,16,24,44,116,202,249,128,805,0,7,13,12,18,30,43,58,44,229,121,367,843,658,472,427,364,193,155,3602,944,4061,8589,7459,5670,4552,3140,1319,630,36367,1237,6255,13570,12096,8017,5572,3384,864,237,51223,82,161,382,368,432,273,203,69,16,1979,78,185,599,658,1342,1264,868,402,145,5540,24,83,113,82,154,231,324,184,86,1283
SED10005,812,2314,4408,3405,2541,2141,1012,339,120,17090,131,134,262,243,260,162,84,43,15,1344,197,316,752,771,1142,985,580,303,111,5163,48,56,166,216,247,235,274,134,80,1451,10,29,121,214,316,423,478,386,190,2163,0,21,80,109,176,179,169,117,53,909,170,259,646,483,472,377,309,196,108,3034,1364,3138,6442,5440,5159,4511,2903,1523,678,31162,862,2448,4952,3641,2520,1816,750,287,102,17380,104,119,251,238,225,143,62,26,9,1191,116,197,636,745,1163,971,689,362,178,5048,29,46,133,201,266,314,281,215,163,1653,3,25,88,219,391,601,551,520,361,2751,3,17,66,112,252,322,252,251,129,1408,175,249,481,423,425,329,296,243,166,2779,1294,3110,6607,5571,5236,4497,2887,1903,1111,32210,1674,4766,9361,7040,5064,3956,1755,623,225,34477,237,256,514,479,482,307,148,71,22,2529,310,517,1391,1519,2300,1953,1268,668,285,10209,77,103,305,409,512,550,552,345,241,3101
SED10006,331,840,1793,1540,1064,1091,712,316,81,7768,161,235,362,345,352,269,177,74,23,1995,278,513,1169,1230,2254,2186,1269,516,118,9533,89,116,265,309,522,674,740,353,106,3181,34,55,103,136,281,699,818,543,203,2866,0,4,13,16,23,48,54,31,5,183,225,273,593,539,714,782,719,498,178,4514,1119,2042,4293,4112,5203,5747,4493,2338,712,30047,341,1098,2520,2095,1508,1142,655,311,130,9808,146,180,357,359,375,285,166,102,37,2012,181,366,912,903,2016,2070,1414,726,237,8826,65,104,247,251,415,594,619,390,185,2866,9,15,64,97,174,433,542,467,239,2042,0,0,3,0,15,19,29,18,13,92,199,243,525,495,643,634,661,594,375,4362,942,2013,4619,4210,5144,5179,4082,2604,1225,30016,675,1941,4318,3638,2574,2240,1369,625,212,17579,307,414,723,701,719,552,343,181,59,4009,457,876,2080,2137,4271,4257,2680,1242,354,18363,156,218,508,566,932,1262,1364,742,293,6049
SED10007,485,1304,2030,1801,1403,1521,1110,403,118,10180,157,232,347,357,274,224,152,83,12,1836,265,494,1213,1344,2291,2038,1275,527,130,9573,53,64,161,191,363,433,671,304,72,2308,17,29,56,63,169,334,538,342,157,1707,0,0,4,7,12,16,29,21,7,93,233,519,871,675,661,578,624,340,129,4622,1211,2636,4685,4443,5168,5149,4389,2011,625,30321,589,1554,2614,2627,2013,1644,1030,433,156,12645,106,160,278,318,326,205,189,92,42,1719,175,335,793,970,1947,2047,1517,730,260,8783,48,69,137,153,339,480,576,314,191,2300,7,16,36,55,102,289,369,347,242,1454,0,0,8,9,13,16,16,15,3,88,228,217,303,367,464,481,579,427,244,3316,1145,2355,4163,4509,5195,5170,4275,2363,1128,30307,1072,2861,4644,4435,3416,3163,2139,830,276,22826,265,391,625,675,599,429,337,177,54,3561,447,828,2008,2316,4237,4089,2791,1260,388,18356,99,132,297,349,696,916,1239,616,262,4614
SED10008,823,2226,3522,4713,3855,3203,2097,647,137,21219,79,83,153,190,206,193,164,65,10,1135,98,165,305,502,989,819,759,424,83,4138,23,13,23,37,61,134,268,164,42,773,4,5,23,21,41,71,165,112,40,483,0,3,19,16,28,30,27,24,8,157,51,72,134,141,152,170,163,123,72,1083,1072,2566,4180,5621,5334,4629,3638,1551,396,28988,821,2124,3994,5395,4198,3147,1638,462,124,21905,50,57,87,132,224,185,144,75,16,983,60,89,183,369,975,1260,1265,512,133,4839,5,10,17,29,66,168,385,197,76,954,3,3,12,22,51,126,182,181,122,711,3,0,13,17,24,30,35,50,30,207,52,45,151,146,167,159,170,160,142,1194,996,2335,4452,6123,5701,5084,3821,1638,649,30792,1640,4355,7514,10104,8051,6352,3732,1102,263,43122,130,141,243,322,431,380,309,136,28,2121,156,261,485,874,1960,2079,2025,929,212,8976,29,19,40,72,129,307,648,359,124,1726
SED10009,261,628,1103,1339,1369,2233,2111,818,254,10113,159,125,254,273,410,461,285,131,41,2134,194,332,712,918,1739,2100,1575,698,156,8425,61,56,131,167,310,457,756,359,96,2395,5,7,55,91,153,330,518,376,147,1692,0,0,11,4,10,18,12,19,5,72,110,114,216,267,435,574,601,489,225,3035,795,1266,2474,3048,4422,6174,5859,2899,924,27861,299,710,1531,1931,1972,2577,1731,679,242,11667,114,113,204,277,446,501,401,176,60,2289,156,200,489,774,1676,2238,1876,799,267,8464,29,49,114,117,239,527,674,387,177,2314,11,8,30,60,93,256,405,379,256,1495,0,0,3,8,8,7,13,15,8,58,123,104,215,270,386,571,637,564,439,3301,732,1180,2579,3425,4815,6683,5725,2997,1455,29597,561,1338,2635,3267,3342,4812,3840,1497,499,21780,274,242,454,545,855,964,686,305,104,4424,349,535,1203,1692,3416,4333,3446,1498,423,16889,90,105,238,281,549,990,1434,753,274,4705
SED10010,771,2379,5519,4403,2551,1990,1038,333,99,19088,162,201,337,312,239,181,85,27,11,1562,219,380,968,1082,1535,1271,647,313,72,6486,47,69,168,220,299,332,309,158,57,1656,6,33,98,120,195,359,404,287,115,1617,0,21,49,56,61,73,64,57,18,400,127,161,406,331,318,326,278,193,104,2254,1339,3240,7549,6527,5198,4527,2835,1372,483,33065,767,2272,6083,4376,2623,1941,886,307,97,19354,107,140,277,284,223,155,80,52,13,1320,156,264,699,824,1410,1392,820,462,119,6142,41,45,119,151,266,444,348,260,96,1767,4,18,73,118,210,398,473,407,267,1968,0,0,42,78,91,122,102,98,41,581,121,150,386,321,313,329,331,252,148,2340,1195,2885,7670,6149,5137,4773,3036,1846,781,33468,1546,4651,11596,8783,5175,3928,1923,642,196,38445,271,339,615,599,461,334,164,77,25,2886,370,645,1668,1900,2947,2661,1471,780,196,12635,91,109,284,374,562,778,661,422,153,3424
