SED_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SED10001,558,1638,269,2461,390,1691,230,2313,781,3185,428,4397,1065,2904,395,4372,1335,3216,429,4977,1273,3459,445,5173,1022,2814,443,4280,418,1472,351,2235,72,568,188,830,6919,20946,3172,31042,654,1524,232,2412,478,1655,199,2330,994,3163,342,4500,1489,2833,341,4661,1559,3255,344,5159,1504,3512,428,5447,1322,2592,432,4344,583,1627,439,2654,109,915,262,1291,8697,21078,3022,32797,1211,3159,497,4869,868,3347,425,4641,1779,6346,773,8894,2556,5735,741,9036,2891,6473,773,10143,2778,6968,876,10625,2348,5409,876,8629,999,3098,795,4889,181,1481,451,2118,15619,42025,6193,63838
SED10002,340,2393,263,3002,512,4051,628,5195,1119,10579,1716,13419,800,6190,1032,8022,567,4795,674,6035,492,3957,436,4886,229,2220,263,2717,86,1094,147,1326,23,340,52,407,4172,35620,5215,45009,428,2138,230,2797,603,3054,398,4055,1121,8543,969,10629,893,5084,588,6567,717,4666,447,5837,593,3904,352,4849,266,2100,198,2566,109,1181,162,1449,27,640,99,766,4750,31310,3438,39497,773,4532,493,5795,1115,7101,1030,9244,2241,19124,2678,24041,1689,11275,1621,14581,1288,9462,1124,11872,1083,7861,788,9737,495,4322,465,5278,195,2274,306,2777,49,972,156,1176,8926,66927,8657,84507
SED10003,372,1433,274,2083,199,1022,155,1373,501,2447,381,3333,871,2900,437,4209,1192,3245,534,4966,1333,3776,615,5724,1157,2805,477,4446,387,1325,287,1997,86,597,202,889,6099,19547,3361,29014,399,1255,253,1904,255,991,149,1397,684,2607,347,3634,1395,2986,458,4838,1711,3424,525,5662,1726,3846,607,6176,1459,2509,455,4418,631,1456,386,2476,159,1017,379,1554,8413,20090,3556,32059,767,2685,532,3988,453,2009,307,2766,1189,5054,720,6967,2267,5883,889,9041,2903,6664,1068,10633,3058,7618,1224,11907,2619,5316,928,8859,1012,2783,674,4473,247,1614,579,2442,14509,39637,6920,61065
SED10004,340,940,155,1435,596,2427,332,3352,1135,5840,882,7868,1294,5199,685,7172,1159,3736,502,5397,794,2701,386,3874,559,1938,256,2760,141,790,135,1063,15,281,44,340,6033,23845,3377,33257,469,1099,147,1714,867,2825,371,4069,1581,6159,859,8594,1779,5042,637,7466,1617,3595,449,5670,1062,3091,406,4559,749,2113,283,3145,205,960,158,1324,28,497,102,630,8354,25390,3416,37161,806,2040,300,3148,1461,5251,707,7422,2717,12003,1740,16456,3071,10242,1318,14637,2782,7329,952,11064,1855,5793,790,8433,1310,4055,542,5901,341,1749,292,2384,43,776,150,968,14388,49236,6798,70420
SED10005,330,2325,249,2900,336,2521,300,3164,547,5195,727,6466,468,4458,532,5465,479,4205,492,5174,371,3781,372,4527,235,2394,273,2902,109,1262,166,1532,36,555,86,681,2912,26702,3201,32811,474,2071,264,2806,413,2438,281,3133,664,5440,534,6633,647,4504,445,5596,590,4252,423,5263,483,3720,317,4522,304,2343,246,2895,113,1573,222,1907,35,958,114,1113,3727,27315,2833,33874,804,4395,511,5712,749,4960,585,6293,1212,10627,1258,13102,1122,8968,975,11064,1068,8457,915,10441,850,7504,689,9049,543,4742,521,5800,221,2837,381,3440,79,1518,196,1788,6633,54013,6033,66687
SED10006,352,1441,368,2162,289,1457,298,2045,723,2973,599,4291,1095,2508,511,4111,1228,3304,670,5204,1249,3772,728,5753,965,2885,645,4492,405,1521,412,2338,84,459,165,715,6399,20323,4389,31112,382,1280,315,1978,355,1423,235,2009,1028,3088,511,4628,1343,2383,486,4218,1495,3059,591,5150,1428,3189,561,5179,1205,2319,560,4086,625,1515,470,2609,120,857,245,1225,7993,19110,3977,31072,738,2726,678,4135,643,2878,528,4056,1750,6062,1112,8921,2439,4891,1003,8332,2729,6367,1260,10354,2683,6958,1289,10931,2171,5203,1206,8578,1034,3037,879,4944,206,1319,415,1939,14388,39432,8368,62184
SED10007,444,1849,361,2656,370,1738,538,2638,619,3169,897,4685,791,2960,690,4444,1044,3483,643,5171,1035,3576,543,5151,989,2850,554,4391,354,1341,315,2014,63,436,127,625,5712,21406,4669,31782,482,1660,346,2489,465,1653,241,2360,747,3102,313,4160,1279,2896,341,4512,1287,3472,441,5202,1240,3471,452,5170,1176,2613,486,4274,472,1496,397,2364,104,809,216,1129,7262,21166,3239,31658,926,3507,704,5143,835,3391,775,4995,1364,6269,1218,8849,2073,5857,1031,8962,2336,6955,1079,10367,2276,7050,996,10323,2162,5463,1040,8666,831,2831,717,4381,170,1247,341,1758,12968,42569,7906,63447
SED10008,689,1963,92,2748,600,1891,79,2572,654,3372,155,4177,1154,4320,153,5621,1288,3892,156,5336,921,3582,138,4638,770,2747,124,3644,280,1183,88,1551,25,328,46,396,6377,23280,1025,30685,755,1680,89,2520,701,1573,61,2341,849,3454,160,4460,1687,4280,158,6124,1542,4005,158,5710,1055,3882,150,5093,886,2810,135,3831,281,1236,120,1638,40,519,95,649,7801,23442,1120,32360,1437,3645,178,5263,1302,3470,138,4911,1499,6830,310,8641,2843,8600,307,11748,2829,7897,319,11043,1981,7459,286,9728,1657,5556,253,7472,565,2422,202,3187,70,840,140,1046,14178,46718,2147,63044
SED10009,298,1249,257,1804,168,984,119,1267,354,1894,235,2481,646,2135,273,3048,1039,2979,406,4425,1420,4233,522,6174,1573,3715,571,5861,575,1900,431,2902,92,651,178,924,6159,19739,2985,28890,349,1195,213,1760,181,901,108,1182,520,1839,214,2579,991,2173,267,3434,1312,3150,354,4821,1832,4362,492,6688,1830,3331,565,5727,684,1815,500,3001,117,1018,321,1459,7827,19781,3040,30649,652,2441,475,3562,342,1882,226,2452,874,3736,450,5062,1638,4305,539,6484,2354,6128,764,9247,3256,8592,1012,12864,3404,7052,1135,11590,1261,3713,932,5904,210,1673,496,2382,13984,39522,6025,59543
SED10010,399,2258,200,2852,395,2668,198,3254,782,6329,452,7558,983,5201,361,6537,714,4188,316,5210,482,3776,273,4535,302,2305,231,2836,119,1101,154,1374,17,373,88,483,4190,28194,2269,34650,490,1990,170,2650,502,2240,160,2897,963,6308,417,7685,1093,4764,313,6170,784,4091,283,5155,603,3901,273,4785,377,2408,261,3044,170,1458,221,1846,23,649,112,780,5009,27817,2204,35026,889,4247,364,5507,894,4905,357,6159,1746,12632,869,15246,2074,9964,677,12711,1501,8275,593,10371,1091,7684,552,9324,681,4709,489,5884,284,2557,375,3220,40,1022,199,1264,9196,56006,4473,69680
