SOSR_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOSR101,27304,26166,53473,29294,27738,57029,28895,27656,56554,29224,27655,56881,29146,27764,56915,143869,136979,280846,28863,27313,56177,29021,27505,56526,27954,26689,54642,28280,26966,55249,27761,26289,54044,141876,134755,276638,26707,25130,51834,25869,24208,50077,25521,23791,49310,25310,23921,49231,24505,23339,47848,127916,120391,248309,25297,23755,49057,25894,24221,50117,25538,24059,49597,26333,25378,51710,28588,27454,56043,131656,124874,256521,30052,28501,58550,30562,29274,59838,30601,30537,61142,32757,32392,65150,33806,33919,67724,157780,154626,312400,34547,35002,69556,35503,36367,71871,35448,36076,71526,35144,36496,71642,34585,36228,70807,175229,180171,355398,35706,37169,72876,35876,36921,72793,36524,37473,73997,36326,37780,74103,35991,36066,72058,180424,185401,365828,35359,35311,70670,33756,33536,67290,32249,32465,64716,31377,31697,63074,30545,30969,61512,163284,163979,327262,30348,31007,61350,30000,30345,60347,30335,31169,61506,30267,31509,61774,30722,31921,62640,151670,155946,307614,30682,32639,63320,28511,29777,58285,27587,29247,56825,26953,28758,55708,26125,26807,52934,139849,147226,287070,26557,27018,53578,26043,27031,53083,27058,28027,55093,27374,28044,55422,26812,27264,54076,133855,137389,271239,26039,27024
SOSR102,5728,5302,11025,5933,5654,11592,6078,5680,11767,6386,5688,12072,6293,5825,12116,30417,28152,58573,6309,5888,12195,6294,5954,12247,6305,5874,12187,6301,6044,12337,6310,5995,12305,31521,29750,61266,6233,5908,12142,5975,5691,11668,5951,5629,11582,5767,5603,11371,5904,5602,11508,29831,28440,58268,6067,5683,11743,6007,5816,11819,6143,5827,11962,6151,5930,12077,6437,6140,12572,30797,29387,60181,6663,6388,13045,6721,6534,13257,6572,6406,12976,6411,6062,12477,6394,5991,12382,32756,31383,64140,6171,5963,12132,6162,5897,12061,5859,5965,11825,5707,5962,11664,5814,6112,11925,29707,29896,59601,5897,6101,12005,6066,6206,12265,5903,6241,12142,5935,6182,12120,5929,6071,12002,29732,30799,60529,5844,6165,12007,5744,5961,11707,5586,5974,11558,5645,5875,11521,5703,5980,11681,28527,29956,58479,5735,6089,11818,5845,6287,12134,6246,6329,12578,6333,6855,13187,6737,7160,13891,30900,32711,63612,6899,7202,14100,6284,6599,12883,6281,6682,12964,5927,6313,12236,5905,6433,12341,31292,33226,64525,6114,6281,12395,6099,6281,12376,6365,6740,13104,6537,6955,13495,6629,7000,13627,31738,33258,64993,6565,6922
SOSR111,838,833,1669,885,870,1756,951,859,1812,968,910,1884,953,866,1816,4594,4342,8941,925,841,1766,904,854,1757,953,826,1788,869,843,1710,941,869,1814,4598,4238,8832,863,860,1730,825,831,1659,790,784,1575,829,739,1569,795,775,1572,4107,3995,8101,849,720,1576,807,788,1598,787,821,1603,791,809,1600,781,758,1540,4014,3902,7913,744,832,1576,800,871,1675,821,818,1636,789,861,1648,805,875,1682,3965,4254,8223,842,904,1750,801,933,1733,861,842,1700,808,874,1684,783,880,1668,4097,4436,8537,815,912,1725,897,907,1806,816,879,1700,804,832,1637,837,859,1695,4177,4383,8561,817,840,1658,766,791,1556,771,766,1542,816,829,1644,753,821,1568,3927,4046,7974,783,815,1601,765,751,1510,773,830,1606,779,846,1624,857,878,1731,3945,4125,8073,863,915,1778,883,849,1729,768,846,1616,693,807,1508,709,816,1524,3921,4236,8155,657,774,1433,720,707,1427,760,804,1569,782,852,1636,827,859,1684,3753,4004,7752,802,819
SOSR112,2737,2637,5371,2891,2685,5573,2904,2809,5708,3068,2878,5948,3017,2941,5957,14610,13947,28560,2952,2873,5824,3075,2890,5964,3077,2956,6034,3071,2867,5940,3121,3046,6167,15300,14633,29932,2958,2775,5736,2896,2663,5558,2889,2768,5657,2847,2671,5522,2806,2798,5604,14402,13674,28074,2947,2791,5737,2874,2879,5760,2957,2934,5889,2864,2877,5738,2833,2870,5705,14476,14349,28829,2866,2928,5794,2924,2878,5799,2866,2862,5729,2850,2848,5702,2891,2850,5747,14398,14364,28762,2839,2896,5737,2782,3011,5799,2630,2788,5421,2763,2790,5550,2786,2811,5599,13808,14298,28106,2844,2883,5725,2705,2749,5459,2605,2781,5381,2647,2831,5477,2657,2793,5453,13451,14036,27488,2586,2765,5351,2596,2542,5138,2445,2574,5016,2424,2614,5041,2398,2567,4963,12448,13060,25505,2477,2647,5124,2506,2642,5144,2643,2735,5385,2768,2890,5656,2884,3043,5926,13281,13957,27237,2939,3172,6113,2701,2947,5653,2545,2940,5486,2586,2865,5453,2670,2881,5557,13444,14809,28259,2562,2737,5302,2485,2835,5316,2726,2932,5664,2785,3059,5847,2831,3099,5929,13396,14664,28057,2908,3211
SOSR113,1588,1501,3089,1710,1607,3318,1633,1659,3291,1707,1590,3299,1761,1658,3421,8399,8019,16418,1703,1630,3330,1725,1715,3440,1746,1679,3432,1758,1663,3420,1833,1689,3520,8764,8378,17142,1695,1659,3352,1661,1628,3286,1683,1489,3169,1661,1593,3255,1737,1481,3218,8425,7855,16280,1703,1581,3285,1739,1603,3343,1685,1600,3283,1667,1480,3146,1551,1347,2894,8341,7610,15950,1410,1384,2799,1408,1412,2820,1540,1498,3033,1518,1460,2977,1514,1492,3008,7388,7253,14638,1498,1526,3031,1552,1563,3115,1503,1539,3047,1505,1527,3028,1503,1554,3055,7567,7715,15280,1471,1530,2999,1495,1522,3016,1500,1511,3009,1504,1524,3029,1484,1490,2977,7451,7569,15026,1458,1451,2907,1370,1459,2826,1397,1458,2855,1333,1499,2833,1389,1379,2766,6948,7252,14195,1415,1529,2947,1535,1494,3028,1546,1669,3214,1517,1705,3218,1730,1835,3566,7741,8226,15967,1719,1795,3523,1613,1755,3367,1643,1721,3357,1600,1689,3288,1550,1611,3156,8129,8567,16694,1566,1695,3260,1688,1656,3350,1777,1888,3671,1795,1929,3729,1860,1948,3809,8694,9123,17824,1820,2070
SOSR114,1320,1323,2638,1375,1327,2700,1440,1422,2853,1534,1528,3065,1564,1471,3036,7226,7066,14289,1546,1436,2983,1574,1519,3098,1586,1605,3191,1518,1462,2976,1556,1483,3036,7778,7503,15284,1492,1388,2879,1408,1387,2795,1408,1297,2707,1502,1361,2857,1372,1385,2760,7182,6823,14009,1442,1419,2853,1456,1505,2960,1463,1398,2862,1459,1244,2707,1175,1178,2358,6990,6753,13744,1128,1091,2212,1221,1117,2338,1185,1143,2332,1119,1226,2347,1194,1231,2428,5854,5808,11658,1194,1271,2463,1162,1264,2425,1189,1263,2454,1168,1201,2370,1131,1234,2369,5841,6233,12069,1155,1247,2396,1149,1319,2470,1242,1270,2521,1216,1288,2502,1133,1355,2489,5897,6471,12371,1226,1307,2538,1167,1264,2431,1129,1281,2407,1143,1240,2391,1265,1280,2548,5932,6378,12311,1220,1365,2593,1271,1357,2626,1289,1372,2662,1390,1508,2899,1486,1551,3034,6658,7159,13809,1407,1608,3016,1312,1450,2764,1334,1483,2817,1296,1399,2699,1304,1425,2725,6647,7369,14019,1342,1452,2795,1321,1451,2766,1526,1543,3072,1552,1657,3213,1615,1729,3347,7360,7830,15193,1619,1721
SOSR115,1983,1869,3855,2103,1957,4062,2226,2032,4259,2217,2214,4428,2302,2225,4524,10827,10293,21122,2292,2241,4530,2334,2260,4595,2332,2258,4593,2292,2177,4470,2441,2180,4621,11698,11113,22808,2351,2264,4609,2313,2036,4350,2179,2021,4201,2059,2106,4171,2186,2104,4290,11080,10540,21628,2083,2077,4157,2196,2039,4230,2128,2141,4270,1926,1871,3802,1893,1727,3626,10232,9856,20085,1733,1637,3373,1793,1648,3439,1681,1591,3270,1720,1671,3394,1682,1668,3355,8614,8219,16834,1735,1789,3527,1710,1783,3494,1700,1779,3483,1665,1883,3549,1754,1844,3595,8563,9084,17642,1869,1930,3801,1729,1797,3527,1722,1842,3562,1829,1979,3813,1777,1854,3630,8927,9398,18329,1815,1925,3738,1727,1889,3618,1688,1820,3510,1735,1820,3554,1806,1925,3733,8765,9383,18151,1824,1969,3796,1898,2015,3919,2015,2100,4110,2084,2226,4311,2114,2366,4484,9940,10675,20614,2168,2454,4617,2087,2200,4283,2133,2252,4385,1980,2138,4121,1928,2082,4012,10292,11128,21420,2048,2248,4296,2098,2260,4363,2317,2454,4773,2400,2586,4991,2406,2602,5004,11275,12149,23429,2478,2601
SOSR121,503,441,943,552,490,1039,536,515,1051,576,542,1122,568,536,1111,2735,2529,5262,587,602,1187,603,642,1240,645,621,1269,624,644,1266,701,661,1358,3155,3169,6321,674,620,1295,673,596,1269,628,641,1272,660,586,1247,643,611,1253,3278,3053,6331,644,614,1259,602,569,1170,581,653,1234,584,520,1102,496,456,949,2900,2816,5717,477,453,924,443,428,875,483,400,882,428,405,832,383,367,752,2213,2055,4275,383,407,792,409,436,841,368,422,794,424,467,892,440,439,876,2023,2170,4195,406,456,857,356,431,786,410,443,849,415,431,846,432,470,902,2018,2229,4249,439,505,950,470,465,932,458,493,945,457,477,937,443,537,981,2264,2475,4744,493,564,1053,512,567,1080,567,603,1167,586,667,1260,617,684,1298,2780,3076,5858,652,704,1364,638,682,1314,575,629,1205,591,656,1246,581,651,1233,3041,3319,6361,656,618,1271,628,686,1319,675,721,1396,685,722,1402,755,717,1471,3394,3469,6859,750,719
SOSR122,272,254,522,229,269,500,301,279,581,294,264,559,325,285,616,1422,1356,2773,347,328,675,313,331,638,370,337,705,369,352,728,376,339,717,1774,1683,3460,369,336,705,321,331,650,345,321,666,329,339,668,349,317,664,1709,1642,3349,347,326,674,339,350,695,354,325,677,312,292,597,318,234,548,1671,1523,3192,218,209,430,236,209,448,268,210,474,225,228,451,211,221,432,1163,1082,2238,237,253,489,243,220,458,230,215,450,179,230,406,237,254,492,1129,1169,2299,207,272,479,248,241,488,254,246,504,264,222,480,215,253,474,1183,1237,2418,215,276,492,281,257,543,269,289,554,250,278,528,268,287,563,1292,1389,2682,283,316,595,298,290,588,330,325,655,333,363,696,362,391,754,1601,1691,3289,373,375,743,328,372,695,358,364,724,354,366,717,354,381,738,1762,1857,3618,375,420,796,358,363,721,423,400,824,453,433,885,426,442,867,2037,2062,4095,486,477
SOSR131,2628,2420,5046,2789,2439,5223,2845,2789,5636,3051,2815,5866,3248,2972,6218,14561,13436,27997,3315,3165,6479,3524,3391,6916,3837,3442,7281,3937,3735,7678,4011,3887,7899,18626,17621,36247,4027,3799,7820,3990,3739,7727,3980,3663,7642,3982,3698,7679,3895,3729,7627,19872,18626,38499,3997,3785,7780,3918,3752,7671,4004,3678,7680,3653,3178,6834,3166,2628,5792,18729,17018,35753,2941,2469,5410,2842,2441,5290,2664,2213,4880,2542,2218,4765,2613,2186,4798,13601,11532,25135,2435,2178,4610,2483,2149,4634,2323,2170,4495,2276,2149,4421,2183,2114,4301,11697,10761,22459,2338,2255,4591,2297,2372,4666,2388,2504,4890,2448,2614,5063,2546,2640,5187,12022,12381,24395,2490,2734,5226,2564,2681,5246,2678,2792,5474,2738,2905,5647,2876,2990,5867,13351,14104,27457,3071,3168,6240,3231,3403,6634,3544,3746,7282,3733,3818,7556,4161,4258,8414,17733,18394,36125,4318,4432,8746,3987,4117,8104,4154,4216,8375,4068,3905,7976,4117,4113,8227,20642,20780,41428,4156,4170,8327,4316,4258,8573,4687,4512,9200,4648,4700,9350,4958,4744,9706,22763,22387,45148,5084,4846
