SOSR_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SOSR101,36,205,1558,3745,859,563,236,66,17,7284,128696,223116,189590,301529,124491,97378,63109,30581,13434,1171938,170,545,1260,8355,1446,922,174,17,7,12896,3,15,155,1036,649,602,319,226,36,3028,18,89,325,1740,1302,1025,566,179,66,5311,70,222,371,1882,775,485,228,79,29,4135,14,82,170,1714,1117,868,1053,327,33,5368,783,2731,18280,37155,14259,12651,6608,4000,1434,97897,7,29,112,772,935,1116,1393,1365,246,5961,80,417,382,2289,1227,1799,1722,947,351,9211,618,3671,3554,20115,14150,10488,9776,4659,1614,68644,28,323,955,5519,3155,2525,1181,450,83,14212,44,251,457,2737,662,321,261,113,40,4886,33,214,453,1932,1150,802,1926,918,305,7739,22,181,259,760,1059,1916,3245,3791,1169,12395,185,705,2445,6673,2665,4064,1773,564,118,19202,1516,4138,6785,41839,6989,4129,2301,1000,312,69008,87,403,2436,6284,1582,1225,904,338,89,13344,68,541,934,6160,1635,1209,710,296,98,11652,138,1332,2671,7586,3937,2378,1181,522,134,19886
SOSR102,18,22,34,87,7,4,3,4,0,177,28596,55892,55139,94268,47491,43476,31963,16614,6583,380025,13,15,29,207,21,16,3,0,0,306,0,0,20,77,66,65,47,37,5,321,5,4,8,50,19,8,12,0,0,110,6,59,67,271,163,105,60,32,8,772,0,4,10,127,149,83,138,50,6,562,28,88,1047,1488,261,224,188,69,37,3422,0,3,11,95,128,152,211,240,45,877,5,18,13,108,35,80,108,51,12,429,86,684,658,2465,3418,3373,3801,2557,885,17927,0,20,29,198,96,72,37,14,3,467,3,16,33,116,77,54,58,20,5,384,7,30,46,156,186,320,815,358,141,2069,0,6,10,22,71,176,236,241,74,837,3,15,111,103,60,88,35,24,3,441,54,204,373,1785,261,148,156,95,21,3114,9,42,62,165,57,39,38,24,6,451,6,15,44,304,45,40,13,5,0,477,17,61,33,138,48,10,14,4,0,332
SOSR111,0,0,8,0,0,0,0,0,0,16,4363,7995,7167,13441,6219,5809,4055,1963,655,51656,0,9,0,54,5,0,0,0,0,64,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,8,0,23,21,12,4,3,0,70,0,0,0,3,4,0,0,0,0,13,4,3,17,50,21,14,12,3,0,130,0,0,0,0,4,10,10,8,0,37,0,3,0,9,3,3,3,0,0,29,3,41,40,172,227,238,285,133,52,1191,0,5,3,25,13,5,3,0,0,55,0,0,0,3,6,0,7,0,0,18,0,0,0,17,21,42,140,32,9,258,0,0,0,3,4,4,14,7,5,43,0,3,3,11,9,16,0,0,0,46,9,45,14,341,39,18,12,3,0,486,0,0,3,3,3,0,4,0,0,13,0,3,0,8,3,0,0,0,0,14,0,0,0,3,3,0,0,0,0,7
SOSR112,0,12,43,50,12,0,0,0,0,126,13611,26809,25123,42158,21263,21274,16460,8960,3232,178886,3,13,3,144,11,11,3,0,0,195,0,0,3,6,3,7,0,4,0,24,0,0,6,15,4,0,0,0,0,28,3,25,11,96,57,44,31,19,0,293,0,0,3,19,19,10,17,4,0,84,7,29,138,324,112,71,57,24,6,761,0,0,3,6,13,17,17,39,10,107,3,26,9,57,22,22,32,18,7,203,10,167,183,663,962,1171,1566,1000,340,6064,0,11,16,99,48,46,17,3,6,241,3,11,11,52,25,29,29,9,3,169,0,17,10,52,67,111,246,156,46,712,0,7,8,10,16,20,48,45,6,160,0,16,26,60,30,37,19,3,0,197,40,126,93,1024,130,70,58,33,9,1580,3,3,25,51,18,11,17,10,5,135,3,29,25,94,16,10,4,0,3,180,7,14,13,69,16,5,3,0,0,123
SOSR113,0,5,11,45,21,6,5,0,0,95,7836,15669,14025,24486,13394,14391,12395,7009,2545,111758,0,3,4,39,5,0,0,0,0,52,0,0,0,0,7,0,4,8,0,22,0,0,0,6,4,0,3,0,0,18,3,11,11,22,25,21,22,7,0,129,0,0,0,10,8,8,15,3,3,51,0,9,18,84,42,29,30,10,3,220,0,0,0,5,15,13,39,52,3,131,0,0,0,15,12,16,25,7,3,80,13,79,74,334,542,651,1105,716,233,3739,0,10,17,63,31,22,18,8,3,185,0,3,3,12,9,12,16,13,3,73,0,3,10,25,42,77,178,102,13,452,0,3,4,7,5,19,31,31,5,108,3,3,5,19,10,24,3,0,0,73,10,61,53,505,96,73,35,24,4,869,0,6,7,14,10,4,8,9,4,57,0,3,4,12,3,3,0,3,0,30,0,0,0,8,3,7,0,3,0,17
SOSR114,0,0,4,25,10,4,0,0,0,43,6690,13584,11290,19684,11170,12163,10859,6159,2075,93672,0,0,0,15,5,3,0,0,0,30,0,0,0,0,3,3,0,3,0,12,0,3,0,5,0,0,0,0,0,8,0,10,9,69,26,20,21,12,0,168,0,0,0,12,4,5,11,4,0,40,3,17,79,53,33,24,25,11,0,233,0,0,0,0,7,8,13,25,0,58,0,0,0,4,0,3,8,5,5,33,25,92,80,349,480,602,855,523,181,3184,0,7,7,38,11,18,7,4,0,97,0,0,6,33,8,3,17,7,0,78,0,3,7,37,38,63,143,80,25,398,0,0,0,0,3,17,15,19,4,61,0,6,16,10,11,12,4,5,0,60,8,13,12,201,34,32,18,13,8,338,3,7,3,13,10,0,9,5,4,54,0,0,3,12,5,4,0,0,0,26,0,3,0,0,3,0,0,3,0,15
SOSR115,0,0,6,18,7,4,0,0,0,46,10041,20830,16873,29826,16965,19230,16447,8657,3050,141914,0,0,0,35,3,3,0,0,0,42,0,0,0,8,3,7,4,7,0,31,0,3,3,10,0,3,0,0,0,18,0,12,15,42,26,30,20,10,0,166,0,0,0,21,22,17,15,11,0,83,3,11,23,95,54,29,31,12,4,251,0,0,0,8,21,26,44,41,3,146,0,3,0,14,3,5,27,13,0,80,28,128,126,516,899,1062,1659,857,262,5532,0,4,4,53,27,23,12,6,3,136,0,3,5,24,15,19,21,6,3,104,3,8,4,40,57,117,278,155,39,701,0,3,0,9,9,12,43,30,10,114,0,0,8,27,11,17,7,6,0,78,18,29,50,418,70,64,54,21,6,736,0,4,3,10,5,7,16,11,3,64,0,0,0,20,5,3,4,3,0,34,0,3,0,7,8,3,4,0,0,22
SOSR121,0,0,0,0,0,0,0,0,0,0,2578,5916,4676,7711,5212,5769,4479,2033,588,38955,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,25,10,16,11,0,0,63,0,0,0,0,3,0,3,3,0,16,0,3,4,7,5,4,6,4,0,43,0,0,0,3,5,5,3,4,0,26,0,0,0,3,0,7,9,0,3,19,0,33,18,141,234,319,480,204,47,1478,0,0,0,4,4,6,3,0,0,22,0,4,5,10,4,9,6,0,0,38,0,3,3,11,23,47,64,31,10,191,0,0,0,0,4,4,9,5,0,22,0,3,0,9,4,4,3,0,0,18,3,3,9,46,12,3,8,8,0,99,0,0,0,0,0,0,4,4,0,12,0,0,0,4,0,3,0,0,0,13,0,0,0,3,3,0,0,0,0,6
SOSR122,0,0,0,0,0,0,0,0,0,0,1331,3193,2546,4320,3001,3536,2700,1217,314,22167,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,10,3,11,4,0,0,36,0,0,0,3,0,0,3,0,0,8,0,3,0,13,5,3,7,0,0,23,0,0,0,0,8,4,4,0,0,13,0,0,0,0,0,0,3,0,0,10,3,11,13,89,138,211,243,138,20,872,0,0,0,3,3,7,0,0,0,9,0,0,0,0,4,0,5,6,0,14,0,0,0,6,11,27,60,20,10,134,0,0,0,0,0,0,6,3,0,15,0,0,0,7,4,3,0,0,0,14,4,0,3,27,4,0,5,4,0,53,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0
SOSR131,0,0,5,10,3,0,0,0,0,17,13400,34992,28634,45314,34117,36067,25593,9669,2361,230151,0,0,0,12,6,0,0,0,0,24,0,0,5,6,9,12,17,9,0,53,0,0,0,13,6,3,7,0,0,30,0,13,18,80,65,75,60,4,0,319,0,0,4,29,26,22,17,3,0,100,0,23,56,159,116,85,63,26,4,529,0,0,0,9,33,66,75,69,15,269,0,0,0,10,19,32,41,14,0,115,23,151,192,683,1441,1901,2197,933,178,7693,0,4,11,52,48,43,22,8,0,187,4,11,18,40,41,45,50,12,3,220,4,18,15,97,129,234,425,183,32,1143,0,0,3,14,20,65,79,52,11,237,0,10,10,41,23,29,14,7,4,126,8,8,29,173,76,69,84,33,7,495,0,6,8,19,8,15,20,19,0,95,0,0,5,22,24,23,13,0,0,91,0,0,7,33,26,33,13,4,3,122
