SOSR_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SOSR101,17,60,409,1229,4508,5887,10249,5190,938,780,787,906,800,597,611,32974,16,35,244,1062,1619,6796,6143,4443,737,1765,1015,654,678,415,605,26218,3,4,38,215,1201,2740,4681,4609,715,1070,1418,1807,1780,883,1283,22451,12,27,759,5261,1054,1689,1071,354,55,44,111,106,62,51,346,10993,3,11,74,3397,1782,2160,1904,865,187,163,153,162,187,113,363,11520,727,6939,16618,28163,15630,16006,23496,17833,4391,4603,4553,4137,4187,2085,4373,153742,33,123,376,1536,1497,2434,4010,3354,859,1034,1071,1295,1636,1189,710,21174,0,22,47,719,25568,23014,9721,7712,1439,1838,2186,2065,1992,1191,2941,80460,3,3,49,102,354,376,1507,1083,177,128,112,101,128,95,60,4285,463,5213,8274,32184,32018,50300,58837,48394,8501,10561,14189,15589,17847,12600,10801,325781,2712,34594,73498,140219,161259,279695,325564,251031,49340,58039,67922,71586,76872,49338,56615,1698292
SOSR102,7,18,97,241,470,409,1111,701,114,97,72,35,92,39,60,3559,4,5,43,85,92,180,135,184,36,36,47,43,64,41,33,1031,0,0,0,31,59,188,457,487,93,80,128,132,101,58,116,1923,6,51,608,2824,510,534,213,118,4,16,17,20,20,3,207,5157,0,3,0,355,130,161,100,36,6,5,23,4,8,12,38,893,343,3852,8189,12695,4578,3571,4096,3154,582,625,548,442,406,200,1663,44946,5,39,103,354,296,368,647,527,124,146,96,113,136,73,109,3135,0,0,3,23,551,258,181,225,46,99,110,120,139,114,84,1949,0,0,14,17,81,44,249,154,24,26,33,30,36,24,12,746,57,1105,2314,5052,2346,2516,2931,2646,534,653,691,1090,831,736,947,24450,640,10716,18925,28526,15880,15668,18768,15910,3266,3924,3936,4498,4417,2933,6047,154068
SOSR111,0,0,5,14,20,25,116,148,14,25,18,12,11,5,5,425,0,0,3,0,11,15,14,30,8,17,3,14,12,3,4,125,0,0,0,0,12,12,43,33,4,10,11,10,3,3,4,143,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,7,0,0,0,0,0,0,0,3,9,32,272,502,783,375,241,286,226,48,25,32,23,20,14,96,2967,0,5,4,22,23,39,48,32,10,15,0,6,14,8,3,228,0,0,0,0,12,8,14,18,0,8,8,16,4,3,0,85,0,0,0,0,10,8,31,71,4,7,3,3,13,4,0,143,0,110,128,228,173,123,207,359,158,119,110,103,108,27,70,2018,48,934,1111,1497,1169,1057,1437,1909,452,422,360,370,334,174,366,11632
SOSR112,0,16,47,96,161,127,372,319,45,71,24,33,41,25,37,1406,0,6,14,18,22,46,76,140,33,67,68,30,31,9,8,578,0,0,0,4,24,76,110,150,33,34,34,45,39,36,40,631,0,3,3,28,5,12,6,0,0,0,0,0,0,0,8,66,0,0,0,19,9,8,7,16,3,0,0,3,4,0,5,68,131,1477,2930,4249,1535,1108,1195,834,140,140,207,139,109,49,618,14856,0,10,48,228,129,137,253,175,36,26,61,37,44,34,36,1259,0,0,0,13,63,35,54,95,25,38,25,48,62,56,73,594,0,0,14,10,56,23,114,143,26,19,29,5,16,12,12,483,29,381,605,1059,590,624,1018,1571,301,395,404,442,591,402,424,8827,261,3556,5399,7791,4960,4506,5999,6571,1311,1804,1764,1783,2011,1258,2467,51445
SOSR113,0,10,22,71,111,72,198,213,32,48,16,15,20,6,29,867,0,3,9,11,12,27,13,48,8,8,5,14,7,5,4,177,0,0,0,10,14,29,101,86,15,25,20,26,17,10,25,375,0,0,10,34,0,3,3,0,0,0,0,3,0,0,0,52,0,0,3,7,5,20,51,17,0,4,3,3,4,0,3,122,92,1100,1976,2694,937,518,614,472,82,85,76,53,60,34,434,9224,0,13,24,80,52,75,129,82,24,16,11,27,18,8,30,592,0,0,3,6,34,30,20,40,7,5,9,8,9,0,21,194,0,0,6,3,21,18,42,75,13,4,6,5,4,0,7,193,25,253,385,758,357,368,496,407,85,100,134,124,150,68,239,3950,240,2919,3949,5142,2841,2592,3260,3135,636,785,651,634,619,373,1528,29312
SOSR114,3,5,24,44,100,55,154,197,26,38,17,0,14,14,24,717,0,4,9,9,14,14,10,30,6,8,22,0,0,0,5,129,0,0,0,3,12,14,71,65,3,12,20,16,16,4,27,261,0,0,4,13,5,0,3,0,0,0,0,0,0,0,3,34,0,0,0,8,0,4,3,0,4,0,0,0,3,0,4,30,75,843,1550,2152,699,494,664,475,85,77,98,55,74,29,365,7754,3,5,20,75,64,68,112,62,25,20,18,18,21,26,23,558,0,0,0,6,18,23,16,31,10,7,0,6,8,24,17,160,0,0,8,0,27,13,14,32,3,3,4,0,10,6,5,117,18,174,281,535,251,237,347,334,69,95,103,105,148,40,162,2906,172,1998,2845,3821,2306,1947,2505,2370,472,634,546,510,610,313,1158,22209
SOSR115,3,9,37,78,115,92,238,224,27,47,36,14,11,9,23,970,0,3,12,18,10,28,16,46,4,27,10,14,8,7,12,215,0,0,0,7,19,43,67,77,22,16,14,22,19,9,26,340,0,3,12,31,0,6,5,0,0,0,0,0,0,0,0,59,0,0,3,12,7,11,0,3,0,0,0,3,0,0,3,46,98,1451,2796,3913,1378,976,977,571,127,131,76,80,68,49,553,13240,0,25,31,163,108,107,174,123,24,22,8,23,32,6,42,887,0,0,0,5,46,24,24,29,7,8,10,12,24,7,23,221,0,0,6,13,24,14,36,31,9,5,4,3,6,0,10,161,37,346,498,977,387,440,466,393,78,143,120,137,157,91,260,4536,221,3361,5043,7051,3891,3410,3652,3140,644,797,638,657,676,397,1671,35248
SOSR121,0,6,12,15,33,32,70,45,0,0,13,0,4,0,3,236,0,0,3,5,0,5,0,8,0,0,0,0,0,0,0,27,0,0,0,0,4,10,17,9,3,3,4,6,0,3,5,76,0,3,3,8,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,7,16,338,667,1091,411,259,270,144,42,26,23,17,16,3,151,3494,0,5,19,42,39,25,37,44,7,4,4,8,6,3,14,263,0,0,0,3,10,6,0,5,3,0,5,4,10,3,4,57,0,0,0,3,9,5,10,3,0,0,0,0,0,0,0,27,6,63,144,254,147,107,107,75,7,25,10,21,14,18,52,1037,35,775,1263,1921,1132,863,937,649,131,144,129,115,121,49,380,8641
SOSR122,0,0,9,5,21,10,25,41,3,0,3,0,0,0,3,125,0,0,0,0,4,4,0,3,0,0,0,3,0,0,0,24,0,0,0,0,0,5,6,9,3,0,3,3,4,3,8,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,9,7,187,456,596,204,143,145,90,20,20,3,9,9,0,58,1951,0,5,8,32,12,7,21,17,3,5,0,4,0,0,3,130,0,0,0,4,5,0,0,4,0,0,3,3,0,4,3,22,0,0,0,8,3,3,3,6,0,0,7,0,0,0,0,27,3,32,78,189,78,57,68,29,6,4,10,5,11,4,34,615,22,454,844,1161,656,515,510,343,80,73,44,75,65,21,215,5073
SOSR131,3,8,74,134,242,187,446,357,47,39,33,42,37,15,36,1706,0,6,13,29,27,25,14,38,10,3,0,3,0,3,12,192,0,0,3,18,31,49,81,89,17,5,21,30,31,18,35,443,3,0,6,53,10,10,3,0,0,0,0,0,0,0,10,100,0,3,0,22,11,4,18,5,0,0,0,0,0,0,15,84,93,1530,3617,5230,2077,1591,1603,861,159,146,165,94,103,46,787,18087,0,35,97,319,216,241,352,212,53,49,41,46,29,25,58,1776,0,0,3,11,69,59,29,23,7,12,6,12,15,12,62,306,0,0,17,15,75,40,82,36,3,0,7,8,0,0,0,289,25,419,840,1785,908,833,753,425,76,96,105,93,122,47,429,6948,221,4586,8134,11341,6920,6080,6042,3546,697,649,720,655,644,342,2804,53379
