SOSR_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOSR101,4938,5677,4268,898,1459,339,17581,901,862,874,125,298,42,3098,1534,1645,1629,285,664,66,5826,1327,1475,1426,271,555,57,5115,2018,2257,2164,481,929,87,7944,2812,3606,2955,678,1403,160,11608,3876,6013,4249,1012,1658,178,16988,4311,7384,4613,1337,1895,218,19754,4459,8721,4211,1277,1677,217,20554,5381,11149,4860,1547,1989,260,25182,4365,9553,3307,1144,1306,199,19867,10147,22818,9042,2425,2840,485,47754,4295,10152,2856,922,908,138,19274,4608,10706,2998,777,749,149,19984,8854,20671,6207,1649,1582,302,39265,15786,38933,11071,2407,2246,494,70940,6850,18753,5329,963,940,222,33062,6387,19139,4974,955,822,209,32473,3889,8242,4436,938,1424,303,19229,96747,207739,81473,20083,25328,4119,435488
SOSR102,1282,749,649,163,270,58,3164,377,196,197,47,107,15,936,792,376,505,128,247,31,2079,584,372,359,109,198,20,1641,1026,742,738,217,427,33,3180,1266,1195,1082,344,520,53,4463,1532,1832,1269,480,614,39,5769,1962,2853,1450,660,753,56,7744,1935,3398,1394,633,648,59,8069,2474,4766,1684,810,720,72,10520,1910,4094,1128,521,425,52,8143,3189,6850,2175,727,577,90,13606,1404,3279,682,272,167,22,5822,854,2208,485,119,101,21,3776,2173,5152,1344,329,305,38,9333,2156,5261,1523,295,301,27,9569,713,1529,499,79,82,11,2911,467,919,346,57,42,4,1843,972,1487,791,264,320,47,3877,27067,47266,18286,6251,6811,764,106438
SOSR111,155,79,78,16,26,3,357,60,16,26,8,12,0,118,104,51,59,17,26,4,260,67,58,41,16,26,0,209,162,122,96,61,53,4,501,235,251,175,70,75,15,811,259,393,185,90,76,14,1025,399,637,244,140,107,14,1539,361,675,191,82,82,9,1396,437,787,210,104,80,15,1625,252,607,153,62,39,3,1117,415,834,256,59,58,5,1624,144,369,74,17,18,0,623,92,181,48,11,7,3,344,203,497,136,26,16,4,881,190,388,116,12,20,0,720,52,98,36,7,4,3,198,23,59,22,6,3,0,104,152,192,85,29,30,5,496,3756,6293,2233,819,747,104,13960
SOSR112,559,241,194,59,87,13,1155,197,64,62,29,53,5,413,362,172,166,47,94,8,847,301,146,135,67,101,5,760,627,370,263,152,189,15,1617,849,720,403,276,286,33,2560,982,1179,510,331,300,29,3329,1257,1789,623,495,374,36,4569,1173,2103,545,386,266,43,4520,1364,2476,667,383,246,28,5159,824,1740,405,207,119,12,3313,1142,2220,648,202,192,22,4426,424,959,184,59,45,7,1673,238,508,116,36,31,4,936,654,1221,354,93,73,11,2400,554,1062,349,72,72,10,2121,185,331,92,23,24,3,656,118,206,52,15,12,3,402,463,526,228,114,125,16,1473,12273,18035,5997,3045,2687,300,42331
SOSR113,370,159,136,37,58,12,767,161,39,56,27,31,4,312,288,119,111,48,83,9,650,258,113,97,50,73,3,600,441,276,194,122,137,13,1190,547,539,310,186,156,23,1763,612,746,333,213,198,25,2127,763,1163,422,270,198,27,2841,686,1063,329,172,132,17,2397,671,1215,363,155,136,18,2554,418,800,210,104,82,7,1634,602,1145,362,120,70,15,2299,208,453,105,37,28,4,839,117,247,56,9,10,0,443,303,691,206,42,42,3,1295,308,569,189,45,27,0,1137,112,161,61,20,7,0,354,65,88,36,9,7,3,213,324,335,184,74,77,17,1021,7249,9923,3771,1729,1545,188,24418
SOSR114,292,124,73,32,54,13,582,123,40,27,14,22,0,228,245,91,85,36,58,3,529,231,100,79,42,69,3,519,409,311,195,125,130,9,1184,562,567,272,158,136,19,1712,622,759,317,188,173,18,2075,700,1006,356,189,164,20,2430,557,921,298,144,109,14,2047,554,1053,295,129,85,8,2129,344,701,180,69,57,4,1353,531,949,286,86,53,11,1921,184,474,73,35,26,3,798,105,275,53,18,19,0,469,270,655,153,55,34,0,1167,325,606,140,40,29,0,1131,90,134,62,16,13,3,312,73,85,31,6,10,0,204,330,297,145,68,86,13,941,6555,9144,3137,1441,1314,144,21736
SOSR115,473,181,144,50,78,14,939,198,67,43,32,48,4,392,444,167,169,70,97,13,962,389,231,159,73,98,12,956,653,482,305,180,192,20,1827,896,871,411,255,243,20,2690,943,1055,465,262,245,16,2984,983,1396,486,302,237,15,3410,787,1419,392,224,154,15,2989,815,1541,469,211,164,14,3209,518,1204,287,134,79,6,2239,784,1659,467,160,101,16,3191,305,737,145,53,33,0,1285,212,459,104,31,21,3,832,559,1166,322,79,54,7,2192,597,1139,324,88,67,7,2219,157,308,87,10,14,3,578,120,140,38,23,11,3,337,499,498,235,124,105,22,1482,10326,14715,5057,2353,2043,221,34712
SOSR121,178,64,50,15,20,0,324,54,23,22,0,15,0,123,128,70,61,22,29,4,304,126,88,44,24,31,0,316,195,178,108,46,51,11,590,240,270,141,71,52,9,786,231,319,136,69,60,4,827,294,418,162,94,72,7,1043,244,389,134,56,36,5,864,245,497,149,62,47,7,1005,166,319,80,41,21,0,628,270,537,170,43,34,0,1062,92,192,57,11,10,0,370,60,144,40,9,5,0,253,166,353,108,33,14,0,670,177,356,106,24,14,0,674,61,112,34,3,6,0,219,28,45,17,0,3,0,95,144,162,92,30,23,5,458,3102,4526,1713,658,548,50,10591
SOSR122,78,35,30,14,18,0,180,44,11,14,10,9,0,83,80,46,38,18,26,3,217,89,63,40,29,32,0,251,126,109,61,47,20,3,360,163,140,77,49,39,5,472,139,186,69,39,35,0,472,170,234,72,48,32,8,555,129,190,74,41,16,4,450,152,205,71,30,20,0,488,85,125,33,11,16,0,268,139,245,82,24,19,0,512,35,82,18,3,6,0,156,32,69,16,8,6,0,120,72,153,54,16,13,0,310,94,169,44,9,5,0,321,46,57,22,0,0,0,130,26,40,12,3,3,0,90,88,80,57,16,16,5,264,1799,2229,884,420,333,34,5702
SOSR131,1495,952,574,97,145,24,3288,300,134,93,23,57,6,608,616,305,242,91,100,16,1361,524,289,256,73,81,10,1234,889,614,455,141,124,14,2242,1089,999,628,187,184,26,3110,1255,1186,664,189,170,18,3483,1404,1582,759,214,220,23,4193,1075,1529,590,178,176,10,3555,1161,1811,764,226,160,12,4133,804,1360,456,114,86,13,2833,1468,2642,1022,224,174,22,5544,558,1121,314,78,45,10,2122,462,889,255,41,53,5,1703,1098,2079,667,122,102,7,4077,1567,3091,1036,170,123,14,6010,701,1272,430,63,64,8,2541,608,1114,402,60,71,6,2262,1242,1244,723,152,168,28,3565,18322,24203,10309,2460,2316,259,57871
