SOSR_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR101,1717381,1798364,3515745,822730,522375,1345105,220052,385807,605856,45444,52496,97941,68473,63951,132418,1156692,1024629,2181320,454489,666871,1121367,5.9,6.2,6.1,67.4,57,62,63.4,53.4,58.3,141071,135362,276432,24990,39080,64067,327013,381537,708551,141720,185824,327547,265389,123751,389143,10320,19786,30110,27471,44203,71672,303187,187729,490918,1619566,1680476,3300041,317392,323875,641272,1042582,1091664,2134247,812090,832526,1644618
SOSR102,390271,419667,809935,163854,92526,256381,47391,104463,151858,10503,12657,23158,17536,14622,32156,239288,224266,463553,128845,171288,300138,7.3,6.5,6.9,61.3,53.4,57.2,56.8,50,53.3,13816,13743,27562,4578,8438,13013,40177,56443,96618,29584,43154,72739,107407,51306,158711,3491,7067,10558,6924,12869,19785,117824,71235,189062,375145,394135,769277,66105,70196,136301,253254,265782,519034,170618,182588,353209
SOSR111,47859,52252,100115,22010,11973,33980,5519,13408,18923,1273,1657,2930,2325,2153,4478,31121,29185,60315,13735,19986,33724,7.5,7.4,7.4,65,55.9,60.2,60.2,51.7,55.8,1011,1182,2189,518,1013,1529,3615,6142,9754,3351,5046,8396,14305,7524,21826,486,1107,1589,735,1419,2153,15518,10048,25569,46416,48940,95359,9041,9935,18973,29930,31163,61089,22751,25342,48087
SOSR112,175452,194076,369524,70193,43550,113743,21033,44943,65973,4622,5555,10178,7550,6459,14014,103401,100511,203913,59736,80083,139816,7.3,6.4,6.9,58.9,51.8,55.2,54.6,48.5,51.4,5411,5686,11096,2196,4185,6381,16020,25264,41282,11572,19361,30937,45213,24702,69914,1992,3883,5874,3011,6035,9050,50224,34621,84837,160838,175390,336226,34502,37700,72205,102346,110907,213250,84026,93949,177974
SOSR113,111059,120026,231091,38918,21194,60117,12209,25861,38072,3001,3269,6267,5198,4081,9280,59324,54410,113734,43444,56515,99960,8.8,7.5,8.2,53.4,45.3,49.2,48.7,41.9,45.2,1877,1893,3768,961,1784,2747,6855,10834,17693,6436,10467,16898,31506,15389,46892,1239,2422,3656,2027,3819,5850,34770,21627,56403,103147,109264,212413,19106,20700,39807,68843,72410,141253,47899,52228,100132
SOSR114,92481,101541,194026,33869,19128,52997,10590,22401,32995,2651,3053,5709,3569,3100,6668,50686,47688,98370,34024,45377,79404,7,6.5,6.8,54.8,47,50.7,50.9,43.9,47.3,1556,1800,3351,874,1657,2529,6426,10610,17036,5324,9136,14463,25473,12579,38048,870,1897,2771,1630,3176,4805,27974,17649,45621,86260,92220,178482,16132,17955,34089,57944,61536,119479,39190,43492,82686
SOSR115,140464,150430,290897,52262,29012,81270,15649,33805,49451,4205,4472,8678,5152,4399,9545,77268,71682,148947,52007,67004,119007,6.7,6.1,6.4,55,47.7,51.2,51.3,44.7,47.9,2603,3105,5711,1328,2769,4103,9292,15743,25036,8173,14359,22525,39455,18263,57714,1344,2845,4187,2409,4548,6952,43207,25655,68863,132567,139010,271577,23025,25178,48202,89969,93227,183193,58031,63817,121847
SOSR121,37665,38963,76622,14350,7814,22164,4519,9529,14044,1108,1210,2317,1451,1178,2629,21426,19729,41161,13604,16606,30207,6.8,6,6.4,56.9,50.6,53.7,53,47.6,50.3,729,867,1597,424,779,1203,2790,4351,7136,2313,4044,6359,11307,5037,16343,326,749,1073,710,1269,1984,12347,7056,19397,36869,37467,74336,5575,5982,11559,25916,26068,51986,14707,15643,30355
SOSR122,22356,22088,44437,7899,4249,12142,2658,5148,7804,707,707,1416,876,693,1567,12132,10793,22932,8350,9537,17886,7.2,6.4,6.8,54.3,48.9,51.6,50.4,45.7,48.1,452,502,953,203,401,603,1427,2333,3754,1287,2184,3475,6358,2770,9132,211,432,644,382,646,1036,6959,3850,10815,21471,20964,42438,2928,3101,6027,15590,15040,30623,7830,8066,15896
SOSR131,231960,217622,449576,102145,52446,154594,27754,57349,85105,7839,7866,15706,6592,5254,11846,144330,122906,267240,66741,75753,142489,4.6,4.3,4.4,62.2,56.5,59.4,59.4,54.1,56.8,5388,6060,11452,2221,4816,7044,18755,29986,48741,14977,24146,39116,64472,25376,89846,2054,4274,6326,4112,7380,11491,70635,37029,107664,224432,211648,436082,27938,27665,55603,165818,153730,319547,76765,76410,153176
