SSC_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,3,8,0,7,18
SSC10002,0,0,0,0,165,165,3,0,0,0,183,189,70,4,0,0,173,253,166,8,12,0,54,243,271,5,23,0,17,319,290,7,20,7,16,333,102,13,9,9,4,140,45,0,3,14,0,61,10,0,0,4,0,19,961,37,69,29,614,1711,0,0,0,0,184,184,15,0,0,0,181,196,94,9,3,0,137,246,183,23,24,0,39,265,309,12,23,11,19,372,246,11,34,17,18,318,89,3,10,26,9,130,35,0,4,33,3,68,0,0,0,17,0,20,962,54,95,94,583,1795,0,0,0,0,347,347,17,0,0,0,365,377,159,14,9,0,315,493,349,26,27,0,95,506,585,15,52,11,36,695,532,20,48,22,26,649,191,16,22,30,12,267,82,0,8,40,5,134,16,0,0,22,0,36,1926,92,163,123,1198,3504
SSC10003,0,0,0,0,118,118,0,0,0,0,102,102,115,0,0,0,182,300,222,6,27,0,88,344,229,14,58,6,84,389,219,12,53,9,58,346,218,14,41,15,33,316,125,5,0,17,8,152,32,0,0,14,0,46,1155,47,188,55,673,2115,0,0,0,0,104,108,3,0,0,0,107,103,151,3,3,0,177,340,252,17,44,0,121,430,245,22,62,4,101,441,220,18,62,15,53,375,190,18,62,51,24,335,88,4,18,83,17,205,10,0,4,66,10,89,1161,78,253,225,716,2430,0,0,0,0,230,225,3,0,0,0,205,202,271,3,7,0,362,641,474,23,65,0,213,773,479,40,119,11,182,830,440,29,120,23,109,718,404,26,100,63,58,655,207,3,20,99,22,358,42,0,5,80,7,139,2318,132,437,276,1388,4545
SSC10004,0,0,0,0,41,41,0,0,0,0,37,37,26,0,0,0,26,47,54,0,3,0,4,70,75,5,6,0,5,85,59,3,6,0,4,72,25,0,7,0,4,37,11,0,0,0,0,7,6,0,0,0,0,6,248,6,23,0,127,408,0,0,0,0,39,39,3,0,0,0,20,28,34,0,0,0,20,59,56,3,12,4,9,75,73,5,15,3,4,93,59,3,13,3,0,77,16,0,8,3,0,32,13,0,3,6,0,19,0,0,0,6,0,7,257,9,43,23,94,430,0,0,0,0,85,85,3,0,0,0,60,65,59,0,0,0,42,105,114,4,12,4,17,143,146,8,20,3,6,183,119,6,19,3,4,149,39,0,10,8,3,62,21,0,3,6,0,27,5,0,0,6,0,7,512,19,67,23,223,833
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,7,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,22
SSC10006,0,0,0,0,100,100,0,0,0,0,82,85,44,0,6,3,95,142,71,16,19,0,57,158,81,9,22,0,40,155,84,6,32,4,27,152,66,10,16,6,9,106,26,0,6,4,3,38,3,0,0,5,0,9,375,46,101,24,402,945,0,3,0,0,88,87,5,0,0,0,91,97,61,12,8,0,104,176,68,16,22,0,41,145,81,16,26,5,28,154,87,5,42,12,14,162,52,3,25,24,0,103,16,0,7,23,3,53,3,0,0,13,0,15,372,53,128,83,363,998,0,4,0,0,182,190,3,0,0,0,176,179,98,12,14,3,192,319,140,27,41,0,93,304,157,27,55,5,63,312,175,13,71,19,43,316,119,12,43,28,7,206,44,4,16,33,4,93,3,0,0,13,0,19,742,93,233,105,772,1941
SSC10007,0,0,0,0,67,67,0,0,0,0,55,56,42,4,0,0,87,130,83,9,10,0,44,140,79,12,14,0,35,137,88,5,17,3,23,140,71,7,14,11,11,106,31,0,3,8,0,39,3,0,0,3,3,16,392,30,49,27,327,827,0,0,0,0,66,66,3,0,0,0,52,56,53,11,0,0,72,142,85,8,11,3,25,130,93,6,22,0,13,141,69,8,10,6,11,106,57,0,11,21,0,99,25,0,9,26,0,60,3,0,0,15,0,14,392,36,63,77,238,809,0,0,0,0,132,132,3,0,0,3,101,108,98,12,0,0,155,268,168,12,22,0,69,268,173,13,31,4,50,278,161,16,26,11,33,241,132,6,27,32,9,203,58,0,11,32,0,99,5,0,0,17,3,32,792,62,118,99,560,1631
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,10,3,0,0,0,0,3,10,0,0,0,0,10,7,0,0,0,0,9,6,0,0,0,3,7,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,11,40,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,3,5,6,0,0,0,0,6,11,0,0,0,0,11,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,8,34,0,0,0,0,6,6,0,0,0,0,0,0,8,0,0,0,5,14,9,0,0,0,3,14,11,0,0,0,0,11,13,0,0,0,0,11,13,0,0,0,4,12,3,0,0,0,0,3,0,0,0,0,0,0,61,0,0,0,20,76
SSC10009,0,0,0,0,194,194,10,0,0,0,165,172,207,18,8,0,215,452,260,27,18,0,86,384,238,5,34,0,27,307,157,7,16,3,12,194,112,5,14,11,4,137,38,0,3,3,0,48,3,0,0,0,0,5,1021,57,91,18,703,1890,0,0,0,0,200,200,14,3,0,0,182,202,248,29,13,3,189,479,272,34,35,0,65,415,224,20,57,3,27,342,171,6,31,14,11,231,90,8,24,24,6,149,25,0,8,14,0,39,3,0,0,3,0,8,1045,100,168,60,684,2071,0,0,0,0,396,396,24,3,0,0,351,374,454,42,20,3,402,926,529,62,56,3,149,802,462,28,91,3,57,645,328,10,48,19,21,426,202,9,33,28,9,285,64,0,6,19,0,86,8,0,0,10,0,15,2069,161,264,83,1386,3964
SSC10010,0,0,0,0,73,73,3,0,0,0,69,72,54,5,5,0,88,148,72,9,10,0,56,153,82,10,20,3,46,159,92,17,25,4,19,158,74,4,22,3,9,111,33,0,4,5,6,42,3,0,0,3,0,5,411,55,90,24,358,928,0,0,0,0,84,84,10,0,0,0,77,85,75,3,7,0,82,162,75,8,11,0,35,129,87,6,19,3,28,143,97,14,22,11,6,160,59,6,17,17,0,100,22,0,3,29,3,54,0,0,0,19,0,19,415,40,85,80,316,937,0,0,0,0,154,154,6,0,0,0,142,152,125,10,9,0,166,313,145,22,20,0,88,281,167,17,43,4,66,305,191,32,50,19,28,323,129,9,42,22,7,211,47,4,9,35,5,102,4,0,3,17,0,29,824,96,173,102,670,1866
SSC10011,0,0,0,0,21,21,0,0,0,0,7,7,11,0,0,0,12,26,13,0,0,0,5,16,19,0,0,0,0,23,10,0,0,0,3,21,9,4,0,0,0,12,8,0,0,0,0,8,0,0,0,0,0,0,68,3,8,0,50,131,0,0,0,0,11,11,3,0,0,0,6,10,12,4,0,0,14,25,15,0,0,0,5,29,21,0,0,0,3,29,3,0,3,7,0,15,4,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,63,7,3,7,43,132,0,0,0,0,30,30,3,0,0,0,15,20,21,3,0,0,26,50,31,0,3,0,12,46,42,3,0,4,3,55,19,0,5,7,3,31,12,8,3,0,0,18,10,0,0,0,0,10,0,0,0,0,0,0,131,10,13,12,98,259
