SSC_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,57,78,61,34,53,43,23,338,15,16,16,5,25,24,6,100,22,19,13,12,15,8,7,101,91,98,52,45,74,40,21,412,3,0,0,0,0,0,0,3,183,207,144,98,163,105,59,964,13,18,5,0,8,12,10,55,7,11,0,4,0,0,0,28,0,3,0,3,0,0,0,11,6,14,8,9,7,8,0,49,0,0,0,0,0,0,0,3,25,39,18,15,17,20,11,149,204,248,163,119,178,127,71,1112
SSC10003,39,24,25,12,18,8,7,140,33,43,12,6,8,5,3,106,48,29,13,9,15,5,3,124,125,124,61,36,53,25,9,436,0,0,0,0,0,0,0,0,247,223,116,59,93,50,25,809,4,10,3,6,4,3,0,33,9,7,9,4,7,4,0,30,0,3,6,3,6,0,7,29,19,21,14,8,12,5,0,77,0,3,0,0,0,0,0,3,28,43,29,21,31,15,4,172,273,264,140,83,123,66,32,986
SSC10004,0,3,0,4,8,3,0,18,5,5,9,0,3,0,0,17,0,13,4,0,0,0,0,20,42,79,41,27,38,8,0,238,0,0,0,0,0,0,0,0,51,97,57,26,44,5,4,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,3,14,7,9,7,0,0,34,0,0,0,0,0,0,0,0,3,13,10,9,12,0,0,46,51,110,63,38,58,11,3,335
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,3,3,0,0,0,0,0,13,3,0,0,0,0,0,0,7,0,0,3,0,0,0,0,9,109,85,48,38,43,9,0,334,0,0,0,0,0,0,0,0,122,96,48,41,48,13,0,368,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,6,0,0,0,0,0,9,65,47,36,23,28,9,0,206,0,3,0,0,0,0,0,8,68,57,34,25,33,9,0,225,186,149,83,67,76,19,0,585
SSC10007,0,0,0,0,0,0,0,3,5,5,4,0,0,0,0,15,11,3,0,0,0,0,0,10,97,106,70,41,57,6,0,369,0,0,6,0,3,0,0,10,108,110,80,41,67,6,0,409,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,28,14,9,16,3,0,83,0,0,0,0,0,0,0,3,18,28,14,16,16,3,0,90,131,146,93,54,79,6,0,500
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,10,5,3,3,0,0,0,19,0,0,0,0,0,0,0,0,10,7,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,3,0,0,0,22
SSC10009,44,30,14,13,10,5,0,116,25,25,16,3,9,3,0,86,22,22,4,6,6,0,0,57,323,321,135,107,128,36,12,1059,6,0,0,0,0,0,0,6,420,397,166,127,155,49,11,1329,0,3,0,0,3,3,0,12,3,3,0,3,5,0,0,8,0,5,5,0,0,0,0,14,76,101,49,18,34,6,10,287,0,0,0,0,0,0,0,0,81,113,52,20,40,10,12,320,505,504,217,150,191,52,21,1646
SSC10010,3,0,0,5,0,0,0,12,0,3,0,0,3,0,0,4,0,4,0,0,0,3,0,10,113,127,50,39,57,16,5,397,0,0,0,0,0,0,0,3,112,132,51,47,58,19,5,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,25,26,24,7,15,3,0,105,0,6,0,0,0,0,0,6,29,35,24,7,21,3,0,114,144,166,76,49,80,20,5,537
