SSC_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,13
SSC10002,3,3,16,25,12,48,3,24,0,139,21,53,45,35,41,62,13,19,9,295,49,117,54,18,84,26,25,14,6,390,61,93,51,14,79,33,29,32,0,398,101,77,99,50,128,46,28,30,9,570,68,62,66,26,88,43,32,34,11,436,7,6,8,5,11,10,10,6,0,69,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,317,419,345,174,446,261,134,165,38,2297
SSC10003,0,4,8,20,7,29,0,9,0,81,3,36,21,35,14,28,3,6,5,159,108,187,51,45,81,29,4,8,8,519,152,210,45,30,83,55,14,15,12,600,161,199,55,40,105,50,8,25,8,654,95,147,26,14,81,34,15,29,10,449,24,60,18,4,26,15,6,12,3,174,3,8,0,3,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,551,854,213,186,397,248,53,109,46,2660
SSC10004,3,0,3,12,7,11,0,7,0,39,0,4,7,17,3,15,0,3,0,45,9,21,20,10,17,6,3,5,0,92,27,31,12,15,23,9,5,13,0,127,24,39,18,15,36,6,8,10,0,155,13,36,11,8,17,14,7,4,0,100,0,0,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,127,69,74,95,49,26,43,3,573
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14
SSC10006,0,0,13,13,3,20,0,21,3,62,0,6,23,12,16,16,3,16,4,97,16,24,42,37,24,25,26,25,0,206,20,25,35,36,23,19,41,25,0,217,10,18,25,33,19,16,43,40,5,196,4,18,15,21,18,16,21,16,3,137,0,4,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,55,89,153,147,94,108,135,139,17,943
SSC10007,0,0,8,6,4,25,0,16,0,58,4,0,16,6,12,14,3,15,0,70,10,14,64,13,17,17,37,28,0,198,11,7,43,20,18,9,61,18,4,188,24,20,34,22,23,15,45,30,8,202,16,12,15,11,11,3,27,28,0,135,9,3,0,3,4,0,7,8,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,79,66,188,73,92,86,169,143,11,906
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,15,3,0,0,0,4,0,0,0,0,8,10,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,5,0,13,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,3,4,0,7,0,0,5,3,61
SSC10009,0,4,36,32,15,84,6,35,0,215,14,21,72,42,35,49,24,31,3,286,46,132,167,81,85,64,91,62,11,738,71,109,119,62,98,43,107,41,6,650,62,78,88,51,86,43,76,28,15,526,17,45,25,30,43,28,41,25,3,252,7,3,3,0,7,6,3,5,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,385,511,309,364,314,339,222,36,2695
SSC10010,0,0,10,7,3,27,3,12,0,65,0,3,17,21,8,20,9,18,4,100,14,31,45,20,28,27,37,30,0,222,13,27,38,24,19,14,25,27,8,198,16,15,29,17,20,18,37,43,8,207,7,24,19,11,16,5,35,29,0,151,3,0,0,4,3,0,9,3,0,16,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,59,101,158,100,96,115,152,162,16,962
SSC10011,0,0,0,3,0,5,0,3,0,7,0,3,3,0,0,0,0,0,0,9,8,0,8,3,4,5,0,0,0,27,0,0,6,0,9,0,5,7,0,33,3,3,4,4,3,3,3,4,0,29,0,0,3,0,3,0,0,0,0,11,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,31,12,14,12,14,14,0,121
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5
