SUA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
1000,18533,4893,23769,142777,60669,6130,209575,516889,95120,821578
1001,1680,359,2064,14303,5616,663,20586,44780,6284,71651
1002,428,89,521,3171,1204,133,4506,12928,1792,19225
1003,856,376,1241,3498,1510,137,5143,13758,2140,21046
1004,449,177,631,1817,861,87,2767,9330,1519,13615
1005,624,189,824,5632,2313,256,8203,16761,3027,27995
1006,994,204,1209,5660,2458,261,8382,20097,2600,31077
1007,483,114,593,2350,1143,100,3595,9659,1515,14767
1008,449,180,633,2009,1014,82,3096,9905,1364,14367
1009,7812,2276,10176,50901,21995,2488,75385,164751,20498,260630
1010,1424,587,2031,10169,4066,476,14717,36001,5292,56007
1011,672,123,798,5823,2279,285,8385,17485,2572,28440
1012,937,291,1231,2104,1099,80,3292,12667,1865,17828
1013,439,224,667,3396,1451,160,5006,11393,2337,18737
1014,613,107,725,2583,1289,170,4039,9546,1603,15191
1015,367,222,596,2886,1080,112,4076,9243,1890,15205
1016,325,156,480,1819,857,91,2768,7018,2083,11870
1017,796,165,970,4086,1656,239,5985,15104,2255,23341
1018,312,64,381,1729,852,77,2662,6490,1520,10670
1019,799,115,919,3469,1726,149,5343,12974,1370,19686
1020,255,35,304,1982,658,101,2736,5412,980,9135
1021,114,27,138,2151,702,73,2927,5380,1001,9305
1022,803,191,1002,3511,1817,172,5498,14981,2178,22658
1023,8536,2750,11417,75938,34822,3525,114287,235250,27024,376562
1024,667,231,904,5260,2318,284,7855,17581,3498,28934
1025,751,137,903,6477,2538,331,9347,18624,2536,30504
1026,246,93,344,1671,655,86,2411,5234,1044,8692
1027,1673,285,1972,6603,2521,299,9424,25300,3078,37799
1028,253,36,292,2935,1005,126,4064,7672,904,12640
1029,457,155,619,2395,1168,131,3697,10195,1410,15301
1030,71126,12527,85000,737329,225644,20649,983621,2365151,268491,3617260
1031,837,195,1043,6266,2652,311,9226,20068,3304,32592
1032,780,260,1054,3334,1553,146,5027,14139,2067,21236
1033,398,189,595,1941,909,76,2919,8688,1312,12925
1034,1092,193,1304,8665,3469,356,12484,27707,3267,43454
1035,5763,1197,7063,46129,21073,2136,69340,147862,16064,233270
