SUA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
1000,1034,2065,1898,2561,3029,6164,3134,17497,726,38100,419,119,140,239,797,1081,1628,3564,152,8151,504,653,712,1288,4510,4330,2660,3566,238,18478,163,85,115,209,1354,1194,530,659,57,4363,1049,1530,1818,2497,4470,8414,3475,7477,559,31283,124,289,247,306,965,1407,847,1574,61,5819,402,2338,1266,1481,2662,2064,1448,2574,206,14436,336,2642,1270,1321,1308,1124,660,2135,208,11014,570,884,979,1056,1560,2057,1172,4176,273,12717,53,134,107,135,340,380,195,297,13,1642,71,102,97,138,318,471,199,469,22,1890,71,193,125,159,263,474,247,720,30,2278,211,692,523,674,1078,1633,833,1900,90,7623,195,913,590,672,742,857,353,715,102,5136,750,444,454,656,5731,3264,2497,1938,195,15926,307,981,717,902,1491,1561,807,1573,91,8426,377,661,939,1309,1871,1545,593,1178,115,8591,127,456,230,299,561,478,219,497,45,2909,212,541,442,533,1693,2162,1102,2128,127,8938,486,864,602,646,1547,1919,776,1756,2390,10981
1001,13,29,33,36,57,66,41,119,3,388,5,0,3,8,8,9,6,37,0,71,62,65,92,143,654,902,622,551,29,3121,8,7,3,13,79,59,36,53,4,260,90,92,87,185,513,923,459,748,32,3134,8,21,27,29,149,157,132,173,3,706,55,279,140,208,378,299,235,279,13,1883,33,365,107,131,159,125,116,180,13,1231,46,64,83,110,280,247,171,442,20,1465,3,15,6,17,56,57,37,40,3,232,10,6,10,12,53,82,46,69,0,287,10,21,7,5,29,38,18,71,3,205,19,36,39,74,165,200,106,191,5,840,23,80,43,76,128,107,49,93,12,618,86,55,57,103,538,595,428,368,15,2238,23,85,61,77,218,184,127,185,10,964,35,66,101,182,274,211,95,154,14,1119,10,41,22,17,24,31,17,27,0,182,26,58,46,57,207,202,140,166,12,908,30,65,43,53,189,207,80,146,176,980
1002,18,11,23,19,83,52,15,68,3,302,0,0,0,0,0,0,11,20,0,32,3,4,9,9,26,44,21,36,3,160,3,0,3,4,17,16,9,3,0,63,22,28,18,31,89,140,62,109,4,503,3,7,3,6,17,18,20,36,3,109,23,113,54,59,111,61,46,60,10,534,15,123,47,38,41,28,24,72,10,401,0,26,12,19,25,29,26,49,4,188,3,6,0,4,21,7,8,6,0,56,0,9,0,7,23,19,15,26,0,102,0,5,8,3,12,3,6,10,0,44,3,26,17,23,58,50,33,72,3,282,0,29,27,18,25,19,18,13,3,158,17,24,12,17,119,50,49,28,6,325,14,81,40,47,232,145,73,162,16,811,13,39,40,58,70,65,21,48,3,358,0,12,3,6,7,6,8,7,0,50,7,12,6,8,40,22,29,37,5,175,8,11,7,11,18,32,19,23,28,149
1003,3,17,13,14,20,22,3,22,0,128,11,0,0,0,0,9,7,30,0,60,5,13,19,25,91,52,32,64,3,301,3,3,0,10,25,7,3,15,0,64,29,34,53,102,136,238,75,163,16,848,5,6,6,7,16,25,10,24,0,98,15,94,60,63,121,58,49,77,7,536,8,106,54,66,65,43,25,84,3,456,16,23,23,25,43,32,25,54,0,239,0,0,3,4,16,22,3,12,0,59,0,10,7,5,14,22,5,21,0,93,3,11,4,3,12,15,13,25,3,92,4,27,22,16,34,73,28,74,4,296,5,25,21,25,36,20,3,18,3,162,10,19,15,23,115,72,60,50,6,363,3,23,37,39,71,62,33,71,0,337,12,28,48,84,89,81,29,48,10,437,3,15,8,8,3,17,13,9,0,70,4,15,11,17,39,41,19,34,3,178,4,21,18,20,34,33,7,28,53,223
1004,0,5,12,3,5,16,4,17,0,68,0,0,0,0,0,0,0,7,0,12,4,8,3,6,39,34,18,28,3,143,0,3,3,4,15,8,7,3,0,44,21,26,27,49,80,155,54,71,9,500,0,3,3,5,13,10,5,10,0,56,9,62,38,43,80,35,29,62,4,363,10,72,37,40,43,22,16,39,7,280,5,12,17,15,22,22,15,39,0,142,0,3,3,3,9,3,3,5,0,36,3,3,0,0,8,5,3,4,0,33,3,3,6,3,4,3,3,6,0,31,3,8,11,9,6,17,9,24,0,91,6,34,11,25,4,16,5,6,3,108,8,11,15,9,72,31,33,20,0,204,7,10,15,15,18,24,7,20,3,110,14,9,18,33,36,19,9,17,0,153,0,11,0,7,12,3,3,0,0,46,0,14,3,18,19,31,15,31,3,138,5,18,14,15,23,23,11,20,22,155
1005,11,10,9,20,28,35,17,85,4,219,9,3,6,4,15,30,41,94,3,202,21,20,32,28,224,235,152,244,4,965,3,0,0,3,49,45,16,23,0,137,26,34,28,52,188,301,152,296,16,1094,3,17,0,0,40,51,28,59,0,199,19,129,56,65,158,98,68,117,8,716,16,141,48,45,77,55,38,68,9,495,7,35,24,35,66,63,44,143,9,430,8,13,5,4,48,19,12,14,3,126,0,0,0,7,13,20,16,28,0,83,4,4,3,4,18,25,15,29,0,96,4,22,9,24,70,59,24,69,5,285,5,16,27,15,52,35,21,19,4,199,31,30,19,36,298,198,98,70,7,793,20,53,36,40,139,104,56,112,7,558,18,44,40,45,101,104,36,60,3,449,3,25,8,4,20,11,11,9,0,89,7,34,6,15,77,60,36,91,3,324,19,24,17,21,60,43,21,55,70,326
1006,3,19,20,19,24,60,20,46,3,222,3,0,3,3,31,25,26,65,0,149,17,17,19,23,217,200,162,230,6,892,3,0,0,6,37,36,7,25,0,122,27,55,73,102,193,403,178,322,17,1380,3,13,5,10,37,59,24,82,0,243,12,110,54,73,108,107,65,129,5,673,19,169,65,76,73,75,51,100,6,629,26,20,41,59,83,92,70,191,3,572,3,11,5,6,19,30,12,24,0,109,7,17,15,13,22,47,31,49,0,197,4,15,6,12,16,21,19,53,0,142,18,52,21,43,65,110,55,176,7,531,12,37,40,43,45,60,23,41,10,302,12,16,16,12,135,80,75,61,4,412,20,48,35,26,64,86,58,110,3,438,13,37,40,47,94,73,32,88,3,422,0,15,12,14,21,15,13,21,0,113,10,18,26,22,52,61,49,93,0,335,19,42,23,24,62,84,41,81,77,460
1007,5,3,10,6,14,16,8,27,0,85,29,3,10,11,36,50,137,389,16,682,9,0,3,5,23,35,11,27,0,118,6,3,0,3,50,35,6,18,0,119,17,20,17,22,63,76,18,70,6,317,0,12,0,3,19,12,21,35,0,96,17,51,29,27,81,49,24,60,0,344,4,71,26,43,34,23,15,27,4,246,15,21,14,23,42,33,17,50,9,226,3,0,0,3,26,7,5,0,0,42,0,6,3,0,5,11,0,5,0,23,0,4,0,5,3,3,0,4,0,22,4,6,3,4,7,12,7,9,0,61,3,15,3,14,16,6,9,4,0,76,10,10,7,9,119,44,38,30,5,270,3,8,15,16,29,22,20,41,0,155,10,5,17,20,73,90,15,26,3,266,3,4,5,3,7,3,3,5,0,30,5,17,9,12,32,38,13,24,0,158,10,12,3,13,27,17,18,26,45,167
1008,9,7,4,13,12,25,15,37,3,119,0,0,3,0,0,3,6,19,0,35,3,7,12,12,69,33,15,32,4,182,7,0,0,3,24,20,6,11,0,76,13,43,54,53,82,182,63,135,4,630,3,3,3,5,14,14,16,23,0,78,13,40,32,20,49,38,18,30,4,241,10,42,20,31,22,16,16,27,8,198,11,16,20,19,29,13,20,46,3,176,0,4,0,0,3,4,0,3,0,21,0,0,0,0,3,8,0,10,0,27,0,0,3,0,3,6,0,9,0,33,0,10,8,13,4,23,8,24,0,93,8,23,14,14,14,23,4,6,4,104,5,10,3,10,49,32,30,8,0,154,6,15,20,14,30,27,18,33,0,168,3,17,24,29,43,34,9,11,4,169,0,4,3,3,8,6,0,4,0,31,0,11,9,5,27,35,8,24,0,117,9,11,3,10,17,16,11,17,25,118
1009,13,37,38,49,82,114,50,93,4,472,38,4,13,16,76,125,99,274,13,653,133,150,175,277,1681,1474,952,1261,47,6157,50,20,29,39,385,371,153,247,15,1309,315,484,638,1014,1924,4423,1542,3107,163,13609,37,68,61,94,481,581,286,535,15,2158,194,919,619,642,1211,1060,580,971,62,6252,138,1209,545,495,598,488,292,513,58,4334,162,231,256,335,669,820,509,1010,55,4057,41,97,74,89,388,469,206,371,19,1742,65,42,60,85,511,647,268,445,18,2153,25,74,55,58,166,236,125,315,16,1062,72,230,229,235,596,1078,458,958,29,3894,72,344,247,280,442,507,142,285,30,2346,205,136,131,193,1614,1097,854,539,48,4824,80,324,215,244,554,640,316,548,20,2945,140,289,388,580,1026,983,399,517,44,4379,34,210,95,103,188,181,82,190,14,1087,56,176,171,210,602,741,389,601,27,2985,90,217,192,202,650,758,255,525,666,3575
