SUA_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
1000,1210,1720,1684,2375,3894,8008,4694,23166,880,47632,804,1585,1456,1915,3966,4861,2524,5170,246,22518,1487,2258,2388,3345,10574,12849,6178,10196,1029,50310,565,1386,1118,1538,2299,1581,1076,1338,250,11144,250,560,484,651,1901,1516,858,1156,85,7469,345,2284,1057,1163,1827,1774,1109,1874,195,11627,1291,1467,1710,1969,5046,5183,3879,8458,710,29715,1247,5046,3177,3837,6195,6161,2768,4351,960,33740,259,285,196,268,564,653,280,683,1336,4542,7464,16584,13278,17069,36267,42591,23365,56392,5685,218699,995,2024,2043,2875,3104,4269,2189,7251,441,25189,2402,4050,6269,6743,6645,6881,2992,4634,447,41066,441,1556,1525,1791,1853,1216,627,787,205,10005,1645,6511,6224,7629,5077,2501,1217,1643,635,33084,1678,5621,6087,7318,9326,5082,1927,1925,451,39409,1007,6508,4030,4073,3212,1482,798,916,390,22420,129,395,407,348,415,278,210,424,50,2666,800,5609,3271,3008,2064,1584,632,980,443,18387,249,307,215,235,300,262,88,207,1164,3021,9350,32590,30072,34026,32002,23563,10674,18756,4227,195252
1001,67,48,71,107,308,566,472,1084,30,2746,80,105,126,205,622,704,415,601,20,2882,123,151,146,252,1188,1577,880,976,78,5365,58,183,120,191,265,242,191,196,17,1464,31,60,46,85,277,255,145,138,13,1053,39,301,120,138,262,234,177,238,24,1530,79,121,132,194,607,516,373,583,48,2654,84,447,233,316,553,553,281,212,53,2734,16,27,13,24,66,55,33,69,102,403,574,1452,1006,1513,4142,4695,2970,4091,382,20830,50,90,112,159,322,273,206,324,14,1540,261,381,610,809,797,706,393,431,32,4413,32,116,127,178,199,125,63,66,14,921,173,715,646,820,624,317,163,177,67,3702,185,478,586,792,1119,548,264,120,23,4118,133,908,492,530,371,157,89,75,37,2796,11,12,40,37,53,32,13,18,3,220,83,497,323,284,172,109,34,47,35,1582,8,21,17,19,31,23,10,16,70,222,935,3232,2954,3626,3678,2295,1233,1268,295,19519
1002,11,24,25,33,96,133,85,256,5,673,27,99,62,68,237,203,123,260,11,1089,27,36,29,65,248,209,121,137,11,882,19,76,54,55,84,37,34,43,20,409,4,29,16,21,88,36,27,35,8,261,13,96,53,50,83,42,34,49,12,424,10,41,20,36,64,49,42,68,10,344,32,156,85,67,138,82,40,36,11,657,3,5,0,0,11,11,3,13,16,65,151,567,333,392,1045,805,506,897,97,4801,21,24,23,40,90,66,37,91,4,389,78,164,164,207,295,223,116,186,15,1448,10,24,25,34,54,14,9,18,0,192,51,181,140,165,118,77,21,28,15,795,38,111,125,168,343,108,49,31,7,977,37,215,98,100,69,22,13,16,6,590,0,12,0,3,3,3,0,0,0,21,14,125,64,57,59,22,8,11,5,366,3,7,5,0,7,5,0,4,25,59,253,856,645,766,1047,541,254,389,89,4838
1003,21,31,27,41,94,153,92,276,6,735,27,62,77,94,155,226,75,193,9,926,37,60,75,108,287,266,100,199,25,1151,12,45,46,93,73,41,48,33,9,397,6,14,12,20,62,46,23,28,3,206,3,89,55,63,71,48,35,62,6,436,17,39,34,42,83,62,34,76,6,389,26,145,83,108,156,89,39,53,17,710,4,6,4,3,7,11,4,7,34,82,147,490,419,566,983,941,452,915,120,5041,10,22,38,46,89,76,56,90,9,433,58,146,218,259,231,214,90,136,16,1367,5,24,45,47,56,27,11,14,3,232,35,181,175,255,132,62,26,40,7,918,25,131,161,188,249,90,40,39,16,944,39,227,129,122,97,41,19,28,4,708,0,4,9,8,8,3,0,3,0,41,16,145,62,74,36,16,6,12,5,368,0,9,10,9,8,7,0,3,31,84,193,892,843,1006,914,534,252,366,95,5094
1004,11,17,17,36,49,70,42,128,5,369,17,32,22,37,44,49,20,46,4,274,23,43,40,59,148,191,80,102,15,693,11,35,28,49,34,19,19,28,7,222,5,12,15,9,37,17,9,14,0,120,15,61,38,37,57,30,13,36,4,285,11,18,23,22,64,40,28,47,4,263,6,98,66,55,62,52,28,27,5,406,3,8,3,3,11,7,0,3,16,63,92,317,238,309,516,483,249,424,59,2694,11,19,19,27,50,51,24,51,0,247,26,58,75,73,87,68,35,58,4,497,0,17,22,35,22,15,4,12,3,132,29,109,121,119,75,39,9,29,7,534,40,73,79,110,138,57,23,21,4,545,33,154,78,79,62,25,17,10,6,469,0,3,0,3,4,3,3,0,0,17,7,91,36,38,18,3,3,3,3,210,0,3,3,10,3,4,0,3,18,45,145,535,428,500,476,264,117,191,47,2707
1005,22,18,27,38,153,175,152,429,10,1012,23,61,47,51,241,265,131,255,9,1086,34,60,52,77,441,469,255,405,32,1825,42,129,57,84,177,139,55,66,10,755,7,25,11,22,134,64,46,44,0,346,16,118,48,51,126,61,55,84,5,557,32,44,41,57,191,176,108,261,19,921,46,192,89,95,263,218,89,127,12,1133,5,7,10,3,12,23,11,21,52,149,233,649,376,468,1734,1586,898,1685,155,7787,25,37,39,73,128,107,70,132,8,609,84,155,261,251,365,347,149,229,21,1868,18,36,43,54,91,48,30,24,0,348,82,316,246,275,222,142,51,61,27,1428,80,177,172,254,458,192,85,58,7,1486,57,338,175,161,150,62,34,29,16,1021,3,3,5,9,11,10,3,6,0,51,31,193,106,98,112,59,23,33,12,661,6,10,4,11,11,5,4,3,35,95,380,1259,1057,1190,1554,981,448,574,126,7567
1006,31,43,49,68,128,270,190,567,11,1353,42,116,82,102,185,294,170,365,11,1360,33,91,102,145,424,577,301,427,31,2139,14,64,56,54,91,62,65,60,7,476,12,27,14,25,64,72,39,79,0,331,15,127,53,59,76,106,54,118,8,614,29,41,42,66,194,155,86,239,10,858,42,202,94,117,202,182,97,110,17,1060,9,14,8,8,21,18,3,12,49,143,223,729,504,640,1385,1734,1001,1984,149,8345,17,64,63,91,131,146,74,187,12,792,82,241,300,291,274,285,143,226,14,1857,12,64,66,81,90,68,33,34,4,451,49,304,246,279,213,127,56,47,19,1337,47,242,232,265,301,228,82,67,12,1470,33,309,191,177,150,92,36,49,14,1058,7,22,4,15,14,13,3,10,0,91,22,201,137,121,72,35,14,14,6,624,4,7,4,4,9,12,5,6,33,92,279,1451,1256,1322,1251,994,448,643,123,7765
1007,10,11,3,15,63,67,38,135,9,353,14,12,19,21,72,84,47,82,5,358,31,25,32,48,208,160,122,225,16,858,12,33,32,48,68,39,38,28,4,299,6,8,10,7,43,42,13,17,0,151,8,55,19,31,50,37,22,28,6,258,35,32,26,34,86,84,81,284,16,688,24,88,42,41,87,67,24,67,11,446,7,10,6,4,11,3,7,14,29,91,151,276,183,249,696,585,393,881,99,3507,13,14,20,31,65,55,26,67,0,286,37,44,63,84,178,181,66,86,5,757,3,19,26,24,43,15,8,18,0,162,60,112,94,204,121,92,23,35,6,754,27,49,61,86,199,106,30,28,11,598,17,145,86,65,78,22,12,13,7,445,4,12,4,5,3,3,0,6,0,35,11,91,60,58,40,26,7,15,10,315,3,3,0,3,11,0,3,3,21,46,178,497,409,567,735,500,174,265,66,3395
1008,15,23,9,16,40,75,45,119,5,351,8,30,30,27,67,76,41,61,3,348,18,36,40,53,154,215,78,132,8,729,3,25,30,38,31,21,20,19,3,184,6,5,3,9,31,20,12,16,0,106,13,34,22,20,41,24,12,27,0,193,11,24,37,32,57,50,36,79,4,337,20,84,52,61,78,69,26,50,10,458,4,0,0,3,5,6,5,6,17,46,102,265,227,268,511,550,267,515,58,2762,8,16,13,27,36,38,16,66,0,219,37,64,83,103,99,118,48,64,6,619,7,26,26,40,27,15,13,5,3,171,20,120,117,141,61,36,22,22,16,552,23,61,89,126,119,67,17,12,7,524,19,103,78,77,52,23,8,15,7,378,0,0,7,3,5,3,3,0,0,22,7,84,40,37,10,13,3,5,7,202,3,3,5,3,6,3,0,0,20,43,126,478,458,551,416,314,133,192,58,2731
1009,210,213,246,350,1188,2325,1336,3313,86,9280,285,600,559,681,1991,2782,1206,2162,97,10364,398,568,766,1176,3768,5548,2180,3170,288,17868,194,595,490,654,1104,761,653,466,75,4998,122,223,180,234,1136,932,469,629,44,3970,170,954,524,514,886,900,409,821,69,5253,221,442,448,549,1725,1382,828,1543,140,7284,302,1607,962,1029,1795,1896,803,1018,192,9598,53,61,56,63,230,266,84,188,376,1373,1956,5271,4242,5243,13832,16798,7967,13300,1372,69988,220,289,411,634,1163,1176,594,999,44,5532,831,1439,2369,2264,2603,2763,1037,1459,131,14890,119,482,505,592,692,388,171,152,33,3123,565,2298,2292,2677,1975,1068,407,506,188,11985,584,1944,2484,2478,3627,2225,674,471,148,14635,379,3001,1746,1550,1256,677,311,259,130,9308,30,119,133,153,215,96,44,45,20,852,182,1485,844,742,598,301,126,103,76,4459,61,101,72,84,132,109,38,54,286,934,2971,11158,10853,11180,12268,8794,3391,4045,1052,65713
