UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL101001,509340,25667,13531,7077,589,316,1693,558210
UCL102001,3875,305,221,32,3,4,25,4472
UCL102002,28669,2737,1767,355,57,32,241,33860
UCL102003,4669,438,246,58,9,3,38,5457
UCL102004,31027,2632,1459,354,64,24,223,35776
UCL102005,26733,2060,1292,296,45,22,190,30633
UCL111001,4100,345,214,41,4,3,27,4732
UCL111002,7913,742,554,107,19,7,71,9420
UCL112001,1433,107,77,16,0,4,19,1655
UCL112002,2884,258,195,30,6,8,17,3395
UCL112003,2569,225,129,30,3,0,16,2973
UCL112004,1902,138,56,19,0,5,15,2132
UCL112005,1635,170,134,27,9,3,25,2007
UCL112006,3731,381,225,64,5,6,37,4451
UCL112007,2911,239,196,45,6,6,37,3439
UCL112008,1805,186,140,18,5,3,12,2174
UCL112009,1973,187,128,29,3,3,21,2339
UCL112010,234,18,10,5,0,0,7,268
UCL112011,2250,283,184,50,9,9,41,2823
UCL112012,3314,277,203,31,5,7,32,3869
UCL112013,3394,341,194,47,4,4,28,4007
UCL112014,2469,255,174,39,11,3,27,2978
UCL112015,4335,320,259,45,12,4,32,5003
UCL113001,1007,92,48,17,3,3,10,1177
UCL113002,614,64,57,13,0,0,8,766
UCL113003,1195,121,108,12,8,0,19,1465
UCL113004,503,35,13,4,0,0,3,554
UCL113005,1068,125,61,12,4,0,24,1296
UCL113006,1140,114,108,35,4,3,16,1418
UCL113007,1897,102,65,26,0,3,23,2107
UCL113008,556,63,60,13,4,0,11,708
UCL113009,1398,105,67,15,3,0,8,1598
UCL113010,1432,173,133,35,13,6,30,1818
UCL113011,842,77,68,15,0,0,20,1025
UCL113012,1572,180,106,21,4,4,22,1898
UCL113013,1004,85,65,8,0,0,13,1181
UCL113014,917,88,72,10,0,0,18,1103
UCL113015,1110,92,58,16,0,0,9,1288
UCL113016,1035,138,102,21,3,0,18,1320
UCL113017,1349,137,92,14,3,0,3,1595
UCL113018,668,86,70,18,3,4,14,860
UCL113019,1182,129,103,24,3,4,24,1474
UCL113020,919,102,66,13,4,3,10,1109
UCL114001,424,26,22,3,0,0,0,476
UCL114002,474,51,26,10,0,0,5,559
UCL114003,631,48,13,3,0,0,3,702
UCL114004,368,35,20,11,3,0,3,439
UCL114005,650,76,67,18,4,0,20,836
UCL114006,451,37,33,4,0,0,4,534
UCL114007,356,27,32,8,3,0,14,437
UCL114008,387,37,32,6,0,0,8,463
UCL114009,603,60,39,10,0,0,7,719
UCL114010,470,37,30,10,0,0,7,555
UCL114011,526,35,34,3,5,0,7,604
UCL114012,314,29,30,3,0,0,8,389
UCL114013,662,59,46,7,0,0,7,786
UCL114014,897,52,37,15,0,0,0,999
UCL114015,653,84,55,15,0,3,4,808
UCL114016,573,34,41,4,0,0,5,660
UCL114017,697,49,27,0,0,0,3,779
UCL114018,1116,80,44,9,6,0,7,1261
UCL114019,458,67,21,4,0,0,9,564
UCL114020,505,45,35,12,3,0,12,611
UCL114021,668,61,53,8,0,0,5,786
UCL114022,719,66,61,9,0,3,9,857
UCL114023,295,38,26,12,0,0,3,363
UCL114024,482,31,25,7,0,0,7,565
UCL114025,800,60,72,13,0,0,13,955
UCL114026,699,51,45,3,0,0,10,809
UCL114027,381,37,29,3,0,0,3,455
UCL114028,309,25,20,5,0,0,4,364
UCL114029,525,61,46,6,3,0,6,641
UCL114030,503,27,32,5,0,0,4,576
UCL114031,479,62,49,5,0,0,4,608
UCL114032,348,33,21,4,0,0,4,409
UCL114033,133,5,13,3,0,0,0,152
UCL114034,514,47,33,10,0,0,6,602
UCL114035,479,53,47,9,0,0,4,594
UCL115001,176,16,15,3,0,0,0,218
UCL115002,181,7,9,6,0,0,0,205
UCL115003,109,17,3,0,0,0,0,128
UCL115004,92,8,6,0,0,0,0,100
UCL115005,192,10,10,3,0,0,0,214
UCL115006,348,33,24,3,0,0,3,418
UCL115007,62,9,4,0,0,0,0,73
UCL115008,137,12,9,0,0,0,0,160
