CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED101,12338,8637,9370,8551,7214,6157,3283,1245,429,57229,1080,1047,1130,1338,1637,2275,2108,1208,504,12323,36,88,132,168,316,629,928,753,346,3400,3,17,20,38,97,308,458,464,271,1676,1118,1150,1286,1550,2049,3217,3493,2424,1114,17395,917,684,813,682,635,626,448,285,164,5243,14376,10466,11459,10778,9903,10000,7221,3956,1708,79869,11815,7596,8975,8871,7711,6426,3623,1450,524,56988,722,1265,1324,1516,1846,2464,2322,1586,846,13901,23,149,220,251,493,781,998,858,611,4378,0,17,35,67,182,356,535,608,444,2246,751,1430,1581,1839,2521,3596,3852,3056,1901,20519,848,663,757,739,688,593,459,394,375,5515,13417,9690,11309,11446,10912,10613,7934,4901,2801,83028,24153,16233,18340,17423,14925,12582,6909,2699,961,114219,1804,2308,2454,2855,3480,4739,4424,2797,1346,26224,62,239,347,423,808,1413,1925,1607,954,7781,6,26,55,107,275,662,991,1076,715,3916,1870,2579,2862,3383,4567,6810,7345,5476,3018,37916,1772,1345,1562,1424,1325,1221,903,678,540,10761
CED102,12238,9679,14714,10974,7691,5784,3265,1458,440,66243,908,998,1501,1583,1695,2091,2099,1313,492,12679,28,80,208,223,325,554,767,669,362,3210,0,9,23,45,103,220,385,440,283,1508,935,1082,1732,1844,2125,2872,3252,2419,1141,17402,1018,865,1352,962,778,667,482,436,300,6859,14194,11634,17800,13783,10595,9324,6993,4312,1877,90505,11786,8303,13983,10611,8117,6086,3593,1537,488,64499,597,1114,1884,1612,1935,2216,2195,1675,754,13978,23,163,299,300,391,724,892,822,440,4066,0,10,31,50,135,264,434,563,419,1908,621,1287,2214,1965,2469,3207,3523,3064,1610,19951,899,734,1279,925,784,637,504,445,486,6690,13300,10323,17474,13496,11368,9928,7618,5043,2581,91139,24025,17989,28696,21576,15808,11867,6859,2998,922,130738,1502,2109,3391,3191,3639,4306,4289,2980,1249,26661,46,243,503,523,718,1284,1660,1497,802,7275,0,17,52,94,239,486,822,1007,706,3423,1556,2370,3944,3810,4591,6075,6768,5483,2752,37355,1912,1601,2635,1886,1560,1305,978,880,786,13544
CED103,14740,9238,13262,12670,8245,6407,3803,1270,452,70091,1167,1262,1614,1743,1748,2280,2097,1267,547,13725,45,103,163,183,331,565,828,655,305,3184,0,3,22,41,82,238,353,413,246,1397,1216,1374,1799,1969,2156,3079,3279,2332,1092,18305,835,574,957,802,608,543,389,230,189,5130,16794,11189,16022,15438,11005,10025,7472,3832,1736,93521,14282,8173,13700,12933,8941,7151,4347,1576,555,71656,751,1581,1797,1852,1879,2379,2339,1562,850,14983,32,213,335,252,398,675,804,797,502,4011,0,7,29,52,115,264,390,455,435,1744,793,1793,2167,2159,2384,3317,3532,2814,1783,20739,765,565,900,796,571,583,413,333,368,5300,15841,10536,16760,15883,11904,11054,8296,4725,2710,97697,29024,17416,26965,25598,17191,13553,8152,2841,1008,141753,1924,2835,3413,3598,3622,4655,4440,2828,1397,28708,83,319,500,431,726,1232,1629,1455,810,7188,0,12,48,94,199,497,741,869,678,3142,2009,3171,3967,4123,4542,6392,6813,5153,2877,39038,1599,1139,1856,1593,1177,1132,806,567,557,10429
CED104,12861,8203,4792,7436,8080,6262,3564,1488,349,53024,1381,1345,970,1353,1935,2313,2337,1511,489,13625,41,101,100,173,318,591,930,729,331,3309,0,6,10,29,78,185,394,487,243,1430,1419,1450,1076,1553,2324,3091,3666,2724,1057,18366,712,548,322,442,577,459,317,260,174,3813,14993,10201,6187,9435,10985,9805,7544,4471,1578,75201,12186,6876,4704,8291,8332,6526,3927,1516,455,52810,899,1692,1026,1540,2183,2454,2462,1740,836,14825,47,196,203,232,451,683,988,886,490,4178,0,13,13,37,112,242,387,512,377,1695,951,1900,1243,1807,2746,3380,3834,3141,1699,20705,632,416,303,450,565,435,397,330,335,3868,13766,9188,6248,10548,11646,10343,8158,4987,2491,77373,25041,15080,9492,15726,16411,12782,7491,3000,803,105829,2281,3038,1993,2891,4111,4764,4802,3249,1327,28452,91,293,302,407,768,1271,1915,1620,823,7488,0,21,23,66,190,434,783,1000,615,3127,2369,3353,2320,3362,5075,6473,7499,5870,2762,39072,1350,962,622,890,1145,895,713,595,507,7675
CED105,16094,11501,13626,9837,7526,5856,2904,1149,326,68812,1371,1230,1140,1284,1622,2289,1972,1017,417,12332,37,82,113,180,339,624,818,602,248,3041,4,4,14,41,132,337,505,440,183,1649,1409,1319,1260,1510,2087,3248,3288,2059,839,17020,2286,1555,1852,1544,1207,969,621,404,244,10675,19790,14378,16742,12886,10817,10066,6813,3613,1413,96511,15802,10135,11925,8970,7173,5501,2963,1114,401,63979,898,1230,1313,1380,1783,2404,2081,1157,596,12839,39,130,201,256,441,807,882,672,380,3809,3,10,34,76,192,407,525,499,303,2042,940,1368,1546,1710,2409,3619,3489,2325,1284,18687,2081,1216,1468,1279,1062,897,631,372,429,9429,18814,12715,14941,11959,10644,10018,7073,3818,2114,92095,31896,21634,25550,18802,14700,11353,5863,2267,726,132794,2266,2458,2445,2666,3402,4688,4050,2172,1011,25163,79,213,318,443,776,1433,1700,1274,625,6850,5,19,41,113,323,742,1028,938,484,3696,2347,2685,2803,3219,4497,6860,6776,4386,2122,35708,4362,2772,3322,2822,2271,1867,1246,775,676,20102
CED106,14620,8718,6161,9597,8907,6338,3658,1730,537,60259,1347,1333,992,1286,1832,2088,2084,1542,702,13194,33,107,136,134,285,501,788,820,432,3224,0,7,6,28,63,150,313,433,307,1303,1380,1439,1132,1436,2179,2733,3181,2792,1438,17720,702,504,357,475,505,424,310,229,164,3670,16700,10666,7657,11509,11591,9500,7152,4754,2140,81650,14171,7687,6456,10979,9953,6799,4400,2079,752,63276,835,1675,1124,1477,2062,2134,2441,1991,1061,14788,29,208,196,227,359,530,784,899,659,3885,0,10,11,34,85,162,287,451,486,1536,867,1888,1320,1739,2507,2826,3510,3345,2208,20211,637,440,385,487,576,473,380,323,354,4039,15675,10016,8159,13200,13038,10103,8284,5737,3309,87529,28788,16411,12619,20580,18859,13138,8051,3807,1287,123537,2175,3005,2117,2761,3899,4213,4523,3531,1763,27983,69,311,322,353,638,1031,1574,1721,1090,7110,0,13,20,59,146,315,594,889,794,2833,2241,3329,2458,3175,4683,5562,6696,6134,3643,37925,1335,944,743,954,1083,900,690,551,517,7713
CED107,13136,6936,6610,6108,6069,5286,3491,1403,315,49346,2021,1638,1630,1733,2166,2735,2799,1579,424,16723,135,216,293,351,594,1098,1455,985,339,5461,4,21,33,99,227,619,895,800,289,2993,2162,1875,1957,2176,2995,4451,5147,3362,1051,25183,1742,1314,1672,1542,1299,1100,882,476,162,10201,17037,10122,10247,9825,10363,10845,9525,5246,1526,84728,12620,5796,6340,5978,5922,5269,3492,1465,462,47328,1501,2034,2299,2139,2458,2964,2808,1803,805,18800,114,408,603,639,876,1195,1464,1148,523,6972,3,27,86,177,455,756,946,774,458,3678,1621,2466,2986,2955,3790,4918,5220,3720,1783,29450,1661,843,892,896,974,876,795,499,283,7715,15894,9107,10215,9828,10681,11069,9504,5684,2522,84502,25754,12731,12948,12084,11990,10554,6981,2873,776,96675,3515,3671,3934,3869,4629,5699,5606,3374,1223,35517,250,621,892,988,1473,2298,2921,2129,861,12434,6,51,121,276,685,1373,1842,1572,747,6675,3777,4339,4943,5134,6784,9367,10370,7082,2835,54632,3401,2166,2566,2444,2273,1980,1677,975,443,17921
CED108,19257,10401,11343,12011,7353,4777,2347,705,169,68366,2140,1708,1705,2144,2271,2629,2100,900,229,15826,123,206,247,361,620,977,1008,569,178,4284,8,17,47,93,219,515,724,576,158,2352,2273,1930,1994,2600,3108,4120,3835,2045,570,22468,2382,1399,1418,1331,1112,795,487,260,96,9287,23906,13732,14758,15941,11585,9690,6661,3012,833,100120,18863,9281,11974,11570,6912,4823,2551,750,293,67015,1525,1857,2150,2143,2455,2722,2357,1091,446,16732,84,345,425,570,832,1072,1197,799,311,5642,8,27,94,206,450,723,920,641,349,3414,1616,2228,2663,2916,3744,4514,4469,2525,1107,25788,2314,1190,1429,1361,1019,762,523,304,237,9137,22789,12702,16069,15852,11663,10097,7547,3582,1634,101944,38117,19684,23318,23582,14267,9602,4896,1451,461,135380,3665,3558,3850,4289,4729,5352,4450,1993,677,32562,210,560,674,931,1454,2048,2203,1362,491,9927,15,44,132,297,667,1235,1649,1221,503,5774,3885,4159,4665,5515,6846,8636,8304,4572,1674,48260,4691,2592,2849,2695,2129,1559,1008,564,334,18428
CED109,11435,6975,6895,7132,7224,5559,3187,1437,418,50270,970,938,1090,1307,1625,2140,2189,1446,585,12295,52,81,114,152,347,579,856,764,391,3334,4,5,16,33,55,251,459,551,346,1716,1023,1022,1218,1493,2029,2965,3504,2755,1323,17340,896,558,659,672,728,580,405,306,218,5023,13356,8556,8769,9300,9987,9103,7105,4501,1967,72635,10819,6327,6945,7489,7589,5936,3690,1664,575,51041,626,1241,1439,1537,1843,2158,2507,1883,952,14191,30,155,235,294,390,709,927,974,636,4343,0,5,33,45,124,262,424,569,517,1982,652,1403,1701,1875,2357,3126,3858,3430,2103,20513,802,553,627,646,705,579,482,408,453,5254,12284,8280,9279,10011,10660,9639,8028,5506,3133,76813,22262,13306,13840,14625,14817,11498,6879,3098,992,101315,1594,2179,2526,2847,3471,4302,4699,3328,1542,26482,77,232,347,447,736,1285,1779,1743,1026,7676,4,7,46,77,184,507,889,1124,861,3699,1679,2416,2924,3373,4391,6095,7363,6190,3428,37855,1698,1117,1283,1312,1435,1155,887,718,672,10282
CED110,10968,6145,5343,5451,5786,5668,4432,1861,443,46116,1606,1418,1475,1578,2068,2983,3556,2114,682,17477,103,193,225,366,568,1119,1838,1278,519,6205,3,13,45,92,263,649,1260,1120,470,3919,1711,1629,1743,2038,2897,4750,6654,4513,1668,27600,1550,1087,1125,1067,1005,1017,831,533,262,8477,14225,8861,8214,8556,9691,11430,11917,6910,2368,82185,11066,5428,5238,5689,6183,6318,4730,2048,631,47328,1272,1857,1848,2016,2560,3320,3731,2497,1102,20201,112,363,472,551,826,1416,1894,1457,761,7853,5,27,77,186,404,919,1219,1235,755,4824,1390,2254,2394,2751,3789,5653,6845,5193,2619,32881,1453,863,817,862,903,970,880,661,401,7808,13905,8543,8450,9302,10877,12940,12455,7896,3654,88020,22035,11579,10585,11147,11969,11980,9168,3912,1073,93442,2877,3280,3321,3589,4628,6297,7286,4617,1785,37677,209,564,698,915,1391,2535,3726,2733,1280,14059,10,39,126,282,670,1565,2484,2355,1215,8743,3097,3879,4141,4789,6687,10396,13501,9702,4283,60478,3001,1946,1947,1929,1906,1989,1707,1197,660,16282
