LGA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
LGA10050,5,0,0,5,6,3,5,7,31,0,35,0,0,0,0,0,0,0,0,7,0,10,3,3,0,10,3,3,5,18,25,0,33,0,13,0,14,5,4,11,27,35,0,58,6,19,0,26,4,7,13,39,87,0,128,10,66,8,90,11,27,33,118,144,0,264,13,100,16,129,7,12,14,145,128,0,274,61,99,9,166,3,7,7,175,130,6,305,125,114,6,244,9,5,9,255,108,0,361,94,79,9,187,3,5,10,197,59,0,260,82,53,6,138,4,0,3,146,52,0,195,77,33,5,118,4,0,4,119,41,0,155,152,39,6,199,0,0,0,203,36,0,238,54,14,4,75,0,0,0,75,12,0,82,23,11,0,33,0,0,0,33,4,0,41,10,0,0,13,0,0,0,13,0,0,17,26,4,0,31,0,0,0,28,6,0,41,51,32,8,98,3,4,5,99,51,9,161,4,3
LGA10180,0,0,0,4,0,0,5,4,12,0,20,0,0,0,3,0,0,0,3,4,0,9,0,7,4,12,0,0,3,12,12,0,24,3,4,0,12,3,0,9,12,11,0,31,3,4,0,10,3,3,6,14,41,0,56,7,27,3,32,4,3,6,40,63,0,105,17,39,6,57,3,4,7,63,52,0,118,26,38,7,71,0,0,7,78,80,0,157,40,36,3,82,0,0,0,80,68,0,146,29,33,7,69,6,0,6,69,38,0,109,30,19,5,55,0,0,0,55,16,0,70,34,12,3,51,0,0,0,51,25,0,69,67,13,5,81,0,0,0,79,16,0,99,17,3,0,25,0,0,0,25,3,0,28,6,5,0,9,0,0,0,9,3,0,13,5,0,0,5,0,0,0,5,0,0,5,12,4,4,15,0,0,0,19,3,0,24,29,14,6,52,0,0,0,56,24,7,77,0,0
LGA10250,0,0,0,0,0,0,0,3,17,0,19,0,0,0,0,0,0,0,0,9,0,13,0,8,0,8,0,4,5,11,12,0,19,0,4,0,4,0,0,0,4,19,0,23,0,16,0,17,3,6,3,25,54,0,77,0,39,15,56,4,3,7,68,74,0,139,20,80,7,106,0,0,3,113,68,0,177,38,94,3,140,0,5,5,143,126,0,272,63,91,8,167,5,0,4,173,116,0,291,81,67,3,152,0,3,5,155,72,0,225,68,48,10,128,7,0,3,130,41,0,170,64,31,6,105,0,3,3,108,34,0,139,103,42,5,152,0,0,5,154,39,0,197,39,13,0,55,0,0,0,55,10,0,69,25,5,0,35,0,0,0,35,8,0,40,13,0,0,14,0,0,0,16,3,0,15,27,13,4,45,0,0,0,45,11,0,56,55,32,6,100,0,0,3,102,55,7,161,0,0
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,6,0,3,0,3,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,4,6,0,12,0,0,0,0,0,0,0,0,3,0,7,0,0,0,5,0,0,0,5,4,0,6,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,3,0,10,6,0,0,9,0,0,0,9,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,7,0,0
LGA10470,0,0,3,3,0,0,0,3,21,0,22,0,0,0,4,3,0,3,4,5,0,10,0,6,0,3,0,0,5,7,10,0,21,0,3,4,5,5,5,9,17,30,0,41,0,16,0,21,3,5,12,34,35,0,63,8,39,3,53,3,5,13,62,77,0,141,14,58,7,84,3,8,12,95,67,0,169,56,76,8,140,8,0,9,150,108,5,257,92,75,9,171,0,9,9,178,82,0,258,83,55,7,142,0,0,6,148,57,0,206,66,46,5,119,0,0,0,120,27,0,146,71,31,4,99,0,0,0,105,22,0,130,153,29,7,187,0,0,0,188,36,0,225,54,14,5,64,0,0,0,69,18,0,91,31,8,0,42,0,0,0,42,6,0,48,14,6,0,14,0,0,0,14,3,0,15,17,8,5,28,3,0,0,31,0,0,33,54,28,5,94,6,0,3,94,52,0,149,8,4
LGA10500,0,0,0,3,8,3,21,23,169,0,191,4,7,0,8,0,0,0,10,29,0,37,0,6,7,12,0,4,9,21,63,0,87,0,14,13,28,4,3,11,38,83,0,123,3,31,8,49,9,6,16,61,160,0,222,11,88,13,112,14,16,30,135,204,0,343,33,104,47,176,6,13,23,198,232,0,434,55,107,21,183,14,9,21,206,369,4,581,130,121,29,283,3,8,9,298,345,0,644,165,153,37,351,18,4,23,372,290,0,667,207,86,25,320,13,4,15,332,214,0,546,194,67,26,284,0,4,3,291,155,0,448,394,130,40,569,7,5,15,581,280,0,860,167,59,17,247,0,0,7,251,156,0,411,164,44,13,220,5,0,5,226,65,0,289,66,19,6,91,0,0,5,92,29,0,121,226,43,18,281,0,0,0,284,73,0,356,129,64,37,232,6,9,6,237,120,17,377,3,5
LGA10550,0,0,0,0,0,0,0,0,8,0,10,0,4,0,4,0,0,0,4,11,0,12,0,6,0,6,0,0,0,6,16,0,19,0,11,0,11,3,3,5,18,23,0,43,0,18,0,17,0,3,4,26,40,0,63,8,41,4,51,5,5,11,60,63,0,121,14,47,12,72,3,5,10,80,58,0,139,32,59,9,94,0,0,0,94,85,0,179,43,58,0,102,0,7,7,105,69,0,175,46,41,4,90,0,0,0,90,53,3,145,34,24,3,60,0,0,0,60,24,0,83,34,23,0,54,5,0,5,63,23,0,77,52,19,4,75,0,0,0,75,20,0,96,27,9,0,34,0,0,0,38,8,0,43,9,3,0,15,0,0,0,15,3,0,18,6,0,0,5,0,0,0,5,4,0,11,13,0,0,18,0,0,0,20,5,0,26,27,39,0,70,0,0,3,74,44,7,121,0,0
LGA10600,0,0,0,0,0,0,3,6,4,0,8,0,0,0,0,0,0,3,0,4,0,5,0,4,0,6,0,0,0,6,4,0,9,0,6,0,9,0,4,3,10,16,0,25,0,13,0,12,0,0,0,15,17,0,29,0,20,4,21,0,4,0,25,32,0,62,6,43,4,50,3,0,3,48,25,0,76,17,33,0,49,0,0,0,52,38,0,84,20,24,0,43,0,0,0,48,34,0,80,20,21,4,47,0,0,0,46,24,0,71,18,10,0,21,0,0,0,24,17,0,39,11,11,0,23,0,0,0,23,7,0,33,24,10,4,38,0,0,0,38,3,0,47,3,3,0,8,0,0,0,8,4,0,13,3,0,0,4,0,0,0,4,3,0,10,0,3,0,3,0,0,0,3,0,0,3,5,4,0,6,0,0,0,6,6,0,9,22,13,0,40,0,0,4,37,19,0,61,0,3
LGA10650,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,8,12,0,12,0,0,0,0,0,0,0,0,8,0,11,0,11,0,11,0,0,0,11,17,0,25,4,13,3,19,0,0,0,19,10,0,30,5,17,0,25,0,5,5,26,13,0,41,11,14,0,24,0,0,0,24,9,0,34,18,4,0,22,0,0,0,25,14,0,41,3,0,0,4,0,0,0,4,0,0,12,7,5,0,11,0,0,0,11,6,0,11,13,0,0,17,0,0,0,17,0,0,21,0,5,0,5,0,0,0,5,0,0,8,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,5,3,0,12,0,0,0,12,11,0,17,0,0
LGA10750,0,3,7,17,25,16,37,53,345,6,395,0,6,3,12,4,3,6,14,75,0,88,0,18,7,26,20,10,31,56,171,0,232,6,45,15,62,9,21,32,97,304,0,404,5,56,33,89,20,30,54,144,609,4,756,19,149,55,223,36,35,77,299,860,6,1165,70,242,100,413,49,37,79,492,792,7,1295,224,304,98,629,29,22,52,676,958,8,1647,408,319,124,846,29,17,51,893,776,5,1680,541,322,127,991,17,13,29,1019,706,15,1736,432,194,71,705,19,10,29,728,472,5,1203,434,156,92,685,14,10,24,707,400,3,1110,909,258,141,1313,17,12,27,1338,557,7,1899,419,131,82,636,9,5,12,648,267,3,915,346,83,47,472,8,3,9,484,133,0,614,172,37,16,221,8,0,5,227,72,0,298,328,60,40,422,5,0,3,427,128,0,560,259,126,96,479,13,14,21,502,375,45,923,11,11
