POA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
POA2000,0,0,0,8,47,45,47,62,15,23,32,57,30,12,10,388,3,0,5,0,12,4,8,3,4,0,0,11,6,0,0,54,0,4,4,12,15,18,47,21,8,8,7,6,6,0,0,157,0,0,5,19,16,11,26,11,4,5,9,16,11,0,3,132,0,0,3,3,13,10,5,0,0,0,5,0,8,0,0,47,0,0,0,5,29,43,51,61,22,27,33,28,17,0,10,337,0,0,0,0,28,68,809,1075,442,299,245,340,85,4,130,3527,9,25,65,56,86,86,140,91,21,21,50,82,47,19,17,807,0,0,4,3,20,31,44,39,11,10,12,36,30,18,5,273,0,0,0,47,33,18,55,108,37,55,54,41,25,0,9,485,15,17,50,75,103,131,224,271,111,173,248,414,187,85,24,2132,45,98,244,433,999,1482,3375,4027,1431,1572,1693,2428,983,332,536,19667
POA2007,0,0,0,0,14,18,17,22,5,7,13,8,9,0,0,116,0,0,0,0,6,0,6,7,0,0,0,0,0,0,0,20,0,0,0,3,0,8,14,6,3,0,3,5,0,0,0,46,0,0,0,0,3,3,6,0,0,0,4,0,0,0,0,25,0,0,0,4,4,5,3,0,0,0,5,3,0,0,0,24,0,0,0,0,12,12,8,26,9,9,7,14,8,0,4,111,0,0,0,0,8,18,112,162,50,36,44,51,14,0,16,529,0,10,9,13,15,19,39,24,8,5,8,11,0,5,7,179,0,0,0,4,4,9,16,13,0,3,3,10,8,0,0,68,0,0,0,13,15,6,9,23,11,14,15,13,4,0,8,130,0,0,12,21,27,46,87,104,57,65,80,200,92,3,12,808,4,14,43,122,242,416,736,805,338,396,487,771,344,42,131,4903
POA2008,0,0,0,0,17,19,20,14,3,7,5,21,5,0,3,117,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,17,0,0,0,4,5,5,23,15,5,8,13,8,3,4,8,106,0,0,3,3,4,8,13,7,0,0,0,4,0,0,0,39,0,0,0,0,0,4,16,4,0,3,0,8,0,0,0,42,0,0,0,0,6,9,23,16,6,3,19,14,5,0,0,109,0,0,0,0,5,6,72,60,28,29,20,28,11,4,9,265,3,7,25,20,35,52,82,38,17,15,11,27,6,6,0,336,0,0,0,5,4,14,26,21,6,9,4,19,7,7,4,122,0,0,0,10,23,13,26,25,11,17,10,12,9,0,3,155,5,0,5,12,34,50,102,129,52,56,90,135,43,8,17,736,4,17,66,111,249,379,877,1026,433,536,626,929,422,127,97,5896
POA2009,0,0,0,18,39,27,22,15,7,13,10,29,3,3,0,199,0,3,0,5,7,4,8,8,0,0,0,0,0,0,0,49,0,0,4,9,14,11,20,12,3,0,3,0,12,0,0,89,0,0,0,8,9,14,15,9,4,3,3,3,3,3,0,86,0,0,0,6,7,0,3,4,0,0,3,0,4,0,3,36,0,0,0,8,13,13,16,12,4,0,6,7,0,0,0,65,0,0,0,3,3,31,116,72,35,8,11,30,7,0,5,318,12,24,59,48,72,64,137,89,20,18,30,33,13,7,3,623,0,0,8,17,8,12,33,28,11,9,7,5,13,0,0,165,0,0,0,29,42,12,17,36,11,12,8,3,6,0,7,179,7,18,27,57,87,123,212,236,90,92,140,263,72,17,20,1443,27,84,185,371,701,802,1306,1066,316,324,412,611,237,66,87,6591
POA2010,0,0,5,10,55,55,41,54,14,9,15,29,9,3,4,315,0,3,5,9,20,0,10,15,4,0,7,3,0,4,4,101,0,0,4,7,17,25,29,9,3,7,3,7,5,0,5,130,0,0,7,18,42,58,74,23,13,14,9,9,9,0,3,274,0,0,0,0,16,14,9,4,0,5,6,0,0,0,0,59,0,0,0,4,15,9,17,25,0,10,9,11,0,0,6,99,0,0,0,0,24,53,213,201,57,35,34,47,14,0,20,696,8,49,131,128,163,204,403,305,100,110,124,145,66,21,27,1992,0,0,9,26,36,55,98,105,34,28,31,61,34,18,6,538,0,0,0,29,50,22,37,34,11,11,18,18,4,3,7,242,21,34,100,146,157,213,307,366,150,159,198,306,111,22,54,2344,48,157,466,649,1105,1374,2041,1819,595,603,723,928,407,134,237,11283
POA2011,0,0,0,13,30,28,33,22,12,6,4,7,0,0,0,160,8,3,0,3,24,3,8,13,4,6,9,3,0,0,0,83,0,0,4,8,19,12,13,7,3,3,3,3,4,0,7,81,0,3,6,20,27,38,34,17,0,7,6,12,8,0,0,179,0,0,4,0,6,6,12,0,0,0,0,6,0,0,0,32,0,0,0,0,10,4,5,10,4,4,0,6,0,0,0,44,0,0,0,0,9,27,59,21,8,9,5,8,0,4,3,162,17,51,107,119,120,142,231,189,45,64,48,74,28,14,16,1256,3,0,9,23,24,45,58,61,20,17,31,28,16,0,8,345,0,0,0,22,31,18,19,3,0,7,3,0,0,0,3,100,21,46,73,117,133,154,260,296,114,121,136,172,85,12,36,1776,66,175,337,510,782,835,1192,1000,320,344,366,460,199,57,135,6775
POA2015,0,0,0,0,32,18,21,25,7,3,6,10,0,0,4,127,0,0,0,0,6,0,6,7,0,0,0,12,0,0,0,37,0,0,0,4,9,7,11,19,11,3,6,0,0,0,0,74,0,0,0,5,17,30,32,7,3,0,8,3,3,0,0,109,0,0,0,0,9,9,6,0,0,0,0,0,0,0,0,33,0,0,0,0,9,12,5,9,0,0,3,0,0,0,3,36,0,0,0,0,7,17,31,29,7,9,6,3,4,7,0,103,3,12,43,48,60,87,157,147,26,37,28,22,6,3,11,695,0,0,0,10,14,12,25,33,7,9,12,18,8,0,0,148,0,0,0,13,36,25,12,15,0,7,5,0,0,0,3,106,0,9,26,54,75,103,140,163,60,72,59,49,36,8,13,862,10,32,114,222,481,604,865,712,203,212,213,197,92,37,74,4057
POA2016,0,0,0,9,32,15,9,9,7,7,7,7,4,0,0,122,0,0,0,0,16,4,0,3,0,4,6,3,0,0,0,37,0,0,0,10,4,6,11,13,0,0,0,4,4,5,0,53,0,0,0,10,14,21,19,27,3,0,4,5,5,0,0,105,0,0,4,4,5,3,9,7,0,0,0,0,0,0,0,34,0,0,0,0,9,7,0,0,3,0,0,4,0,0,0,31,0,0,0,0,17,22,36,22,18,12,18,13,0,0,3,159,5,19,63,43,78,86,160,97,19,36,42,47,13,3,18,726,0,0,5,7,19,20,39,35,12,13,12,16,5,4,0,179,0,0,0,13,29,12,13,11,0,10,7,5,3,0,5,109,10,18,54,108,97,211,162,162,62,75,101,155,54,8,29,1299,21,80,262,339,602,765,901,700,218,242,321,445,167,46,175,5269
POA2017,0,0,0,15,65,60,63,43,18,16,13,28,3,0,9,334,0,4,3,0,19,18,13,23,5,9,8,19,0,0,8,127,0,0,0,3,13,22,39,33,0,6,15,20,9,7,0,175,0,0,3,11,13,54,52,28,11,14,3,14,5,3,0,220,0,0,0,0,11,5,9,10,0,3,0,0,0,0,0,51,0,0,0,0,12,39,40,37,10,16,26,32,3,0,7,218,0,0,0,0,21,41,69,41,21,15,9,10,5,4,11,242,5,28,68,43,74,106,237,449,191,171,201,244,46,16,28,1899,0,0,0,4,12,30,38,47,19,25,28,25,17,3,0,243,0,0,0,34,86,31,45,27,15,12,8,16,0,9,0,297,7,11,53,136,189,434,399,625,245,325,399,434,151,31,43,3479,22,73,240,435,984,1671,2917,3334,1217,1416,1577,1874,660,154,260,16832
POA2018,0,0,0,15,110,62,57,47,19,16,6,25,4,0,6,366,0,0,0,5,10,11,10,11,4,9,3,0,0,0,0,58,0,0,3,4,6,11,23,16,0,9,0,4,0,0,0,80,0,0,0,3,23,16,30,5,3,0,5,3,6,0,0,104,0,0,0,0,9,9,19,4,0,0,3,0,0,4,0,50,0,0,0,3,7,6,21,13,0,7,5,11,0,0,0,62,0,0,0,5,22,17,34,16,12,11,4,8,7,0,3,135,4,10,39,48,41,53,119,197,60,38,57,52,30,6,13,768,0,0,0,0,0,6,19,17,11,4,8,9,3,0,0,82,0,0,0,29,19,15,25,11,3,12,8,9,8,0,0,138,9,63,163,374,277,401,296,238,80,95,129,138,41,3,46,2348,36,263,670,769,1050,1354,1814,1631,476,540,535,608,224,36,176,10161
