POA_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA2000,0,0,48,11,33,4,0,41,0,50,0,0,4,0,10,0,10,0,0,0,0,0,0,0,11,36,6,0,42,0,58,0,0,0,0,0,0,0,55,36,6,0,43,0,103,14,0,0,0,0,0,20,4,26,3,0,26,0,34,0,8,0,0,7,0,7,0,0,0,0,0,0,0,4,33,5,0,36,0,41,0,0,0,0,0,0,0,21,36,5,0,37,0,59,9,0,0,0,0,0,9,0,15,0,0,15,0,15,0,5,5,0,6,0,6,0,0,0,0,0,0,0,0,19,5,0,22,0,22,0,0,0,0,0,0,0,9,19,5,0,22,0,26,288,26,4,0,32,0,317,107,643,51,0,695,0,801,0,51,49,0,98,0,103,0,0,0,0,0,0,0,107,696,101,0,799,6,904,0,0,0,0,0,0,0,400,723,106,0,828,5,1226
POA2007,0,0,4,0,4,0,0,3,0,10,0,0,6,0,7,0,7,0,0,0,0,0,0,0,0,4,4,0,13,0,19,0,0,0,0,0,0,0,8,4,4,0,13,0,15,4,0,0,0,0,0,4,0,12,0,0,12,0,8,0,0,4,0,8,0,8,0,0,0,0,0,0,0,0,11,4,0,16,0,18,0,0,0,0,0,0,0,3,11,4,0,16,0,19,5,0,0,0,0,0,5,3,9,0,0,8,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,9,0,13,0,0,0,0,0,0,0,0,6,4,0,9,0,16,92,7,0,0,7,0,101,44,191,14,0,207,0,251,0,17,29,0,45,0,45,0,0,0,0,0,0,0,44,204,47,0,258,0,302,0,0,0,0,0,0,0,137,220,47,0,263,0,397
POA2008,0,0,22,0,4,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,9,0,0,0,0,0,0,0,18,7,0,0,5,0,27,18,0,0,0,0,0,18,0,8,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,5,0,0,0,0,0,0,0,16,6,0,0,6,0,21,4,0,0,0,0,0,4,0,3,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,9,0,0,0,0,0,0,0,8,3,0,0,5,0,7,176,19,0,0,19,0,193,39,94,9,0,106,0,147,0,4,3,0,7,0,11,0,0,0,0,0,0,0,42,98,15,0,117,0,159,0,0,0,0,0,0,0,218,115,15,0,134,0,350
POA2009,0,0,42,8,21,10,0,33,0,39,0,4,3,0,6,0,8,0,0,0,0,0,0,0,10,31,10,0,36,0,48,0,0,0,0,0,0,0,51,31,10,0,36,0,87,22,3,0,0,3,0,24,7,11,0,0,10,0,21,0,0,0,0,4,0,4,0,0,0,0,0,0,0,7,17,0,0,19,0,28,0,0,0,0,0,0,0,33,13,0,0,20,0,52,10,0,0,0,0,0,9,0,5,0,0,9,0,7,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,5,4,0,9,0,10,0,0,0,0,0,0,0,11,5,4,0,11,0,23,379,37,0,0,37,0,417,150,448,37,0,483,0,635,3,21,24,0,49,0,51,0,0,0,0,0,0,0,152,470,62,0,529,0,688,0,0,0,0,0,8,8,530,507,62,0,565,6,1111
POA2010,0,0,60,8,10,0,0,10,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,13,0,0,13,0,25,0,0,0,0,0,0,0,76,17,0,0,17,0,86,35,0,0,0,0,0,35,3,5,0,0,5,0,9,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,7,0,0,8,0,9,0,0,0,0,0,0,0,40,7,0,0,8,0,48,18,0,0,0,0,0,18,7,3,0,0,3,0,8,0,0,0,0,6,0,6,0,0,0,0,0,0,0,7,6,0,0,9,0,12,0,0,0,0,0,0,0,18,6,0,0,9,0,21,744,42,0,0,42,5,784,137,205,11,0,212,0,348,0,25,16,0,40,0,38,0,0,0,0,0,0,0,140,231,18,0,249,0,386,0,3,0,0,3,0,5,886,275,18,0,295,5,1179
POA2011,0,0,32,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,29,10,0,0,10,0,33,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,10,5,0,0,5,0,18,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,352,19,0,0,19,0,373,55,114,10,0,124,0,178,0,7,0,0,6,0,8,0,0,0,0,0,0,0,54,123,11,0,134,0,184,0,3,0,0,3,0,3,406,148,11,0,153,0,565
POA2015,3,0,61,0,17,0,0,17,0,18,0,0,5,0,4,0,4,0,0,0,0,0,0,0,0,16,0,0,19,0,24,0,0,0,0,0,0,0,59,22,0,0,26,0,81,20,0,0,0,0,0,23,0,5,0,0,5,0,5,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,5,6,0,9,0,9,0,0,0,0,0,0,0,20,5,3,0,12,0,38,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,18,748,58,0,0,60,0,801,118,227,6,0,235,0,349,0,14,6,0,19,0,19,0,0,0,0,0,0,0,118,237,16,0,251,0,367,0,0,0,0,0,0,0,859,300,17,0,317,0,1177
POA2016,3,0,50,8,7,3,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,13,0,13,0,0,0,0,0,0,0,53,14,0,0,12,0,63,26,0,0,0,0,0,26,4,6,0,0,3,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,6,0,0,11,0,9,0,0,0,0,0,0,0,34,6,0,0,11,0,37,5,0,0,0,0,0,5,4,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,0,7,0,0,0,0,0,0,0,11,3,0,0,9,0,14,605,33,0,0,33,0,644,91,153,8,0,164,0,252,0,5,12,0,25,0,25,0,0,0,0,0,0,0,91,160,25,0,180,0,269,0,0,0,0,0,0,0,698,196,25,0,220,0,915
POA2017,0,0,42,5,37,7,0,38,0,44,0,4,9,0,9,0,9,0,0,0,0,0,0,0,5,42,7,0,46,0,52,0,0,0,0,0,0,0,39,40,7,4,52,0,92,16,0,0,0,0,0,14,5,25,0,0,25,0,25,0,0,9,0,9,0,11,0,0,0,0,0,0,0,3,25,9,0,29,0,29,0,0,0,0,0,0,0,22,21,9,0,29,0,47,9,0,0,0,0,0,9,5,15,0,0,15,0,17,0,3,6,0,3,0,3,0,0,0,0,0,0,0,5,17,6,0,24,0,26,0,0,0,0,0,0,0,15,17,6,0,24,0,34,604,75,0,3,77,0,676,157,847,62,0,910,0,1071,5,50,47,0,100,3,109,0,0,0,0,0,0,0,162,896,113,0,1010,3,1176,0,0,0,0,0,0,3,762,972,113,3,1084,6,1854
POA2018,9,0,122,18,128,9,0,137,0,150,0,10,3,0,12,0,13,0,0,0,0,0,0,0,21,142,7,0,149,0,168,0,0,0,0,0,0,0,133,144,11,0,157,0,290,64,4,0,0,4,0,68,5,75,9,0,79,0,88,0,7,5,0,15,0,15,0,0,0,0,0,0,0,5,84,13,0,92,0,100,0,0,0,0,0,0,0,71,88,13,0,97,0,168,33,3,0,0,3,0,40,13,45,3,0,52,0,57,0,4,3,0,10,0,10,0,0,0,0,0,0,0,13,54,5,0,58,0,67,0,0,0,0,0,0,0,49,56,5,0,60,0,110,1016,94,0,0,96,3,1115,220,1189,47,0,1242,0,1462,8,89,43,0,133,0,137,0,0,0,0,0,0,0,228,1282,93,0,1371,0,1601,0,5,0,0,5,0,5,1241,1374,96,0,1477,4,2719
