POA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA2000,0,0,0,0,277,21,301,5,6,0,11,1500,176,1681,189,14,0,211,4535,513,5258,402,13,0,424,2177,261,2856,204,7,0,209,966,121,1297,59,18,0,74,839,93,1009,19,39,0,58,599,40,702,4,8,0,8,287,23,316,0,0,0,0,77,7,88,880,107,0,994,11264,1253,13516,0,7,0,12,276,28,308,8,8,0,21,1557,167,1745,290,36,4,320,4609,495,5424,472,19,0,498,1854,216,2570,170,15,0,187,830,89,1100,29,61,0,87,725,50,860,12,62,0,84,486,33,604,0,6,0,6,268,27,309,0,0,0,0,72,12,79,985,222,10,1214,10679,1116,13005,0,10,0,10,554,48,610,12,20,0,28,3060,342,3429,479,55,4,532,9144,1008,10684,875,35,0,919,4035,481,5424,372,20,0,394,1799,204,2398,89,76,0,166,1568,144,1872,35,108,0,135,1086,80,1310,3,11,0,19,560,49,625,0,0,0,0
POA2007,0,4,0,4,96,11,116,0,8,0,8,560,59,627,35,6,0,39,1209,103,1356,135,5,0,138,498,59,688,71,0,0,72,225,17,322,15,3,0,22,159,18,194,5,7,0,15,134,12,155,0,3,0,3,50,5,59,0,0,0,0,14,8,23,256,29,0,287,2950,289,3533,0,0,0,0,131,18,149,0,11,0,11,574,54,642,72,5,0,84,1127,92,1303,164,9,0,173,375,38,590,59,3,0,62,203,27,288,8,11,0,19,147,22,194,3,11,0,18,115,12,140,5,0,0,7,47,8,64,0,0,0,0,28,10,31,305,58,0,363,2750,281,3400,0,7,0,7,230,28,265,0,15,0,15,1138,110,1261,106,16,0,123,2339,193,2654,298,10,0,307,870,102,1281,123,6,0,136,427,42,600,24,15,0,33,307,39,389,9,21,0,26,244,21,292,5,4,0,5,105,11,122,0,0,0,0
POA2008,0,3,0,5,197,16,220,0,10,0,7,1088,117,1212,47,3,0,48,1752,167,1967,116,7,0,129,583,75,789,60,3,0,62,291,28,389,24,3,0,25,231,22,282,5,11,0,17,153,19,181,0,0,0,0,40,4,43,0,0,0,0,7,3,12,254,39,0,293,4355,447,5097,0,8,0,8,234,15,262,0,5,0,6,1321,123,1449,64,21,3,88,1643,159,1889,140,10,0,147,391,55,595,67,3,0,74,198,23,295,13,7,0,24,180,22,225,0,8,0,15,89,7,115,0,6,0,6,42,0,54,0,0,0,0,12,4,9,282,78,3,366,4112,415,4895,0,15,0,13,438,29,480,5,13,0,17,2409,235,2662,108,24,3,137,3398,327,3861,260,12,0,271,976,132,1384,122,8,0,134,496,54,686,37,14,0,51,412,43,504,4,22,0,31,240,24,295,0,10,0,10,84,8,97,0,0,0,0
POA2009,0,6,0,6,140,4,152,0,3,0,0,329,36,369,88,9,0,96,1377,146,1620,365,5,0,379,882,107,1365,186,6,3,197,499,58,751,57,27,0,78,523,48,647,16,51,0,64,422,51,532,0,15,0,15,203,17,235,0,4,0,4,42,9,49,716,119,8,838,4413,477,5727,0,10,0,10,131,0,142,0,6,0,10,304,24,342,168,20,0,190,1248,138,1574,468,18,6,490,748,106,1343,169,13,3,185,496,45,736,24,68,0,93,546,38,675,10,65,0,70,440,39,552,0,18,0,19,185,16,218,0,0,0,0,45,4,51,840,219,10,1066,4150,411,5631,0,15,0,15,274,6,296,3,6,0,11,635,62,708,255,27,0,287,2629,280,3197,837,26,9,866,1631,210,2708,359,14,7,385,998,106,1489,76,94,0,169,1066,85,1325,26,116,0,136,858,93,1087,3,33,0,34,387,31,447,0,6,0,6
POA2010,0,0,0,4,153,10,172,3,3,0,3,880,79,964,98,35,0,128,4154,379,4665,396,28,3,428,2548,251,3223,277,17,0,300,1761,187,2246,61,26,0,82,1517,165,1766,3,34,0,36,834,103,968,0,9,0,12,377,74,462,0,0,0,0,118,21,138,844,148,7,995,12343,1269,14609,0,3,0,3,180,18,200,4,14,0,21,926,78,1027,133,47,3,179,3340,247,3768,453,43,7,499,1378,138,2019,240,22,5,266,803,104,1172,34,38,0,81,798,68,943,3,57,0,61,578,52,685,0,20,0,20,333,47,402,0,0,0,0,153,38,188,865,251,13,1134,8486,786,10404,0,6,0,7,333,28,369,8,20,0,24,1806,155,1987,232,76,3,306,7496,631,8431,844,73,13,927,3926,389,5247,523,37,4,568,2565,292,3422,98,66,0,165,2319,226,2706,9,88,0,97,1411,149,1653,0,29,0,34,706,124,863,0,0,0,0
POA2011,0,3,0,3,83,18,101,0,0,0,0,387,118,505,62,14,0,77,2371,312,2759,205,17,6,224,1599,179,2005,137,10,0,150,1134,134,1413,47,23,0,61,1026,73,1164,13,34,0,44,730,60,832,0,17,0,20,373,56,445,0,0,0,0,122,33,152,466,117,5,582,7812,976,9372,0,5,0,3,100,37,141,5,6,0,13,393,83,492,91,34,0,130,2082,231,2449,241,34,0,277,1069,113,1458,141,24,0,164,789,68,1021,11,39,4,60,837,67,963,0,88,0,97,664,58,825,0,17,0,17,346,62,426,0,0,0,0,178,93,271,502,262,9,768,6456,814,8044,0,12,0,10,183,54,246,6,8,0,15,781,199,998,160,52,5,206,4450,543,5205,451,53,6,501,2670,291,3462,280,32,0,317,1925,204,2440,59,64,4,123,1859,134,2119,14,120,0,134,1398,119,1651,0,32,0,34,718,120,872,0,0,0,0
POA2015,0,0,0,0,109,3,119,0,8,0,14,305,20,337,92,6,0,100,1647,116,1862,371,10,6,385,834,75,1291,221,7,0,229,541,35,798,44,12,0,51,399,19,470,12,15,0,23,203,17,239,0,3,0,3,71,4,83,0,0,0,0,11,5,21,739,56,7,799,4131,289,5218,0,4,0,4,105,6,118,0,7,0,8,357,28,393,161,30,0,188,1486,98,1774,442,18,10,465,654,50,1168,201,12,0,209,417,31,658,20,14,0,39,354,20,414,3,16,0,20,222,9,254,0,9,0,8,83,10,98,0,0,0,0,25,3,24,826,110,6,940,3710,246,4902,0,3,0,3,222,8,236,4,10,0,17,664,48,727,252,37,0,292,3135,213,3634,819,25,11,848,1491,122,2464,423,10,6,438,955,67,1455,56,24,0,84,758,38,884,11,34,0,42,429,26,493,0,14,0,15,155,12,179,0,0,0,0
POA2016,0,9,0,11,110,7,129,3,6,0,7,466,41,518,68,17,0,82,1668,150,1900,266,0,0,276,887,109,1267,178,11,0,188,757,110,1050,30,10,0,47,726,69,843,5,24,0,34,429,69,532,0,3,0,3,228,37,264,0,0,0,0,69,19,92,553,83,3,641,5339,603,6594,0,5,0,5,113,9,126,3,11,0,9,505,38,558,100,17,0,113,1444,121,1679,350,20,5,380,566,80,1023,161,11,5,173,385,35,597,18,21,0,39,463,48,547,6,30,0,39,361,48,449,0,6,0,6,241,54,308,0,0,0,0,96,25,124,633,126,11,770,4170,462,5404,0,15,0,13,220,19,257,8,11,0,18,973,83,1072,167,35,0,198,3113,276,3578,621,25,9,655,1446,189,2286,334,17,3,360,1140,149,1649,50,35,0,90,1186,115,1391,18,53,0,70,800,110,978,0,12,0,12,466,89,569,0,3,0,3
POA2017,0,6,0,6,237,27,269,3,12,0,15,1583,123,1723,334,28,3,364,4950,414,5731,649,14,8,671,2167,205,3039,225,22,0,244,982,114,1338,36,24,0,62,782,109,956,6,37,0,44,549,74,667,0,3,0,5,270,68,344,0,0,0,4,79,21,106,1260,136,13,1409,11603,1160,14175,0,5,0,5,263,28,298,9,7,0,15,1611,124,1754,474,47,9,531,4553,370,5456,712,37,7,757,1321,142,2223,204,11,0,217,651,68,931,32,61,3,93,664,65,826,9,54,0,69,505,50,628,3,9,0,8,246,36,292,0,4,0,4,97,34,132,1447,236,23,1706,9914,919,12532,0,10,0,10,502,53,564,11,25,0,32,3197,251,3481,813,75,7,898,9503,787,11184,1360,53,12,1423,3490,349,5261,430,28,0,456,1628,179,2272,70,84,0,161,1444,177,1779,16,89,8,116,1056,126,1293,0,13,0,17,515,104,634,0,4,0,6
POA2018,0,15,0,14,355,31,401,4,3,0,11,764,59,832,269,18,0,287,2016,187,2486,634,17,8,655,888,103,1649,347,7,0,358,743,70,1170,67,24,0,92,700,45,838,13,42,0,53,545,31,632,6,12,0,16,386,29,432,0,0,0,0,125,13,140,1347,144,5,1491,6531,569,8591,0,19,0,17,342,22,379,14,11,0,20,744,54,823,422,25,7,450,1833,142,2422,781,28,5,817,712,92,1620,309,23,3,336,683,46,1068,39,62,4,98,739,51,887,14,81,0,94,601,34,731,6,20,0,27,460,32,525,0,0,0,0,177,15,194,1572,277,21,1867,6295,489,8653,0,35,3,32,695,54,789,16,16,0,33,1509,110,1660,691,43,7,734,3848,329,4905,1411,43,11,1472,1601,194,3264,656,35,7,697,1427,119,2238,101,85,4,193,1443,90,1724,22,121,0,152,1147,69,1359,7,37,0,44,851,68,959,0,0,0,0
