POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2000,3035,3042,6077,1283,1350,2637,3521,2941,6459,220,153,367,176,152,327,78,47,128,100,75,174,8,6,13,17,14,22,67,51,120,0,0,0,4189,3442,7623,4013,4372,8387,183,134,313,9667,9297,18961,1191,1015,2203,13885,13360,27243
POA2007,886,799,1685,159,145,306,931,894,1830,60,63,125,67,53,118,17,16,35,36,26,61,0,3,3,4,0,4,21,25,41,0,0,0,1135,1078,2215,1153,1232,2394,39,26,69,2488,2486,4973,271,255,532,3651,3544,7196
POA2008,1084,853,1931,189,160,344,1630,1488,3113,99,99,203,113,85,201,28,39,67,52,51,102,7,12,16,4,3,10,32,57,90,0,0,0,1970,1834,3805,1459,1697,3150,72,62,136,3686,3749,7435,435,389,825,5201,4994,10195
POA2009,2057,2208,4266,551,531,1077,1549,1430,2982,101,94,194,93,80,180,29,14,45,45,38,78,6,5,11,3,3,9,22,26,47,0,0,0,1857,1689,3550,1063,1041,2105,58,66,133,3534,3329,6865,489,427,917,6082,5963,12046
POA2010,4977,3270,8243,859,520,1378,4561,3432,7995,360,258,612,261,207,471,87,77,165,142,113,256,12,10,22,14,12,28,102,91,192,0,0,0,5546,4191,9735,2143,1892,4031,190,94,287,8739,6699,15431,1312,843,2157,15031,10800,25834
POA2011,3188,2720,5909,878,692,1572,2548,2341,4892,205,166,374,197,164,364,54,43,98,99,64,165,12,4,17,6,10,19,82,69,151,0,0,4,3210,2864,6078,1192,1081,2272,103,103,208,5387,4740,10124,1004,793,1798,9580,8248,17830
POA2015,1844,1740,3586,307,302,612,2138,1980,4117,132,76,206,98,94,191,27,24,57,46,39,80,9,12,15,6,11,18,43,45,90,0,0,0,2492,2282,4772,576,603,1180,63,63,124,3438,3250,6685,316,265,580,5601,5250,10855
POA2016,2574,2084,4659,337,265,606,2020,1694,3712,103,100,203,81,96,175,37,36,68,46,43,95,9,0,12,0,9,9,49,36,86,0,0,0,2336,2022,4354,910,794,1702,84,58,138,3667,3131,6802,668,490,1155,6907,5704,12615
POA2017,3526,3205,6733,692,574,1263,4771,4078,8850,218,197,415,279,229,510,84,64,144,102,84,182,13,15,26,9,5,15,69,70,135,0,0,0,5548,4731,10280,3528,3416,6948,220,167,387,9992,8885,18873,1178,962,2146,14693,13053,27751
POA2018,4102,4341,8441,421,414,831,2618,2597,5216,83,66,150,105,105,205,21,31,56,44,33,77,11,5,19,6,0,10,37,34,66,0,0,0,2928,2872,5798,1225,1188,2411,111,66,175,4678,4534,9212,572,505,1076,9350,9376,18731
POA2019,2907,2953,5858,454,406,864,1954,2112,4069,41,36,80,51,51,107,10,16,25,25,16,42,4,0,5,5,5,16,17,15,31,0,0,0,2113,2261,4376,256,316,573,53,33,85,2874,3022,5895,395,380,772,6167,6357,12527
