SA2_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
101021007,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,7,0,11,0,7,0,6,0,0,0,12,5,0,11,4,5,0,9,0,0,0,9,3,0,14,3,13,0,14,0,0,0,14,3,0,17,3,3,0,5,0,0,0,5,6,0,6,0,3,0,8,0,0,0,8,3,0,11,3,0,0,3,0,0,0,3,0,0,3,9,0,0,14,0,0,0,14,5,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,12,0,0
101021008,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,4,24,0,28,0,4,0,12,0,0,4,14,22,0,39,0,11,0,12,0,0,0,15,12,0,26,9,11,0,20,3,0,3,19,27,0,47,8,10,0,22,0,0,5,21,18,0,43,14,3,0,18,3,3,5,22,9,0,34,22,3,0,21,0,0,0,21,8,0,31,17,4,4,17,0,0,0,17,3,0,25,30,0,0,36,0,0,0,36,14,0,50,17,0,0,12,0,0,0,12,7,0,20,8,6,0,14,0,0,0,14,5,0,17,3,0,0,6,0,0,0,6,0,0,10,5,0,0,8,0,0,0,8,7,0,12,15,4,4,24,0,0,0,24,18,0,40,0,0
101021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,4,0,7,0,4,0,6,0,0,0,4,8,0,16,0,8,6,9,0,0,0,16,11,0,31,5,9,0,13,0,0,5,11,17,0,29,8,13,0,20,0,3,0,27,14,0,43,21,10,0,34,0,0,0,35,11,0,48,22,14,0,36,0,0,0,36,8,0,43,32,6,0,43,0,0,0,43,15,0,55,27,7,0,32,0,0,0,31,11,0,44,45,4,0,51,0,0,0,51,11,0,59,23,5,0,26,0,0,0,26,13,0,34,12,0,0,18,0,0,0,18,4,0,22,11,0,0,7,0,0,0,7,0,0,9,14,0,0,15,0,0,0,15,0,0,15,14,6,4,22,0,0,0,25,10,0,37,0,0
101021010,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,5,0,0,0,3,0,0,0,3,3,0,3,0,0,0,4,0,0,0,3,7,0,9,0,4,0,4,0,0,0,6,5,0,10,0,0,0,4,0,0,0,4,4,0,7,3,3,0,8,0,0,0,8,11,0,20,11,6,6,22,0,0,0,24,0,0,21,12,0,0,14,0,0,0,14,4,0,19,9,5,0,15,0,0,0,15,0,0,14,14,3,0,25,0,0,0,25,5,0,24,19,3,4,20,0,0,0,20,8,0,30,14,0,0,14,0,0,0,14,3,0,13,7,0,0,7,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,3,10,0,0,12,0,0,0,12,0,0,12,5,0,0,9,0,0,0,9,4,0,12,0,0
101021012,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,3,0,3,0,0,3,6,6,0,11,0,5,0,5,0,0,0,4,15,0,19,4,7,0,14,0,0,0,12,6,0,14,4,4,0,16,5,0,5,15,15,0,32,13,11,0,16,0,0,0,16,8,0,25,8,9,5,21,0,0,0,21,10,0,34,22,10,4,35,0,0,0,32,6,0,44,31,9,0,35,0,0,0,35,8,0,45,53,3,3,64,0,0,0,63,12,0,79,19,4,3,27,0,0,0,27,5,0,32,28,4,0,33,0,0,0,33,6,0,34,16,3,0,16,0,0,0,16,0,0,16,36,0,0,36,0,0,0,36,0,0,37,23,3,0,27,0,0,0,27,6,0,36,0,0
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,8,0,0,0,7,0,0,10,0,4,0,3,0,0,0,3,0,0,3,0,0,4,7,0,0,0,7,0,0,7,7,0,0,13,0,0,0,13,0,0,13,10,0,3,17,0,0,0,17,0,0,17,15,0,0,12,0,0,0,12,4,0,18,28,0,0,29,0,0,0,29,4,0,29,9,0,0,12,0,0,0,12,4,0,10,9,0,3,12,0,0,0,12,0,0,12,3,0,0,0,0,0,0,0,0,0,4,7,3,0,13,0,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,6,0,4,0,3,0,0,0,3,6,0,12,4,7,0,8,3,0,0,14,11,0,25,0,0,0,5,0,0,0,5,9,0,11,9,11,0,18,0,0,0,19,15,0,30,15,10,0,22,0,0,0,23,11,0,32,16,7,3,22,0,0,0,22,11,0,26,12,6,3,22,0,0,0,22,6,0,29,19,5,5,25,0,0,0,25,6,0,28,52,9,0,63,0,0,4,64,7,0,76,13,5,0,18,0,0,0,18,5,0,26,14,5,0,24,0,0,0,24,0,0,24,6,0,0,3,0,0,0,3,3,0,6,19,4,0,25,0,0,0,27,6,0,27,30,3,0,32,0,0,0,34,8,0,42,4,0
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,6,0,4,0,4,0,0,0,6,0,0,8,0,6,0,6,0,0,0,6,3,0,7,3,4,0,10,0,0,0,10,4,0,18,5,0,0,6,0,0,0,3,4,0,11,3,0,0,3,0,0,0,3,0,0,6,5,0,0,5,0,0,0,5,4,0,5,0,0,0,6,0,0,0,6,0,0,9,0,4,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0
101031014,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,4,6,14,0,17,0,9,0,7,0,0,0,7,14,0,24,5,9,0,16,0,0,0,14,10,0,32,8,11,0,18,0,0,0,19,25,0,42,9,12,0,16,0,0,0,16,11,0,37,13,9,0,14,0,0,0,14,8,0,27,7,4,0,11,0,0,0,10,4,0,18,11,0,0,11,0,0,0,11,3,0,13,21,3,6,25,0,0,0,25,0,0,30,5,3,0,9,0,0,0,9,3,0,11,3,0,0,3,0,0,0,3,0,0,3,4,0,0,5,0,0,0,5,6,0,7,6,0,0,7,0,0,0,7,3,0,9,6,3,0,12,0,0,0,12,4,0,18,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,5,0,0,0,5,3,0,6,5,3,0,5,0,0,0,9,0,0,9,0,3,0,0,0,0,0,0,6,0,10,7,0,0,7,0,0,0,7,4,0,4,5,6,0,13,0,0,0,13,5,0,12,4,0,0,7,0,0,0,9,0,0,10,5,0,0,5,0,0,0,5,0,0,5,3,0,0,3,0,0,0,3,0,0,6,0,4,0,7,0,0,0,7,0,0,7,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,7,7,0,13,0,0
